id,title,publishedAt,viewCount,likeCount,commentCount
Z_7Wp1rvjpM,The Great Rosemi-sama's Last Stream (+SURPRISE)【#OtsuRose】,2025-08-29T05:04:55Z,162519,19444,876
uSB_9l0xVNA,【ESCAPE FROM TARKOV】the scav dream,2025-08-29T04:59:39Z,9861,1409,70
NOcoXbm09lU,【YU-GI-OH! Master Duel】G.A.Y. (Good at Yu-Gi-Oh!) Until Diamond 💎,2025-08-29T04:58:58Z,15117,1651,62
QU9TRTy3k4A,【TOTSU | 凸待ち】🌹 LAST CALL WITH EN MEMBERS,2025-08-28T05:08:17Z,99760,8394,143
qzwZy4Uq3Ac,Wosemi-sama,2025-08-27T22:50:37Z,27781,3926,39
_oI-LsEzZzM,MY LAST STAND (TEKKEN 8) \ ROSEMI LOVELOCK 【Cover | 歌ってみた】,2025-08-27T03:30:06Z,27394,4535,251
zfH8YUZnDU4,ROSEMI NIGHT LIVE 3 🌹,2025-08-27T03:21:27Z,49599,5518,118
xj7m_2eEm04,【FAMILY FEUD】NIJI IS FEUDING AGAIN💥,2025-08-26T03:42:27Z,39370,5036,54
UBzkD4MQUUI,DETECTIVE ROSEMI 2: THE MASQUERADE 🎭,2025-08-25T23:56:27Z,8363,1479,33
L0Nzsq4EpnA,【#ロゼアン】アンジュ先輩とアソビ大会51！！🌹⚖️ COLLAB WITH ANGE-SENPAI,2025-08-23T16:43:29Z,28167,3011,34
cbqVFK2q9Uw,【AMONG US】LAST PERFECT AMOGUS RUN🚀🌹,2025-08-22T05:03:29Z,23190,2520,37
AK29sOweImM,【SUPER MARIO BROS.】FINISHING MARIO OR I GRADUATE TOMORROW,2025-08-20T04:37:25Z,13836,2187,45
i8o_ITbMruo,【PEAK】THIS GAME IS SUPPOSEDLY PEAK⛰️ 【W/ PETRA🐧】,2025-08-16T07:20:15Z,21391,2550,26
eOqN_bswIuE,IF I SMILE STREAM IS OVER (LAST TRY),2025-08-15T16:51:44Z,9482,1755,70
Kf_LpV5XA4A,【TIERLIST】YOUR OSHI IN A D&D WORLD IS....❓,2025-08-15T02:24:03Z,12873,1894,33
rKmy1NFjP_k,【SUPER MARIO BROS.】GAME OVER = EXERCISE PUNISHMENT,2025-08-14T04:54:56Z,19353,2550,54
Lig0E72nj5c,IMPORTANT ANNOUNCEMENT 🌹【NIJISANJI EN | ROSEMI LOVELOCK】,2025-08-13T03:52:28Z,83723,9621,779
5sVQNEQeaKg,混沌ブギ -Konton Boogie- / 歌ってみた (Cover) 【Rosemi Lovelock】,2025-08-10T02:00:06Z,68126,6975,223
G1HaHUMkgmA,My VIEWERS' FRIDGE Look Like WHAT❓❗,2025-08-08T04:12:19Z,9336,1138,30
bG665M1dVhU,【FIVE NIGHTS AT FREDDY'S: SECRET OF THE MIMIC】watch out BEHIND YOU ROSEMI-SAMA 😨,2025-08-06T06:58:13Z,13081,1148,13
45_uwoIk1uw,【RESTREAM/WATCH PARTY】EVO 2025 TEKKEN 8 / TOP 8,2025-08-04T03:49:08Z,14929,1184,24
MFQ6g5j-t_g,【Five Nights At Freddy's: Secret Of The Mimic】FREAKY LITTLE GAME,2025-07-31T05:34:08Z,13554,1234,20
zoD_-YgirNU,da wose wants to chat with YOU❗❗❗❗ (zatsudan),2025-07-25T02:26:32Z,7709,1021,23
