id,title,publishedAt,viewCount,likeCount,commentCount
Utu9hixW6mc,沙花叉クロヱ MV - 光あれ,2025-01-26T13:30:06Z,1727000,80548,6270
F9lbxgimNIE,【 ごちそうさまでした 】沙花叉クロヱ卒業ライブ【ホロライブ/沙花叉クロヱ】,2025-01-26T13:28:14Z,2968001,170820,9150
KjjJgpgRlqQ,【 告知あり 】最後の雑談！みんなありがとうとか裏話とか【ホロライブ/沙花叉クロヱ】,2025-01-25T12:51:13Z,342859,25571,481
JW-rnSHm-_4,ぼくらはみんな意味不明 / 沙花叉クロヱ  (cover),2025-01-25T12:00:07Z,593863,27612,697
dIsw1wArWcI,【 Part5 】「沙花叉クロヱと〇〇」〜バンジーデート編〜【 ホロライブ / 沙花叉クロヱ 紫咲シオン】,2025-01-25T09:00:06Z,158387,12222,484
wxnTKRkpePs,Bling-Bang-Bang-Born / 沙花叉クロヱ  ホロメン (cover),2025-01-24T11:00:06Z,2783811,104348,1509
n51Zwn1ONfg,【 Part4 】「沙花叉クロヱと〇〇」〜リアル脱出ゲーム編〜【 ホロライブ / 沙花叉クロヱ 博衣こより】,2025-01-24T09:00:06Z,90690,8047,286
HPISJ_xCQ8o,【 告知あり 】ラスト歌枠いくぞぉおおおおお！！！【ホロライブ/沙花叉クロヱ】,2025-01-23T13:58:30Z,329649,22604,313
mKq0e-7nnSU,花の塔 / 沙花叉クロヱ 博衣こより (cover),2025-01-23T13:00:32Z,2260344,53750,1474
3IYFW8DjGBY,【 Part3 】「沙花叉クロヱと〇〇」〜料理チャレンジ編〜【 ホロライブ / 沙花叉クロヱ 天音かなた AZKi 】,2025-01-23T09:00:06Z,184968,12435,368
JK417zyxs4g,【 ティアキン 】いざ最終回！ラスボスへ！ ゼルダの伝説ティアーズオブキングダム【ホロライブ/沙花叉クロヱ】,2025-01-22T16:54:52Z,245829,14583,141
OF41reZNGnw,【 Part2 】「沙花叉クロヱと〇〇」〜絶叫マシン編〜【 ホロライブ / 沙花叉クロヱ 星街すいせい 】,2025-01-22T09:00:06Z,296646,20364,614
JiUOrkQTBMI,【 Part1 】「沙花叉クロヱと〇〇」〜高級ハンバーガー編〜【 ホロライブ / 沙花叉クロヱ 兎田ぺこら】,2025-01-21T09:00:06Z,295809,18186,460
TFpPnO0D5Mw,【Shorts】 最終回「沙花叉とASMR配信」【ホロライブ/沙花叉クロヱ】,2025-01-20T14:00:29Z,1934543,130423,1947
fSx6krtjzEA,【 重大告知あり 】不穏なタイピングゲームでミスタイプはゆるされますか…？ DYPING【ホロライブ/沙花叉クロヱ】,2025-01-17T15:05:03Z,190525,12095,97
5LsLZdJonp4,沙花叉クロヱ MV - 混ざる鈍色,2025-01-17T12:00:06Z,437287,25084,1030
acYx6NnoaAQ,ぼうけんのしょがきえました！ / 沙花叉クロヱ ラプラス・ダークネス(cover),2025-01-15T12:00:06Z,436049,21621,425
u5hBkM77dX0,【 違う冬のぼくら 】こよクロで景色も出来事も、それぞれ違う冬を旅する！【ホロライブ/沙花叉クロヱ】,2025-01-14T16:01:42Z,224053,14115,142
7Ae6u_LDZIg,【 歌ってみた 】 ド屑 / 沙花叉クロヱ  (cover)【 hololive / ホロライブ 】,2025-01-12T11:00:06Z,532053,25341,662
j9VQvg1x1N8,【 重大告知あり 】五目並べ最弱王、全CPUに勝てるまで告知できません！！！【ホロライブ/沙花叉クロヱ】,2025-01-12T10:14:59Z,191189,12130,142
hRmo4aBkdao,【 カメラ枠 】新春🎍運試しホロカ開封で自引きするぞぉおおおおおおお！！！！！！【ホロライブ/ 沙花叉クロヱ】,2025-01-04T20:00:01Z,189896,12018,87
XcQRGXxymuw,【 同時視聴 】塩シャチ♡でホラー映画 [ アンフレンデッド ] 観る！【ホロライブ/沙花叉クロヱ】,2025-01-03T14:58:03Z,72674,7182,77
4mrBjN_YdkM,【 風来のシレン６ 】人生初シレン！お正月だしまったり一緒に夜更かし楽しも～～！ 不思議のダンジョン 風来のシレン６ とぐろ島探検録【ホロライブ/沙花叉クロヱ】,2025-01-01T23:27:57Z,155168,11294,72
d-6BYzBsU3I,【 歌枠 】いっしょに年越ししよ♡冬っぽい歌とか今年の歌多めに！【ホロライブ/沙花叉クロヱ】,2024-12-31T16:57:01Z,223369,16461,110
t3p-hllEVIM,【 #かなけん3DLIVE 】３人でかなけんLIVEの振り返りや裏話などはなす！！！【ホロライブ/沙花叉クロヱ】,2024-12-28T14:22:03Z,98725,10727,99
