id,title,publishedAt,viewCount,likeCount,commentCount
DKhRLkhlQDc,【Leaf it Alone】lost my leafin' mind,2025-11-10T00:18:49Z,224609,17513,1210
pHNNqjYV63M,【PEAK】is there a badge for eating sand,2025-11-08T02:33:26Z,293393,21786,420
TJGOk7Yi8qQ,"【KARAOKE】hello, roommate!",2025-11-03T00:01:29Z,390094,35619,1188
Dw2nc5YZtXA,【Halloween】Scary VR games + Scary costume reveal!,2025-11-01T00:17:59Z,220573,20654,438
nSXFLVV2914,【R.E.P.O】New Monster Update!,2025-10-31T01:00:48Z,251494,20175,390
DJAXdeLe6jw,【The Mortuary Assistant】FISHsisstant,2025-10-30T00:36:58Z,149407,14671,378
mDVHTwLKhDk,【Alien: Isolation】alien finder,2025-10-29T01:15:33Z,197987,18588,434
uxF4azG8Nds,【MINECRAFT】SCARIEST MAPS,2025-10-13T00:20:47Z,285789,22304,727
b0p0VyQ6eX8,【At Dead Of Night】Fish Are Really Terrified,2025-10-07T23:29:53Z,175059,15817,522
DlsFMdK8u3c,【Alien: Isolation】 certified big lizard tamer,2025-10-05T00:53:06Z,230297,19403,435
9CMLq6ECwoM,"【No, I'm not a Human】am fish",2025-10-01T01:08:22Z,251396,21315,455
rXmJ61_Axbo,【KARAOKE】singing!,2025-09-27T23:02:09Z,368039,35527,1119
dlsLHuT7HWI,【Façade】Awkward 2005 AI game,2025-09-09T00:37:06Z,178996,16916,735
GOHbz7hrgFY,【Waterpark Simulator】Toilet Town 5 Star Waterpark,2025-09-06T03:52:44Z,225890,19635,501
q7YhyYIYg0U,【Waterpark Simulator】water is indeed wet,2025-09-03T02:51:46Z,254625,25182,519
6QEZkZv1g8o,【Hatsune Miku Project DIVA Mega Mix】Carpal Tunnel The Game,2025-08-31T23:32:31Z,154232,18719,536
BJ_M9XHARm4,【HITMAN】FIRST DAY AT MY NEW JOB!,2025-08-27T00:32:29Z,178115,18921,601
1uSw1w7NgM4,【RESIDENT EVIL 4】this game makes me tilt like no other,2025-08-22T23:34:53Z,117950,14402,576
mr14pIpXTVE,【Devil May Cry 3】Saba S'gonna Suffer,2025-08-22T01:00:10Z,150875,17726,455
yxMnR-VsrtY,【Are You Smarter Than A 5th Grader】smartest vtuber on the platform,2025-08-19T23:12:02Z,149911,17646,520
y_ZyVJKsEm8,【 RESIDENT EVIL 4 】the final Leon,2025-08-14T00:50:48Z,156974,16637,500
aHHYTKUfNP4,【WIZARD NIGHT】welcome to mogwarts,2025-08-10T01:15:42Z,286944,21931,446
cYbRbtypp20,【Half Sword】Half Fish,2025-08-05T00:14:46Z,278013,22931,737
_JhW0uKjgjQ,"【 RESIDENT EVIL 4 】come in,  BigFish?",2025-08-03T03:01:01Z,309016,24158,411
sk7R-ZSJjBA,【 RESIDENT EVIL 4 】i'm assembling a team...,2025-07-30T02:36:23Z,348488,25696,588
h3jBOcBn_tU,【KARAOKE】summer fish 🐟,2025-07-26T23:16:29Z,500299,42076,1367
v4dADTeZFTA,【DONKEY KONG BANANZA】return to monkey,2025-07-22T23:19:30Z,207610,17544,577
5_FRFla0Fas,"【DONKEY KONG BANANZA】hey, banana! 🍌",2025-07-22T02:09:44Z,394438,28666,524
tWGMyYN0y3M,Blue Yellow Peak,2025-07-21T12:33:42Z,366946,39484,3052
gflIbH9uKwI,TOM AND JERRY 💀,2025-07-21T10:03:25Z,408496,27883,640
sAoo3wkmHzQ,【ELDEN RING NIGHTREIGN】we are dropping at tilted towers,2025-07-19T02:32:37Z,441367,31945,537
vJG17DoOgbw,【 FAMILY FEUD 】sabadoob feud,2025-07-17T01:48:24Z,493298,35441,592
PUhD9bakmvg,【PEAK】SCOUTS HONOR,2025-07-13T01:18:28Z,760948,51763,1163
yQ15mowtvZ0,【MOUTHWASHING】enter the tulpar,2025-07-12T00:36:57Z,343650,28938,650
hrsbJWUVqFc,【STATIC DREAD】lighthouse horror game!,2025-07-10T23:51:50Z,440643,36274,766
FTfViLJqUiY,【GAMESHOW NIGHT】wheel games,2025-07-07T23:42:52Z,505321,38396,858
VwYAZbXSxmY,【 RESIDENT EVIL 4 】first fish gaming!,2025-07-04T01:33:23Z,1056899,74596,1627
7Dj2_NQB7Jw,【1 MILLION SUBSCRIBERS】wait-WHAT?,2025-07-01T22:35:23Z,1161614,104924,3584
H_Nc-zjRmK4,【KARAOKE】first fish karaoke!,2025-06-29T23:14:29Z,1584876,133954,5212
pYVEIX7nSEs,【VTUBER DEBUT】yoho! 🐟 i'm saba!,2025-06-28T22:34:00Z,3418529,295694,19932
bRNtoxbAo_s,...🌊,2025-06-01T17:06:25Z,1257182,117049,3956
k3cryiz8nJo,saba / saba,2025-05-18T10:05:14Z,2924318,175389,16608
