id,title,publishedAt,viewCount,likeCount,commentCount
bznfPZfwJcU,Sami A nya.. apa yaa??..,2025-12-13T06:00:35Z,3615,335,31
Z8oQ5a8kxqI,【GT】Mari mencari ending ke- 2【Sami Maono - JKT48V】,2025-12-11T16:48:06Z,1953,282,6
CN9HW0ovyZM,Sami S nya Sayur,2025-12-11T06:00:24Z,6000,700,22
S1G_3gq7kaE,"【GT】Mandor sudah memanggil, inilah saatnya..【Sami Maono - JKT48V】",2025-12-09T11:36:51Z,2534,396,10
LKZlCqZsAbo,Virus Tipe Hati - JKT48,2025-12-09T06:00:30Z,21653,1502,22
IFQ3lMZ6qXo,【GT】Sekuatnya aja yah?.. 【Sami Maono - JKT48V】,2025-12-04T14:32:15Z,3733,453,5
81F3N0lWHr8,【GT】Barang-barang lucu dan penuh kenangan.. 【Sami Maono - JKT48V】,2025-12-03T07:04:21Z,2198,419,6
HuQ6QF_6m0A,【Valorant】Mencoba mengendalikan angin..【Sami Maono - JKT48V】,2025-12-02T10:50:16Z,3026,412,8
JAWiXdVHsrI,Sahabat atau Cinta -  JKT48,2025-12-02T06:00:13Z,6101,795,20
AROJLtS135Y,Awoo awoo~ Udah nonton MV Suatu Saat Bertemu (Dreamtale) belumm?? #JKT48VGen2 #SamiJKT48V,2025-12-01T06:00:07Z,5893,623,11
t0WAICpK738,【DreaMi】Ngobrolin impian..【Sami Maono - JKT48V】,2025-11-30T09:14:43Z,3534,480,30
BIzGxlANLF8,【Construction Simulator】dunia Pertukangan is my Dream【Sami Maono - JKT48V】,2025-11-27T10:48:37Z,4249,553,13
PjurRUb2Ezc,Cari logo game HD??,2025-11-26T06:00:22Z,9896,1239,54
s3NOuM5ETFc,【SaliTalk】Mau ngobrol sama Salicore dulu.. ihihihihi【Sami Maono - JKT48V】,2025-11-25T05:22:26Z,4040,567,13
FJ3nU6PEn8Q,📢Kizaru x JKT48 Virtual - Sami Maono,2025-11-24T04:33:13Z,5025,877,19
c6GoL7TrDZA,【Debut Stream】Angin Ribut Menyerang! 🍃【Sami Maono - JKT48V】,2025-11-21T16:03:43Z,13318,1774,155
P14etoeddPk,Suatu Saat Bertemu (Dreamtale) - Sami Maono Teaser,2025-11-07T12:01:02Z,6719,522,21
JPh4oQX7jTk,Sami – Angin yang Membawa Senyum | JKT48V Generation 2 Introduction Video,2025-10-27T06:45:35Z,18392,1835,208
0EfK4ggvQ9s,Sami Maono - JKT48V Live Stream,2025-10-23T05:50:30Z,0,0,0
vHG8bxkquZw,19 November 2025 — 20:00 WIB,2025-10-20T06:00:54Z,12910,841,41
