id,title,publishedAt,viewCount,likeCount,commentCount
wQ6Qm8RoJ1w,【スプラトゥーン3/サーモンラン】ビッグランらしいので緩く雑談しながら鱗を乱獲する【不知火フレア/ホロライブ】,2025-12-13T12:35:45Z,43327,4242,20
HDLf6OLQZmE,【R.E.P.O.】#バカタレサーカスゲス侍 フルパでがっぽり稼ぐ！【不知火フレア/ホロライブ】,2025-12-12T15:44:36Z,32987,4417,21
zx3W2jSeFAQ,【Amanda the Adventurer 3】あのホラゲの続続編！？呪われたビデオの謎がついに完結！？【不知火フレア/ホロライブ】,2025-12-11T18:07:19Z,47741,5123,21
yQ2DgrZ2Lbs,【ミメシス】３期生VS AI 本物か偽物か…【不知火フレア/ホロライブ】,2025-12-10T15:00:41Z,91626,7338,38
NIk8tnB_Wn0,【ELDEN RING NIGHTREIGN 】あまりにも久々なのでリハビリもかねて昼渡り【不知火フレア/ホロライブ】,2025-12-06T06:41:09Z,55198,5023,18
7bW6sJst0ko,【幽拐エレベーター】知らない人からラインがきたんだが様子がおかしい【不知火フレア/ホロライブ】,2025-12-03T16:00:11Z,60001,5597,38
jssCx_k5dw4,【 Minecraft 】うおおお #ラムベガスグランドオープン 稼ぐぞ！！！【不知火フレア/ホロライブ】,2025-11-29T13:51:35Z,64708,6013,23
Mnrwt8YpYaU,#04【夢物語の街】深夜にチルいお片付け【不知火フレア/ホロライブ】,2025-11-27T15:52:15Z,27771,3764,23
5cZ6F88pUus,【Super Chat】いつもありがとう！お礼＆ゆる雑談【不知火フレア/ホロライブ】,2025-11-26T16:13:20Z,21726,3464,26
HfCIWvU1-Dw,【 Minecraft 】#かみぬい ５億年ぶりにマイクラ【不知火フレア/ホロライブ】,2025-11-25T15:44:43Z,78912,6324,31
Hz6M3-7gKco,【Pokémon LEGENDS Z-A】色違い厳選したり第二回交換会しよっ！【不知火フレア/ホロライブ】,2025-11-24T17:11:47Z,59953,4539,19
XWlrzhIa3xA,【雑談】月一くらいの深夜雑談！【不知火フレア/ホロライブ】,2025-11-22T15:39:33Z,36550,4696,35
AHl2XI83pZc,#03【夢物語の街】深夜にチルいお片付け【不知火フレア/ホロライブ】,2025-11-20T15:42:13Z,30024,3883,26
sNlJnQmJ64U,【歌枠/縦型】アニソン中心に！いろいろ歌う🎤  #shorts【不知火フレア/ホロライブ】,2025-11-15T16:25:45Z,136508,8799,43
ZKDrhxqFwak,#02【夢物語の街】深夜にチルいお片付け【不知火フレア/ホロライブ】,2025-11-14T17:20:47Z,39995,4507,25
w2PxJogbbPw,#01【夢物語の街】チルいお片付け【不知火フレア/ホロライブ】,2025-11-12T16:07:38Z,39847,4392,29
mcG1IIkIOAE,【Pokémon LEGENDS Z-A】色違い厳選したり交換会しよっ！【不知火フレア/ホロライブ】,2025-11-11T16:50:33Z,78163,4801,20
zXuQlope_mY,【R.E.P.O.】#タカタレサーカスプリンセス  フルパで挑む！【不知火フレア/ホロライブ】,2025-11-10T16:19:33Z,46737,5429,28
niNvduVFV0o,【Pokémon LEGENDS Z-A】1/4096を緩く狙うforポルカを添えて【不知火フレア/ホロライブ】,2025-11-09T18:32:18Z,97466,5290,20
CFHqz5iucA4,【ツーポイントミュージアム】久しぶりの深夜博物館開館【不知火フレア/ホロライブ】,2025-11-07T18:45:04Z,46924,5312,33
SrZbVwP7mbc,#09【Pokémon LEGENDS Z-A】伝説のポケモンと光るお守り！！！【不知火フレア/ホロライブ】,2025-11-05T19:35:20Z,75115,5158,22
Tc4R3_9VQeI,#08【Pokémon LEGENDS Z-A】ニンフィアと行く！ポケモン初心者が再び旅に出る【不知火フレア/ホロライブ】,2025-11-03T19:51:48Z,97797,5452,26
smEbqlxqRoI,#07【Pokémon LEGENDS Z-A】ニンフィアと行く！ポケモン初心者が再び旅に出る【不知火フレア/ホロライブ】,2025-11-03T02:24:56Z,93708,5639,27
orIbe_0quSQ,#06【Pokémon LEGENDS Z-A】ニンフィアと行く！ポケモン初心者が再び旅に出る【不知火フレア/ホロライブ】,2025-11-01T14:29:46Z,29206,2550,33
