id,title,publishedAt,viewCount,likeCount,commentCount
L3Er_7urVbg,【#2】POKEMON LEGENDS Z-A !!!! | Shu Yamino,2025-12-11T09:56:43Z,34805,1572,12
mvit7_FPntY,games なんかやる,2025-12-10T11:45:40Z,30079,2079,20
3UIgDbQPUk8,【#1】POKEMON LEGENDS Z-A !!!! | Shu Yamino,2025-12-08T09:09:25Z,34563,2132,17
D3kjg7FxWBg,MECHA-MECHA 実は！撮ってました！！ @MurakumoKagetsu  @YangNari #踊ってみた #やみくもやん,2025-12-07T16:19:01Z,533962,68717,585
uYKbLtOJELk,SHUper YAMINO & CAPSULE Collab Merch!!!!!,2025-12-06T11:07:38Z,15992,1888,14
p96nKKL1HB4,???,2025-12-05T02:50:19Z,225473,30898,339
YZWFw3hRcm0,chill ちる,2025-12-02T05:54:38Z,30908,2303,20
5JAJ-hYXnw8,【Part 2】RV There Yet? ft. NijiNOVA | 【Shu Yamino | NIJISANJI EN】,2025-11-29T18:33:32Z,25233,1886,12
WNMZwFSOz8U,"surprise! ranked valo w/ Cassian, Nayuta | Shu Yamino",2025-11-27T01:49:42Z,20022,1390,8
PTR1vbf3E0w,RV There Yet? ft. NijiNOVA | Shu Yamino POV,2025-11-23T17:50:08Z,32925,2165,10
8tK6MOZHJvk,Kirby Air Riders! | Shu Yamino,2025-11-23T04:55:58Z,18061,1470,6
lemeRhLT8Wc,R.E.P.O. new update! with church of chat! | Shu Yamino,2025-11-20T09:28:33Z,19497,1414,10
ynfMpTVUP_8,"Valorant Ranked! w/ Cassian Floros, Nayuta Umbrage",2025-11-19T02:23:20Z,25543,1654,13
-WzxSKOMylI,ゴブリンやりますよ🏵️【闇ノシュウ | NIJISANJI EN】,2025-11-16T16:09:58Z,48288,3297,24
HYF16B1HDnY,my internet is back (games???),2025-11-13T08:17:05Z,32836,2269,23
3bkv3j0MSWI,goose goose duck! (many vtubers!),2025-11-09T04:40:17Z,25081,1913,11
df7oEWbHPZE,R.E.P.O. w/ Vantacrow Wilson Zali Shoto Arielle,2025-11-08T20:14:20Z,22152,1742,6
cx4-ZS5-6OI,"random valo ranked w/ Phreid, Cassian, Nayuta, Hysteria",2025-11-07T00:56:15Z,23515,1889,12
nwt0Z_iO5_4,im back 🦅 zatsu #vtuber #malevtuber #uh,2025-11-04T20:55:50Z,28032,2604,41
UfGCRvxeqlY,ジャンプしてみた！ Jump Challenge #ジャンプしてみて #どんどんジャンプチャレンジ #shorts Shu Yamino 闇ノシュウ,2025-11-04T15:31:22Z,368635,32034,255
G-8S1GJI1kY,【TGS VALORANT CUP】DAY 2 (Shu Yamino),2025-11-02T10:55:56Z,15073,1151,17
4R1MM7F4Czo,【TGS VALORANT CUP】day 1! (Shu Yamino),2025-11-01T14:22:26Z,26869,1922,12
Am-Mwt8ju04,TGS VALORANT CUP Practice! (Shu Yamino POV),2025-10-29T09:07:24Z,29772,1940,11
PIWtu1ycTj0,R.E.P.O. w/ church of chat !,2025-10-23T07:19:09Z,28462,1926,15
dXBIdajW_Ic,#にぎにじダンス w/ ​⁠@LucaKaneshiro ! #にじたうん 【Shu Yamino | NIJISANJI EN】,2025-10-22T04:16:13Z,665137,64473,497
45iRIZeQh6s,test 2,2025-10-21T10:18:02Z,22437,2241,15
0n90FyUA1z8,闇ノシュウ にじたうんGB Nijitown #にぎにじダンス #にじたうん,2025-10-17T13:47:51Z,287512,31064,687
S7yqIRngQr4,test,2025-10-08T18:06:40Z,48035,3602,35
FeRC2sPVfYs,otsu vcraft! (Just Chatting),2025-10-01T05:16:56Z,26169,1936,19
YdrdxdoEsrY,【#13】The Last Day in Town #VCraftEnchanted (Shu Yamino POV),2025-09-29T11:06:09Z,47768,1928,31
5LxiR9EYCnA,【#12】And on the 12th Day... #VCraftEnchanted (Shu Yamino POV),2025-09-28T10:03:01Z,40987,1632,12
