id,title,publishedAt,viewCount,likeCount,commentCount
1w8uorO86OI,【Arknights: Endfield】last one until release!!!!!  #kfp #キアライブ,2025-12-14T16:10:04Z,0,169,35
Dp-ngCTKffQ,【YAPYAP】 yap to win #kfp #キアライブ,2025-12-13T15:54:28Z,24449,3722,59
wxONMqkSf4c,WHAT DO U MEAN DOOM?????,2025-12-13T12:18:58Z,51917,6797,191
Da-5Ik225oY,【Arknights: Endfield】arknights: garfield #kfp #キアライブ,2025-12-11T07:17:06Z,77484,5967,56
NUJHLRVRctg,【OFF COLLAB】cooking with the amazing Onigiri! #kfp #キアライブ,2025-12-10T15:18:09Z,104238,10630,154
rDiNJ2_t7vE,"name a better duo than JeanWanWan x Kiara, I'll wait. #tastychallenge",2025-12-07T13:48:13Z,243141,21343,294
NFcQEeM4FpY,【Arknights: Endfield】whenfield? NOWFIELD!!!!!!!! #kfp #キアライブ,2025-12-06T04:24:24Z,85764,8114,129
8D-wdNgdZ48,【WATCHALONG】wtf youtube CHROMATIC FUTURE @ HOLO EARTH!  #kfp #キアライブ,2025-12-03T15:57:14Z,39437,4697,82
P1YlcwtfdIo,【ARC RAIDERS】quark raiders #kfp #キアライブ,2025-12-01T15:42:01Z,40857,5170,83
Kl8dBZJEBU8,【MINECRAFT】stocking up EVERYTHING #kfp #キアライブ  【rebroadcast from Twitch】,2025-11-30T04:10:17Z,36415,4808,47
uVCJI7Nga_Y,TASTY - Takanashi Kiara (Dance Shot Version),2025-11-27T15:00:07Z,54432,8486,244
TbZ6OCLvBm0,【HONKAI: STAR RAIL】rest of the week is gonna stay pretty empty i swear!!!! #kfp #キアライブ,2025-11-25T15:22:08Z,54198,5575,67
6xyJh3V0CXA,【WAWA TALK】what was that!!!?!??? #kfp #キアライブ,2025-11-24T07:42:20Z,46796,6795,94
D0l7Z01JIMQ,【Pokémon LEGENDS: Z-A】its been 6-7 years... #kfp #キアライブ,2025-11-22T08:01:05Z,48869,6168,54
6dulgQ1BNt4,showing the girls the #tastychallenge - don't miss our stream on the @hololiveEnglish channel!,2025-11-21T14:48:58Z,89196,8434,144
H0IB8wxSUKU,【THE WITCHER 3】don't forget the heavy attacks #kfp #キアライブ,2025-11-18T16:39:58Z,43679,5149,59
Vl71-HvCees,【OFFCOLLAB】playing doctor and guessing who! Handcam ✋ #kfp #IRyS,2025-11-17T13:07:36Z,67096,7631,120
iF7glXiYeEY,【MAGE ARENA】round two baby lets snipe some warlocks #kfp #キアライブ,2025-11-16T16:11:55Z,79452,6994,108
