id,title,publishedAt,viewCount,likeCount,commentCount
2DYS9rJkd80,【GEMINK】Menyusuri masa lalu yang pernah menjadi masa kini - Undusted【Tana Nona - JKT48V】,2025-12-06T11:02:12Z,2662,447,4
r1MVmaxEm2k,【GEMINK】Dadu siapa yang paling wangi? - Ludo【Tana Nona - JKT48V】,2025-12-05T14:36:31Z,5401,664,5
hYBVLN0z9jM,【GEMINK】Valo lucu penghilang stress - VALORANT【Tana Nona - JKT48V】,2025-12-04T22:46:29Z,3313,372,1
Go9hmTZ8y-o,1 JAM nyanyi KUSIMPAN RINDU DI HATI (EAR TERAPHY)【Tana Nona - JKT48V】,2025-12-04T13:21:58Z,4484,670,23
lkd26S8zzHY,ACE GA TUH 😎  #tanajkt48v #vtuber #vtuberclips #vtuberindonesia,2025-12-02T09:01:14Z,6045,726,25
_Q-Kq7YvGoA,"【Cover】Your Idol - Tana Nona, @PiaMeraleo-JKT48V & @MoonaHoshinova",2025-11-30T12:00:06Z,67240,9024,381
5TV65t6rWYw,【GEMINK】Piknik naik angkot sama @mythiabatfordch  - RV There Yet?【Tana Nona - JKT48V】,2025-11-29T13:57:14Z,4767,665,4
L4yybQv6qmM,30.11.2025,2025-11-29T09:00:36Z,7055,998,34
esWkqz2b-RM,【MERONTON】Memainkan Permainan Ronda w/@PiaMeraleo-JKT48V 【Tana Nona - JKT48V】,2025-11-28T17:58:42Z,5311,653,4
AykjI2PPYcw,【TwT】Eps. 7 TANGKUBAN PERAHU 【Tana Nona - JKT48V】,2025-11-28T14:30:46Z,91779,9449,94
y7YkkJknKjw,Jadi gini bro【Tana Nona - JKT48V】,2025-11-25T15:36:15Z,5798,595,6
ymDBgNly0hs,【GEMINK】Akan kami taklukkan puncak itu - PEAK【Tana Nona - JKT48V】,2025-11-24T14:13:43Z,5423,672,2
TuZXOcNBIjI,Kalian pikir ini game santai? TIDAK!!! #TotsRally #tanajkt48v #vtuberclip #vtuberindonesia,2025-11-24T14:00:56Z,8104,815,8
scDKEA_fPxE,📢Kizaru x JKT48 Virtual - Tana Nona,2025-11-24T04:32:37Z,1356,219,9
wNw6vuxi9OU,【GEMINK】Mari kita coba Harbor 2.0 itu - VALORANT【Tana Nona - JKT48V】,2025-11-20T14:16:06Z,2793,439,2
ROXjTonsL3k,【GEMINK】Saya nak kayaaa - Buckshot Roulette【Tana Nona - JKT48V】,2025-11-18T14:30:51Z,9090,906,6
ORliQ6j3aWw,【GEMINK】MAIN GAME CIWI BARENG CIWI CIWI GEMESSS - ✨TOTS RALLY✨,2025-11-18T03:01:35Z,4002,513,4
ruQQq8hyxF8,Sing With Me: Sahabat atau Cinta - JKT48 🩷♥️ #tanajkt48v #jkt48v #vtuber #singwithme,2025-11-17T09:01:35Z,1349,205,16
L3R4CjeBW1k,【MERONTON】Jadi dimana maling maling itu w/@PiaMeraleo-JKT48V 【Tana Nona - JKT48V】,2025-11-16T18:17:54Z,8053,798,15
n7Ij6W1NM9Y,Obrolan malam【Tana Nona - JKT48V】,2025-11-14T17:11:00Z,3527,482,5
JiIXquN1MEs,【TERROR】Maljum kurang lengkap kalo ga horror horror an【Tana Nona - JKT48V】,2025-11-13T14:30:05Z,2700,426,4
GdUMFoazYCE,【MARAH】Kuliah Malam Matkul Astronomi【Tana Nona - JKT48V】,2025-11-10T14:03:08Z,3326,529,4
6KlOET0cEw0,【MARAH】Nyangkruk dengan Auwia JKT48!【Tana Nona - JKT48V】,2025-11-06T13:35:03Z,11109,909,13
Ar7I8qHNm7k,【GEMINK】Manasin Otak Tono - The Room Two【Tana Nona - JKT48V】,2025-11-05T15:47:09Z,2671,445,4
vFibmuNI6Ds,【GEMINK】Infokan Bos Terdekat - Hollow Knight【Tana Nona - JKT48V】,2025-11-03T14:50:19Z,2605,419,2
bGBOeV5QYek,Aku-- Gua tuh udah kota banget sekarang (part.2) #tanajkt48v #ytshorts #vtuberclips #vtuberindonesia,2025-11-02T06:00:28Z,14956,1527,62
mWa03ri5YwY,"Bangun, besok libur【Tana Nona - JKT48V】",2025-10-31T15:25:37Z,2581,315,8
oOZTZu4RPAY,空腹 / Kuufuku Cover After Talk!【 Tana Nona - JKT48V 】,2025-10-31T01:43:11Z,1924,334,0
-Gc-YOKLets,【COVER】空腹 / Kuufuku - Tana Nona JKT48V,2025-10-30T12:00:07Z,5402,751,66
Rcqy0RmxV2A,30.10.2025,2025-10-28T05:00:35Z,1979,300,24
w6rX9R2DGHA,【TwT】Eps. 6 RORO JONGGRANG 【Tana Nona - JKT48V】,2025-10-25T13:20:40Z,90520,10877,65
5j_GgI7_HI0,【WTB】Halloween Roulette YCH! PART 2 BISMILLAH SELESAI【Tana Nona - JKT48V】,2025-10-23T14:59:39Z,2266,352,1
9mlBY6gB_6k,【GEMINK】Menjelajah City of Tears - Hollow Knight【Tana Nona - JKT48V】,2025-10-22T02:01:55Z,1806,292,2
ZgyRnjfn07k,【MARAH】Grand Opening Warung Lek Tono【Tana Nona - JKT48V】,2025-10-20T13:44:19Z,5429,786,6
lZa0F0sk8zY,【WTB】Aku gambarin kamu edisi 'Halloween Roulette YCH!'【Tana Nona - JKT48V】,2025-10-15T14:29:24Z,2159,297,0
uCae7lqFPZc,【GEMINK】AAAKUU KECANDUAANN - Hollow Knight【Tana Nona - JKT48V】,2025-10-14T02:22:23Z,1907,341,0
Lq0eZ89uZ7E,Aku-- Gua tuh udah kota banget sekarang (part.1) #tanajkt48v #ytshorts #vtuberclips #vtuberindonesia,2025-10-11T09:00:26Z,12106,1000,30
mHyuobFAim8,【TERROR】IS BACK!! Bacain cerita horror kamu【Tana Nona - JKT48V】,2025-10-09T14:37:58Z,2827,400,1
UcwG1dP2iZQ,【GEMINK】Bermain bersama Orang Baik Banget - Roblox【Tana Nona - JKT48V】,2025-10-08T14:16:47Z,2244,361,2
-bm7pis-foM,【GEMINK】Lanjut Jelajah Greenpath - Hollow Knight【Tana Nona - JKT48V】,2025-10-06T14:46:40Z,2024,386,1
p-1oN8RhI8U,【GEMINK】Uji kecerdasan Tono - The Room【Tana Nona - JKT48V】,2025-10-05T16:21:03Z,2506,441,1
EqC75Vt4udc,【GEMINK】AKU BUKAN KARBIT - Hollow Knight【Tana Nona - JKT48V】,2025-10-04T14:39:31Z,1953,380,2
jb6U81NXgwI,"""You're my pumpkin! Cedak tapi adoh, tresnoku waluhku!"" Udah nonton fullnya belom?🫵😎",2025-10-04T03:30:29Z,8106,939,21
IqPEZFou-H4,Oh my pumpkin! After Talk!【 Tana Nona & Pia Meraleo 】,2025-10-03T13:46:37Z,4840,657,7
P0LGMvwdy8U,【MV】Oh my pumpkin! Jawa ver. - Tana Nona & Pia Meraleo【JKT48V】,2025-10-03T12:00:06Z,117126,6614,777
cbR82MaC-Fg,【MARAH】Kisah KKN ku【Tana Nona - JKT48V】,2025-10-02T14:39:05Z,6044,910,3
FKG_Z4kldkE,I'M BACK!!❤️【Tana Nona - JKT48V】,2025-10-01T11:21:27Z,5931,865,17
KT0MkNVcUYM,03.10.2025,2025-10-01T04:59:33Z,2839,334,48
uFwYbbqffT8,Last stream before hiatus【Tana Nona - JKT48V】,2025-08-31T14:29:18Z,7678,1487,27
N8nlDELbcS4,【TwT】Eps. 5 LUTUNG KASARUNG + PENGUMUMAN【Tana Nona - JKT48V】,2025-08-25T14:27:05Z,17555,1661,23
xZr4Ta_zU3o,【GUERILLA】Anak kcil tidur aj【Tana Nona - JKT48V】,2025-08-20T22:03:09Z,3532,405,11
YQ91bOF5RqE,【KARAOKE】Nyanyi Lagu JKT48【Tana Nona - JKT48V】,2025-08-19T11:13:00Z,5600,666,8
yXEAy8cGWPo,【Whisper Mountain Outbreak】Kenali Tanda-tanda Anomalinya w/ @PiaMeraleo-JKT48V,2025-08-17T01:42:22Z,2039,355,2
jKfiy6CB5KY,【GEMINK】Kok jadi ketagihan yh main ini... w/ @ahomika_ch  - Roblox【Tana Nona - JKT48V】,2025-08-14T14:30:51Z,2480,369,1
6zSCMRRBxOs,【MARAH】Ngobrolin Oh my pumpkin! sama @PiaMeraleo-JKT48V 【Tana Nona - JKT48V】,2025-08-13T14:02:58Z,4562,641,3
dssfeZNkEzA,【#MeroHaru25】Kapan lagi farming pahala sambil dengerin aku nyanyi🥰,2025-08-09T08:34:24Z,3291,492,4
yOSSeE18Jh4,【GEMINK】Main game bocil sama @PiaMeraleo-JKT48V  - Roblox【Tana Nona - JKT48V】,2025-08-05T13:53:58Z,4344,451,3
KWEyJATJhho,【MARAH】Review Stiker Wangsaf Kamu【Tana Nona - JKT48V】,2025-08-04T09:07:13Z,4571,705,1
h28WTvBbX6k,【KARAOKE NO MUSIC】Sini aku nina boboin【Tana Nona - JKT48V】,2025-08-02T20:43:25Z,3405,575,10
ls0oRcYmIkE,【GEMINK】Jadinya Manjat aja sama @NonaBerlian14 【Tana Nona - JKT48V】,2025-07-29T14:20:37Z,6674,577,5
e3vyj3hlNCU,20 Menit Nggak Ngapa Ngapain【Tana Nona - JKT48V】,2025-07-28T16:12:47Z,2231,295,5
Sh4oGb4naVA,【GEMINK】Buka Les Lesan - VALORANT【Tana Nona - JKT48V】,2025-07-28T14:53:10Z,3824,452,7
6EqBMw4Wuz0,GETCHA! Cover After Talk!【 Tana Nona &  @KureijiOllie  】,2025-07-24T13:49:39Z,5911,735,7
6eVa2Au3F_A,【Cover】GETCHA! - Tana Nona & @KureijiOllie,2025-07-24T12:00:06Z,34928,3130,117
s0K1Q4Vbkg4,【GEMINK】Bukan Stream Rage Bait - Dota 2【Tana Nona - JKT48V】,2025-07-23T14:08:28Z,4547,532,11
ycvvQPO_4uM,【TwT】Eps. 4 BATU MENANGIS【Tana Nona - JKT48V】,2025-07-22T13:08:42Z,9012,904,15
tYF5hvri2Zo,24.07.2025,2025-07-22T05:00:54Z,3073,367,45
6q9hXMvCmLM,【GUERILLA】Stream gabut ngapain aja lah pokoknya【Tana Nona - JKT48V】,2025-07-19T13:43:17Z,3341,545,8
