id,title,publishedAt,viewCount,likeCount,commentCount
naQChwWN_rc,[ KOTOR 2 ] I BECOME A SWEAT TRYING TO CATCH UP  [ Phase-Connect ],2025-12-14T02:57:31Z,426,141,10
Y7MLFDUKGH8,[ 2 IN 1 STREAM ] I WANNA BE THE DAD !!!! [ Phase-Connect ],2025-12-12T21:36:00Z,10179,1031,14
OXXIAGyitB8,[ #10MASHRINE REVIEW ]  may your shrines invoke the maemi! [ Phase-Connect ],2025-12-10T22:24:47Z,10787,1317,14
46yk0eDqhsI,SHE DID WHAT TO SANTA 😱 😱 😱 [ Phase-Connect ],2025-12-09T06:22:35Z,6490,791,33
V4DCoRUMoi0,[ BIRTHDAY  aftertalk  : i am tired ] only. superchat. reading. [ Phase-Connect ],2025-12-06T19:17:00Z,8634,1023,15
GowwXRizYb0,[ BIRTHDAY  aftertalk  Electric boogaloo ] does it end [ Phase-Connect ],2025-12-05T21:50:33Z,6788,899,14
ymMsGFY_Swk,[ BIRTHDAY  aftertalk ] wow she reads [ Phase-Connect ],2025-12-04T21:56:00Z,9737,1260,24
WDh78ynhnVE,"[ BIRTHDAY ] what a silly fox, this one [ Phase-Connect ]",2025-12-03T19:56:59Z,18280,2492,108
QFeVr4wWHdU,I'M GONNA KILL SANTA CLAUS cover by Tenma Maemi,2025-12-03T19:50:06Z,101429,12406,518
6-BJER1UuPI,[ OUTER WILDS ] I  see...... [ Phase-Connect ],2025-11-30T10:35:14Z,4156,219,6
aOjPOkM_-jQ,[ OUTER WILDS ] maemi scream [ Phase-Connect ],2025-11-29T20:55:21Z,4065,212,8
6MzZr5RQDg8,[ OUTER WILDS ] i met the fish nest... [ Phase-Connect ],2025-11-29T09:50:34Z,4234,263,9
SfkMZ9MXnyQ,[ OUTER WILDS SUPERCUT ] oh yeah its movie time [ Phase-Connect ],2025-11-27T06:45:06Z,10610,1037,56
Sfri7YbVsHs,[ IWBTG ] I WANNA BE THE FOX [ Phase-Connect ],2025-11-23T21:59:31Z,15682,1450,47
B80eFsFXjFg,[ BYE SWEET CAROLE ] Beautiful game!!!!!!!!!!!!!!!!!!! with a little bit of jank [ Phase-Connect ],2025-11-21T14:26:23Z,5851,726,7
JaaON4Ij57U,[ BYE SWEET CAROLE ] Disney but scary ?! [ Phase-Connect ],2025-11-20T23:53:18Z,8283,945,8
hmyOxTNN940,TECHNOLOGIA ! [ Phase-Connect ],2025-11-20T15:07:43Z,11413,1120,18
Xyy4BWCP_JQ,[ DISPATCH ] I HATE THIS GAME. plays game  [ Phase-Connect ],2025-11-17T15:31:19Z,29940,1604,111
5cTqnLHpbUY,「 RATATAN w/  @girldm    」WE ARE RATATAING !  [ Phase-Connect ],2025-11-16T21:44:06Z,9574,1116,9
GVBtuPt5jGs,[ DISPATCH ] inshallah it will get better . i trust  [ Phase-Connect ],2025-11-16T15:32:40Z,28391,1715,228
BtchYrqtq14,[ DISPATCH ] feeling very sad girl  but luckily big buff man on screen :D [ Phase-Connect ],2025-11-16T00:15:20Z,37330,2157,138
6wJ-tBjhafw,[ CONTENT WARNING COLLAB ] ready to become a [BIG SHOT] ????? [ Phase-Connect ],2025-11-12T23:26:06Z,12594,1323,19
xB9fDVx6QqI,[ KOTOR 2 ]  i HATE light side points  [ Phase-Connect ],2025-11-11T23:43:09Z,7483,827,11
CElnH36bJfQ,[ KOTOR 2 ]  fox lost in space [ Phase-Connect ],2025-11-11T00:41:48Z,12778,1481,21
bT9nhQOKc34,[ R.E.P.O. ] beeeg collabo [ Phase-Connect ],2025-11-08T04:53:05Z,8876,853,12
HY0m5OTAhKY,[ #MAEMINKTOBER REVIEW ] all these beautiful illustrations! [ Phase-Connect ],2025-11-01T21:50:28Z,9991,1106,27
YQuUTT--P98,[ RETURN OF THE OBRA DINN  ] now we can have a short stream :D  [Phase-Connect],2025-10-31T21:16:28Z,14445,1352,18
IiVo3cv4xD0,[ RETURN OF THE OBRA DINN  ] I am ruminating so hard right now [Phase-Connect],2025-10-30T20:22:59Z,8410,898,13
xO1zh2RbP48,[ Shaun of the dead & Zombieland WATCHALONG ] let's get cozy ! [ Phase-Connect ],2025-10-29T22:04:13Z,9223,1060,13
N5K0mTxfwqk,[ LITTLE NIGHTMARES 3 w/ @PipkinPippa  ] PIPIPIPIPMABALLS ! [ Phase-Connect ],2025-10-28T20:57:54Z,14241,1588,22
