id,title,publishedAt,viewCount,likeCount,commentCount
Af6f2McJHo0,【寿司バイト】闇が深そうな回転寿司でバイトはじめました【轟はじめ/ReGLOSS】The Sushi House,2025-12-13T12:27:19Z,107263,7230,83
qUlqziWkpSQ,ばんちょーハウス【轟はじめ】#vtuber #shorts,2025-12-10T08:01:15Z,472329,27767,564
9ZWwm8CF81g,【マイリトルパピー】天国で飼い主に会いに行こう【轟はじめ/ReGLOSS】,2025-12-09T15:40:45Z,102045,7228,127
Huj68Sl28B8,おしゃべりしよ~！！！【轟はじめ/ReGLOSS】,2025-12-06T11:14:54Z,85907,6728,115
GNSBZpXQS5k,カリスマックス/踊ってみた😎【轟はじめ】#shorts #vtuber,2025-12-05T08:00:21Z,606827,28422,352
mmCsST7nvXE,杏菜さんとコンコンダンス @kanzakianna36 【轟はじめ】 #shorts #vtuber #dance,2025-12-04T08:01:09Z,1496511,47120,266
bGIomVXcNTc,ごろごろばんちょー【轟はじめ】#vtuber #shorts,2025-12-02T08:00:48Z,333332,23460,481
m7A0sszknG8,【 ＃ホロのエアライダー】はしぇ！！【轟はじめ/ReGLOSS】,2025-11-30T14:11:37Z,55805,4553,76
wDTV5satCpE,【カービィのエアライダー】はじめてのエアライダー【轟はじめ/ReGLOSS】,2025-11-30T11:13:09Z,64217,4481,55
5CFoNylbYns,【Minecraft】稼ぎまくる！#ラムベガスグランドオープン【轟はじめ/ReGLOSS】,2025-11-29T11:09:16Z,46541,4504,61
8HOLkiueBwY,【スターセイヴァー】新星育成RPG！？いざ救援の旅へ！【轟はじめ/ReGLOSS】,2025-11-28T10:17:16Z,27830,2921,34
ThCqBb6q_qk,カリスマックス/踊ってみた【轟はじめ】#vtuber #shorts,2025-11-27T08:00:44Z,660891,39475,550
ayELl_GrHtU,【Minecraft】初心者がラムベガスになんかつくりたい！【轟はじめ/ReGLOSS】,2025-11-26T11:41:59Z,98047,6269,73
dBfWRGMimfE,めにしゅき♡ラッシュっしゅ/踊ってみた【轟はじめ】#vtuber #shorts,2025-11-26T08:01:00Z,360046,20018,344
Ba_9auKkpQs,振付師がビジネスバタ(ゆーり)踊ってみた🐱【轟はじめ】#shorts  #vtuber,2025-11-24T11:51:06Z,474166,16056,165
guJQrlMuvpE,振付師がビジネスバタ(ゆーり)踊ってみた【轟はじめ】#shorts  #vtuber,2025-11-22T08:00:57Z,399383,18281,217
FbY3jkUfZqI,【短め】ちょっと喋ろうよ【轟はじめ/ReGLOSS】,2025-11-21T12:55:17Z,57372,4858,137
RBB4VUAx0TE,あ〜れ〜【轟はじめ】 #shorts #vtuber,2025-11-20T08:00:36Z,489886,33888,820
3oY7-z9Je0I,【あつまれどうぶつの森】100連ガチャでパッチ捕獲【轟はじめ/ReGLOSS】,2025-11-19T14:23:11Z,78700,4949,129
eC0WpNXYqBw,マハラジャ・ハムパチーノll踊ってみた【轟はじめ】#vtuber  #shorts,2025-11-19T08:00:51Z,330006,22049,451
rzOYDAVC8io,【あつまれどうぶつの森】目指せ捕獲【轟はじめ/ReGLOSS】,2025-11-18T14:25:51Z,102999,6171,93
T04DbXl7cRI,ジャンプしてみて！【轟はじめ】 #shorts  #vtuber,2025-11-17T10:00:51Z,1368914,48562,409
UVo7rIpphUI,なんか語ろうよ【轟はじめ/ReGLOSS】,2025-11-16T11:13:15Z,115652,7890,92
1aq5UM2g3O4,【歌枠】アルバムでました！！【轟はじめ/ReGLOSS】,2025-11-15T15:24:23Z,71709,6478,92
SGXOy7pUeNI,IRISOUT/踊ってみた【轟はじめ】#vtuber #dance,2025-11-15T08:00:38Z,2171474,66794,451
g_rAaWqx_Lo,振付したルイ先輩のget lucky踊ってみた✨【轟はじめ】 #vtuber  #鷹嶺ルイ,2025-11-14T08:01:04Z,700971,27789,376
IWMhEFrUsLA,えだまめじゃないよ~【轟はじめ】#shorts  #vtuber,2025-11-11T08:00:30Z,984859,47850,789
1WR8iULjJNI,【おしゃべりキング】伝われ【轟はじめ/ReGLOSS】,2025-11-09T11:18:18Z,101128,6162,98
ZvIHKOCa4vo,【おしゃべりキング】おしゃべりばんちょー【轟はじめ/ReGLOSS】,2025-11-08T12:02:26Z,90667,6076,127
icFEmciEY8k,#HOWL みんなで踊ってみた【轟はじめ】 #vtuber,2025-11-07T08:00:56Z,4518106,133218,876
qRRcMaEvw1E,【ポケモンZA】クリア後の世界を遊んでいく！！#9【轟はじめ/ReGLOSS】,2025-11-04T16:11:39Z,73755,4083,63
-wp0M9D6e4M,【歌枠】楽しく歌う~！！【轟はじめ/ReGLOSS】,2025-11-02T16:20:22Z,133391,8809,121
4QJ3BxIOPf0,はやく帰りたいソング【轟はじめ】#vtuber #dance,2025-10-29T08:00:05Z,2357410,78863,536
ZigOYbnViuY,はやく帰りたい人へ【轟はじめ】#shorts #vtuber,2025-10-27T08:00:40Z,1194540,50311,483
L07ydDR6omA,【ポケモンZA】新作！Pokémon LEGENDS Z-Aで新しい冒険だ！#８【轟はじめ/ReGLOSS】,2025-10-26T16:39:00Z,122028,5154,83
