id,title,publishedAt,viewCount,likeCount,commentCount
YGF2ujwQTKo,いま寒すぎるけど雑談配信したらめっちゃ背中に汗かくよ,2025-12-13T14:23:49Z,93277,5432,86
ZQ6vi82TETg,【検証】練習帳をガチったら超悪筆でも美文字になる……のか？,2025-12-11T11:00:06Z,598350,31505,1376
p_j_OL03HsA,1年前に出題したクイズに答えてみよう！！【本間ノ葛也】,2025-11-11T12:00:07Z,920064,46029,857
-IxrakFp1bY,ﾊｰﾛﾊﾛﾊﾛﾊﾛ!! 今日は何の日かさっぱり分からないｳｨﾝねぇ……,2025-10-31T13:40:06Z,192732,7343,119
5jmyZxT35TI,【JK組で歌ってみた！】仮装狂騒曲【月ノ美兎 / 樋口楓 / 静凛】,2025-10-31T13:10:06Z,162309,12625,139
GxJ_j1MrTmw,【月ノ美兎のことを知りたい人へ】,2025-10-26T12:00:06Z,729053,36879,1314
DjMWnkxFJGA,美兎「のっち、都市伝説解体センターをやらないなんて―――　嘘だよ。」,2025-10-09T15:54:30Z,159875,5525,143
A9QZXJkvv8A,メルヘン肝試し、行って参ります【#マイクラ肝試し2025】,2025-10-05T07:06:02Z,81799,3751,25
Pqh7RYwgfT8,のっち「都市伝説解体センターをやらないなんて嘘だよな？ 」美兎「Perfumeコールドスリープって嘘だよな？」,2025-10-01T15:20:50Z,139691,4212,44
NNFMjsC0saA,全12問！にじさんじライバー部屋当てクイズ大会！！！！！,2025-09-28T14:00:06Z,1205697,44223,676
uYsObFvCKDk,誕生日は雑談をする　誕生日は逆凸もする　誕生日はすこし歌う,2025-09-24T14:59:19Z,361933,15691,205
LpycJx1COHg,のっち「都市伝説解体センターをやらないなんて嘘だよな？美兎   ～第四章～ 」,2025-09-14T13:21:48Z,137094,4401,53
80ULya7rbMU,のっち「都市伝説解体センターをやらないなんて嘘だよな？美兎   ～第三章～ 」,2025-09-06T06:57:15Z,166450,4958,68
JIRHtY9HXUw,のっち「都市伝説解体センターをやらないなんて嘘だよな？美兎   ～第二章～ 」,2025-08-28T15:41:42Z,195398,5999,79
GalZ_oLq5NA,のっち「都市伝説解体センターをやらないなんて嘘だよな？美兎」,2025-08-22T16:13:10Z,395076,11336,175
0YSq3AAVmkA,#恋星ペリコ おどった😍,2025-07-30T09:00:01Z,270665,15859,161
IHg4rFyPIbw,#恋星ペリコ 踊ってみた🌐💞,2025-07-29T09:00:20Z,379175,22139,205
ZA3hCdjFrxk,【MV】恋星ペリコ / 月ノ美兎,2025-07-28T09:00:06Z,226439,14983,465
4Ni2LRBLy6Y,#一旦ステイtonight 3Dスタジオがいっぱいでした,2025-07-23T09:00:10Z,1890748,109411,1447
2UK3H4pNsFI,【#みとらじ】ゲストは不破湊【帰りの馬車は】,2025-07-22T15:49:34Z,369013,15363,171
Mt87hlsNjDU,でも興味あるのよ！！！！【百cd融怪点】,2025-07-20T09:00:35Z,413203,22905,201
fYq6-iRbFFE,雑談と宣材写真が新しくなるよってハナシ！！,2025-07-18T14:26:18Z,213572,8120,122
5CPiAdSPruk,【わらしべ長者対決】にじさんじ内で物を交換しまくった結果…【VS 剣持刀也】後編,2025-07-16T13:00:06Z,1708906,76494,1717
vm6eFGAZmvM,百cd融怪点を踊ってみましたよ👻,2025-07-14T09:01:26Z,317060,16807,122
DqcvVwWZiv4,ライブ前に急遽入れた間奏ダンス【寝言は寝て言え】,2025-07-13T09:00:17Z,391292,17915,120
RMhrShYBEB4,【わらしべ長者対決】にじさんじ内で物を交換しまくれ！！【VS 剣持刀也】前編,2025-07-09T09:00:06Z,1945558,75032,1215
YDwQoRitnGE,相性×優勝ドロップスを踊ってみましたぞ,2025-07-04T10:59:15Z,1027420,59683,510
euQGnAUre-I,「寝言は寝て言え」100万再生突破ありがとうshorts #寝言は寝て言え,2025-07-01T09:01:04Z,311700,19634,155
90XgdfPvGxk,【歌枠】にじ３D新髪型でうたいますよん！！！【ウクレレもありま】,2025-06-25T14:25:47Z,221725,12621,294
SMS5TC-HRWE,秘宝館→秘宝館→ネモフィラのお花畑→秘宝館,2025-06-17T10:00:06Z,942065,36037,2589
VaCYAKIu_pk,楓ちゃんがわたくしの家に来たゾ,2025-06-09T15:11:38Z,399539,14178,136
ZGvqvkIhCFo,自分で自分のカスタムドールを作るぞ！【もう戻れない】,2025-05-30T13:30:06Z,1647040,70444,1841
k90Nv6HKUEc,【サロメ楓アンジュ美兎】予測不能！物理演算ハプニングゲーム【R.E.P.O.】,2025-05-12T15:01:38Z,220488,6478,55
TKI0mz6L9OY,🟩人筒GB (MVのわたくし) #人ってただの筒じゃないですか #人筒ダンス,2025-05-12T10:00:46Z,1167496,51967,152
45WcOuOxxIo,【#おえもりにじさんじ杯 】準決勝すすんだぞ～！　準決勝A：月ノ美兎視点,2025-05-11T11:50:15Z,186242,5671,49
XBUd1BTD-X4,【#おえもりにじさんじ杯 】わたくしが画伯　Aリーグ月ノ美兎視点,2025-05-11T03:57:15Z,187737,6023,72
B7rQUbpKk9w,なにも見ずにライチュウ描けるやつマジで0人説【ライチュウ凸】,2025-05-07T12:00:06Z,1281882,55061,1800
w2bXd7ExecY,一緒に踊ったよ！！！#人筒ダンス  #人ってただの筒じゃないですか,2025-05-04T10:34:48Z,1359414,60847,207
JNpaERL_Mok,🟩人筒GB（濃いめの緑） #人筒ダンス #人ってただの筒じゃないですか,2025-04-27T09:00:19Z,797087,35037,170
wY6Eu612qHE,#人筒ダンス ※住宅街には許可を取っています #人ってただの筒じゃないですか,2025-04-23T11:41:10Z,580147,30030,227
SK06wn1A7m4,#人筒ダンス #人ってただの筒じゃないですか ダンス部分抜粋ですよ！,2025-04-22T08:30:33Z,1274561,66120,375
sTnm1C292HE,おいおいおい……Paper Rabbitっていうソロライブがあってさぁ……それの話とかがいっぱいあってさぁ……,2025-04-21T14:30:20Z,153677,5999,122
skOU8kDB0Xw,【MV】人ってただの筒じゃないですか / 月ノ美兎,2025-04-21T13:00:06Z,3857130,84978,1618
nlEEkTwhKXI,前日、夜,2025-04-17T11:01:29Z,390553,27808,943
utyv6fqYn5s,スーパーエリート委員長によるスーパーエリート雑談,2025-04-15T14:16:50Z,243503,9493,104
Y4b-BQHjCXw,【お色気回】月ノ美兎、椎名唯華、笹木咲はおっさんになっても可愛い【てんやわんや、冬】,2025-04-15T12:01:02Z,829663,50746,1000
ec27VtVV-QQ,もし見てしまったら〇〇,2025-04-14T11:01:06Z,295891,19882,997
q3kkdbR8Iy8,なんか言うこと多くてムズいよなぁ！？グルーヴで乗り切るんだよぉ！！【みとらじギャラクティカのコール練習】,2025-04-13T09:37:36Z,489563,18017,88
3WVEJ0U7XSA,オンドゥルアビッシーは蘇生の黒魔術です【こころのアビッシー人間用振付】,2025-04-12T09:34:51Z,312899,14617,112
fmHREZ9kOZw,うーららわらって〜♪う〜ららないって〜♪【こころのアビッシー人間用振付】,2025-04-11T10:05:22Z,392978,21165,229
8ekO2Zba6gs,月ノ美兎、椎名唯華、笹木咲が再びおっさんに！？果たして元の姿に戻れるのか！？【てんやわんや、春】,2025-04-10T10:00:21Z,916519,57548,819
2mYgoknz3Jc,最後の動きは真似しないでください【ルナティックウォーズのコール練習】,2025-04-09T00:46:57Z,423942,18765,174
a_OFsvskhiY,【ナ・ゾ・ノ！】オリジナル曲『ルナティックウォーズ』【ツ・キ・ノ！】,2025-04-03T11:46:54Z,285705,12598,122
EgL4l0kJd-A,ルナティックウォーズ / 月ノ美兎【MV】,2025-04-01T11:00:06Z,857451,34967,1609
