id,title,publishedAt,viewCount,likeCount,commentCount
Wv-_Un8PaPY,【雑談＆お礼】改めまして、角巻わため復活！復活！！！【角巻わため/ホロライブ４期生】,2025-12-13T22:47:54Z,101068,9771,67
ioef7TBkGU8,パスタはどっち派？ ミートソース or ナポリタン【 #今日のわため 】 #shorts #hololive  #vtuber,2025-12-12T21:00:48Z,51573,5431,205
lJ5Pf58DAvU,【 R.E.P.O. 】#バカタレサーカスゲス侍 一体どうなる？！！【角巻わため/ホロライブ４期生】,2025-12-12T15:44:28Z,129767,7319,59
cp4XTajpt-g,「果物時計草」なんて読む？【 #今日のわため 】 #shorts #hololive  #vtuber,2025-12-11T21:01:00Z,99628,7719,218
wmQ1dDfHRJU,なんのことわざでしょうか？【 #今日のわため 】 #shorts #hololive  #vtuber,2025-12-10T21:01:16Z,65827,6043,195
GNCf84-P1K8,うなぎの旬って知ってる？【 #今日のわため 】 #shorts #hololive  #vtuber,2025-12-09T21:00:19Z,79745,7204,217
6wLli0ZevdA,1人deしりとりゲーム！料理名編【 #今日のわため 】 #shorts #hololive  #vtuber,2025-12-08T21:00:16Z,63593,5926,183
qMJTFXkX5S4,SNSはなんの略称か知ってる？【 #今日のわため 】 #shorts #hololive  #vtuber,2025-12-07T21:01:01Z,64739,6604,110
iqt_6wbVjM8,ウンタカダンス／踊ってみた！ #角巻わため #shorts #dance #hololive,2025-12-07T10:01:13Z,220468,14061,325
hiTsCd9u-UI,Q.半分にしてもなくならない数字は？【 #今日のわため 】 #shorts #hololive  #vtuber,2025-12-06T21:00:45Z,83852,6669,236
2JtwuU0qfO0,この羊は朝ごはんに何を食べてるでしょう？【 #今日のわため 】 #shorts #hololive  #vtuber,2025-12-05T21:00:09Z,60679,6356,264
kQrP7hM9v5s,1週間過ごすならどっち派？ 真夏の南国 or 真冬の北国【 #今日のわため 】 #shorts #hololive  #vtuber,2025-12-04T21:01:03Z,68815,5951,199
6x6cYaz1kmE,【 #ラムベガスグランドオープン 】お休み前に切り抜き鑑賞しよう！ - ラムベガス／LAMB VEGAS -【角巻わため/ホロライブ４期生】,2025-12-04T20:24:10Z,280707,11842,72
zmWhOYLp_so,【 MIMESIS 】仲間か！ムム...！貴様！なにやつ？！成敗！！！【角巻わため/ホロライブ４期生】,2025-12-04T12:44:54Z,190219,9770,59
Ld5iuTCIuF4,「howl」何の動物の英語オノマトペ？【 #今日のわため 】 #shorts #hololive  #vtuber,2025-12-03T21:00:34Z,68408,6024,188
Ul6jxcuBVbM,【 Pokémon LEGENDS Z-A 】ついにメインストーリー最終回！！！ #最終回【角巻わため/ホロライブ４期生】,2025-12-03T19:32:31Z,208725,7057,44
DBeiMkmMSG0,【最強の感謝】わために年末のご褒美？！楽天モバイルさんいいんですか！！！【角巻わため/ホロライブ４期生】,2025-12-03T11:10:05Z,77434,6984,44
oOYtpsd1xB8,【 Pokémon LEGENDS Z-A 】わためいと（オーダイル）と行くマイペース旅！ #8【角巻わため/ホロライブ４期生】,2025-12-02T21:03:06Z,291185,12095,71
Fm9PrNrVLzw,なんのことわざでしょうか？【 #今日のわため 】 #shorts #hololive  #vtuber,2025-12-02T21:00:16Z,73769,6224,155
dSpeGaQk9e0,【 Pokémon LEGENDS Z-A 】わためいと（オーダイル）と行くのんびり過ぎるかもしれない旅！ #7【角巻わため/ホロライブ４期生】,2025-12-01T21:19:37Z,291968,8876,38
PN8pUs9QbZI,ATMはなんの略称か知ってる？【 #今日のわため 】 #shorts #hololive  #vtuber,2025-12-01T21:00:34Z,70149,6973,143
EdrZbZieRRw,【 Minecraft 】ラムベガスで遊びつつ振り返り！！！- ラムベガス／LAMB VEGAS -【角巻わため/ホロライブ４期生】,2025-11-30T21:04:49Z,417193,15154,81
c0QtL8ekWdQ,「柳葉魚」なんて読む？【 #今日のわため 】 #shorts #hololive  #vtuber,2025-11-30T21:00:40Z,69691,6307,167
