id,title,publishedAt,viewCount,likeCount,commentCount
8KutgZt2Bpg,◈IRIS OUT◈ - Afterparty アフターパーティー【NIJISANJI EN | Ver Vermillion】,2025-12-14T04:01:38Z,0,12,3
rfgBal7FYUM,【POWERWASH SIMULATOR 2】 cleaning with friends (SATISFYING),2025-12-12T04:35:04Z,2964,338,3
6eDqmKRg1vI,【#XSOL3IL】 3RD ANNIVERSARY AFTER PARTY ZATSU!!! ❤️🩷💜【NIJISANJI EN | XSOLEIL】,2025-12-11T04:25:24Z,13828,1280,19
ciwe5zUVh7g,what's bro doing,2025-12-10T16:02:58Z,6960,1034,12
7TJMlZK5xAc,"real time work / study with me ☕ | No Music, Background Noise, Mechanical Keyboard Typing ASMR",2025-12-08T22:44:08Z,32194,2283,7
DgWYt66g81U,the babygirl of nijisanji,2025-12-08T14:00:19Z,6135,1071,17
dWZnpC9lJtg,【League of Legends】 I SUFFER FOR YOUR ENTERTAINMENT 🫵,2025-12-07T05:49:02Z,4174,491,6
2czNeqdoGT8,IRIS OUT / 米津玄師 歌ってみた【NIJISANJI EN | Ver Vermillion】,2025-12-14T02:00:06Z,3,784,246
6-dQ4B4jhcg,night dancer 🌃 #歌ってみた #nijisanji #にじさんじ,2025-12-06T13:00:22Z,49300,7832,160
RFBcmBfWY2Q,what do you mean kaelix,2025-12-05T14:00:52Z,19453,2787,23
SN4IuL_olEw,Hello! I'm Back! ♡,2025-12-05T04:27:52Z,3644,526,6
hziSeJe3SqM,doppi what 2,2025-12-03T14:01:23Z,12714,1428,6
QxYj5cQMyEU,I dated my cousin,2025-12-01T14:00:46Z,15921,2047,43
xgJGdSE39i8,1.5 HOUR ⏱️ Pomodoro 20/10 ☁️ Cozy ASMR | No Music | Mechanical Keyboard Typing | Study With Me,2025-12-01T13:31:07Z,6144,615,30
eSwMX_cypDY,スパークル ✨ Sparkle  #歌ってみた #nijisanji #にじさんじ,2025-11-29T13:01:27Z,116996,14985,350
APuurGQ79L4,"Wednesday Morning 3-HOUR WORK WITH ME  勉強配信! | Lofree Flow 2 Typing ASMR, Hyper Efficient, Lo-Fi",2025-11-26T18:20:53Z,4618,435,7
LZ9YrFQ_LSM,"【Radio Stream】 Solving Your ""WERE THEY FLIRTING???"" Stories 【NIJISANJI EN | Ver Vermillion】",2025-11-26T04:25:14Z,2802,368,7
I_QSEk0lM08,"Monday Morning 8-HOUR WORK WITH ME  勉強配信! | Lofree Flow 2 Typing ASMR, Hyper Efficient, Focus Music",2025-11-24T22:26:16Z,5954,565,4
udvKYj7_ek8,【POKÉMON LEGENDS: Z-A】 PAYING OFF DEBT LMAO T0T,2025-11-23T05:40:00Z,2099,294,5
ji6JxkNRWE8,"Friday Morning 8-HOUR WORK WITH ME! 勉強配信! | Keyboard ASMR, Hyper Efficient, Focus Music, Real Time",2025-11-21T22:09:59Z,5168,473,4
ZncII7QLAxI,【#にじ遊戯王祭2025】 How to Play Yu-Gi-Oh! 遊戯王の遊び方! 【YU-GI-OH! MASTER DUEL】,2025-11-21T04:43:14Z,9839,614,5
IVuG7V0xXgk,doppi what,2025-11-20T14:40:37Z,16998,1945,8
SBecC0Wtdw0,"Wednesday Morning 8-HOUR WORK WITH ME | Typing ASMR, Hyper Efficient, Focus Music, Office, Real Time",2025-11-19T23:30:23Z,11772,816,5
4svxEkYt7GU,【Radio Stream】 Was That Flirting or Am I Delulu? 💘 【NIJISANJI EN | Ver Vermillion】,2025-11-19T04:19:02Z,6366,548,7
EA8zhOnnCQk,"Monday Morning 8-HOUR WORK WITH ME | Typing ASMR, Hyper Efficient, Focus Music, Office, Real Time",2025-11-17T22:31:33Z,8487,751,5
6VxN_-mYV74,【POKÉMON LEGENDS: Z-A】 Road to Rank A!!!,2025-11-15T17:53:33Z,2854,367,3
yfFOxEOa3PU,【Devour】 GHOST HUNTING with THE BOYS (⚠️ I will scream like a baby),2025-11-15T04:39:49Z,4814,537,6
jrG3rCl4M0U,"Friday Morning 8-HOUR STUDY WITH ME | Typing ASMR, Hyper Efficient, Focus Music, Office, Real Time",2025-11-14T22:27:33Z,6750,612,5
SbMbfFOSkQg,【Mage Arena】 FY-AH-BALL 🔥🔥🔥,2025-11-14T04:03:36Z,2488,352,2
Pc9BY1ud8iQ,"Wednesday Morning 8-HOUR STUDY WITH ME | Typing ASMR, Hyper Efficient, Focus Music, Real Time",2025-11-12T22:35:42Z,8170,708,5
lDVPiI7wziQ,a cute game with a crazy twist,2025-11-12T14:01:19Z,1485,272,11
gZ-kQkt78NM,【OG SONG 100K CELEBRATION STREAM】 THANK YOU FOR HOLDING MY HAND!,2025-11-12T04:30:09Z,4315,735,8
CghfHy6U2ZQ,"Monday Morning 8-HOUR STUDY WITH ME | Keyboard Typing ASMR, Hyper Efficient, Focus Music, Real Time",2025-11-10T22:39:44Z,12178,997,5
t8TAa8fmduA,She needs WHAT?!,2025-11-10T14:01:37Z,16017,2310,11
RJJEd3UHH8A,Visiting my viewers Islands on Animal Crossing,2025-11-09T13:28:14Z,4565,525,6
NLnffFkAF3Q,"8-HOUR STUDY WITH ME | Keyboard Typing ASMR, Hyper Efficient, Focus Music, Office, Real Time",2025-11-07T22:28:33Z,10912,961,4
J6NcYy17dgg,the spell activates when you say it,2025-11-07T19:19:31Z,13636,1408,4
X8qBXV6kUL4,【POKÉMON LEGENDS: Z-A】 Is this Pokémon or Dark Souls...?,2025-11-07T04:51:56Z,1596,262,2
