id,title,publishedAt,viewCount,likeCount,commentCount
RnyyepkDrVU,【AFTER DEBUT TALK】VIOLETTA CALYTRIX 2.0 AFTER TALK!,2025-12-13T20:51:07Z,0,32,0
GYmuA986Nd4,VIOLETTA CALYTRIX 2.0 NEW OUTFIT REVEAL #VioEvolution,2025-12-13T15:46:04Z,4052,673,23
7YQfFWb9RM0,【GAMEJAM+ 2025】REVIEW GAME YANG DIBUAT OLEH DEVELOPER GAME ASAL INDONESIA!,2025-12-12T13:51:35Z,1389,133,3
TevEWgymCAQ,【FREETALK】4 DAYS TO 2.0 NEW OUTFIT REVEAL!!!,2025-12-09T17:26:37Z,1539,249,2
jaat2pj5ZDU,Violetta Calytrix New Outfit 2.0 Trailer #VioEvolution,2025-12-06T11:43:10Z,1530,139,24
1O-MvnsLtbo,Terimakasih atas semua dukungannya.,2025-12-05T14:00:34Z,4977,602,32
6wRbrbAwfjs,"【My Voice Zoo】AKU BIKIN KEBUN BINATANG, TAPI KOK YANG KEDENGERAN MALAH SUARA VIONEER!?",2025-12-03T03:10:11Z,962,133,4
pMAWJg_jEYQ,Game horror ini terlalu dibesar besarkan #shorts #vtuber #vtuberclips #vtuberindonesia #horrorgaming,2025-12-02T04:30:38Z,1526,180,8
BhoaQhXucc4,【Beauties and the Stranded Demo】TERJEBAK DI BUNKER BERSAMA 5 CEWEK CANTIK KOREA,2025-11-30T04:04:12Z,2538,216,7
hPqMmCoh0D0,【FREETALK】KANGEN KALIAN.....,2025-11-28T17:47:06Z,1939,254,2
qWAB6ULkbN4,【 Five Hearts Under One Roof 2 】MY KISAH DILEMAKU DENGAN 6 CEWEK KOREA,2025-11-24T18:33:55Z,11164,450,29
tPrD5JtMtYs,Mabar game gemes bareng vtuber 💜 #shorts #vtuber #vtuberindonesia,2025-11-21T04:47:40Z,7992,1023,11
RkQ0fAmbfuY,【 Five Hearts Under One Roof 2 】CINTAKU DIBAGI RATA UNTUK 6 CEWEK CANTIK DARI KOREA,2025-11-20T17:20:38Z,13530,453,38
9djhGeWgxHg,【FREETALK】SHARE PENGALAMAN CF21 YUK!,2025-11-18T17:00:19Z,1513,221,3
yv9QYMvjrgo,【TOTS RALLY】MAIN GAME GEMES BARENG YANG CANTIK & GEMES JUGA!✨,2025-11-17T14:37:21Z,1260,156,2
c3GUt4L54xk,【ORDER 13】KERJA SHIFT MALAM DI GUDANG PACKING AMAZON YANG ANGKER!,2025-11-13T15:34:49Z,901,110,4
wlnUv03uniY,【KARAOKE】KARAOKE PAKET MALAM LAGU-LAGU NOSTALGIA,2025-11-11T18:41:38Z,1585,194,6
ucEeAYYxVcE,【PROJECT CCTV】AKU JADI INTEL UNTUK MENYELIDIKI ANOMALI,2025-11-09T15:24:28Z,1553,217,2
uI-V6uqo2VQ,【RACKET RIVALS】JADI ATLET BULU TANGKIS TERHEBAT DI ROBLOX,2025-11-07T13:31:48Z,687,127,1
4x-AMmfAlnM,【DEMO ACTS OF BLOOD】GAME INDONESIA PERGELUTAN BARUDAK BANDUNG,2025-11-07T02:56:34Z,674,111,1
tTOW7tCbhAk,【KARAOKE】FRIDAY NIGHT CHILL SONG FOR YOU,2025-10-24T16:04:38Z,1203,141,4
2LRF9Lv8jrw,【REPO】BERTAHAN HIDUP DAN MEMULUNG BERSAMA VTUBER,2025-10-23T14:49:07Z,863,130,2
bv-FY69vrVE,"【Overcome Your Fears - Caretaker】JAGAIN RUMAH TEMEN SENDIRIAN, TAPI KOK ADA YANG ANEH YA?",2025-10-23T02:22:49Z,1108,134,5
cafDiOb69OM,【FREETALK】MENEMANI MALAM MINGGU KALIAN,2025-10-19T04:12:26Z,1149,162,4
WZGiiPGjAGA,【HACHISHAKU】GAME HORROR JEPANG YANG TERLALU DI BESAR BESARKAN,2025-10-15T15:41:57Z,3565,258,10
AqRz7kg-QRI,【MOUNT PRASTHANA】AKHIRNYA NAIK GUNUNG LAGI,2025-10-14T15:52:59Z,832,114,0
sjdCZQFOwAg,【HANDCAM】PERTAMA KALI BIKIN MINUMAN MATCHA,2025-10-04T03:38:59Z,1532,164,7
kortMtMCdNE,【 KARAOKE 】KARAOKE PAKET MALAM,2025-10-02T19:15:05Z,1286,180,2
bXPYjg35Vfc,【 Five Hearts Under One Roof 2 : DEMO 】DIBUAT BINGUNG SAMA 6 CEWEK CANTIK DARI KOREA,2025-10-02T03:39:07Z,7946,299,17
pUXzN2PRDq0,【MOBILE LEGENDS】AKHIRNYA MAIN GAME INI!!,2025-10-01T03:11:35Z,1193,155,12
WourS6G39HU,【FREE TALK】OBROLAN SANTAI SEBELUM HARI SENIN,2025-09-28T15:35:27Z,2510,275,10
Prv48kAhr8I,【SILENT HILL f】GAME PSYCHOLOGICAL HORROR YANG DITUNGGU TUNGGU DI TAHUN 2025 !!!,2025-09-27T14:39:20Z,1012,162,5
xE50vkoOwz8,【Jurnal Risa: Dark Destiny】GAME HORROR DARI KISAH NYATA TETEH RISA,2025-09-26T16:12:50Z,1239,150,14
tgTpTX5X03o,Game yg banyak pantangannya #shorts #horror #vtuber #vtuberclips #vtuberindonesia #horrorgaming,2025-09-21T06:56:18Z,3679,305,18
GHpReLgVs8g,【TIERLIST】MEDIA SHARE NOSTALGIA KHUSUS YANG TUWA DAN LEGEND,2025-09-20T16:02:33Z,1762,184,6
0nFoD964L84,【KARAOKE】MINGGU WAKTUNYA KARAOKE SANTAI,2025-09-14T15:12:32Z,1303,180,4
s-b0_3hII-s,【HANTURIUM DEMO】COBAIN DEMO GAME HORROR LOKAL YANG PENUH MISTERI,2025-09-14T02:04:16Z,841,146,13
L4g4IWDehcA,【Goddess of Victory: Nikke】GACHA WAIFU BUNNY GIRL 😍,2025-09-13T04:09:36Z,922,138,1
sREhM1qcqpc,Stalker ini banyak tingkahnya #shorts #vtuber #vtuberid #vtuberindonesia #vtuberclips #aggc,2025-09-12T05:01:02Z,3220,248,14
xpnJ_6FaRjM,Museum isi anomali #shorts #vtuber #vtuberclips #vtuberindonesia #aggc #vtuberid #horror #gaming,2025-09-09T10:05:17Z,3378,296,17
xHb3aihiY1k,SEMANGAT SENIN,2025-09-08T12:28:01Z,1223,220,4
eS2-oEOz3Qc,HAL BURUK AKAN TERJADI JIKA KAMU MENENGOK KE BELAKANG❗️【Don't Look Behind】,2025-09-07T23:32:12Z,943,142,5
wM3zedl9_lI,"NYANYI LAGU SANTAI, MARI KITA NYANTAI ~",2025-09-03T16:36:34Z,2075,253,3
NzCctzLMIKw,KEJADIAN MENGERIKAN DARI SEORANG VTUBER【PARASOCIAL / パラソーシャル】,2025-09-02T15:32:43Z,1293,156,4
PD-6-0FVrsk,【OBSESSED: NIGHT SHIFT】JUALAN NASI GORENG DIMALAM HARI TAPI KOK.....,2025-08-27T15:46:03Z,1597,192,7
J052-bZeER0,【KARAOKE】MENEMANI SORE KAMU DENGAN LAGU SANTAI,2025-08-26T13:27:41Z,1635,280,0
c54-lJ6J6Es,【PAMALI】MAIN GAME HORROR YANG KATANYA COBAAN TAPI DICOBAIN,2025-08-24T09:42:11Z,1519,241,6
JmE4EmODMDM,MENCARI PENAMPAKAN DI RUMAH BERHANTU JEPANG【Japan Stigmatized Property】,2025-08-22T02:15:35Z,890,147,1
vUfdU1iOssw,『 FREETALK 』Let's having a talk meow ~,2025-08-16T17:33:35Z,960,189,3
Kh1wKcbZu9w,『 Twisted Gallery 异馆 』Terjebak di museum seni yang aneh,2025-08-16T01:56:12Z,768,131,3
N5As6J8pfGw,CAN WE SURVIVE FROM ZOMBIE APOCALYPSE⁉️『 Whisper Mountain Outbreak 』,2025-08-13T17:19:16Z,1151,164,1
RkqSZ8kxtKQ,COBAIN NASI GORENG INSTANT PERTAMA KALI,2025-08-10T08:09:34Z,1861,283,4
UMmiea08BOs,【VUPECHAT】YUK KETEMUAN DAN NGOBROL BARENG AKU DAN @KariSharl ✨,2025-08-09T10:21:07Z,3437,456,5
t_Pu9-U1cws,【Animal Shelter 2】PLEASE ADOPT US MEOOWWWRRR ~ 😺🐶,2025-08-03T08:46:51Z,1087,188,1
aKR12KLysoA,【WHO'S AT THE DOOR】TAMU YANG DATANG KOK GINI YA!?,2025-08-03T03:22:54Z,1044,169,2
OQ_RJuAE7Yo,"【FREETALK】Hello, August! Please be good to me, okay?",2025-08-01T15:40:30Z,1044,184,5
cQmKzHHv9gk,【FREETALK】Sesi curhat sama aku yuk,2025-07-28T16:42:00Z,1112,183,3
ilKyZSFKRN4,【Golf With Your Friends】Main golf bareng CHAO.5 ⛳️🏌️‍♀️,2025-07-26T11:45:58Z,1268,183,1
Ud2jDaKHW8E,Freetalk santai sambil mancing di laut Jepang🎣,2025-07-24T19:33:56Z,1138,149,1
6o2KlyF_e2Q,"【Don't FOOL ME, Beauties!】GAME INI BAKAL BIKIN KAMU MIMPI INDAH + GIVEAWAY SPECIAL💕",2025-07-22T17:58:31Z,2767,266,5
