id,title,publishedAt,viewCount,likeCount,commentCount
ScvPAUAH_ag,KITA CS2 SAMPE DAPET CASE !,2025-10-02T14:49:30Z,416,54,1
mWOMPNpokn0,VALORANT RANKED HIGHLIGHT #2 by MENG,2025-09-05T02:00:44Z,104,14,2
OHKdvTJu3MI,【VALORANT】MAIN BARENG CIWI-CIWI PRO! w/ HALARA,2025-08-21T15:32:52Z,304,44,0
KJXCJxgs0HI,gatau mau ngapain w/ Keluarga Cemana,2025-07-31T19:52:32Z,273,40,0
z29Pe3ibRpc,VALORANT RANKED HIGHLIGHT #1 by MENG,2025-07-23T06:44:14Z,142,25,0
-6HN_1Q3iTE,NYOBAIN MMORPG LEGEND DULU BOS,2025-05-29T01:39:51Z,505,61,1
3xEuFieAF4Q,【PANICORE】INI GAME APA BJIR? w/​ @KariSharl @ViolettaCalytrix @ONShannon_ @KohAcukCh,2025-05-16T23:11:17Z,597,93,0
qi0ja35t5Ug,2 BULAN DI BDO DAPET 700 GS,2025-02-09T10:31:05Z,1239,117,5
JJBeYqQzY1w,NGAJARIN YANG LAIN CARA BOLOS?? #CHAO5CHOOL w/ @PinkuRimu,2025-01-25T01:31:01Z,2590,322,5
TjfZKlZ9nGQ,15K KILLS di BLACK DESERT ONLINE !,2025-01-03T16:01:22Z,453,72,2
mSCgOAKKWbQ,Grinding Setelah Natal,2024-12-26T13:08:16Z,514,86,2
jVNrLC3ChZU,CARA NGOMONG BAHASA JEPANG DENGAN MUDAH #vtuber #shorts,2024-11-24T04:42:47Z,8799,273,46
BD9eF_Wxs7s,HARI MINGGU HARUS PRODUKTIF!,2024-11-24T01:09:56Z,726,105,1
FKxBcaKcK6E,【DUSTY DERBY】AKHIRNYA BISA JADI BUTIRAN DEBU,2024-11-19T03:42:37Z,426,91,0
UB17rmmZCCE,【HONKAI : STAR RAIL】GACHA TANTE ACHERON !,2024-11-13T18:17:47Z,375,73,0
TAy1fN16K3s,【LIAR'S BAR】KAMU PEMBOHONK! w/ @ViolettaCalytrix @KariSharl @ONShannon_,2024-11-06T15:43:43Z,837,124,1
5BnCDvr1yXk,【COOKING SIMULATOR】LET ME COOK !,2024-10-28T00:50:39Z,432,89,0
EhLyyZMpCBo,【Metaphor: ReFantazio】UDAH FULL RILIS! [SPOILER ALERT],2024-10-12T15:13:34Z,428,91,0
jFtvyK3g-80,【VALORANT】DUO STRESS BERMAIN,2024-10-11T12:26:33Z,455,80,0
ERRrCvjsjkw,【MONSTER HUNTER : WORLD】BERMAIN BERSAMA GUILD MARAH-MARAH,2024-10-09T15:43:32Z,200,49,0
D5qmGMRYtK0,【Metaphor: ReFantazio】TAMATIN DEMO SEBELUM RILIS? [SPOILER ALERT],2024-10-09T14:31:06Z,260,57,0
EX0C0Bj53Wc,【PERSONA 3 RELOAD : Episode Aigis】BUKA 2 PINTU LAGI! (spoiler alert),2024-09-18T02:17:49Z,1009,142,0
