id,title,publishedAt,viewCount,likeCount,commentCount
yVkzRLQWHYY,【#HP麻雀杯】麻雀の大会に参加する男【夕刻ロベル/ホロスターズ】,2025-12-12T13:43:17Z,43852,1556,11
hDgE_lZ3sVI,【崩壊：スターレイル】Ver2.2　開拓クエスト『私たちの時代で』をやる男　その2【夕刻ロベル/ホロスターズ】,2025-12-11T17:05:06Z,31048,1299,20
zKkdajE1SA0,【崩壊：スターレイル】Ver2.2　開拓クエスト『私たちの時代で』をやる男【夕刻ロベル/ホロスターズ】,2025-12-11T15:42:57Z,77757,1647,8
CT23JfoKgg8,【雑談】17時くらいまで雑談する【夕刻ロベル/ホロスターズ】,2025-12-09T07:57:06Z,19208,1147,7
obRE-qxH5Bk,【崩壊：スターレイル】Ver2.1　開拓クエスト『鳩たちの中の猫』をやる男【夕刻ロベル/ホロスターズ】,2025-12-07T13:35:47Z,70199,1841,18
kyJLcXhZeOI,【#楽天カップ】『第11回 Rakuten esports cup』に出場する男【夕刻ロベル/ホロスターズ】,2025-12-06T14:25:16Z,26418,931,5
TMT3zPqgyp8,【崩壊：スターレイル】Ver2.1に行く前に2.0の同行クエや冒険クエをやるってのはどうだろう【夕刻ロベル/ホロスターズ】,2025-12-04T11:24:11Z,40144,1208,8
qeaBVyyXCYE,【Pokémon LEGENDS Z-A】DLC来るまでまったりとクリア後のポケモンを楽しむ【夕刻ロベル/ホロスターズ】,2025-12-03T10:38:35Z,19475,836,6
iGEhObr-Irc,【胃腸炎】胃腸炎【夕刻ロベル/ホロスターズ】,2025-12-01T06:08:20Z,31610,1740,23
yNjDp5k8dK8,【#ロベルないとめあ】もしかしたらマシュマロを読むかもしれないし、読まないかもしれない我々【夕刻ロベル/神楽めあ】,2025-11-25T13:42:13Z,89817,4009,95
nS7V0lVIsws,【崩壊：スターレイル】一旦、幕間クエストなどを失礼いたします【夕刻ロベル/ホロスターズ】,2025-11-25T09:02:02Z,34988,1167,7
pR7jaJvRw4g,【R.E.P.O.】スーパー店員たちによるR.E.P.O【夕刻ロベル/ホロスターズ】,2025-11-23T17:52:26Z,44724,1816,6
EyVwRG7jK7U,【崩壊：スターレイル】遂に俺は、、ピノコニーに行くんだ…！！【夕刻ロベル/ホロスターズ】,2025-11-22T14:54:14Z,97365,2146,25
x-9ZllJOLog,【崩壊：スターレイル】ピノコニー前までのPVとかを皆で一緒に見るぞ！【夕刻ロベル/ホロスターズ】,2025-11-19T08:06:47Z,67057,2246,52
YfDHY5oeUo4,【Pokémon LEGENDS Z-A】初見で挑む『Pokémon LEGENDS Z-A』　5日目【夕刻ロベル/ホロスターズ】,2025-11-18T11:23:23Z,24624,995,6
Kzuwmzqie3o,【崩壊：スターレイル】サブクエ回男の『崩壊：スターレイル』　10日目【夕刻ロベル/ホロスターズ】,2025-11-17T14:53:13Z,52797,1436,17
o1bcq5TATmo,【崩壊：スターレイル】本日もサブクエ回をお送りする男の『崩壊：スターレイル』　9日目【夕刻ロベル/ホロスターズ】,2025-11-14T16:03:34Z,49955,1385,15
UVQqGj3bhz8,【Pokémon LEGENDS Z-A】初見で挑む『Pokémon LEGENDS Z-A』　4日目【夕刻ロベル/ホロスターズ】,2025-11-12T13:01:32Z,32795,1117,5
wJ_IsTuBDHA,【崩壊：スターレイル】本日もサブクエ祭り男の『崩壊：スターレイル』　8日目【夕刻ロベル/ホロスターズ】,2025-11-11T14:03:35Z,45900,1351,8
dqmF8Rtanmo,【Pokémon LEGENDS Z-A】初見で挑む『Pokémon LEGENDS Z-A』　3日目【夕刻ロベル/ホロスターズ】,2025-11-10T12:57:21Z,33806,1212,5
I_e4lR0vWjo,【シャニソン】どうすんだよ、この可愛いユニットは【夕刻ロベル/ホロスターズ】,2025-11-10T05:03:27Z,43684,1663,38
v7DIn93UaGM,【崩壊：スターレイル】本日はサブクエ祭り男の『崩壊：スターレイル』　7日目【夕刻ロベル/ホロスターズ】,2025-11-07T13:45:18Z,54428,1533,17
p9t5yf651ro,【Pokémon LEGENDS Z-A】初見で挑む『Pokémon LEGENDS Z-A』　2日目【夕刻ロベル/ホロスターズ】,2025-11-06T14:27:50Z,42133,1422,8
yJdkqZN2ecE,【Pokémon LEGENDS Z-A】初見で挑む『Pokémon LEGENDS Z-A』　1日目【夕刻ロベル/ホロスターズ】,2025-11-05T12:55:15Z,38410,1467,5
GXNkHvijik8,【崩壊：スターレイル】羅浮に出てくるキャラ全員が魅力的だと思っている男の『崩壊：スターレイル』　6日目【夕刻ロベル/ホロスターズ】,2025-11-03T12:52:06Z,70363,1752,26
bw4YEAIMz10,【崩壊：スターレイル】2章に突入する男の『崩壊：スターレイル』　5日目【夕刻ロベル/ホロスターズ】,2025-11-01T13:22:09Z,57962,1582,15
jv0gMRMeKJw,【GTA5 MADTOWN】ようこそスーパーへ　最終日【夕刻ロベル/ホロスターズ】,2025-10-31T18:30:32Z,150829,3924,61
1D55Z0zUD-w,【GTA5 MADTOWN】本日もまたスーパー店員　17日目【夕刻ロベル/ホロスターズ】,2025-10-30T18:19:28Z,87054,2376,28
