id,title,publishedAt,viewCount,likeCount,commentCount
3n4dmRZ3L1s,【R.E.P.O】怪物から逃げながら珍妙メンツで宝探しするっ！【ホロライブ/癒月ちょこ/森中花咲/竜胆尊/兎咲ミミ/レグルシュ・ライオンハート/カワクラ】,2025-12-13T15:05:09Z,24490,3529,17
zERTtGZcb8Y,【Freetalk】深夜のゲリラ雑談📣 【ホロライブ/癒月ちょこ】,2025-12-11T17:25:17Z,56580,6029,25
p0npDHpXt9s,【NEXTGEAR】先輩はアキちょこ！転生したらコールセンタースタッフだった？！【ホロライブ】,2025-12-11T12:06:42Z,45005,5651,30
bdO-Qzh1PzA,【Dead by Daylight】深夜悪魔のゲリラDBD【ホロライブ/癒月ちょこ】,2025-12-04T18:54:06Z,50888,4702,26
VbkOPrOg3f8,【DeadbyDaylight】まったり雑談しながら深夜のゲリラDBD📣 【ホロライブ/癒月ちょこ】,2025-11-29T17:09:01Z,48665,5598,28
ndZRRxk2wE0,【Freetalk】深夜のゲリラ雑談📣 【ホロライブ/癒月ちょこ】,2025-11-20T16:38:48Z,45646,5211,42
vJmn91_GrAE,【恐怖耐性診断テスト】悪魔が挑むー。恐怖耐性診断テスト【ホロライブ/癒月ちょこ】,2025-11-11T18:37:51Z,37909,4842,28
swjMOhCaUCo,【Freetalk】深夜にゲリラ雑談📣 【ホロライブ/癒月ちょこ】,2025-11-04T17:59:08Z,45860,5118,33
NTksndf1hm0,【漫ぷくメシ！】愛園愛美様とサンジのピラフ再現してみる！ 【ホロライブ/癒月ちょこ/にじさんじ/愛園愛美】,2025-10-30T11:15:58Z,45246,4756,27
-dfJItMJWO4,【Freetalk】深夜にゲリラ雑談📣まったり悪魔と過ごしてみる？ 【ホロライブ/癒月ちょこ】,2025-10-25T19:54:22Z,53336,5596,37
8jVrpbDyojY,【異変踏切】日本一有名な踏切で何かがおこるらしい…。【ホロライブ/癒月ちょこ】,2025-10-20T17:29:31Z,37087,4518,23
jYLWPepVvGs,【凶寓 / Dread Flats】３日住むだけで150万円もらえる物件があるらしい…。【ホロライブ/癒月ちょこ】,2025-10-19T15:51:42Z,32117,4056,22
a_mDqa-wo8o,【重大告知あり！】マネちゃんとホロカ開封カメラ配信🌟エンチャントレガリア開封する！ 【ホロライブ/癒月ちょこ】,2025-10-15T11:19:52Z,78705,6269,26
gv_-_jFdJ80,【ちょこっとクッキング】かなあずとちょこっとクッキング📣 【ホロライブ/癒月ちょこ/天音かなた/AZKi】,2025-10-12T13:43:40Z,147195,11258,51
qXO2JCaFaHE,【Dead by Daylight】ゲリラDBD⚡悪魔のおいかけっこ始まる！【ホロライブ/癒月ちょこ】,2025-10-09T17:34:22Z,29513,3680,22
ulj1OiAU78c,【 案件 】新作ゲーム『ドラゴンボール ゲキシン スクアドラ』スバちょこるなたんでプレイする！！！【ホロライブ/癒月ちょこ】,2025-10-04T12:10:51Z,23663,3624,24
3kiaS62dJgc,【ニコニコさん】都市伝説の笑顔の男からの脱出ー。【ホロライブ/癒月ちょこ】,2025-10-01T16:18:40Z,21561,3490,25
j60VImzLjR4,『コンプレックスが意外と役に立った時💕』 アキちょこナイトパレット第7回 ～ホロライブ深夜ラジオ～【ホロライブ/癒月ちょこ/アキロゼ】,2025-09-29T15:13:30Z,24508,4185,29
FLiUNGiqDBs,【ノロイヅキ】ガラケーには謎の動画。ー25年前の事件が甦る。【ホロライブ/癒月ちょこ】,2025-09-25T11:30:29Z,38819,4567,23
YmsSXBH_jas,"【No, I'm not a Human】深夜の怪しい訪問者。-入れていいのは人間だけ。【ホロライブ/癒月ちょこ】",2025-09-20T17:34:14Z,74949,6628,33
lO-Nty8hmd4,【#ういちょこ】たこ焼き名人降臨🐙たこ焼きオフコラボっ！【ホロライブ/癒月ちょこ/しぐれうい】,2025-09-16T12:00:08Z,205066,13704,98
E6uw_uBlPaU,【禁足地 - 青鬼の窟 -】決して踏み入れてはならない禁忌の場所ー。クリア目指す！？【ホロライブ/癒月ちょこ】,2025-09-15T18:14:24Z,42012,4763,21
y2rc9Cx3CnY,【R.E.P.O】怪物から逃げながらホロメンと宝探しするっ！【ホロライブ/癒月ちょこ/アキロゼ/天音かなた/不知火フレア】,2025-09-15T14:16:57Z,46105,5191,19
zhwPoMIM-R8,【禁足地 - 青鬼の窟 -】決して踏み入れてはならない禁忌の場所ー。無事脱出なるか！？【ホロライブ/癒月ちょこ】,2025-09-08T18:10:21Z,29058,3646,18
lP_0zLNHww8,【禁足地 - 青鬼の窟 -】決して踏み入れてはならない禁忌の場所ー。悪魔なら大丈夫だよね？【ホロライブ/癒月ちょこ】,2025-09-07T18:25:24Z,46585,5206,25
BypGg9hEeyU,【#癒月ちょこ７周年】重大告知あり！７周年記念配信✨【ホロライブ/癒月ちょこ】,2025-09-04T12:05:56Z,81640,9892,90
MLIE_WnYu08,【Freetalk】悪魔の飯テロ注意📣 深夜の初めてのカップ焼きそば【ホロライブ/癒月ちょこ】,2025-09-02T17:59:59Z,43274,5602,33
nXuHM5NknY4,【Freetalk】飯テロ注意📣 深夜のまったり雑談【ホロライブ/癒月ちょこ】,2025-08-24T17:11:05Z,36706,4969,26
shL8Sxhiptc,【異世界シリーズ口裂け女VS青鬼】最恐ホラー👻クリア耐久!!!!!!!!!!!!【ホロライブ/癒月ちょこ】,2025-08-21T09:19:38Z,39751,5044,26
97hP3tew_6g,【異世界シリーズ口裂け女VS青鬼】最恐ホラー👻悪魔参戦させていただきます！【ホロライブ/癒月ちょこ】,2025-08-17T15:35:07Z,42820,4802,28
KOiYpFrlTG0,【バレずに夜ふかし】バレるかバレないかギリギリのスリル味わってみる？【ホロライブ/癒月ちょこ】,2025-08-14T16:44:37Z,32219,4029,27
_4j1q7CIAdU,【カメラあり！】マネちゃんとホロカ開封🌟キュリアユニバース開封する！ 【ホロライブ/癒月ちょこ】,2025-08-09T14:29:37Z,41130,4503,21
eNq_toN8n-c,【That's not my Neighbor】 ドッペルゲンガーを見破れ！化け物だらけのアパートの管理人になりました…。【ホロライブ/癒月ちょこ】,2025-08-07T15:24:20Z,18845,3355,23
u9XSZkxOUJo,【ちょこっとクッキング】べに様がちょこ家に?！愛情たっぷりオムライス作る！📣 【ホロライブ/癒月ちょこ/八雲べに】,2025-07-31T13:30:34Z,93664,7573,27
qYGvoM6umys,"【Dollmare】""静的な恐怖""が迫りくる不気味なおもちゃ工場ホラー！ 【ホロライブ/癒月ちょこ】",2025-07-31T02:12:21Z,41328,4640,28
6HbJFMZyZ44,【#ホロナツ歌枠リレー】滅びの熱い悪魔song響かせたいきもちっ！ 【ホロライブ/癒月ちょこ】,2025-07-25T13:42:35Z,136777,13726,58
pctVhYhXuRI,【ちょこっとクッキング】番長とまったり夜ご飯食べる📣 【ホロライブ/癒月ちょこ/轟はじめ】,2025-07-24T13:04:52Z,107398,8587,45
P7DQLXlOqn8,【Freetalk】真夜中のちょこっと雑談📣 【ホロライブ/癒月ちょこ】,2025-07-21T17:08:22Z,19781,2830,33
xZ6X86YfkDs,【Freetalk】深夜のちょこっと雑談📣 【ホロライブ/癒月ちょこ】,2025-07-13T17:39:01Z,28930,4037,25
_6Rq7jNo0QI,君のカメラで、最高の私を#holonatsuParadise #ホロナツpiece #shorts,2025-07-12T03:30:26Z,89692,10843,254
J4tMqcK5SR4,【Freetalk】寝坊助悪魔の奇跡の朝枠📣 【ホロライブ/癒月ちょこ】,2025-07-12T02:13:06Z,31330,4281,28
LqvPnXNfBdg,【録画はメン限】深夜の密会☎ASMR 【ホロライブ/癒月ちょこ】,2025-07-02T18:07:11Z,213656,11245,124
ZrmBFwmP8Cc,【Dead by Daylight】ゲリラDBD⚡１０億年ぶりの悪魔おいかけっこ始まる！【ホロライブ/癒月ちょこ】,2025-07-01T10:21:22Z,34749,4096,21
Hb9MprkI6Dc,【重大告知あり】癒月ちょこが新衣装お披露目するってよ📣 【ホロライブ/癒月ちょこ】,2025-06-29T10:20:40Z,130699,12325,72
-kGl4szP7Yc,【 呪巣 -怨ノ章-】最恐ホラー脱出ゲームプレイしてみる…。【ホロライブ/癒月ちょこ】,2025-06-23T17:28:53Z,45682,5211,32
kHN1KolAfd0,【 We Harvest Shadows】得体のしれない存在が、闇に紛れて彼に忍び寄る…農業ホラープレイ【ホロライブ/癒月ちょこ】,2025-06-19T06:51:19Z,59620,5882,27
XYOqNv4iWhw,【 つぐのひ -彁名縛りの部屋-】ただ進むだけ…。日常侵食リアルホラーゲームしてみる。【ホロライブ/癒月ちょこ】,2025-06-17T17:06:05Z,36609,5640,25
WmRu9E8wXE0,【Freetalk】悪魔の保健医のゲリラ集会のお時間です⏰【ホロライブ/癒月ちょこ】,2025-06-05T16:59:26Z,28753,3869,35
CDR6Plg3QJ8,【お披露目あり!】遅めの春休みからただいまっ！復帰雑談📣 【ホロライブ/癒月ちょこ】,2025-06-03T15:18:07Z,36425,4954,57
rXyeVpMws2s,【 #holoRUST】RUST最終日！最強カメラマン始動🎃【ホロライブ/癒月ちょこ】,2025-04-24T18:21:08Z,122728,7690,45
0lOSvxyevnc,【 #holoRUST】RUST4日目！かぼちゃ農業完成させる🎃【ホロライブ/癒月ちょこ】,2025-04-23T19:29:07Z,91362,6377,27
keFxnMCmB6M,【 #holoRUST】シオンとかぼちゃ畑つくる！3日目🎃【ホロライブ/癒月ちょこ】,2025-04-21T15:29:52Z,57094,4545,16
2NrZFhIuUug,【 #holoRUST】シオンとかぼちゃ畑つくる！3日目🎃【ホロライブ/癒月ちょこ】,2025-04-21T12:09:58Z,39142,3912,9
hsuzcu1bEjY,【 #holoRUST】かぼちゃ畑つくる！２日目🎃【ホロライブ/癒月ちょこ】,2025-04-20T18:15:08Z,85949,6249,12
GcLUmn7rkR8,【 #holoRUST】素材王、かぼちゃ農家になる！１日目🎃【ホロライブ/癒月ちょこ】,2025-04-19T21:13:55Z,144005,9186,15
YiTMocHWl-0,【 #ホロライブファーマーズ】悪魔ファーマー農業11日目!!!!!!!!!!!!【ホロライブ/癒月ちょこ】,2025-04-18T17:47:02Z,58841,5045,21
tP_ErEOYgOU,【#りっちしょこら】今回のゲストは紫咲シオン様⚡今宵もご堪能あれ！【ホロライブ/癒月ちょこ/鷹嶺ルイ/紫咲シオン】,2025-04-18T12:55:36Z,155242,12175,64
4cnvqeuJJSI,【#ちくまろ】ちくまろ探索隊！-UNDERWARD-【ホロライブ/癒月ちょこ/アキロゼ/ 本間ひまわり/ 八雲べに】,2025-04-17T13:26:46Z,37850,4158,13
5PHWyhl34Cg,【 #ホロライブファーマーズ】悪魔ファーマー農業10日目!!!!!!!!!!!!【ホロライブ/癒月ちょこ】,2025-04-15T19:21:35Z,90952,6467,26
-KwYm9innak,【 #ホロライブファーマーズ】悪魔ファーマー農業９日目!!!!!!!!!!!!【ホロライブ/癒月ちょこ】,2025-04-14T16:21:17Z,84614,6197,24
BSVoDjxVMcU,【 #ホロライブファーマーズ】悪魔ファーマー農業８日目!!!!!!!!!!!!【ホロライブ/癒月ちょこ】,2025-04-13T08:43:45Z,108954,7178,24
29Xh_T6jOZY,【 #ホロライブファーマーズ】悪魔ファーマー農業７日目!!!!!!!!!!!!【ホロライブ/癒月ちょこ】,2025-04-12T23:08:05Z,169612,9118,22
22SFJUStqkQ,【 #ホロライブファーマーズ】悪魔ファーマー農業6日目!!!!!!!!!!!!【ホロライブ/癒月ちょこ】,2025-04-11T18:17:10Z,76900,5426,23
qvrpl-ow24c,【カメラあり！】マネちゃんとホロカ開封🌟ブルーミングレディアンス開封する！ 【ホロライブ/癒月ちょこ】,2025-04-11T11:33:13Z,41294,4223,22
dZ-r1-wNnyY,【 #ホロライブファーマーズ】悪魔ファーマー農業５日目!!!!!!!!!!!!【ホロライブ/癒月ちょこ】,2025-04-10T19:33:40Z,126857,7974,31
