id,title,publishedAt,viewCount,likeCount,commentCount
NHj7Aiyyob4,I Would NOT Recommend Doing That...,2025-12-13T16:00:40Z,8792,1486,67
2XjOlt4yhsQ,A Fan Made Me This AWESOME Model!,2025-12-13T00:30:03Z,15547,2205,76
4LQp3Do4exc,I Blame the Texas Education System,2025-12-12T16:00:08Z,19730,2165,26
P3q8CYYWNAc,He's Gonna Have a Nice Nap,2025-12-11T16:00:45Z,18103,1969,18
FcHTQBBnzcw,Matara’s Debut TERRFIED Me!,2025-12-11T00:30:17Z,28651,2984,80
sgmA2kZKvCY,God You're So Old,2025-12-10T16:01:36Z,54877,4678,60
1C0SIoqhpO4,How to Properly Power Scale,2025-12-09T16:00:08Z,30183,2904,38
JPZnGWyQizo,Zentreya Is OBSESSED with Shadow!,2025-12-09T00:30:19Z,15519,1657,83
U24tZUt5R9Y,I Should Have Seen That Coming...,2025-12-08T16:00:59Z,30036,2833,37
gAGDxamNQeU,That's a Nice View,2025-12-07T16:01:08Z,74865,5610,84
jJzre9yN1Vo,Zen's Annoyed Face,2025-12-06T16:01:16Z,90419,6860,100
PJuMcHt1izI,Zen's New Mascot Gives Her CUTENESS AGGRESSION!,2025-12-06T00:30:25Z,20028,2209,114
YP3X4Ph0hTg,Making Silly Faces,2025-12-05T16:01:06Z,851378,42306,574
dkQQpCQIU10,Was That Too Much?,2025-12-04T16:01:04Z,55027,5502,239
oOMcomERgMA,How Do You Explain What a Vtuber Is?,2025-12-04T00:30:47Z,13561,1750,133
ghaJRHJBIzc,I'm Good,2025-12-03T16:01:12Z,41013,3053,30
ZSP1ySm0AyE,"Hey Texas Rangers, Need a Vtuber?",2025-12-02T16:01:02Z,31888,2716,63
XaD5FvNpWvI,General Zen Wants YOU to Join the Army,2025-12-02T00:30:28Z,31338,4573,564
ZZuz-dCit1I,END THAT GUY RIGHT NOW,2025-12-01T16:00:54Z,39429,3802,31
BU_PADxToxI,Don't Be a Stranger,2025-11-30T16:00:18Z,32023,3646,34
DjlTQzolH5I,Is Matara Ok?,2025-11-29T16:00:20Z,94410,6174,66
cfFWheColdM,Zen Has a Freudian Slip,2025-11-28T16:01:12Z,32892,2639,32
l315xE-fbYU,We've Come to a Decision,2025-11-27T16:01:17Z,66468,7247,108
tIrLAolwt4k,8 YEARS ANNIVERSARY : GENERAL ZENTREYA ARRIVES! + A WHOLE LOT!,2025-11-27T01:57:59Z,58546,3992,99
jEi_XD7kv3k,An Anthem In Blood - A General Zentreya Original Score,2025-11-26T21:01:02Z,29419,4596,223
NJDD0IKz8Bg,Admit That I'm a Gamer,2025-11-26T16:00:38Z,46951,4903,118
Hr6Gfg7zvQ0,Zen Gives Chat An Existential Crisis,2025-11-26T00:30:14Z,32365,3454,220
ImjxIIBAjbE,Zentreya Pulled Something Off,2025-11-25T16:00:26Z,31835,3250,33
fn-20wt5jdM,RETURN.,2025-11-24T18:39:23Z,15444,2059,132
ZRPrNghAhAM,"I'm Just Tired, Man",2025-11-24T16:01:06Z,38441,4038,31
HkSaGWj1gMk,Zen Is Bing Chilling,2025-11-23T16:00:22Z,33991,2880,46
MO-c3mmSIpM,Trust Fall Fail,2025-11-22T16:00:39Z,42440,4444,58
8A7QEGmR49Y,This Horror Game Mimics Our Voices and Pretends to Be Us?!,2025-11-22T00:30:08Z,24693,2214,51
RXMFb8hSraE,Zentreya Is SO FLEXIBLE!,2025-11-21T16:00:55Z,66871,7042,116
gdcJ3e_gars,Need to Get Through NNN?,2025-11-20T16:01:11Z,43795,4540,121
DCxtEzjvG-o,Zen Has the ULTIMATE Crashout,2025-11-19T16:00:21Z,117892,9220,140
YwkYYl88BH8,ITS ONLY UP FROM HERE! CHAOTIC DAY! ( PEAK COLLAB LATER w FRIENDS! ),2025-11-19T00:06:35Z,17703,1522,16
lipAchGXZpw,Stop Paying Attention to the DVD Logo!,2025-11-18T16:01:19Z,40698,4064,56
vvmNNTOLMdg,It's Not Zen's Fault They're So Huge! - Best of Zentreya,2025-11-18T00:30:50Z,67818,6929,176
BiNYSbrMDUE,Zentreya Shows Off the New Legs,2025-11-17T16:00:15Z,46656,4578,77
N3G4BCKpVW8,Listen to Zen's New Model,2025-11-16T16:00:39Z,126107,9338,129
0XgzvWqujh4,Zentreya’s New 3D Model Has INSANE Detail and RTX!,2025-11-16T00:30:02Z,52257,6414,300
fX6GWXX-Wwg,Does Zentreya Sound Like WatchMojo?,2025-11-15T16:00:59Z,38681,3380,34
bWPNiXoai0k,NEW 3D/4K CYBER ZENTREYA MODEL DEBUT!,2025-11-15T01:09:11Z,87553,5373,49
rbbucI_Fd2s,Zen Confesses Her Love?!,2025-11-14T16:01:32Z,35756,3506,42
FzpdYEnuSrg,Zen Likes Raw Men,2025-11-13T16:00:34Z,33655,3749,56
5CnhQ3850HE,Zentreya Confesses Her Love for Matara!,2025-11-13T00:30:08Z,34163,4220,79
jK4T0Gw0pXI,This Is NOT Looking Good,2025-11-12T16:01:11Z,29403,2898,42
PMnkp1jW6WM,There Goes My Hero,2025-11-11T16:00:41Z,28783,2924,32
2ogUAqMDu88,Zen Loves Making Cotton SCREAM!,2025-11-11T00:30:04Z,23379,2302,71
nyOPvpHwyUQ,Everything Was NOT Fine,2025-11-10T16:01:18Z,25308,2519,34
7FR_i76mzlw,Zentreya Cannot Control Herself,2025-11-09T16:00:10Z,57018,5932,161
SBHjgzktYdg,Zen Accidentally SMACKS Herself IRL,2025-11-08T16:00:46Z,48634,4490,46
zmDjTpgDwE0,NO ONE IS SAFE! - Best of Doom 3,2025-11-08T00:31:02Z,13176,1571,71
dCB2BHKNSV0,YOUTUBES FIRST M&G LIVESTREAM!,2025-11-07T20:10:46Z,16435,1669,31
g2GnfJxOH9w,Zen Pulled the Wrong Lever!,2025-11-07T16:01:07Z,31716,2718,23
rAM6MI_3SGU,Zen Breaks Another Game,2025-11-06T16:01:24Z,64708,5862,68
GQoMmAeQRuU,I Have the WORST Timing with Scary Games...,2025-11-05T16:00:32Z,39069,3332,30
uXi8DlqdWi8,"It Was an Accident, I Swear",2025-11-04T16:01:26Z,38099,3551,49
W2Q2hxkflc0,Zen Has Tongue Physics,2025-11-03T16:00:49Z,38029,4449,112
uWfrN8tD8AI,Zentreya Has an UwU Voice?!,2025-11-02T16:01:22Z,106610,8748,206
_4Me6SdxyB8,Chat Helps with Zen's Promo,2025-11-01T15:01:06Z,31949,3320,32
wMFS7DKefwU,HAPPY HALLOWEEN! 🎃,2025-10-31T21:57:33Z,36644,3285,23
nmj4lzoa3vM,That's Actually Crazy,2025-10-31T15:01:45Z,31769,2525,28
phT1Z1xncDo,Exploding Chat with My Mind,2025-10-30T15:01:38Z,53075,4470,57
rNbivMG5cg8,I Made Everyone Go Deaf,2025-10-30T15:01:38Z,32730,3163,65
olI0BYjFJ8Q,Eaten by Zentreya?!,2025-10-29T15:01:37Z,55181,5539,176
81FxWEOf6uA,When Life Gives You Lemons,2025-10-28T15:00:26Z,108258,6257,91
JgJNpGqOpyk,"1 Bear vs 4 Vtubers, WHO WILL WIN?",2025-10-27T16:00:36Z,21560,2039,39
_EwO7ghyAzM,"Well, That's Embarrassing for Me",2025-10-27T15:01:10Z,27008,2586,20
Waq-pDa9bIQ,Mom Thinks I'm Stupid,2025-10-26T15:00:56Z,42030,3943,36
xW60mF4NpsA,ANOTHER YOUTUBE STREAM! CHAOS TIME,2025-10-25T23:11:03Z,29015,2857,21
AVvJNGtWTOU,It's Not My Fault,2025-10-25T15:00:14Z,193903,14740,307
