id,title,publishedAt,viewCount,likeCount,commentCount
Epz0gQXi2zU,【 Mirror Stream 】#TheGameAWards ! I WANNA WATCH MY FAV GAME AWARDS SWEEP【 iofi / ホロライブ】,2025-12-12T04:49:52Z,26131,3236,30
2RxqF9xfC1M,【 Speedpaint 】Hatsune Miku for Colorful Stage 4th Anniversary,2025-12-10T15:33:05Z,2741,1019,51
iwEYFJ1yNLE,HATSUNE MIKU: COLORFUL STAGE! Celebration of 4 Years Together!,2025-12-09T14:12:18Z,10060,2260,12
FftAan4ts2g,【 Drawing 】Drawing The New Design Miku For 4th Anniversary,2025-12-08T18:29:43Z,23782,3956,24
D_aE2PJ29EA,Core Keeper World With KKC Members!,2025-12-07T16:48:14Z,16453,2981,20
1FAct_baNug,【Honor of Kings】Push Rank & Nyobain Capture Card Baru,2025-12-05T18:46:26Z,16839,2754,15
yqIbs6FCfnk,Cara cepat bikin background! #clipstudiopaint #ioLyfe #digitaldrawing,2025-12-05T13:01:51Z,19058,3462,64
4hIoiToI-ls,Core Keeper 24-hour Survive-A-Thon with ID Girls,2025-12-04T13:44:35Z,13047,2677,14
OFm7s7Yl28k,【Honor of Kings】Role Roulette! Siapa yang siap turun bintang sama aku?✋,2025-12-03T16:41:56Z,15948,2675,19
TCDt8_WjTe4,【Monster Hunter Wilds】260【 iofi / hololiveID 】,2025-12-03T12:04:22Z,21109,3226,15
p8Ux7GZOkSc,I had a great vacation! :D,2025-12-02T15:51:41Z,11860,2415,18
o_4uJ335w-Q,Gambar atau scroll fesnuk yh?  #hololiveindonesia #vtuberclips #virtualyoutuber,2025-11-27T12:51:50Z,32688,3408,59
GFFQWi_zbDY,Hair Highlight Tool in CSP!,2025-11-27T02:23:55Z,22825,3590,67
IvQ9I20dY44,【Phasmophobia】Eh?【 iofi / hololiveID 】,2025-11-24T12:22:24Z,20794,3655,21
bqQB5kNOlHA,【同時視聴 】#AZKiと未来へ ! Watch Along With ID Girls【 iofi / hololiveID 】,2025-11-19T12:00:28Z,40789,4467,22
NsshqzBBNEE,Blush Brush for CSP! Awh malu nih,2025-11-18T16:09:09Z,18663,2916,52
iiiyxdfCERQ,【RV There Yet?】NGENG NGENG SAMBIL NGUDUD【 iofi / hololiveID 】,2025-11-18T16:02:16Z,13675,2559,17
tRlG6pD4k2Q,【 #holoIDChromaticFuture 】OTSUKARE IOFORIA!【 iofi / hololiveID 】,2025-11-17T13:36:57Z,11090,2501,39
u-MdVDVsvRc,Cara pakai selection tool di Clip Studio Paint 👀 #clipstudiopaint,2025-11-12T16:00:06Z,16194,2363,52
bHuIloj_w2k,Yuk Coba CSP Auto Action!,2025-11-11T11:30:17Z,24831,3279,62
Fd9vR3lsQVg,【GONE Fishing】Gone Fishing and Friends Gone too【 iofi / hololiveID 】,2025-11-06T14:49:47Z,13522,2527,20
FX5Vxc5092c,【 Drawing 】MARI MENGGAMBAR MY KISAH-【 iofi / hololiveID 】,2025-11-03T16:03:16Z,18794,3134,21
KgjlSvH_Tdw,Just a fellow hunter farms aura,2025-11-02T10:55:24Z,13126,1798,33
BOVsp1Efdtc,【RV There Yet?】VROOM VROOOOOM【 iofi / hololiveID 】,2025-11-02T08:51:17Z,16699,2682,25
Fx5xOPcGZh0,【Monster Hunter Wilds】250【 iofi / hololiveID 】,2025-10-31T11:16:04Z,8201,1738,16
AhNXdduB8-k,Just a Karaoke【 iofi / hololiveID 】,2025-10-30T16:28:12Z,19342,3943,23
f1YcyCgeI44,【Monster Hunter Wilds】240【 iofi / hololiveID 】,2025-10-29T12:45:08Z,15022,2431,20
c7sUj2rg0Cg,【Monster Hunter Wilds】PUUUUUUSHHHHHHHH【 iofi / hololiveID 】,2025-10-28T18:28:56Z,18592,2938,18
1FUz2P8aRs0,Airani iofifteen Chromatic Future Speedpaint,2025-10-27T16:25:25Z,6193,1607,75
Qx8EHmo8PMk,【 Senin Produktif 】Drawing for Chromatic Future!【 iofi / hololiveID 】,2025-10-27T15:37:23Z,20314,3729,15
Sm2QkrIawFI,【Monster Hunter Wilds】PUSH RANK!【 iofi / hololiveID 】,2025-10-27T10:40:10Z,21876,3071,13
96UI_5yU4jA,【 Plate Up 】リオナと一緒にクリア目指そう！！！【 iofi / hololiveID 】,2025-10-25T09:59:58Z,26720,4136,25
V5GfPGLBJEc,【 Troublemaker 2: Beyond Dream 】Terakhir...Gak sih?【 iofi / hololiveID 】,2025-10-24T17:46:07Z,13472,2221,14
xJWT2ItO0oQ,【 Troublemaker 2: Beyond Dream 】LAST PART! YUK TAMAT NIH【 iofi / hololiveID 】,2025-10-22T16:49:32Z,13309,2434,11
gG4OE3tJI4I,Robin Honkai Star Rail Speedpaint,2025-10-20T16:05:01Z,9240,2282,113
voB3uHdrUhs,【 Senin Produktif 】Drawing Robin from Honkai Star Rail! 【 iofi / hololiveID 】,2025-10-20T15:36:25Z,16473,2938,19
-WVSaLY22OE,【Honor of Kings】Push Rank【 iofi / hololiveID 】,2025-10-18T12:45:26Z,15331,2527,16
