id,title,publishedAt,viewCount,likeCount,commentCount
KdRH4MGX6zc,Review Makanan HALAL Di JEPANG,2025-12-11T10:00:39Z,21088,1495,86
GyXMy9WixyM,gimana kalau kamu yang atur..? #shorts,2025-12-05T03:00:31Z,19154,1755,69
MMntFQbM0LQ,Cobain Lumpia Paling Enak Di Semarang 【24 Jam Di Semarang】,2025-12-04T10:00:41Z,20320,1631,167
zH-lvr6TSWU,surabaya beda dari kata orang..,2025-12-03T04:01:06Z,84015,3891,49
WR0vfHrkSsI,ayo kita bantu saudara kita di sumatera.. #shorts,2025-12-01T04:45:04Z,73141,5722,35
Ty_vjI8foi8,"ayam rendang, mie aceh, telur balado.. #shorts",2025-11-29T14:00:57Z,23232,1523,39
D98ZKTsImvA,🔴 MARI BANTU KORBAN BANJIR SUMATERA - PART 1/4,2025-11-28T12:42:10Z,6381,904,19
rXd7c-Lagf8,"24 Jam Diatur ChatGPT Di Surabaya, SUKSES atau GAGAL?",2025-11-27T10:01:29Z,34647,2425,193
ibPr-dlqfZU,"🔴 ALAMAK, Gimana Pendapat Kalian?",2025-11-22T11:28:11Z,4020,516,14
zZo7LYXFjA4,Alamak (VERSI JEPANG) - Rizky Febian & Adrian Khalif / GRXXX Cover,2025-11-22T10:00:06Z,23489,3858,183
C94ZQSixbAI,Alamak - Rizky Febian & Adrian Khalif / GRXXX Cover,2025-11-19T12:00:06Z,96503,11464,468
bBVEev_GFP8,lagu viral tiktok tapi versi jepang.. (everything sucks) #shorts,2025-11-13T06:00:29Z,36858,4110,74
DkHH08pE_x0,everything sucks (Japanese Version) / Cover By Akemi Nekomachi,2025-11-11T12:00:07Z,16118,2434,156
vXt1TwvrQmY,Aku Coba Hidup 24 Jam Diatur AI Di Jakarta Dan Ini Yang Terjadi!,2025-11-06T08:01:13Z,34770,2516,87
s-f0mawNAH4,kejebak di kereta bawah tanah jepang.. #shorts,2025-11-05T06:01:00Z,45929,2337,44
ENimek1YrOQ,tebak mobil.. #shorts,2025-11-04T06:00:16Z,63273,2699,46
7Yizp3uRltI,apa nama 2 makhluk ini..? #shorts #vtuber,2025-11-01T06:00:07Z,284940,7322,219
AonXqDhMQko,gimana rasanya pegang bulu babi..? #shorts,2025-10-30T06:00:14Z,239431,6646,97
bwuhnMarbP0,siapa yang keluar di pikiranmu..? #shorts,2025-10-28T06:00:39Z,123609,8852,474
NuTYDo7Rj4k,sabun rasa baru.. #shorts,2025-10-25T06:00:31Z,1817500,36808,569
54bamH7Nq3A,gimana supaya ga kagetan..? #shorts,2025-10-24T05:00:06Z,71017,4228,29
pxqOmUi6IJk,ada ga di bandara indonesia..? #shorts,2025-10-23T05:00:56Z,76217,3342,24
jEzbkXdvGhk,baygon rasa baru.. #shorts,2025-10-20T06:00:41Z,2223356,54320,647
z-PpM0Hysgc,cowo namain kucing.. #shorts,2025-10-18T05:01:06Z,405489,17639,151
ArSjktRD6y0,tugas memasak.. #shorts,2025-10-17T05:00:19Z,30866,2107,25
ZQVO6g45dmM,di sini seram si sana senang.. #shorts,2025-10-16T05:00:45Z,37261,2555,63
6eBmwYNRkzU,pengen minum dingin aja susah.. #shorts,2025-10-15T05:00:14Z,154372,8740,191
ekYZ66waCoE,bakat bawa keberuntungan.. #shorts,2025-10-13T05:00:44Z,110549,5849,59
YVlr8VFcFCs,ngajarin temen baru main minecraft.. #shorts,2025-10-11T05:00:38Z,111869,5818,43
HydHVs7cKq8,jangan pernah lakuin ini di jepang.. #shorts,2025-10-10T05:00:19Z,1063690,49304,194
UWWc9al4ImU,🔴 Apa Yang Terjadi Kalau 4 Cowok Masuk Ke Backroom? 【Inside The Backroom】,2025-10-09T14:34:48Z,5121,497,7
mRclNyOG4Lw,Apa Yang Terjadi Kalau 4 Cowok Disuruh Namain Anak Kucing?,2025-10-08T08:00:59Z,109756,4015,127
u8dw-6kS-KE,mau mah.. #shorts,2025-10-06T05:00:57Z,854607,26588,209
7z8CzzKb1_U,BERSAMA THE BOYS MENAMATKAN MINECRAFT,2025-10-05T11:40:09Z,6621,732,8
FhRuQTlBmpw,JANE DOE (Chainsaw Man) #shorts,2025-10-04T05:00:23Z,16552,2152,44
1BMWU0WDx2s,nasi padang kalo dijepangin.. #shorts,2025-10-03T05:00:01Z,42754,3798,60
gy-LFwq3dRo,akhirnya dunia ini bakal terjadi juga..,2025-10-02T05:00:44Z,35126,2592,36
z0aDSeP4v34,jangan sampe ketauan.. #shorts,2025-09-29T08:05:24Z,33364,4565,14
oydm2XsiLsE,APA YANG TERJADI PADA TUKANG P*K*L SETELAH LULUS SEKOLAH?【TROUBLEMAKER 2】,2025-09-28T20:24:14Z,3716,410,7
rn3Ve78DqyY,AKU PULANG KE INDONESIA【FREE TALK】,2025-09-27T12:37:21Z,3891,625,9
pQh3J3QzuJI,HAND REVEAL (IRL Stream Jepang),2025-09-21T08:40:18Z,22088,2947,65
Tc4LaXHoEDs,IRL STREAM JEPANG PERTAMA (maaf masih pemula),2025-09-14T08:19:42Z,10196,1584,41
kolvwt0HLng,alat ini jarang ada di dapur orang indonesia.. #shorts,2025-09-08T05:00:46Z,399981,17743,168
-gHHtfCQOQk,"Sebelum Ke Jepang, Ngobrol Dulu Yuk :3",2025-09-07T16:16:06Z,4150,695,12
ZAYmaEk1eHI,AYO MENDAKI GUNUNG DAUN YANG LAGI VIRAL!! Hari ke 3 Main ROBLOX,2025-09-04T15:25:09Z,7084,773,20
mmK98O3pznM,ayo naik gunung viral! #shorts,2025-09-04T05:15:03Z,149349,5428,116
1MmhJAvE4K0,AYO MENDAKI MOUNT SUNDA!! Hari ke 2 Main ROBLOX,2025-09-03T13:55:47Z,4015,604,10
6m_8UQTmijg,ayo mabar roblox mendaki gunung sunda..! #shorts,2025-09-03T05:01:09Z,90065,4564,110
1apT5mBUdW0,AYO MENDAKI MOUNT JAWA!!,2025-09-02T14:28:39Z,3234,542,4
k3cJ330cJZA,apa kamu crazy rich..? #shorts,2025-08-31T05:00:57Z,61330,3956,198
XiOpBh3uVvk,cosplay penjahat.. #shorts,2025-08-29T05:00:38Z,56518,4188,86
r_ViivJ8tqM,MENG-APEX BARENG @gingehenna & @MikazukiArion  【APEX LEGENDS】,2025-08-27T18:24:20Z,5587,1081,2
CMILzSZYBBg,Siapa Yang Bakal Jadi Beban? 😂【PEAK】,2025-08-26T15:33:51Z,5703,812,3
R1MDq3c8hBE,jokes tukang bangunan.. #shorts,2025-08-25T05:00:25Z,55496,3185,36
_45H7N_bBgc,7/7 Apa Yang Terjadi Kalau Kamu NgeGym Malam Hari?【The Night Gym】,2025-08-25T01:39:02Z,2577,422,7
aGGzIYAOCks,6/7 Pemb*n*h Ini Berdasarkan Kisah Nyata..【Tales Beyond The Tomb - Route 86】,2025-08-23T16:28:11Z,4081,655,12
5BVmWHZWpjs,pemb*n*h ini berdasarkan kisah nyata.. #shorts,2025-08-23T05:00:11Z,40086,2743,38
GIeTBz8SwYg,5/7 Aku Harus Jualan Nasi Goreng Untuk Mengobati Ibuku..【Obsessed : Night Shift】,2025-08-22T15:28:49Z,4494,624,15
zibXGnUgbRw,4/7 【FORGOTTEN VILLAGE OF GONDOMAYIT】Berkunjung Ke Desa ANGKER 💀,2025-08-22T01:29:59Z,1905,355,8
RNasUufBUqk,hati-hati dengan yang kamu takuti 😨 #shorts,2025-08-21T05:00:29Z,43795,4256,68
27IomwAItU4,3/7 【WHISPER MOUNTAIN OUTBREAK】Apakah Aku Bisa Selamat Dari Monster2 Ini??,2025-08-20T15:32:15Z,3496,501,6
1UuD15Geric,2/7 【Scary Game】Seberapa Seram Game Ini??,2025-08-19T13:21:49Z,2282,389,11
3lgS_WEldME,indomie indonesia vs amerika,2025-08-19T05:00:04Z,900100,34381,220
che7KiXrrOU,1/7 【Pikabuu: STOP!】CEPAT HENTIKAN Sebelum Semuanya Terlambat!!,2025-08-18T14:40:09Z,6456,1135,16
UijqGaOf3WQ,pengada ada aja adil atau nggak ya ga tau ⚖️,2025-08-18T05:00:27Z,38447,2861,40
Q5trk5ozUKM,youtuber VS vtuber 🤨,2025-08-16T05:00:33Z,48033,5237,68
xl54hmOw5HU,aku ga akan kabur lagi 😤,2025-08-15T05:00:57Z,46313,3992,78
D6aJTRgUn5I,kisah botol saos 🌶,2025-08-14T05:00:11Z,65800,4477,45
bAiqJUUi2oo,rela ga demi Rp327 miliar? 🤑,2025-08-12T05:00:42Z,101501,5149,167
XeC7nCwMRJM,perangkap 🪤,2025-08-11T05:00:38Z,863500,28781,160
Z867oFtvLUM,kisah roda ⭕️,2025-08-10T05:00:38Z,92125,6741,50
36565vwtsX0,anaknya yang mana? 🧒,2025-08-09T05:00:04Z,115185,6280,53
rjANc-SeUvQ,adopsi anak penyihir 🧙‍♀️,2025-08-08T05:01:00Z,55579,2865,49
RspXrjoUdZA,we listen we don't judge 🥰,2025-08-07T05:00:21Z,1767918,38846,145
XdYF3ZETzUc,matematika itu menyenangkan 💀,2025-08-06T05:00:26Z,1706357,54516,378
1pkkdqjjFa0,tes mata 👁👄👁,2025-08-05T05:00:06Z,230098,11828,52
t4th71k2GXc,tiramisu terbaik di jakarta 🍰😋,2025-08-04T05:00:54Z,113678,7228,28
XEcyOKQBu4g,me vs zombie 🧟‍♂️,2025-08-02T05:00:34Z,31901,2207,40
4Wrf7P9aKaY,gimana rasa babi? 🐷,2025-08-01T08:00:04Z,162814,7184,67
F2zkOL0NlBs,nyolong uang 💸,2025-07-30T08:40:00Z,123827,9490,132
AUkFZ0hz8KQ,cobain makanan paling mahal 😋,2025-07-29T08:40:00Z,34173,2151,28
6oMc19jwrz0,ketika barangmu hilang di kereta 😱,2025-07-22T17:00:17Z,56376,4854,71
