id,title,publishedAt,viewCount,likeCount,commentCount
DhpOHNpHwPM,【スーパーダンガンロンパ2】完全初見✨️帰ってきた！超高校級の天才錬金術師！！【にじさんじ／アンジュ・カトリーナ】,2025-12-13T16:12:27Z,107037,2903,52
Rs-M8W-d5Ks,【ミメシス】この中に一人、プレイヤーを模倣したAIがいる。 #ちちげやまいもと【にじさんじ／アンジュ視点/舞元啓介/葉山舞鈴/ニュイ・ソシエール】,2025-12-12T14:46:40Z,63091,1709,18
wsCJg1K1DVg,【DON'T SCREAM TOGETHER】さんばか VS 叫んだら即終了ホラゲ (マルチver.)【にじさんじ／アンジュ・カトリーナ視点/戌亥とこ/リゼ・ヘルエスタ】,2025-12-10T15:20:04Z,99722,3627,33
xMrwmzqqYm8,【R.E.P.O. 】にじホロで宝探しホラゲ💥アンちゃんのカッコイイとこ見せちゃお【にじさんじ/アンジュ・カトリーナ視点/戌亥とこ/宝鐘マリン/星街すいせい】,2025-12-08T13:21:42Z,122207,5008,33
hR7yp4eRSGE,【#にじホロエアライダー】にじさんじ×ホロライブ💥シティトライアルのチーム戦やるぞ！！！！【カービィのエアライダー┃にじさんじ／アンジュ・カトリーナ】,2025-12-07T13:45:35Z,104427,3702,29
-pk_Jz8uApc,目隠しホラゲ👻音だけを頼りに先へ進むぞ…！【Cling to Blindness 目隠し必須ホラー┃※ネタバレ含む┃にじさんじ／アンジュ・カトリーナ】,2025-12-03T15:38:22Z,172462,6791,181
IwNm0ZWJfSA,【🔴雑談】もう今年も終わるって本当ですか？😇【にじさんじ／アンジュ・カトリーナ】,2025-11-29T15:11:04Z,98320,2904,37
NNZFIsOs6MY,【逆転裁判2】#最終回！？ 続・第四話「さらば、逆転」2日目法廷パート👨‍⚖️真宵ちゃんを助けたい！けど…！【※ネタバレあり丨にじさんじ/アンジュ・カトリーナ】,2025-11-26T16:07:42Z,111228,2293,48
7W13g8QT5cs,【カービィのエアライダー】ラブリー・シティトライアル❤ #ラブリースクワッド【にじさんじ／アンジュ・カトリーナ視点／リゼ・ヘルエスタ／天開司／歌衣メイカ】,2025-11-25T14:47:03Z,91674,2509,32
sIlYEyDKhvo,【カービィのエアライダー】完全初見💫エアライドって何ですか！？【にじさんじ／アンジュ・カトリーナ】,2025-11-24T15:51:06Z,123739,3105,43
