id,title,publishedAt,viewCount,likeCount,commentCount
nTmUy2OLpnQ,【Pokémon LEGENDS Z-A】M次元ラッシュ!!  伝説のポケモンを探しにいくぞ～～！！！/ アステル,2025-12-11T15:02:42Z,4930,369,4
gXyoI6dkXvI,【Pokémon LEGENDS Z-A】M次元ラッシュ!!  なぁ... 俺たちって本当に幸せになれるんか...?/ アステル,2025-12-10T23:17:00Z,5048,412,2
ZwvNUDx9SmI,【Pokémon LEGENDS Z-A】M次元ラッシュ!!  ポケモンパワーーーーッ!!/ アステル,2025-12-10T08:30:53Z,6141,414,1
cUnA88-jmXY,【ARC Raiders】またーーーーりな / アステル,2025-12-09T10:35:01Z,5173,430,1
E5CbTtQtNlA,【デジモンストーリー タイムストレンジャー】⚠ネタバレ注意⚠ 待望のDLC第一弾が来たぞ‼ / アステル,2025-12-09T04:23:41Z,2818,287,5
DJJYe5BJA5s,【ARC Raiders】最強の男再び、 / アステル ふぇに男,2025-12-08T10:07:19Z,6990,531,2
XufZxqmejXM,【六周年記念 歌枠】新しく僕と、契約を結びませんか？ グッズ発表もあります  / アステル,2025-12-07T19:05:34Z,14469,1672,22
zIrjyexjRzk,【Rakuten esports cup】Stormlander とは  / アステル 獅子神レオナ ふぇに男 aco,2025-12-06T14:28:22Z,5542,457,3
4AW1OlmyoEA,【ARC Raiders】ここが、どんしゅー界隈ですか。 / アステル,2025-12-05T10:52:07Z,7644,572,6
v-rY5cRdZUc,【ARC Raiders】どんしゅーって言えば撃たれないんだよな？リュウジ、信じてるぞ / アステル 岸堂天真,2025-12-04T18:58:34Z,5836,579,6
5smLNl_Br5U,【雑談枠】雑談しながら途中でポケモン新情報を皆と見るゾ  / アステル,2025-12-03T03:41:45Z,2926,356,3
Hbu3z7JKDBU,【Pokémon LEGENDS Z-A】色違い図鑑完成への道 シン・最終回 ありがとう。/ アステル,2025-11-30T10:32:15Z,3920,341,4
Xu5Q8hR3EGo,【Pokémon LEGENDS Z-A】色違い図鑑完成への道 #6 最終回。私のZAはワニノコから始まりました。/ アステル,2025-11-29T09:44:01Z,7354,435,3
zY6Ipr6UTKc,【Pokémon LEGENDS Z-A】色違い図鑑完成への道 #5 DLCまであと12日 残り色違い8種 いいぺーーーす！...!?/ アステル,2025-11-28T06:28:37Z,4018,346,2
ci2p-ewuK2A,【Pokémon LEGENDS Z-A】色違い図鑑完成への道 #4 DLCまであと13日 残り色違い12種 いけるか...!?/ アステル,2025-11-27T09:42:29Z,4477,353,2
ZuIJPg0TQpU,【Pokémon LEGENDS Z-A】色違い図鑑完成への道 #3 チコリータ ワニノコ ヒトカゲ 色違い出すまで終われない/ アステル,2025-11-25T11:00:19Z,7722,440,3
TAAI1rMDa1w,【VALORANT】V最男組  / アステル 青桐エイト 小柳ロウ 酒寄颯馬 八神ツクモ,2025-11-21T17:30:01Z,9592,586,5
k-CdD2oXddU,【3D歌枠 / karaoke】3Dで歌います 金〇キラキラ金曜日ってこと...!?!?!?  / アステル,2025-11-21T11:52:50Z,14281,1680,29
11Jp0xo1Ivc,【Pokémon LEGENDS Z-A】色違い図鑑完成への道 #2 たぶん、ここが地獄です。てかｾﾞﾗｵﾗオイッゼラオラオイッ！！　/ アステル,2025-11-20T05:44:24Z,6687,527,6
ItsakDpcCiU,【Pokémon LEGENDS Z-A】色違い図鑑完成への道 #1 もうジジーロンに3日使ってます。早く進ませてください　/ アステル,2025-11-17T21:34:18Z,3419,357,2
VzzSvfc8k5c,【VALORANT】僕の席ここであってますか？  / アステル 緋月ゆい hNt,2025-11-15T14:28:01Z,5761,392,3
lGa8oqzCJ-Y,【V最振り返り→歌枠 / karaoke】しゃべってうたって踊り狂って〇ぬ  / アステル,2025-11-14T17:39:29Z,10736,797,6
MnkbirBwuJU,【VALORANT】僕の席ここであってますか？  / アステル aja³ Clutch³ rion³ rassya³,2025-11-13T18:18:20Z,9830,553,6
Ht_X-2QvT-U,【LTK Watch party】レギュラー最終日！みんなの成長を見守ります。 #LTK  #均衡の守人 / アステル,2025-11-12T15:22:13Z,21407,449,4
C9s-TDMLtj0,VTuber最協決定戦 Ver. VALORANT Act2 横揺れヤンキー  / アステル 紡木こかげ 白雪レイド 本間ひまわり ラプラス・ダークネス,2025-11-09T14:24:55Z,41361,1410,15
AS6T5_qh3hE,【VALORANT】最後の練習 VS TEAM4  / アステル 紡木こかげ 白雪レイド 本間ひまわり ツノガキ,2025-11-08T17:19:50Z,15250,606,8
g3Xk6q53gKo,【VALORANT】本スクリム開始 VS TEAM1  / アステル 紡木こかげ 白雪レイド 本間ひまわり ツノガキ,2025-11-07T18:17:21Z,9021,568,5
v7dZu8BGxYY,【VALORANT】本スクリム開始 VS TEAM8  / アステル 紡木こかげ 白雪レイド 本間ひまわり ツノガキ,2025-11-07T00:27:31Z,16819,759,3
6wUEuS2r5CQ,【VALORANT】本スクリム開始 VS TEAM3  / アステル 紡木こかげ 白雪レイド 本間ひまわり ツノガキ,2025-11-06T01:07:15Z,19736,859,5
