id,title,publishedAt,viewCount,likeCount,commentCount
Dn9J1oFEmmk,dirodok anomali,2025-12-13T15:17:28Z,11735,626,40
Rr6-LenWK4U,Mau bantu orang pun salah 🙂‍↕️,2025-12-09T10:00:30Z,323916,23750,2909
LWlELtAzSnY,Menyelidiki Ijazah Raja Jawa 🙂‍↕️,2025-12-08T16:42:02Z,20119,1015,79
UyKNddsHKpY,nyari tambler,2025-12-04T15:59:10Z,21536,899,48
ZSaO6Zy-YS0,lu pada ngapain dah🙂‍↕️,2025-12-04T10:00:59Z,432106,22734,2129
ast0ubH8FbA,akibat jangan takut deforestasi 💀,2025-11-29T11:30:04Z,280280,17903,3041
j57gZcawtMA,Gen Alpha Bakal Jadi Generasi Pengangguran 🙂‍↕️,2025-11-26T11:30:59Z,354913,20878,2327
rsv-PrtEZSE,gw benci anak kecil 💢,2025-11-24T14:43:17Z,17324,770,51
vLBoXkfF1tE,ini game ngejek gw 🥀,2025-11-22T14:59:30Z,17617,717,39
u_0S6aTjyGM,Komdigi ngapain lagi yaampun 😭,2025-11-22T09:30:39Z,243326,13324,1820
ht5FfPVxYvI,Polisi bebas main hakim sendiri? 🙂‍↕️,2025-11-19T09:30:33Z,251401,14753,2172
T5j-bTTx9OA,Biar ga keliatan kek negara gagal 🙂‍↕️,2025-11-16T03:00:38Z,510176,24068,1915
ZFpEhInzjDU,layar lu yang kebalik.. @ririnaruu,2025-11-15T14:41:07Z,14207,549,46
_dyP8xVzDaY,penampakan rumah anggota DPR sebelum dijarah,2025-11-14T14:48:04Z,25145,1118,45
JxxsCXFtLAg,this guy is a menace 💀,2025-11-13T10:15:10Z,512422,25665,3041
C0lEFyEDCgE,"katanya ""yang ga setuju berarti pki"" 🙂‍↕️",2025-11-11T09:00:26Z,307141,16559,1892
pbbW8pgPdBI,MEMINIMALISASI pembulian dengan 𝓷𝓸𝓷𝓬𝓱𝓪𝓵𝓪𝓷𝓽,2025-11-08T04:07:42Z,299659,19346,2007
DT1iteeoa4Y,MONSTER ETHANOL 😱😱,2025-11-06T14:55:56Z,22317,971,50
_wpyMx9_Yt4,kalo gw malu tuh 😅,2025-11-05T09:01:02Z,244758,13809,749
4Lk9DFsafJ8,🗣️ : bang kapan stream? @ririnaruu,2025-11-03T16:09:14Z,14080,655,24
eqY2TKJJQ8U,TAKOTTTT 😭😭😭,2025-11-02T09:30:21Z,186612,9839,304
oGR7S937xhQ,Halloween di pelosok Ngawi 🙂‍↕️,2025-11-02T09:07:16Z,238187,13019,1217
GJTczHtuy_8,makanan bergizi kicau mania 🤙,2025-11-01T03:00:29Z,333515,16590,1252
MJByZVZWlyI,keknya gw salah donlot uma musume 😅,2025-10-30T09:30:10Z,205171,11319,1051
Lql8AXisjgw,Apakah Orang Miskin Harus Malu? 🤔,2025-10-28T10:30:13Z,339769,18469,1574
aaUk0tSGvGs,"Ngutang Dulu, Yang Bayar Rakyat 🏃‍♀️💨",2025-10-25T10:30:00Z,293064,15038,1496
mwTD4cPcaY4,gweh lupa cara main nya gimana 😅,2025-10-24T14:53:20Z,26911,974,38
NnpDPJq5N6Q,Ditangkep Gara-Gara Repost Meme Bahlil 🥀,2025-10-22T10:00:42Z,365013,18408,1540
ZNg0kbMJuUQ,LIAT THUMBNAIL NYA AJA  UDAH MALES MAIN,2025-10-20T15:05:14Z,25115,1142,46
DQS31bxmsOs,Day 1 Merokok Di Sekolah 😎,2025-10-18T02:15:01Z,411264,20628,2452
22brF8mA5Kc,Ngajimu Kurang Jauh 🙂‍↕️,2025-10-16T13:00:05Z,399313,22934,4131
na9lagT84kw,Pls Komdigi Jangan Jadi Kominfo 😭,2025-10-15T10:01:13Z,294081,14339,1810
elOHLkA8RpE,KITA MENYELIDIKI KANTOR BGN @ririnaruu - Little Nightmare 3,2025-10-11T15:14:22Z,14763,650,19
_JJSRVB7_uc,"mampus dah, motor gw motor lama 🥀",2025-10-11T10:15:03Z,370307,16613,463
8-Y7uOqLe_8,Mentri ESDM Kita Bahlil Axlerod 🙌,2025-10-11T10:00:16Z,321074,17115,1937
gKFJCWdLCVQ,INIKAH MY................,2025-10-10T15:17:57Z,14882,702,21
w7MF3Vo_tDk,WOI ITUMAH BJIRKA 💢,2025-10-07T10:15:15Z,275694,13203,996
SZr1PAy2fT0,Silent Hill fufufafa 🗣️🔥🔥,2025-10-04T14:25:16Z,20638,949,62
xbguvQdYAWA,Pertamina Suka Main Api Loh Yaa 😅,2025-10-04T10:01:40Z,310134,16316,1909
kc-RA8iTCec,Gw Kerja di Perusahaan Monopoli Bensin Perta-,2025-10-02T14:27:10Z,17542,893,53
f0aU1GBqAyM,Kita Membuat Orang Yang Kanan Terkenal ❤️‍🩹,2025-10-01T09:15:05Z,405725,20196,1606
VG8P_T6uRGQ,BRISIK NYETT! 💢,2025-09-28T09:45:03Z,357897,17305,1057
