id,title,publishedAt,viewCount,likeCount,commentCount
hScQC1m86pQ,Melanjutkan mencari ending bersama Squad Guymerz sebelum turu,2025-12-04T03:53:27Z,924,143,1
X9-_n7rqZ7c,Sedikit pengumuman dan karaoke hehe,2025-12-02T15:49:19Z,3644,469,7
FHYWJuA0X9o,"Mencoba game tentang barang, makna, dan masa lalu",2025-11-30T04:25:32Z,701,132,3
p2n3Ke_vjvE,Karaoke soft spoken bindeng dikit ga ngaruh (lanjutan kemarin akibat bluskrin),2025-11-29T04:48:46Z,2090,298,5
HVnEOGX-y2A,Melanjutkan mencari ending bersama Squad Guymerz,2025-11-27T15:34:30Z,1000,149,2
RlQrCqsl2vk,Cecil kembali! Strim sebentar ajah yaah~,2025-11-27T02:15:47Z,1268,194,5
WsMzLGg-hJE,"Strim pagi ku makan lagi, dan dilanjut karaoke pagi",2025-11-09T09:27:25Z,6055,592,5
SWR6u1Cd1sM,#CeciLapar makan sate ayam sedkit ajah,2025-11-08T15:48:27Z,3071,358,5
KOdqKOfxw4I,Pemanasan pakai playlist lagu mellow Indonesia,2025-11-08T09:30:35Z,2974,409,2
-9Ubp3bU44Y,Lanjut progress sama Guymerz,2025-11-06T16:18:56Z,1182,165,3
cSWw7WXVqVY,Maaf anak kecil baru bisa join berkemah sama... @pingumoroll @ZeyaHaize @naplive7,2025-11-05T17:31:24Z,2729,352,4
QpmXkCd-ld0,Maukah kalian mukbang bersamakuu!?,2025-11-02T14:02:07Z,2271,283,3
hW8HBY_Kyog,Maukah kalian memberikan permen untuk anomali tahunan yang manis ini?,2025-11-01T05:21:24Z,2865,346,13
FeT6nKWfzn4,"Bentar ges baru bangun tidur hehe, download dan mabar Devour new map ama guymerz!",2025-10-31T03:32:38Z,1294,177,1
sLaxg2rj7q4,[ Ruang BK ] Konsultasi dengan jawaban cepat dan asbun!,2025-10-25T14:43:16Z,1799,245,2
jc0lTEZ-qlQ,(Baru) bangun tidur ku terus makan (terus) freetalk (terus) tinju,2025-10-25T06:16:31Z,2751,350,2
QvREmr8u8mw,Tadaima! Cecil kembali dengan jajan Famima sedikit ajah...,2025-10-24T17:14:01Z,2717,336,9
s2pP-q7Y1dg,Strim pagi (mood besar karaoke),2025-10-12T04:27:33Z,2467,316,4
FqXbE4E174g,Pemanasan doang buat nyanyi dan melepas stressszzzzz!!!!,2025-10-11T02:18:35Z,1384,205,3
S6yWJVV8vJU,Freetalk sore sebentar ajah sama si kecil,2025-10-05T23:22:20Z,2292,299,3
xLkVPn7FYDE,Random handcam tapi makan dulu,2025-10-05T15:37:21Z,2661,299,4
8DgmNFc_np0,Makan malam sedikit ajah (sama buka hadiah Cafe of Memories),2025-10-01T15:35:03Z,3054,355,5
RvFKd60zds8,Roblox Duo with Mbak @sarahsherlya !,2025-09-27T14:44:49Z,1686,224,3
Vl_j1e02cIY,Bangun tidur ku terus NYANYIII!!!,2025-09-27T07:15:02Z,3013,377,2
NDtPIFf2j70,Kembali! Atelier dengan 3D paling mantap turunan Series Resleriana,2025-09-26T14:13:00Z,1262,179,12
5CPUhoSBTu4,Menuju Vtuber Pintarrr (belajar apa hari ini?),2025-09-25T15:38:46Z,2063,288,4
JbdK6pS-OvQ,Ngemil Indomie dikit aja 4 bungkus 😋 #anakkos #vtuber #mukbang,2025-09-25T10:30:28Z,14772,1603,118
r3RAPQhG-4M,Makan malam sedikit ajah (baru mateng ges),2025-09-24T14:58:56Z,2189,262,14
MGhz6yc8qbc,POV Liaa di Mabar Roblox! w/ @yukitayokku @sarahsherlya @rexarcadia,2025-09-19T14:59:56Z,1532,187,1
VUKm5kt53DA,Strim sebentar ajah buat amboksing paket fangift! (terimakasih~),2025-09-19T05:17:10Z,1374,192,5
-FAK0CUd7xo,AKULAH SOSOK ASELI PREMAN MENAKUTKAN DI TROUBLEMAKER 2!,2025-09-18T15:14:55Z,2524,239,6
M04k4i3wFN0,Pendaki puncak komedi,2025-09-04T16:32:20Z,2401,288,4
4wAvazg6hpE,Geng Guymerz pemburu hantu! @rayrestufauzi @HeraGaraleaCh @andhikanug,2025-09-04T03:26:59Z,1543,216,7
gpa65cvsuyE,Ayo mendaki bersama Liaa Liberson si bocil Roblox!,2025-09-02T16:25:03Z,2659,349,7
E6D4Hiq6sZ8,Bocil kecil grinding di REPO! w/ @ThalitaSylvaine @VantaArissa @aikawamomoka,2025-08-31T15:18:41Z,1905,273,6
2WPCqe_gaG4,Main Dinkum sebentar ajah,2025-08-30T17:02:04Z,1485,224,3
XBDrLCl95xE,Strim pagi (kalau bangun),2025-08-30T05:12:10Z,4181,567,3
EXRa847c4Aw,Rencananya main santai sama Guymerz,2025-08-29T16:50:43Z,1802,227,1
gvx7ZU_nyGk,[ Ruang BK ] Merasa capek ketemu orang? Mungkin kamu harus jadi Anime (xixixi),2025-08-28T16:16:02Z,3066,358,4
6gg734ZqwW8,【 KARAOKE PLAYLIST 】Ku menangiiis...,2025-08-27T15:56:46Z,2109,316,6
gxEVwTPHjOk,Musim panas? Artinya pergi ke pantai~,2025-08-26T15:13:00Z,2829,386,7
qJQp44vff5k,Anak kos ini akhirnya makan normal?! #anakkos #vtuber #makanenak,2025-08-26T11:01:33Z,17981,2061,74
1oRjADQiGGc,UMAZING!!! KUDASYAT!!! AKULAH OGURI CAP!!!!,2025-08-25T15:51:37Z,1501,215,2
HAdzYK4Xzl8,Masak air ngicip nasi (cakep),2025-08-25T15:15:01Z,4425,476,2
CIlzFG05rvo,Bermain Roblox hehe,2025-08-23T18:05:22Z,2903,359,6
0jbas7PtlIM,Anak kos nyoba salad (suket) #anakkos #vtuber #handcam,2025-08-23T10:30:00Z,23956,2711,48
gbsmH8E1Mfo,Ngicip Game masak-masak? SEDAP!,2025-08-23T10:03:11Z,2139,350,7
