id,title,publishedAt,viewCount,likeCount,commentCount
3hQT1ljUgHs,Ngobrol + Radio mode,2025-11-30T15:41:05Z,21504,0,29
u7DSc1QLIv0,[Zenless Zone Zero V.2.4] Main Bangboo Chess,2025-11-30T11:45:10Z,8933,0,7
vgLa6SnjawU,Bakso Muncrat #vtuber #shorts #zzz #zenlesszonezero #dialyn #banyue,2025-11-25T11:01:57Z,11681,2033,176
5tBHSwZQx8w,[Zenless Zone Zero V.2.2] Si imut ga punya sepatu.,2025-09-07T13:33:38Z,19279,0,44
s25TgqqvZqI,Test stream di tempat baru,2025-09-06T11:48:24Z,16937,0,44
NBJpcVV2XO4,Si Kaki Telanjang #vtuber #shorts #zzzzero #zenlesszonezero #zzzspecialprogram,2025-09-03T14:56:02Z,17227,2574,244
EOwoikg51uI,[Mobile Legends] Ayuk kita ke honor~,2025-08-16T07:23:38Z,21274,0,75
56m6aNfMaJs,ngobrol,2025-07-26T15:06:55Z,34433,0,205
NIg2BYeA1e8,nyanyi,2025-05-09T16:50:54Z,120264,0,1072
LALxkt81gqo,[SEGA - Like a Dragon: Ishin!] Chop Chop,2023-05-14T03:30:08Z,26308,1222,426
QRaLsF3_3qQ,[World of Warships X hololive production] Mau denger Moona~,2023-05-11T15:50:55Z,90095,3359,1248
tahGPy76EVY,[SEGA - Like a Dragon: Ishin!] Om Yakuza main samurai. Cakep.,2023-05-10T16:29:22Z,13894,970,39
AhxJcS4yWrc,【Singing】 Haai,2023-03-27T17:16:50Z,30047,2057,162
ydJmmn-hWPI,MUKBANG harus abis @KariSharl @CeciliaLieberia,2023-03-05T15:51:37Z,23810,1416,0
6hYuO9O8KSs,"Kalo dikasih Rp 100.000, mereka bakal beliin aku apa?",2023-02-16T17:10:18Z,17933,1276,15
yz52zpnKirU,【VALENTINE SPECIAL】Teruntuk yang disayang:,2023-02-12T14:23:39Z,8989,721,37
c5HIBuNptCA,ASMR?,2023-02-02T16:25:43Z,25655,1395,41
rWlTaxQQf7E,REVIEW Outfit + Ngeramal - HAPPY HALLOWEEN!!,2023-01-31T16:43:03Z,8986,887,26
aQgr97iyVzM,【Singing】 Nyanyi ♫,2023-01-26T16:46:26Z,19064,1769,50
p1D8swwlgUA,Nyamar,2023-01-16T17:52:09Z,17853,1521,26
Frr-o_xTJeU,Boleh ga sih menjual teman?,2023-01-10T21:11:28Z,15222,1471,16
jejonypoiVI,Simulasi 31 Desember 2022 jam 23:00,2023-01-05T17:35:32Z,8629,871,15
w1LZWdVl-Es,Balap kelereng menentukan segalanya,2022-12-26T16:35:00Z,12681,1254,24
LFap_JNianY,kangen banget buset,2022-12-22T16:44:19Z,14717,1409,46
1UBue-lhbbQ,Tet tot teet~! Acara sekolah hari ini!,2022-11-29T16:52:44Z,11786,1107,19
L0dgx26bYdM,Taruhan 40 menit. Genshin BINGO,2022-11-24T16:06:31Z,7005,612,16
FF9NY2vyjk4,1 DAY 3 TIMES EAT: DINNER TALK! + MediaShare,2022-11-22T14:36:21Z,7050,731,0
Nd4SX2ebji0,1 DAY 3 TIMES EAT: LUNCH! Nyobain Natto dan liat hasil fruit sandwich.,2022-11-22T07:06:43Z,5745,649,11
agc2_uguQ-I,1 DAY 3 TIMES EAT: Breakfast! dan bikin kue buat makan siang.,2022-11-22T02:02:31Z,7005,757,10
QqQRQUgqtrk,【Singing】Indie Self-healing Playlist ♫,2022-10-29T16:38:25Z,16767,1431,40
