id,title,publishedAt,viewCount,likeCount,commentCount
xtCVocvuj2A,【ARBITER STUDIO x NIJISANJI EN】I got a keyboard! | ARC 65 8K HE,2025-12-06T04:24:41Z,9166,1181,6
1MPl4ttRA0c,【APEX LEGENDS】chopcon practice,2025-12-03T07:57:25Z,7484,638,4
EJhJ3L5kdIQ,【VALORANT】DINNER MENTAL RESET LETS GOOOOOO,2025-11-30T15:12:05Z,11970,842,6
e22Mw-eLslo,【VALORANT】post nap grind session,2025-11-30T11:24:04Z,8404,717,3
Hr5CBGckHYM,【VALORANT】i overslept again,2025-11-29T07:42:05Z,13449,897,10
cSfyY7i6gNE,【OVERWATCH 2】requiem except it's just me and vanta,2025-11-27T12:06:45Z,5120,513,4
hsj9hxV3kNA,【STREET FIGHTER 6】haven't played since august,2025-11-26T23:21:21Z,8399,787,3
IBEYGW-R2kk,【VALORANT】i have a dinner at 6,2025-11-26T08:10:08Z,14778,871,4
ImqfuOhBWhA,【idk】i do something,2025-11-26T05:09:06Z,6184,734,5
-JJaCsUdFTg,【APEX LEGENDS】point n click game,2025-11-24T16:04:50Z,9847,808,4
bruO7KQh8Ig,【雑談】feelin da vibe 2day,2025-11-24T12:15:34Z,22341,1156,9
AWRTjHSbCwg,【VALORANT】green mode pls,2025-11-22T08:17:13Z,17354,997,8
0XtqMe2MHFc,【RV THERE YET】krisisis road trip,2025-11-19T09:52:11Z,21870,1466,25
wvGedfZ45ME,【VALORANT】oya oya,2025-11-18T11:39:10Z,17025,1071,4
vt7Q3KF1KMI,【VALORANT】OFF SEASON PRO CUSTOMS (NIHONGO DEKINAI!!!!!),2025-11-16T18:26:19Z,29791,1642,9
RY_ppWDTxOI,【雑談】and that was 3D :],2025-11-15T05:29:38Z,21701,2233,16
-baBxRWB6qA,【#CLAWMARK3D】THE THIRD DIMENSION【NIJISANJI EN | Claude Clawmark】,2025-11-15T04:06:32Z,153339,15616,341
EyG0Sn6clkA,【雑談】And After 2 Years He's Done It,2025-11-11T02:11:21Z,13626,1630,47
2Rs9wqODZYw,【VALORANT】hopcon in tokyo【NIJISANJI EN | Claude Clawmark】,2025-11-08T19:23:18Z,18900,1207,7
yOuDNnzlH7I,【VALORANT】TGS VALORANT CUP DAY 2【NIJISANJI EN | Claude Clawmark】,2025-11-02T17:40:49Z,24846,1501,7
U5FvnP_BH3E,【VALORANT】TGS VALORANT CUP DAY 1【NIJISANJI EN | Claude Clawmark】,2025-11-01T16:16:58Z,25111,1566,22
R0n8s8TQS1E,【VALORANT】team prac【NIJISANJI EN | Claude Clawmark】,2025-10-29T09:44:36Z,20963,1419,11
B8IhQJkGHFI,it's been a bit hi :],2025-10-27T04:53:00Z,13423,1472,25
CLQ7_mr3rIQ,【DAM KARAOKE歌枠】the purple guy(s),2025-10-19T06:19:17Z,70480,7079,84
tQQ37HP2lwI,quick catch up zatsu,2025-09-07T20:52:13Z,14683,1329,35
ZzXqPhbIaVI,【VALORANT】whaaaaat【NIJISANJI EN | Claude Clawmark】,2025-09-06T05:35:31Z,19311,1205,10
rzMWa8wTkeQ,【FFXIV】one last daily to rule them all,2025-08-31T06:25:48Z,5779,539,8
VN3zFCmh8ts,gun game to keep the brain stable,2025-08-30T08:45:22Z,7374,731,8
BX3wvnedX2Q,【OVERWATCH 2】OOMFS,2025-08-29T12:10:19Z,12927,938,5
iS_HvmX_Eq8,【FFXIV】dailies (again) (2),2025-08-29T08:29:00Z,5831,556,3
6yGOY2H0IjA,【OVERWATCH 2】LATE NIGHT STADIUM?,2025-08-27T20:16:31Z,9904,888,6
t88BmwPgzSM,【FFXIV】last minute dailies between packing,2025-08-27T09:04:15Z,6353,630,5
5XYIzUpBNQk,【NEW OUTFIT】claude from streets,2025-08-23T03:01:56Z,51085,5648,63
iXCYAPZoShg,【APEX LEGENDS】haven't touched new season【NIJISANJI EN | Claude Clawmark】,2025-08-21T06:51:24Z,10213,737,5
12ncwrEwbhU,【FFXIV】i was told to log in【NIJISANJI EN | Claude Clawmark】,2025-08-21T03:43:40Z,8728,785,1
jKfuWnDwxiU,【STREET FIGHTER 6】sani's arcade pt2【NIJISANJI EN | Claude Clawmark】,2025-08-18T06:07:32Z,11860,779,3
9B0G9llolQE,my isp wants me DEAD,2025-08-15T02:59:03Z,14301,1043,9
P_eJv0VD6AU,【FORTNITE】new season pulled me back in【NIJISANJI EN | Claude Clawmark】,2025-08-14T23:23:11Z,5896,645,7
Amidr524c4M,【GTFO】So We Back In The Mine【NIJISANJI EN | Claude Clawmark】,2025-08-11T22:27:59Z,11471,894,8
yO8hu7ZyTM8,【STREET FIGHTER 6】everyone's hopping on【NIJISANJI EN | Claude Clawmark】,2025-08-10T06:38:34Z,13623,931,5
ipmul_tpXcY,【VALORANT】been a lil bit【NIJISANJI EN | Claude Clawmark】,2025-08-10T03:11:17Z,19112,1186,8
FQ9NIkJVNKg,catch up,2025-08-06T04:44:59Z,11136,966,18
bvOkqbPLfAU,【COD:WARZONE】cod tournament???【NIJISANJI EN | Claude Clawmark】,2025-08-04T23:23:20Z,15217,1121,9
if2DnxJSsFw,one last talk for da week,2025-07-30T05:29:44Z,8766,816,21
kXoRA_CN7xE,lunges of longinus,2025-07-30T03:17:41Z,8138,639,3
Z29WQL-5D40,gm morning,2025-07-28T18:30:58Z,12698,1225,8
PaxH1ImEOVw,gun game,2025-07-28T07:26:07Z,6101,628,5
Fnnn_1fEI5M,【VALORANT】still rusty tho【NIJISANJI EN | Claude Clawmark】,2025-07-26T07:17:41Z,18694,1196,10
IXrf39qXqjg,no more spending on skins...,2025-07-25T13:00:37Z,55098,5907,35
XMlRBrwTS_E,"【ELDEN RING NIGHTREIGN】night lord, lord of the night【NIJISANJI EN | Claude Clawmark】",2025-07-25T07:06:40Z,10752,859,5
P3JRdhqOhWI,thank u o'generous random mechanic,2025-07-24T13:00:46Z,50169,6448,38
s-t6r1WuTNw,【APEX LEGENDS】return of chop【NIJISANJI EN | Claude Clawmark】,2025-07-24T04:12:00Z,7534,649,5
oEHRhiZX4MM,mechanics want an arm and a leg...,2025-07-23T13:01:35Z,15577,1496,8
kibyimz1Vyo,maybe i should just buy my own tools,2025-07-22T13:01:31Z,24459,2611,16
qyYdqMSxBck,【PEAK】cap. as in peak.【NIJISANJI EN | Claude Clawmark】,2025-07-21T20:56:48Z,24805,1628,28
cgTqNg5XQMQ,The Satono Diamond Incident of July 2025,2025-07-21T13:01:14Z,21701,2770,43
20XHsP7zsss,late night paperwork,2025-07-20T09:52:50Z,13152,1273,13
5_bXWnHub94,【DATE EVERYTHING】this is my VA paradise【NIJISANJI EN | Claude Clawmark】,2025-07-20T02:07:16Z,29243,2036,22
XdAR6AfBmxI,【VALORANT】californian friday if you will【NIJISANJI EN | Claude Clawmark】,2025-07-19T05:44:28Z,18566,1201,11
qNixVGaEgJg,【DELTA FORCE】extraction idk whatever ryoma says【NIJISANJI EN | Claude Clawmark】,2025-07-17T06:44:41Z,8786,692,5
LsGV7xw8koA,【Umamusume Pretty Derby】kitasan.【NIJISANJI EN | Claude Clawmark】,2025-07-17T00:28:12Z,11505,865,11
IzP7EOrxRKc,【UMAMUSUME PRETTY DERBY】THE HARU URARA EXPERIENCE【NIJISANJI EN | Claude Clawmark】,2025-07-14T04:48:21Z,9646,722,10
k1Gx9KYbmBk,how do i use my mouse again (COD),2025-07-14T00:04:14Z,7360,788,4
Idf_RNL0a1g,【UMAMUSUME PRETTY DERBY】HORSE.【NIJISANJI EN | Claude Clawmark】,2025-07-13T05:43:59Z,13063,1166,10
vSC08g6XB30,im back,2025-07-11T04:39:12Z,10078,1107,12
hNi_-RQ-2nU,saying hi then turning to dust again,2025-07-04T04:02:39Z,14728,1461,26
t-XVdBW8Zqo,bath stream real(?),2025-06-27T14:29:38Z,27995,3504,39
45Et8uxT1GQ,not like the other girls tbh,2025-06-26T13:00:06Z,38389,3896,22
v4uQj7ORpuI,academic weapon,2025-06-25T14:01:21Z,33938,4180,14
BD5RLCV8t5E,mario kart,2025-06-24T13:00:16Z,18271,2473,38
2JJ9OXer3Ak,gym make brain feel good,2025-06-23T13:00:04Z,17804,2700,18
PD1EuH8CWGA,do your homework,2025-06-20T13:00:58Z,24025,3358,43
4OIyTrNSVgE,mom im scared i dont think i like these lobbies,2025-06-19T13:00:06Z,20289,2299,21
OQQrUBzjvkk,the gaming mice rabbit hole...,2025-06-18T13:00:43Z,31687,3929,28
I7LaYmpO3j4,the gym truly can be the wild west of compliments,2025-06-17T13:00:35Z,87125,8996,56
LyT-8WJeJtA,she snores like a dragon tbh,2025-06-16T13:00:40Z,35011,4187,27
UsSgEFBmbLc,【ELDEN RING NIGHTREIGN】john nightreign【NIJISANJI EN | Claude Clawmark】,2025-06-13T06:06:44Z,15293,894,6
s87Qp_RBsiM,【APEX LEGENDS】hanging w/ chop【NIJISANJI EN | Claude Clawmark】,2025-06-12T07:22:41Z,10668,807,4
tmUZ1O3oQ8k,【VALORANT】nayu birthday customs【NIJISANJI EN | Claude Clawmark】,2025-06-11T05:59:51Z,24599,1280,9
fqSyCXqeQVk,blehhhhhhh,2025-06-09T07:22:27Z,16613,1591,18
RVGdqnU00Z8,lines of legos,2025-06-04T09:33:29Z,23743,1313,8
LwoxU8J40PU,winging it as per usual,2025-06-04T04:32:15Z,21620,1268,1
RMyzVHLhuu8,log of lizards,2025-06-01T08:20:48Z,13863,970,5
aBpqIg_PGIQ,【VALORANT】 a rain cometh to thine valo drought【NIJISANJI EN | Claude Clawmark】,2025-06-01T05:34:40Z,21619,1292,7
FGhbYyWRIXI,im back-ish 【NIJISANJI EN | Claude Clawmark】,2025-06-01T02:17:18Z,11294,1042,7
FHFGoVXB4dI,【MARVEL RIVALS】giga rivals【NIJISANJI EN | Claude Clawmark】,2025-05-31T08:16:58Z,12920,863,9
rJHWv68Q-DU,【LEAGUE OF LEGENDS】anything for oomf. Even League.【NIJISANJI EN | Claude Clawmark】,2025-05-27T12:30:53Z,30854,1679,13
iGsbssIVKoU,"【APEX LEGENDS】gold i dont remember, prob plat today chop【NIJISANJI EN | Claude Clawmark】",2025-05-22T03:47:55Z,11302,698,3
RS-Oyfn5E7g,duuuuuuude【NIJISANJI EN | Claude Clawmark】,2025-05-22T00:24:23Z,16459,1198,2
GbOsSVD5P9U,league i guess.,2025-05-19T09:03:09Z,29144,1566,13
tTEauz1PcAY,"sunday ""figure it out"" type stream【NIJISANJI EN | Claude Clawmark】",2025-05-19T05:09:23Z,25219,1462,2
wIthyhqhmRI,【APEX LEGENDS】cheese? chopped in such a way?【NIJISANJI EN | Claude Clawmark】,2025-05-16T05:31:52Z,15698,891,7
mskofL-Q4Qs,【HASTE】FAST.【NIJISANJI EN | Claude Clawmark】,2025-05-15T03:07:46Z,12284,872,7
iQ74EArk1Sc,【AMONG US 3D】i got dragged in last minute【NIJISANJI EN | Claude Clawmark】,2025-05-14T18:23:13Z,25492,1828,9
