id,title,publishedAt,viewCount,likeCount,commentCount
IdAzI33Qlbo,MUPPETS PARTY CRUISE 2 ANNOUNCEMENT,2025-12-12T04:39:14Z,48285,5331,93
hmzF6DvmePI,new  haircut for Kippu 🍦👉🍈 clip from twitch stream,2025-12-10T10:59:33Z,48419,4554,122
DZkIkyD2vbI,❄️ Christmas DECO !!☃️🎄,2025-12-10T04:45:28Z,41226,6374,69
-63bF0a6bJM,Cleaning the Backrooms Together w/ Remia 💛💙💚  @RemiaAotsuki,2025-12-05T02:20:33Z,32596,4405,52
YGnhiUFHVaM,【NIGHTREIGN】DLC - Doobabies Live Carry,2025-12-04T10:23:29Z,59448,6330,68
W5yLUb4Q2lc,【Marvel Rivals Tournament】🏆 Team Dooby - hosted by @IronMouseParty  & @CDawgVA🙏,2025-11-22T05:25:11Z,44027,4891,61
itEThVvCATs,we dooby gamin,2025-11-14T08:16:34Z,76857,8085,73
FskESYjpLXA,I am the Chosen Undoob,2025-11-13T07:00:14Z,49133,6773,111
36o23kmJr1A,✋😮🤚 →⭕⛰️ collab,2025-11-07T22:43:52Z,32188,4082,113
nG33Fdy05oo,DOOB SOULS 1,2025-11-06T04:36:47Z,51314,6731,194
1RC17-4zeTw,knock knock!  . . . .  🚪 コンココンコンココンコンコン,2025-11-02T02:11:24Z,129912,13667,253
8jd2gtBc87E,🚪 ... Let her in?,2025-11-01T00:59:44Z,61985,8257,178
ge-eg5LcE7c,🎣 THE HORRORS OF FISHING,2025-10-18T01:19:11Z,39373,5378,91
COSL9zD_HP0,-1 Dimension,2025-10-17T02:20:19Z,110210,15485,234
Cfj6ASnvKko,1v1 me noob 🟡🟢🔵 COLLAB w/ @RemiaAotsuki,2025-09-20T01:05:25Z,55787,5868,109
GuwOiBrHkjM,♪ 🏖️ KARAOKE at the BEACH ~ 🚃💨✨🌙,2025-08-17T03:46:48Z,67575,10084,115
d_uP-4vZdDw,NEW OUTFIT ☀️ 🏖️ SUMMER EDITION,2025-08-16T23:18:23Z,78223,11879,194
d4LKZz5Kbgo,NIGHTREIGN w/ HENYA! 💛💜,2025-08-12T03:54:47Z,49453,6490,79
tLgiXlCeokw,🤡🤏 WORLD'S SMALLEST CLOWN 😢,2025-08-03T03:54:57Z,64756,7646,95
RGu-LdtK5lA,CS2 ✰ Premier w/ @RemiaAotsuki,2025-08-02T02:00:55Z,51558,5275,56
EsdXuOTBw-c,TIME TO TRAIN,2025-08-01T00:06:06Z,51571,5738,63
wjl-GfjTwHM,COLLAB GAME COMPLETO,2025-07-26T01:37:43Z,39491,4252,66
D2jUx5gRUFU,DOOBIOUS ACTIVITIES (in the dark age),2025-07-25T06:55:35Z,65646,7515,60
uwGVjIOLafk,WE DOOBY CHATTIN',2025-07-24T02:34:35Z,50636,5749,117
