id,title,publishedAt,viewCount,likeCount,commentCount
2QRx2FnoLcY,ANOMALI POJOK KANAN BAWAH [I'm on Observation Duty 8],2025-12-13T17:19:10Z,8055,1197,2
2uuyTHveKh8,GAME BACKROOM INI ANEH BANGET [Vastophobia],2025-12-12T17:47:14Z,5560,956,6
jy3_14sLRhs,PEAK STREAM w/ @PinkuRimu #CiuOnTop,2025-12-11T16:55:22Z,6483,934,0
3ttdrRfgHRc,Apakah Betul Aku Wanita Pemberani?,2025-12-09T11:30:04Z,16602,1928,7
9yT0M7TvFfk,Harunochi is Back? [VALORANT],2025-12-08T17:13:54Z,9249,1090,2
J5tAvuFKUQw,Re-Memory Mediashare Jadul/AIB [Tier List],2025-12-07T16:51:00Z,11647,1412,5
7GDdQ72Z9Mo,Ada Nenek Nenek Guys [Granny: Escape Together] w/ @VantaArissa,2025-12-06T16:17:54Z,9857,1043,3
ngL7XnbEPrw,DAVIDBEATT FROM RE:MEMORIES [R.E.P.O],2025-12-03T16:48:19Z,12832,1472,2
emCqCKxnAZI,Hey It's December! [EN/ID/SD/JP/JV/HTML],2025-12-02T12:25:00Z,9529,1085,8
wJayzicVdUs,NNN (4),2025-11-29T17:01:29Z,5081,631,79
LiWLqqR1QAQ,BAPAK BAPAK KOMPLEK ON THE STREET [MIMESIS],2025-11-29T15:57:26Z,12720,1287,3
sr9YMJGpS7M,My Aim is Kinda Helpless (DONT CLIP ME) [VALORANT],2025-11-27T17:09:15Z,10080,1043,2
doWze8Jcuxg,Biarkan Shef Echi Memasak [9],2025-11-26T16:12:58Z,18407,1954,12
Ke1gsam-Ba0,Apa [DRAWING],2025-11-24T18:22:50Z,10525,1112,2
n9gnhxVvW7s,Kita Santai Santai [ECHI REMIX],2025-11-22T18:24:02Z,8491,918,3
-FLH3p2_3NY,Hah? [Hantu Seblak],2025-11-20T18:21:49Z,7950,950,10
mTaow-e6bYU,Admin Kembali!,2025-11-20T02:15:28Z,17886,1791,3
k7BzUD7brq8,Staring Contest,2025-11-18T10:27:07Z,3419,482,73
iffhfchvzdo,Madeleine Enak! [Echi Baking],2025-11-16T05:00:52Z,19709,2302,147
b9Te67JTPYE,Gimana Reaksi Kamu Jika Bertemu Maid Seperti Ini? #vtuber #shorts,2025-11-15T09:00:57Z,12648,1437,174
E3SGg_si4ZA,Announcement,2025-11-13T15:44:12Z,14630,1491,17
nhuNlTTnXOQ,Tia Menyatakan Perasaan Padamu. Namun... [ASMR],2025-11-12T12:00:06Z,3488,695,63
7Kc7CHJUiko,JADIKAN AKU PALING SKENA [Mediashare Song Tier List],2025-11-11T17:09:26Z,8657,792,0
3axesmz0VPE,Katanya Ini Game Paling Seram [İblis3:Phenomena],2025-11-10T15:31:52Z,11892,1294,12
ifQD7v70f2Y,ANOTHER [Silent Hill F NG+] | SPOILER ALLERT!,2025-11-10T00:42:00Z,15204,1987,8
PdEKYFGZUBE,Bertamasya [RV There Yet?],2025-11-08T17:03:36Z,17737,1438,14
kdesnvV-LOM,Biarkan Shef Echi Mengajari Murid Memasak w/ @SolaceAmerta,2025-11-07T10:56:09Z,17874,1681,14
7cKp2CQm_QE,GUE? SI PALING RAZE ITU? [VALORANT],2025-11-06T16:30:24Z,7727,919,3
3QvL2xwLyl0,The Awaken Thunder / Ryuu Azura #7gloryrp,2025-11-04T18:31:36Z,33955,4021,15
-UXjab8lLL8,I took a little nap and it's already morning.... [FREETALK],2025-11-02T03:13:17Z,6038,845,3
E_owEAJCPmw,Malam Puncak [HORRORTOBER] [ON CAM],2025-10-31T16:25:37Z,9303,1133,4
