id,title,publishedAt,viewCount,likeCount,commentCount
2qilHMkQBvs,"【Hero Reads Your: Confession】Tiap cerita aneh, makan keripik pedes【Etna Crimson | NIJISANJI】",2025-12-12T03:01:11Z,1205,298,3
y223aczW7YA,NGONTEN APA YAH?? 🤔💭【Etna Crimson | NIJISANJI】,2025-12-11T05:10:11Z,2354,510,7
H6Y8-uethxY,NGOBROL SINGKAT SAJA ✌️【Etna Crimson | NIJISANJI】,2025-12-07T17:38:29Z,3063,599,6
6s8eeO4e7TU,【NEW COSTUME】Etna sanjou! #NewEtnArc【Etna Crimson | NIJISANJI】,2025-12-06T15:08:02Z,12238,2166,71
KHV2SUV033A,22.11.2025 #NewEtnArc,2025-11-10T12:45:06Z,3640,851,112
XkArQlGz_JY,【R.E.P.O.】siap meng-carry (angjay)【Etna Crimson | NIJISANJI】,2025-11-08T14:43:37Z,1459,259,6
ocB9cLrPXq0,ETNA CRIMSON 3.0 BRUSH UP REVEAL!!!!!!!,2025-10-11T15:29:10Z,3026,591,17
CRUKAtTUKp4,"ETNA KEMBALI, TAPI........ 😔 (Free Talk)",2025-07-12T03:51:22Z,2754,400,6
GSQg69DGUOU,【Golf with Your Friends】wayae dddduel!!【Etna Crimson | NIJISANJI】,2025-05-12T02:53:52Z,1782,244,3
a_rq19zwU70,【No Case Should Remain Unsolved | #1】Berotak Etna【Etna Crimson | NIJISANJI】,2025-05-10T02:30:33Z,848,184,5
CjYRO6Jtb4M,Etna mimpi masuk RSJ dua kali (free talk),2025-05-09T22:51:12Z,1148,246,6
mdsxerwzs3Q,【R.E.P.O.】pertama kali maen repo【Etna Crimson | NIJISANJI】,2025-04-30T03:22:48Z,1555,304,2
cT2bOAffYks,【Carry The Glass】sini Etna carry😎【Etna Crimson | NIJISANJI】,2025-04-14T03:16:55Z,1388,256,2
IruUknLRpGo,【Buckshot Roulette】JANGAN BERGERAK【Etna Crimson | NIJISANJI】,2025-04-12T16:03:09Z,1246,246,0
v0TdXDABmek,"Balik dari pulkam, ayo Free Talk & QnA Marshmallow!",2025-04-08T15:15:18Z,1655,346,5
xnJNQhkmZcs,Etna desu #vtuber,2025-03-22T11:37:15Z,2072,296,19
0XqwsY3ReO4,【Until Then | #5】Act 1: End【Etna Crimson | NIJISANJI】,2025-03-20T22:40:22Z,1219,165,6
VxHaVFKvfpI,【Until Then | #4】CHAPTER 5!!【Etna Crimson | NIJISANJI】,2025-03-20T20:36:13Z,653,177,1
PVUH1bCKFe8,【Until Then | #3】I want adobo【Etna Crimson | NIJISANJI】,2025-03-18T08:49:50Z,914,229,2
7ZSAbfcJtAo,【Kuukiyomi 4】Etna considerate【Etna Crimson | NIJISANJI】,2025-03-11T09:46:46Z,834,224,3
faUvINpv3f8,【Until Then | #2】do you get deja vu~ uu~【Etna Crimson | NIJISANJI】,2025-03-11T08:51:07Z,974,238,1
-xP0Z5uC--E,stream ini akan dimulai apabila Etna Crimson tidak ketiduran,2025-03-10T16:26:13Z,1630,306,2
