id,title,publishedAt,viewCount,likeCount,commentCount
LVeyR3Gkk8k,🔴 HARDCORE MINECRAFT MARATHON 🔴Stream ends when Neuro Vedal Crelly & Filian beat the game! Pt 7,2025-12-09T02:41:47Z,97686,4106,278
sgY3n8GGH6I,🔴 HARDCORE MINECRAFT MARATHON 🔴Stream ends when Neuro Vedal Crelly & Filian beat the game! Pt 6,2025-12-08T19:18:39Z,65013,2476,14
7g9SDJj1iaI,🔴 HARDCORE MINECRAFT MARATHON 🔴Stream ends when Neuro Vedal Crelly & Filian beat the game! Pt 5,2025-12-08T07:27:37Z,108048,3377,29
yO_VQrN98g0,What does an Ai know about her Creator?,2025-12-08T03:31:00Z,99454,5496,49
TFexmJK5G4E,🔴 HARDCORE MINECRAFT MARATHON 🔴Stream ends when Neuro Vedal Crelly & Filian beat the game! Pt 4,2025-12-07T19:40:23Z,83453,2875,17
hET_j3jTdFc,🔴 HARDCORE MINECRAFT MARATHON 🔴Stream ends when Neuro Vedal Crelly & Filian beat the game! Pt 3,2025-12-07T07:01:19Z,104473,3565,22
oT8AlcOK1jk,"Filian ""Spoils"" her",2025-12-07T03:30:43Z,330971,18386,284
wS_XJcZFRJY,🔴 HARDCORE MINECRAFT MARATHON 🔴Stream ends when Neuro Vedal Crelly & Filian beat the game! Pt 2,2025-12-06T19:06:12Z,96911,3706,25
RksF7wbZgfA,🔴 HARDCORE MINECRAFT MARATHON 🔴Stream ends when Neuro Vedal Crelly & Filian beat the game!,2025-12-06T07:29:30Z,126308,5698,86
_O1xxGBtURs,Filian & Neuro's Sleepover was Deep,2025-12-06T04:30:24Z,251016,22389,154
57U8SS7zyrY,Why Filian is Banned from the Gym,2025-12-04T03:30:05Z,151329,8079,120
9WhBoPAbCXU,🔴 HARDCORE MINECRAFT 🔴 Stream ends when I die! FINAL ATTEMPT,2025-12-04T03:05:00Z,69647,4540,163
4LvmNCDtCGs,She DESTROYED her Best Friend,2025-12-03T03:30:03Z,118463,7354,91
yEH-11HBLdE,"🔴 VSoccer 2025 Game Match 🔴 Ft. Filian, Megalodon, & ChaCha vs Numi, Michi, & Lucy Pyre",2025-12-03T01:32:29Z,64121,3805,242
Xn9JETWHLR4,Filian is Banned from Christmas,2025-12-02T03:30:23Z,66207,4322,44
lxhJGrTxw6k,How Filian Wins MrBeast's Games,2025-11-30T18:00:53Z,85263,4898,83
t5yoTcI9bnE,"""Relatable?""",2025-11-29T03:30:46Z,105193,7392,189
7CVD4T5qOQ8,"""Educational"" Content",2025-11-28T03:30:13Z,151976,11649,116
4Q9ecLZuE4Q,"If I Laugh, I wear a new Cosplay",2025-11-27T02:30:03Z,113586,6900,297
tOpwxaE-3mA,🔴 HARDCORE MINECRAFT 🔴 Stream ends when I die! Attempt #6!,2025-11-27T02:24:17Z,53461,3475,114
vQ2uzSidh4s,Why Streamers Mute their Microphones,2025-11-26T03:30:52Z,198972,10707,247
IjOvBab4x4E,He Stole All of Filian's Money,2025-11-25T04:00:30Z,773263,41602,400
NjHe0NqInIw,Can you get Banned for This?,2025-11-24T03:30:15Z,124924,7216,106
AnfWom_gr3o,Are all Dogs Black?,2025-11-23T04:00:09Z,215037,10090,287
8u7dD73h2Dc,Filian Cosplayers are Built Different,2025-11-22T04:00:15Z,103263,5639,72
_WOrS4scfdc,I Don't Know Which is Worse,2025-11-21T03:30:27Z,294325,14130,147
