id,title,publishedAt,viewCount,likeCount,commentCount
wke08Mg99tY,Finishing soon 静かに一緒に勉強と作業をしよう～ 📖 (にじさんじ勉強クラブ NIJI Study Club ASMR),2025-12-13T03:40:25Z,8356,377,4
BZx-auSgZEA,Preparing for finals! 静かに一緒に勉強と作業をしよう～ 📖 (にじさんじ勉強クラブ NIJI Study Club ASMR),2025-12-11T03:28:07Z,10127,428,5
4f1TSVRx1qA,【The Hundred Line -Last Defense Academy-】SAVING KURARA [34],2025-12-10T01:48:23Z,10259,362,11
FET2mca_2rY,First final today uee... 静かに一緒に勉強と作業をしよう～ 📖 (にじさんじ勉強クラブ NIJI Study Club ASMR),2025-12-09T06:04:07Z,13496,505,4
sSrsxQUT8ho,【GNOSIA】I WANNA PLAY THIS BEFORE THE ANIME RELEASE [1],2025-12-06T22:15:48Z,4711,452,13
Ji7oqqhvclA,Finals next week... 静かに一緒に勉強と作業をしよう～ 📖 (にじさんじ勉強クラブ NIJI Study Club ASMR),2025-12-06T02:38:38Z,6532,377,6
UqZM446c60E,【The Hundred Line -Last Defense Academy-】seeing the other possibilities... [33],2025-12-05T03:38:31Z,7920,370,7
yCfl8JieIN0,FOCUS / Finana Ryugu (Cover) #shorts #NIJISANJI,2025-12-04T08:25:53Z,17903,2461,101
NztEwk2ebDA,"【League of Legends】most likely mid [Collab] ft. Elira, Roy, Phreid & Omi",2025-12-04T04:23:15Z,8261,445,5
b6sETciYNf0,2 weeks left! 静かに一緒に勉強と作業をしよう～ 📖 (にじさんじ勉強クラブ NIJI Study Club ASMR),2025-12-03T05:42:34Z,9281,487,5
kchwIeyL4GI,【FINAL FANTASY XIV】 I want to clear M7S !,2025-12-02T06:04:15Z,10353,435,6
3tGLjICwNQI,Quiet work time again! 静かに一緒に勉強と作業をしよう～ 📖 (にじさんじ勉強クラブ NIJI Study Club ASMR),2025-11-29T04:12:43Z,6111,425,8
XcMwRApBf8Y,New sketch update is here! 静かに一緒に勉強と作業をしよう～ 📖 (にじさんじ勉強クラブ NIJI Study Club ASMR),2025-11-27T03:54:59Z,5776,457,4
GlJN4S-iO20,【The Hundred Line -Last Defense Academy-】is it time to save eva this time? [32],2025-11-26T02:41:40Z,7609,366,12
nec_avD4GEI,"【League of Legends】seraphine time [Collab] ft. Elira, Leo, Lucien & Nayu",2025-11-25T04:31:45Z,13999,587,6
YAfFZaIjjEU,【Marvel Rivals】 Mouse & Monke Marvel Rivals VTuber Cup 🎉 (Team AmaLee),2025-11-22T04:37:58Z,14735,952,13
4eMr0DTwnfo,【Blue Archive ブルアカ】i miss this game :3,2025-11-21T00:07:07Z,5849,424,9
KqcQBb7aCaw,Quiet study and work together~ 静かに一緒に勉強と作業をしよう～ 📖 (にじさんじ勉強クラブ NIJI Study Club ASMR),2025-11-20T02:22:14Z,11241,375,4
rNoupbEPqGw,"【The Hundred Line -Last Defense Academy-】I CRIED, EITO'S ENDING UEEEEEEE [31]",2025-11-19T01:54:05Z,7526,352,6
TvsYndBC9j0,im so tired 📖 (NIJI Study Club ASMR),2025-11-18T04:38:42Z,9731,522,4
PImpuNXrUCk,【MAPLESTORY】 Trying the new REN bunny class!! ♡ w/ @HazumiAileen,2025-11-16T03:43:09Z,6142,420,3
adfybmk8lQE,"【FINAL FANTASY XIV】 M5S, M6S savage reclears? M7S? :3 No more weekly restrictions!",2025-11-14T05:03:43Z,10932,482,5
fYEqIpmmfKM,WE CAN DO IT 📖 (NIJI Study Club ASMR),2025-11-13T03:10:56Z,12482,541,6
amnPUd03V_E,【The Hundred Line -Last Defense Academy-】TRUTH ROUTE... I'M NERVOUS [30],2025-11-12T04:16:24Z,7032,422,13
7C5syut-DS0,"SUBMITTING MY PAPER AND QUIZ, GAHHHHHHHH 📖 (NIJI Study Club ASMR)",2025-11-11T05:15:05Z,15433,605,7
vwxUzXE3JeY,FINAL RESEARCH PAPER FOCUS TIME 📖 (NIJI Study Club ASMR),2025-11-08T06:25:10Z,14587,623,5
ZiT6eWf_-hM,【The Hundred Line -Last Defense Academy-】EITO IS JUST TOO GOOD OF A CHARACTER SIGH... [29],2025-11-07T02:01:49Z,6126,372,11
8khEApCxsJs,FINAL RESEARCH PAPER WORK EW 📖 (NIJI Study Club ASMR),2025-11-06T04:19:37Z,13083,616,7
bKL0U-H8Yrc,【HONKAI: STAR RAIL】 v3.7 CYRENE IS FINALLY HERE !!!,2025-11-05T06:28:00Z,9181,702,12
97ep6amRdX4,I GOTTA STAY STRONG 📖 (NIJI Study Club ASMR),2025-11-04T04:05:36Z,15837,694,7
uBJUGQKKqwk,Time to cram everything!! 📖 (NIJI Study Club ASMR),2025-11-01T03:42:17Z,14396,600,6
iAJKCn3M4CM,【FINAL FANTASY XIV】 M5S practice or... clear? :O,2025-10-31T03:26:35Z,14649,690,5
NUXLvAoB688,40-50% of the semester left! You got this!! 📖 (NIJI Study Club ASMR),2025-10-30T07:03:06Z,19147,777,7
2rsw9VDVxAM,【The Hundred Line -Last Defense Academy-】I'm so sorry eva... [28],2025-10-29T03:17:40Z,11425,408,17
aFdGUHPlBHI,Let's work together! Thanks for keeping this place lively everyone! 📖 (NIJI Study Club ASMR),2025-10-28T02:03:50Z,15008,633,77
80l3cXSjbv4,NIJI Study Club ! 📖 (homework asmr),2025-10-25T05:58:20Z,15993,718,9
4Pwh_Q0aIzQ,【FINAL FANTASY XIV】 teach me necropolis EX,2025-10-24T02:10:28Z,8669,395,4
hjxFnTLWv20,come join me and work! 📖 (homework asmr),2025-10-23T05:43:09Z,21833,862,12
HHlTJ1IUy2k,"【The Hundred Line -Last Defense Academy-】EITO IS MISSING, WE'RE SCREWED [27]",2025-10-22T00:55:50Z,11454,411,7
GwoKIB257VA,LAST DAY TO POST MY PAPER AND DO OTHER EARLY WORK 📖 (homework asmr),2025-10-21T03:31:44Z,5383,533,5
-1oLmG1FogM,this essay is krilling me 📖 (homework asmr),2025-10-18T02:46:14Z,4486,462,7
HpgV1xOqhTQ,ew research essay 📖 (homework asmr),2025-10-16T03:35:30Z,12501,523,9
E-DajLzlksk,【The Hundred Line -Last Defense Academy-】I'm gonna miss Kyoshika... [26],2025-10-15T00:34:18Z,4184,380,7
shzd-ONzmks,mid-terms... 📖 (homework asmr),2025-10-14T01:31:46Z,9316,425,4
5bWrI895aro,GOTTA SURVIVE 📖 (homework asmr),2025-10-11T03:29:51Z,10692,690,6
VxYxIwC8PNI,【The Hundred Line -Last Defense Academy-】EITO I STG U YAOI INSTIGATOR [25],2025-10-10T01:02:08Z,4893,334,7
U2NdnOmqn64,english hw is da worst!!! 📖 (homework asmr),2025-10-09T05:38:09Z,5220,469,6
