id,title,publishedAt,viewCount,likeCount,commentCount
KqBBYdiDy7A,LUMINOUS ALIVE - Girls' Frontline 2: Exilium 【Violin Cover by Uruka】,2025-12-07T00:00:19Z,6396,1527,108
54tJKlhqEDc,NNN END: IT'S DECEMBER!!!,2025-12-02T03:30:10Z,23860,2260,178
UfvhXzuyigo,NNN FINAL DAY,2025-12-01T03:30:31Z,41294,2959,169
JKfxDabeXMw,NNN Reminder! Day 29,2025-11-30T03:30:16Z,12384,1221,57
RmehOV5ldJk,NNN Reminder! Day 28,2025-11-29T03:30:15Z,16662,1521,93
IEfdzKPJhmA,NNN Reminder! Day 27,2025-11-28T03:30:14Z,33533,2983,108
xbRVfG4S0IA,NNN Reminder! Day 26,2025-11-27T03:30:49Z,23508,1862,113
zYLqSOmaTTI,NNN Reminder! Day 25,2025-11-26T03:30:49Z,18176,1684,145
kb_Ej9f4Sdk,NNN Reminder! Day 24,2025-11-25T03:30:38Z,33613,3218,159
RIHdmNkOC0A,NNN Reminder! Day 23,2025-11-24T03:30:16Z,24356,2562,164
veshkYT7ZOw,NNN Reminder! Day 22,2025-11-23T03:30:53Z,58294,4062,140
JbGgCZKWLk8,NNN Reminder! Day 21,2025-11-22T03:30:23Z,50825,3723,183
16z1w-maxno,NNN Reminder! Day 20,2025-11-21T03:30:01Z,39936,3554,144
xPlqKPbQS08,NNN Reminder! Day 19,2025-11-20T03:30:46Z,39208,3036,182
C8Eiz915mwY,NNN Reminder! Day 18,2025-11-19T03:30:13Z,32433,2558,162
v-9u4cUN0to,NNN Reminder! Day 17,2025-11-18T03:30:45Z,36570,3486,211
xnOOeAtSIHM,NNN Reminder! Day 16,2025-11-17T03:30:45Z,31636,2566,123
FpC_VA-8-y8,NNN Halfway Checkpoint!,2025-11-16T03:30:11Z,51041,3961,218
M8-E98z1O5o,Vtuber plays VIOLIN to END YOUR SCROLLING!! (Part 2) #shorts,2025-11-15T10:39:35Z,51844,1805,25
7bbzzrXJpYY,GOING AWAY PARTY (FOR A TRIP!! I WILL BE BACK!!),2025-11-15T06:34:28Z,6531,945,25
80trUQBkxwQ,Vtuber plays VIOLIN to END YOUR SCROLLING!! (Part 1) #shorts,2025-11-13T10:52:06Z,34145,1726,14
d8mWpPQKyNg,Phase Origins EN tries to go viral 【Content Warning】,2025-11-12T23:42:43Z,9719,1169,11
KVoig7xJb6g,Why are we PEEING 【Dispatch】,2025-11-12T09:05:33Z,20401,1531,29
0hNYiFkdtec,Vtuber plays VIOLIN for you to STOP SCROLLING :) #shorts,2025-11-11T10:57:54Z,35479,1723,11
qzDfsds2KC8,Vtuber plays VIOLIN to catch doomscrollers like you :)) #shorts,2025-11-09T10:29:36Z,35425,1864,18
26fJSD3rZBs,LARPING AS A HAG,2025-11-08T05:44:55Z,10592,1354,21
y8Y9iEoGLCY,HOT POT HANDCAM,2025-11-07T09:16:04Z,23396,2003,23
pCzoes0eE_s,COWARD BRIBED INTO PLAYING MORE HORROR,2025-11-06T09:50:46Z,11220,1382,10
-dgLYHfZ1uk,VIOLIN VTUBER WILL STOP YOUR SCROLLING!!! #shorts,2025-11-05T11:44:15Z,24505,1609,20
F_mH7Jruhv4,Country Girls Make Do (Clean Ver.),2025-11-02T23:52:09Z,65936,5045,575
1siM2STw4t8,Being Chinese for Halloween...? (Jiangshi),2025-11-01T05:29:16Z,29586,3342,83
q731VUdjw_0,COWARD PLAYS HORROR: FURBIES 😱 (Tattletail (Attempt #2)),2025-10-31T05:43:07Z,7169,1003,20
9_1zIUsOayk,Witch Bear Predicts Your Future,2025-10-30T04:54:10Z,7460,1104,26
TJYWkjpAFuE,VIOLIN VTUBER STOPS YOUR SCROLLING #shorts,2025-10-29T09:45:41Z,30465,1774,17
l58XrWHynfs,"COWARD PLAYS HORROR: No, I'm not a Human 😱",2025-10-28T07:30:09Z,12119,1381,22
cImVuXSJnhc,This Vtuber plays VIOLIN to stop your scrolling!! #shorts,2025-10-26T09:54:58Z,46909,2022,12
Qm6JVHDESms,𝓒𝓪𝓼𝓽𝓻𝓪𝓽𝓲𝓸𝓷,2025-10-24T04:38:40Z,12703,1369,54
cCOwPH0U60s,Siren Bear Lures You In,2025-10-23T04:20:34Z,14298,1666,66
PeJJzAOQ5p0,Terrible Tuesdays Chat and Geoguessr,2025-10-22T02:33:55Z,6659,891,13
y8ZF3HHS_SY,Vtuber plays VIOLIN to end your nightly doomscrolling 🫵 #shorts,2025-10-21T10:14:32Z,31544,1688,14
0NcoA7QQmko,Vtuber plays VIOLIN to end your doomscrolling!! #shorts,2025-10-19T10:24:21Z,31157,1832,16
1ZhDwDnhPd0,CELEBRATING TWITCH UNBAN BUT ON YOUTUBE BC I'M PETTY,2025-10-17T04:45:55Z,9688,1426,28
AYunaP_CIzo,ABG Uruka takes you to a Halloween Party,2025-10-16T04:52:13Z,14958,1872,46
Zf6-3XITa-E,Violin Vtuber stops your scrolling!! Close your eyes :) #shorts,2025-10-14T10:47:20Z,33641,1860,18
cnv3xyNDRr4,Help Me Shop For Swimwear,2025-10-11T05:40:56Z,12034,1182,32
D_e0CRSKC_g,Vtuber playing VIOLIN is very soothing!!!! #shorts,2025-10-10T10:25:13Z,29145,1668,19
U0b6sXfSJa4,Vtuber plays Acoustic Violin for Acoustic Bears,2025-10-10T01:47:48Z,4572,807,10
9u7_jX1VM0c,I Hate Tuesdays Chat,2025-10-08T07:01:19Z,11110,1158,16
FAR_qtYiueI,Vtuber plays VIOLIN to stop your habitual doomscrolling :)) #shorts,2025-10-07T11:08:56Z,18842,1496,12
6kHzRF3aAFY,I play violin (so true),2025-10-05T02:38:23Z,4269,682,16
hpsBCoPEo84,【The Promised Neverland | Violin Cover】 Isabella's Lullaby is magical on the violin!,2025-10-05T02:30:06Z,7141,1196,86
JWDo59ZdKpw,REPO with Phase OriginS EN!,2025-10-03T21:17:03Z,7161,864,15
TkYeRIfN0-A,Phase Members Driving 💥🚗,2025-10-02T06:43:43Z,11657,1230,18
KzIVBZ1Nnn8,USA ONLY GEOGUESSR: Do I know America..? (No),2025-09-30T09:20:06Z,8515,907,13
Q9YGOY-sh_g,Playing VIOLIN REQUESTS with SHEET MUSIC ON SCREEN!,2025-09-28T08:10:47Z,5898,899,14
zBGtcYFgbzg,Vtuber teaches you how to read SHEET MUSIC,2025-09-28T03:40:57Z,8096,1083,15
OdrdzXqmwjM,FIRST TIME GEOGUESSR (Directionally Challenged),2025-09-27T07:24:53Z,9111,996,13
WvD6va8BVoY,This Vtuber plays Violin!! Sightreading!! #shorts,2025-09-25T11:17:52Z,20014,1342,15
ZAZTJ2nK4Q8,Playing games that Phase members have gifted to me...,2025-09-25T03:02:52Z,7544,890,12
kgPhTg079go,This Violin Vtuber will help you relax!! (Part 2) #shorts,2025-09-23T08:16:16Z,12577,970,11
w2y310sZZQ0,This Violin Vtuber will help you relax!! (Part 1) #shorts,2025-09-21T10:18:53Z,26328,1602,23
SYYCYcMOXH8,Violin Vtuber STOPS your doomscrolling!!! #shorts,2025-09-20T10:16:46Z,33394,1698,15
DGnXu-P6Vz0,I'M BEGGING YOU TO BACKSEAT ME 【My Summer Car】,2025-09-20T04:30:44Z,7804,1002,9
izh87yZYbzE,SESBIAN LEX w/ @ErinaMakina,2025-09-18T07:31:58Z,44799,3750,156
bH5FYKKBsPs,Valley Girl back to drain you again (she doesn't remember you),2025-09-16T04:46:23Z,13505,1617,23
8Ha4J3z21Y8,Vtuber plays VIOLIN for your relaxation :) #shorts,2025-09-14T09:38:00Z,21198,1425,10
ss7XbGaHcUI,【3D Concert ver.】 Die With A Smile - Uruka x Lumi Cover,2025-09-14T01:54:40Z,33494,3208,195
sRpGbunvWFw,Yoga in 3D (I don't know yoga),2025-09-13T05:15:37Z,15732,1794,34
r9zkbyUy-7E,Playing YOUR REQUESTS on VIOLIN,2025-09-12T08:35:34Z,8067,1156,15
oepgrJ2v-MQ,PLEASE BACKSEAT ME BUILD CAR 【My Summer Car】,2025-09-11T06:14:42Z,7901,1037,14
MvYGtYG5zY8,This Vtuber plays Violin! Bet you didn't know that! (Part 2) #shorts,2025-09-09T08:06:16Z,10611,940,15
MUjNWbWnjbk,This Vtuber plays Violin! Bet you didn't know that! (Part 1) #shorts,2025-09-07T09:29:02Z,19589,1326,13
fqQi65lCrJE,VTUBER PLAYING VIOLIN!!!!! (Part 2) #shorts,2025-09-06T09:42:21Z,14194,1209,14
-4h0dCSmZr4,TEACH ME ABOUT CARS PLEASE 【My Summer Car】,2025-09-06T04:48:57Z,5773,886,27
8YMISGqVmRs,VTUBER PLAYING VIOLIN!!!!! (Part 1) #shorts,2025-09-05T09:24:34Z,13386,1175,20
99zIyw_XbTo,I ATE TOO MUCH (Architects BEGONE),2025-09-04T05:59:38Z,8864,1251,20
DfCsZNYXggM,Vtuber plays VIOLIN TUNES!!!  #shorts,2025-08-27T10:54:16Z,20230,1536,24
RWs5kw8F2vs,TOMBEAR TALKS,2025-08-26T06:09:49Z,8516,1281,14
E4WOPN-1e5s,Vtuber plays VIOLIN for good vibes :) #shorts,2025-08-24T08:36:02Z,17437,1208,14
uq9Vf7stST8,1 HOUR VIOLIN KARAOKE (Acoustic),2025-08-24T03:06:28Z,4348,825,10
jSVARVyw6nY,Try to RIZZ this bear!! (Difficulty: VERY HARD),2025-08-23T07:24:23Z,13155,1673,41
BJNoXvvkl54,Physio Bear FIXES YOUR BACK,2025-08-22T04:27:12Z,9559,1474,36
Nn3_SlCvla8,VIOLIN VTUBER VERY VIOLIN #shorts,2025-08-21T10:07:19Z,30546,1609,14
nHZ_S8TtE78,1 HOUR VIOLIN KARAOKE (Acoustic),2025-08-21T03:07:35Z,3681,761,12
C56WqslWQ4A,Showing you my violins and teaching you about them!,2025-08-19T07:06:31Z,12336,1789,15
WfXsf4gQ6EQ,【3D Concert ver.】 Mephisto - Uruka Cover,2025-08-19T00:12:41Z,15089,1826,177
pLuusbShsag,Vtuber plays VIOLIN!!! No more scrollling!!!!!  #shorts,2025-08-17T12:10:37Z,40471,2144,17
es-b3Fi_iI0,1 HOUR VIOLIN KARAOKE (ACOUSTIC),2025-08-17T02:41:48Z,3576,773,8
DNfgcByQReg,Violin Vtuber ENDS your doomscrolling!!! #shorts,2025-08-16T09:59:53Z,26287,1695,13
QEegl7oAYok,Giving you prison tattoos (no refunds),2025-08-15T05:57:20Z,8522,1288,12
rA_XL_nC6XM,NEW PC TEST,2025-08-14T07:04:05Z,7730,1123,16
PyQfFKL0eGY,Yapping Bear in the Wild?!?!?!?!,2025-08-12T05:56:24Z,7786,1074,13
