id,title,publishedAt,viewCount,likeCount,commentCount
5zgm_zyTJHQ,The End of Archivist 404 and Fulgur Ovid's Final Chapter,2025-05-05T19:26:52Z,441717,36529,1657
kuQhdGk9SaE,【Watch Along】 Let's check out what HBO's The Last of Us Is Like 【NIJISANJI EN | Fulgur Ovid】,2025-05-05T11:59:07Z,9527,923,31
l653i6D2RwE,Let's Chill in an Open Totsu With Nijisanji EN,2025-05-05T04:07:18Z,248254,22812,872
ARACmdFiHIc,【Watch Along】 Let's Watch More HBO The Last of Us ep 6-7【NIJISANJI EN | Fulgur Ovid】,2025-05-04T23:03:48Z,4417,456,12
UzdZL9Uadys,【Watch Along】 Let's Watch More HBO The Last of Us ep 3-?【NIJISANJI EN | Fulgur Ovid】,2025-05-04T23:03:48Z,7072,794,37
Wuh2c25TyYY,【Watch Along】 Let's Watch The Final HBO The Last of Us ep 8-9 (Finale)【NIJISANJI EN | Fulgur Ovid】,2025-05-04T23:03:48Z,6359,648,66
3C07FnY6lNc,Legatus 505 OST 3 - Predator or Prey,2025-05-04T23:01:14Z,20005,1650,96
3H85492RgDo,Archivist 404 Soundtrack 1 - Sunset of the Shepherd,2025-05-04T23:01:14Z,27290,3183,201
CQjnEhk-xAw,Archivist 404 OST 2 - Enshrouding Lofi,2025-05-04T23:01:14Z,15846,1241,57
Fq_OyzQWTqo,Archivist 404 Soundtrack 3 - The Serene Sheep,2025-05-04T23:01:14Z,14796,1281,69
UGBr_B6ojcc,"Legatus 505 OST 1 - Red, Grey and Black",2025-05-04T23:01:14Z,27590,2413,231
pOQNpR7PoAc,Legatus 505 OST 2 - Legatus 505 Lofi,2025-05-04T23:01:14Z,29239,2938,219
rH7sJNs0RD0,Archivist 404 Soundtrack 4 - Still Here,2025-05-04T23:01:14Z,16086,1537,152
ygZPgT7Kjhs,Legatus 505 OST 5 - The Lonely Wolf,2025-05-04T23:01:14Z,14369,1234,58
zswxCbFsk2c,Legatus 505 OST 4 - With Fangs Bared,2025-05-04T23:01:14Z,22140,1449,57
LtDVpv3_xsQ,LIF: E - Legatus in Fabula: Ego - Fulgur Ovid Fangame Playthrough,2025-05-04T21:04:58Z,76126,7512,72
Eoq8E5crQYg,"Daddy, Daughter Date Day! - Infinity Nikki Multiplayer w/Piochan!",2025-05-03T20:07:22Z,45807,3757,20
_idQuc3aiNQ,1 on 1 Goodbyes With Friends,2025-05-02T20:09:09Z,196803,16668,199
HBowlP-6t5E,LAM Bros Smash One Final Time! - Smash Ultimate w/Voxxy,2025-05-01T17:21:37Z,44145,5649,41
Au6ZClsroqQ,"Let's See The End, And Begin All Over Again - Outer Wilds Echoes of the Eye [Finale]",2025-04-28T19:07:11Z,30379,2824,20
bprztQb6tJA,Let's Get To Know The Stranger - Outer Wilds Echoes of the Eye DLC 【NIJISANJI EN | Fulgur Ovid】,2025-04-26T18:35:43Z,21426,2208,17
JAN39DtlM88,Just Chilling With Ovidia - Infinity Nikki,2025-04-24T22:01:00Z,31790,3053,20
f4cEagWD4fQ,"Even If The Game Ends, We're Part of Each Others' Stories - Split Fiction w/Ukiki",2025-04-23T07:25:39Z,74050,5817,68
95avQSwULLE,Supachat reading and chill!,2025-04-21T18:27:03Z,47415,5195,44
M_pnJVdpgdY,"The Story Has Come To An End, But Life Goes On",2025-04-19T17:36:32Z,186997,17583,778
ULpw29DV3DM,The Second Fall & Legatus 505 - Legatus 505 [Finale],2025-04-18T20:12:39Z,19654,1635,19
RGDrIjn30o0,"Chillin', Killin', Feeling Kinda Sussy - Among Us w/Nijisanji EN",2025-04-17T05:50:31Z,46588,2471,28
BgegoAestX8,Let's Defeat GLaDOS! - Portal 2 w/ Vulpixie Part 2,2025-04-16T05:57:50Z,7953,720,6
L2TZrGB3v-w,Another View of the Universe - Outer Wilds Echoes of the Eye DLC 【NIJISANJI EN | Fulgur Ovid】,2025-04-14T20:49:51Z,16415,1253,13
sN1i1b2dg68,We've Been Invited to a Castle! VRChat with Lucius Merryweather,2025-04-12T18:53:40Z,19895,1725,18
q1GVa_RlcJw,Takopa! Drinks! Chill! Games? #SayGex,2025-04-11T02:32:13Z,73126,6677,148
xmkWAJcGy5U,Handcam - Noctyx Bake Cupcakes! #MukBANGing,2025-04-10T17:09:28Z,147423,13368,181
zPH3WPy_FlU,Let's Continue Our Story - Split Fiction w/Ukiki,2025-04-07T05:15:02Z,24518,1738,11
HQl3mJJHeSU,The Final Mission & Operation Starfall - Legatus 505 Part 6,2025-04-05T18:39:53Z,19197,1635,22
YjoBAVDFbi4,Now We're Thinking With Portals! - Portal 2 w/ Vulpixie,2025-04-05T06:46:14Z,9133,738,11
QkYEn3nDKzc,It's Gonna be Precious - Infinity Nikki,2025-04-01T20:00:13Z,17358,1384,30
mrjFSv9OSZE,Birthday Gifts and Chill Zatsu - #ForgorOvid,2025-03-28T19:21:58Z,17938,1796,24
8NiWi6BZ3CQ,Birthday stream with Ren! Nintendo Game Night w/Nijisanji EN!,2025-03-26T04:30:33Z,41018,2937,44
D8__GnsWxI4,It's Party Time! - Party Animals During Vulpixie's Subathon!,2025-03-22T21:30:00Z,11522,854,9
gPSNJkZiR0A,"Okay, Let's Unpack That? - Vampire Therapist Part 4 【NIJISANJI EN | Fulgur Ovid】",2025-03-21T21:41:25Z,17052,1239,19
xBNiVeamqOg,"Save Yourself a Horse, Get a Motorbike! - Infinity Nikki",2025-03-19T20:49:18Z,16430,1322,13
9dSugAuVyf4,"It May Be A Fantasy, But That Doesn't Make It Less Real - Split Fiction w/Ukiki",2025-03-18T04:54:12Z,21573,1724,24
Ps8IzD6vyS8,Just Chatting After White Day,2025-03-16T18:38:23Z,14141,1335,14
FrdRndRIHHA,A Short Role-Playing Session For White Day 2025,2025-03-16T15:32:58Z,16512,1678,34
XRjFGiFNqgQ,"Travelling Together in Any World, in Any Life - Split Fiction w/Ukiki",2025-03-10T03:21:23Z,30354,2272,36
2wnim_H7NVI,Will The Game Call Me Out Again? - Vampire Therapist Part 3 【NIJISANJI EN | Fulgur Ovid】,2025-03-06T20:08:08Z,10986,908,10
XinOvG9wBW4,Whaling for New Outfits and Eerie Season Event - Infinity Nikki,2025-03-04T22:34:16Z,18341,1431,19
BzX37uWjp5k,An Apple A Day Does Not Keep This Doctor Away - Vampire Therapist 【NIJISANJI EN | Fulgur Ovid】,2025-03-01T19:57:48Z,11762,1012,18
WTKq5PG_zfc,Just Chatting on the Third Anniversary,2025-02-26T21:00:15Z,17072,2502,21
s0j0LiRASIQ,Happy Third Anniversary! - Zort w/ Noctyx,2025-02-26T06:11:46Z,25756,2236,41
UJ0B2tJRmcY,猫の日... and Anniversary too I guess - Infinity Nikki,2025-02-22T20:43:45Z,16060,1376,15
nc5KfyzvF7A,Let's Duck Around and Find Out - Goose Goose Duck Collab,2025-02-16T05:16:20Z,20425,1559,23
MuTi50obQA4,A Black Sheep!? He's Friend Shaped! - Poppy Playtime Chapter 4 【NIJISANJI EN | Fulgur Ovid】,2025-01-31T21:27:11Z,39719,2053,24
Ne5Njf3L9sc,Whaling For Cute Outfits Then New Year Event - Infinity Nikki,2025-01-29T23:27:06Z,18770,1374,15
JEdTwJoakh4,A Second PP From LuxNoc - Pico Park 2 w/ Noctyx & Luxiem,2025-01-25T07:01:08Z,27328,1965,23
u65v2u8qJ3Q,Continuing the Story and Fishing for the Event! - Infinity Nikki 【NIJISANJI EN | Fulgur Ovid】,2025-01-21T23:54:54Z,18210,1263,18
im_nI1buKjQ,Can We Beat It!? - Super Bunny Man With Vain!,2025-01-21T06:15:27Z,12834,1224,7
oknDfsvFw3E,The Vampire is In - Vampire Therapist 【NIJISANJI EN | Fulgur Ovid】,2025-01-19T20:42:36Z,17425,1254,18
T0r5QOBOQwE,"I Mean... It's Still Football, hehe - Rocket League With Voxxy, Zanny & Nixxy",2025-01-17T18:00:25Z,23901,2044,20
-A2SZRj-Nkc,Me! Me! Me? - Miside 【NIJISANJI EN | Fulgur Ovid】,2025-01-14T23:45:18Z,31657,1852,20
cOC_5HbTdk0,Whaling on Gacha Then The Journey Begins! - Infinity Nikki 【NIJISANJI EN | Fulgur Ovid】,2025-01-13T23:21:43Z,21244,1456,24
hQTpbDOxOs8,A Chill Sleep Aid or Intense Rage Game? - Melatonin 【NIJISANJI EN | Fulgur Ovid】,2025-01-12T19:14:09Z,15377,1381,24
f-x9Dks92lk,The Mythology of Nijisanji En 【NIJISANJI EN | Fulgur Ovid】,2025-01-11T21:23:40Z,19787,1662,12
yEhuJdzZp84,Delico's Nursery episodes 6-13 Watchalong With Scarles & Piochan 【NIJISANJI EN | Fulgur Ovid】,2025-01-10T19:27:27Z,10121,894,8
Nr0lbVRrxR8,The Final Bet - A Date With Death Beyond The Bet (Finale) 【NIJISANJI EN | Fulgur Ovid】,2025-01-07T19:21:07Z,15341,1217,23
ZuJkbgH0kOg,Let's End It All - Outer Wilds Part 5 (Finale) 【NIJISANJI EN | Fulgur Ovid】,2025-01-06T20:03:19Z,8086,865,15
LD5SYSZI3WY,A Tragic Tale of Memories - Before I Forget 【NIJISANJI EN | Fulgur Ovid】,2025-01-04T20:51:10Z,12815,1172,19
6KQh6nTIZV8,Goodbye 2024! Hello 2025! 【NIJISANJI EN | Fulgur Ovid】,2024-12-31T20:21:04Z,18069,1913,25
3rJ5ehxR8Mw,"It's Party Time! - Party Animals w/ Vulpixie, Giwi, Hayden Fyrus, LightLazer, Rynako & Shinominya",2024-12-31T05:57:48Z,11402,1103,11
q_6aalB3p4Q,Would You Spend The End of the Universe With Me? - Outer Wilds Part 4 【NIJISANJI EN | Fulgur Ovid】,2024-12-30T20:23:21Z,8581,805,11
Fp0-7h2082Q,Going at it Like Rabbits - Super Bunny Man With Vain!,2024-12-30T06:15:37Z,21068,1778,11
ezI9KN77dAc,Another Date With Baby Girl!? - A Date With Death Beyond The Bet 【NIJISANJI EN | Fulgur Ovid】,2024-12-28T19:38:29Z,18929,1482,21
HYO8vPbv0y4,You Better Watch Out! Just Chatting on Christmas 【NIJISANJI EN | Fulgur Ovid】,2024-12-25T18:15:39Z,12283,1303,19
6PSrDWHh63M,How Many Times Will We Repeat Our Mistakes? - Outer Wilds Part 3 【NIJISANJI EN | Fulgur Ovid】,2024-12-23T20:12:03Z,10087,937,8
BYkSQZJcLLo,Rewriting Christmas Carols for the Comfydants! 【NIJISANJI EN | Fulgur Ovid】,2024-12-22T19:50:39Z,18693,1961,22
_GILrpWWKVo,I can Read! Not The Atmosphere Though... - Kuukiyomi 4: Consider It 【NIJISANJI EN | Fulgur Ovid】,2024-12-20T18:21:09Z,16352,1452,15
1HzXNz_q3f0,Let's Do The Time Warp Again! - Outer Wilds Part 2 【NIJISANJI EN | Fulgur Ovid】,2024-12-17T22:58:47Z,13501,1023,13
d9YYL_qe_Ms,The Archivist is In - Just Chatting 【NIJISANJI EN | Fulgur Ovid】,2024-12-16T21:37:03Z,18895,1789,24
IcRcc-xXKe0,A Journey of Multiple Lifetimes - Outer Wilds 【NIJISANJI EN | Fulgur Ovid】,2024-12-14T21:52:14Z,18585,1473,21
zaUCU4XDrT8,【Infinity Nikki】 Bringing Ovidia to Miraland to Play Dress Up! 【NIJISANJI EN | Fulgur Ovid】,2024-12-09T06:00:15Z,35637,2540,40
c9ZjAvYpgQo,How Was Legatus Made? - Legatus 505 Part 5,2024-12-07T21:04:11Z,15435,1692,29
ZS6htUlG3r0,Time To Do The Monster Mash! - Homicipher - Part 2 [End] 【NIJISANJI EN | Fulgur Ovid】,2024-11-06T20:36:17Z,46073,2447,37
Lf3F8xs1UwE,Can We Break The Cycle? - It Gets So Lonely Here - part 2 [END] 【NIJISANJI EN | Fulgur Ovid】,2024-11-05T19:27:16Z,9293,812,15
wrJGtPzMnts,Duck It... - Goose Goose Duck With PPLZ,2024-11-03T21:32:36Z,12851,1084,17
nvnEXw1HIsc,Party With... Friends? - Mario Party Jamboree With Luxiem & Noctyx,2024-11-03T04:46:19Z,25253,1858,14
0LP87Gu6UJE,Can You Love Something You Don't Understand? - Homicipher 【NIJISANJI EN | Fulgur Ovid】,2024-11-02T19:19:53Z,86536,3878,67
OKH4MaXKQFs,Yandere Yuri Visual Novel! - It Gets So Lonely Here 【NIJISANJI EN | Fulgur Ovid】,2024-10-30T20:20:13Z,14245,1107,13
eYvJpPWq1D4,Noctyx Horror Game - World of Horror: Noctyx Mod by すすり 【NIJISANJI EN | Fulgur Ovid】,2024-10-29T17:46:48Z,19005,1713,8
zThGz-CNAYA,Movie Night Part 2! Alien Romulus Watchalong 【NIJISANJI EN | Fulgur Ovid】,2024-10-28T19:21:07Z,6885,594,7
XBydRGjsr28,Movie Night! Silent Hill (2006) Watchalong With Reimu & Aia 【NIJISANJI EN | Fulgur Ovid】,2024-10-28T16:49:15Z,9999,969,7
2rlDKfk3l3o,Happily Ever After - Slay The Princess The Pristine Cut 【NIJISANJI EN | Fulgur Ovid】,2024-10-25T21:41:00Z,22416,1321,22
W-r7wNuqdu4,My Favourite Girls! Satsuki and Natsume! - Doki Doki Literature Club Plus! Part 3 [END],2024-10-24T19:37:29Z,14499,1135,23
