id,title,publishedAt,viewCount,likeCount,commentCount
ZbeiocB4Mp0,住所ありません　にぎにぎにじたうん　 #踊ってみた,2025-12-07T11:01:17Z,141699,10826,282
Lgpl9IY8r4w,野原ひろし昼メシの流儀みてヨ　#shorts #vtuber  #猫 　#にじさんじ #野原ひろし,2025-12-06T11:00:43Z,308155,13770,207
BV3Sqo9LLMA,出来るモノマネ増えたから聞いて【にじさんじ】,2025-11-18T15:05:07Z,24687,1679,52
bptyU6oNZhI,できそうな声真似募集中【にじさんじ】,2025-11-08T04:24:13Z,26118,1771,57
sE_An1DhXzs,【ついに開封】9か月前に作った味噌の蓋開けてみる【にじさんじ】,2025-10-28T13:54:20Z,30289,1490,36
EfPtW2vH9BQ,【#文野環をつかまえろ】飛行機は１日１便！？一度行ったら帰りたくない！北海道紋別市【にじさんじ】,2025-10-16T12:55:23Z,40419,2462,65
RfyMahCPiJk,重大なお知らせあります【にじさんじ】,2025-10-15T08:14:18Z,105013,3305,53
9vjd2jEwR8o,【耐久】42万人いくまで口閉じたまま話し続ける【にじさんじ】,2025-10-15T07:42:24Z,26290,2059,36
AJ7IIofj8I0,万博閉会式を一緒に見守ろう【にじさんじ】,2025-10-13T13:30:48Z,18682,976,17
uJe-BYlwFfk,初エステびっくり【にじさんじ】,2025-10-11T12:00:24Z,34338,1884,46
W8GF3OfSqCI,GM　文野環　人狼します【にじさんじ】,2025-10-08T04:50:22Z,119216,5829,140
MdHDwDcO0ck,【高級】こんなの食べたことない！贅沢しまくる配信【にじさんじ】,2025-10-07T14:02:23Z,44576,2314,33
5LAQbf30AJY,同時視聴 オーディションの裏に隠された努力 ーギルザレン/力一/文野環/樋口楓【にじさんじ】,2025-10-02T13:05:07Z,46121,2046,41
3dx13MskUgY,新衣装３D振り返り！質問待ってます【にじさんじ】,2025-09-30T14:25:56Z,36580,1713,30
HqHMibZH1Ts,オーディション応募してみた～文野環3D新衣装お披露目【にじさんじ】,2025-09-28T13:33:49Z,417160,23559,491
NOM8TO2WuQM,ブレスケア食べる【死ぬまでにやりたいこと＃1】【にじさんじ】,2025-09-27T13:48:44Z,28244,1829,75
EQdscxGygdA,【チェーン店】月見バーガー食べ比べ♪【にじさんじ】,2025-09-23T11:30:38Z,26113,1471,32
9XUTA3lThyc,なにかした後に重大発表があります【にじさんじ】,2025-09-22T11:32:41Z,105088,4076,57
gMwDzwtBCoU,作ったものお披露目【にじさんじ】,2025-09-21T15:09:34Z,60729,3117,49
sU6Sl01C6a0,絶対に作業配信【にじさんじ】,2025-08-06T08:38:21Z,96662,3761,50
MUZFIVEbRDA,BINGO　SMC組おめでとう【にじさんじ】,2025-07-06T15:04:32Z,49369,1750,21
pbaH10YzWvM,7月5日【にじさんじ】,2025-07-05T15:15:52Z,201155,7923,191
UQvfBLJt1-k,ついにジャガイモ掘り出す～私が育てました【にじさんじ】,2025-07-05T04:35:33Z,69255,3712,118
zaHfwSNIg7Q,Чтение いい夢が見れる朗読配信② 睡眠導入【にじさんじ】,2025-06-22T16:29:01Z,28667,1766,63
54C17MJax3k,【イケボでプレイ】休むな！８分音符ちゃん♪【にじさんじ】,2025-06-21T11:45:49Z,43168,2588,49
0O5KlMzQa0g,私が育てました【にじさんじ】,2025-06-08T13:29:00Z,80760,3985,72
O1eVySKLVfI,【大会】第2回おえもりにじさんじ杯【にじさんじ】,2025-05-11T09:57:03Z,65092,2354,42
z4sI7mqe0s4,スカイプ終わるまで電話し続ける【にじさんじ】,2025-05-05T15:53:09Z,171655,8592,137
