id,title,publishedAt,viewCount,likeCount,commentCount
EAdh6m3E3UI,【Graduation 3D Mini Live - Gawr Gura】,2025-05-01T00:40:43Z,2635948,242902,23705
D5XrQD2RkUw,【UNO】myth 5 ever!,2025-04-30T23:10:35Z,632610,50765,2000
kLF-1PndbXQ,【The Elder Scrolls IV: Oblivion Remastered】here's to new adventures!,2025-04-27T02:34:42Z,678461,48410,1144
ZP8E9WH71OU,ROOM REVIEW with @NanashiMumei,2025-04-21T00:03:35Z,789377,58629,1733
3pS6f3_veik,chat + announcing my final project,2025-04-20T00:53:45Z,931837,82103,3562
twUFbqyul_M,Ash Again / Gawr Gura x Casey Edwards,2025-04-20T00:45:44Z,13360057,440855,30630
7WFg2wq10rw,important announcement - gawr gura,2025-04-16T02:39:57Z,3461264,274234,35882
qgYK9k2KF7Q,【R.E.P.O】tax time! secret :3,2025-04-13T02:14:20Z,610408,38041,948
56JvXvA51ls,【WARHAMMER 40K SPACE MARINE 2】BROTHERs,2025-02-18T23:50:41Z,363075,21662,720
iOK-8J6l_ak,【Trick Shot Simulator】Real Life Trick Shots | Behind The Scenes,2025-02-08T02:54:06Z,277822,20990,353
ALdqozsw3sw,"【Kingdom Come: Deliverance】get up, lazy man. or im gonna rub dirt in your eyes",2025-02-04T05:44:08Z,341838,23315,258
set_fCDhJgs,【 Keep Talking and Nobody Explodes 】 The Vtuber to Bomb Diffuser Pipeline is Real,2025-02-03T00:49:01Z,261616,21502,279
qhTP_DIrSA8,【 Balatro 】🗣️ LETS GO GAMBLING,2025-02-01T05:07:21Z,374385,26964,317
NhmiChHf56Q,【 Tokyo Xtreme Racer 】I Believe in Stutututu Supremacy,2025-01-29T04:52:44Z,530065,34211,300
7W_Bo6OSi78,【 Liars Bar 】Me VS You,2025-01-27T03:46:28Z,334244,26127,240
4y4Vgl5XDIE,【 New Outfit Reveal 】pet the shark  #snowshark,2025-01-26T02:30:05Z,559977,46756,608
jb2_MtMdWhk,【 Liars Bar 】its all lies,2025-01-22T00:36:36Z,343573,30328,479
S1szHs0aIZU,【 Fast Food Simulator 】HAMBURGER COUNTRY 🍔,2025-01-20T04:06:55Z,425318,30295,401
ChCNTVq739I,【Big Brain Academy】🧠 aaauuuuueeeeeeooo,2025-01-19T03:31:19Z,429085,35963,371
kmLBOT9Sz3Y,【MiSide】Do You Love Woman,2025-01-13T04:21:35Z,997886,63865,960
NJ5jozV74K0,【DEEP ROCK GALACTIC】HEY MISSION CONTROL,2024-09-30T19:44:27Z,553967,29086,1531
No6n9zCs_8A,【💛💙】Looking at our old DMs,2024-09-29T03:26:59Z,585219,50673,851
29UwCwTyOqc,【2.0 REVEAL】I'm evolving!,2024-09-09T01:24:26Z,597499,36800,963
cIb5yHw4mvk,【ENRECO Minecraft RP】The Finale,2024-09-08T03:55:31Z,182242,13180,185
72SJQRQ7qi0,【ENRECO Minecraft RP】The Punishment,2024-09-04T03:52:37Z,328835,20508,186
bOIlLaFiiE4,【ENRECO Minecraft RP】The Dungeon of Atlantis,2024-09-02T04:07:24Z,271169,18199,220
PJtapc2_7ok,【ENRECO Minecraft RP】The Sorting,2024-09-01T05:42:41Z,495248,28156,284
Fmf0vIp8jNw,【FNAF: INTO THE PIT】Hor!,2024-08-27T04:11:06Z,453456,31483,346
DVZPefJrflA,:3 hey,2024-08-24T17:59:01Z,1183626,110929,2121
weXElwsQlh8,【Volcano Princess】daughter maker! the game!,2024-08-19T02:57:13Z,363942,26548,363
eyIubrMru0s,【LUIGI MANSION 2 HD】BOO,2024-06-28T03:59:50Z,509169,28009,571
YjzQm_34aVw,【Gawr Gura】GIVE UP 今世 壊【DYES IWASAKI(FAKE TYPE.)】,2024-06-26T11:00:06Z,1266735,61316,1608
1irUIiD3z80,【DARK SOULS: REMASTERED】help,2024-06-26T05:00:12Z,397291,24503,266
JUvdnKuBMDQ,【BIRTHDAY CHAT】birthday fishe! ✨🎉🎂 #gurabirthday2024,2024-06-21T05:28:24Z,480925,39816,604
OGj0xMWReQM,粛聖!! ロリ神レクイエム☆ / Gawr Gura Cover,2024-06-21T01:50:07Z,4930443,271926,8654
uIloWxQ3Rpo,【SHARK CITY】3D BIRTHDAY LIVE!  🐟 #sharkcity3D,2024-06-21T01:49:12Z,691601,58481,1066
SDMWdI6bazo,【WALTZ OF THE WIZARD】CASTING FORBIDDEN SPELLS in VR,2024-06-12T02:33:00Z,379885,26093,429
jhdi8QEtvdY,【MARIO PARTY】MONKEY HARD,2024-06-10T02:15:12Z,289787,23120,303
_tyyyLvXVaY,【DON'T SCREAM】😭,2024-06-07T02:51:51Z,363590,26668,325
nUYz6DF_ick,【Fit Boxing feat. HATSUNE MIKU】sorrgy accident,2024-06-05T02:42:39Z,428667,31236,452
OqmfjW1fqfw,【DARK SOULS: REMASTERED】NOOB RACE @CeresFauna  !,2024-06-02T02:39:17Z,455574,26718,333
09BAuOlOans,【NEW】NEW STUFF,2024-06-01T01:25:10Z,352067,30619,379
z1-fnkrs5Rk,【KINGDOM COME: DELIVERANCE】Henrys idol journey,2024-05-28T04:25:25Z,488498,33527,433
MCH5VHtF1bY,【SUBNAUTICA】hello i am under the water 🐟,2024-05-26T05:07:33Z,771613,49867,644
8wKHHONbWW8,【MONSTER HUNTER RISE】fish spanking,2024-04-19T05:11:08Z,512251,32121,726
LPSY8NOz4LE,【CONTENT WARNING】cameraman never dies,2024-04-14T04:34:11Z,474418,34222,596
NuNkFhobZp8,【DEEP ROCK GALACTIC】ROCK AND STONE,2024-02-10T04:54:15Z,582499,28522,1078
