id,title,publishedAt,viewCount,likeCount,commentCount
aRyJH9KnFzg,≪NO TALKING!≫ TYPING ASMR ZATSU!,2025-12-14T03:58:52Z,0,470,43
bzljPQUL9mE,≪MIMESIS≫ Trust no one.,2025-12-11T15:18:26Z,53134,6061,41
62czDfyda1M,【Spoiler Warning】OUI OUI PP | Hakos Baelz Highlights!,2025-12-10T03:00:06Z,33147,4960,247
Dps6s9v09kk,#holopromise SILHOUETTE COVER! #シルエット,2025-12-09T03:00:14Z,68923,5826,68
CBDAfgreJe0,≪Little Nightmares III≫ FINALE!!! (hopefully?) #3,2025-12-07T15:37:38Z,38313,5527,44
BnMYB63926I,≪Phoenix Wright: Trials and Tribulations≫ Let's Dance... First Playthrough! #2【SPOILER WARNING】,2025-12-07T04:41:04Z,38306,4284,77
lJ6KW2lgmVY,≪Phoenix Wright: Trials and Tribulations≫ OBJECTION! ... First Playthrough! #1【SPOILER WARNING】,2025-12-06T05:51:30Z,52853,5160,87
2BC9lw80nAw,JUTSU CHALLENGE シルエットチャレンジやってみた！#シルエット #hololiveenglish #vtuber #dance #shorts,2025-12-04T15:00:04Z,281542,21368,327
FKfzY0HptCA,≪Kirby Air Riders≫ I know nothing -- SWITCH 2 DEBUT!!,2025-12-02T04:08:19Z,55669,5504,52
Zy-aj5xyFxU,【MV】 プロポーズ / propose || HAKOS BAELZ COVER,2025-11-30T03:00:06Z,291033,28688,959
CkEfc8zbzQc,≪Finding Paradise≫ my kokoro is ready,2025-11-29T08:21:41Z,48712,5835,100
nd47c1W-i8A,Cute MMD Bae dancing AZKi's cute #オキドキ CUTE!!! #shorts #dance #vtuber  #hololiveenglish,2025-11-28T15:01:35Z,169747,18657,205
9FhqeJ0AK1k,HOWL - Ayumu Imazu Dance Cover #hakosbaelz #dance #vtuber #shorts,2025-11-21T15:00:16Z,237910,15452,246
1Q60q2xEeUg,≪BLEACH: Brave Souls≫ GYAHHHHHHHHHHH w/ Cecilia Immergreen,2025-11-18T14:23:16Z,57106,5967,87
MJAKG1GsQu4,≪MAGE ARENA≫ AVADECADKJAHFEUKHFA LJDFH w/ Holo EN,2025-11-16T15:46:02Z,50617,5178,45
_V-Jdms65CE,≪Little Nightmares III≫ They were in fact not Brother and Sister #2,2025-11-09T15:57:15Z,50637,6258,55
q1jsrVBRwDU,≪SILENT HILL f≫ DELULU IS THE SOLULU...FINALE #4【SPOILERS WARNING】,2025-11-09T05:21:36Z,43591,4879,49
1OZ9G3rk6bs,"""Run Back 'Round"" Dance - BAE VERSION! #holopromise #shorts",2025-11-09T03:00:05Z,115632,11829,138
UDbgh_IH8ow,≪APEX LEGENDS≫ DTTO CUP!! w/ Towa-sama & rpr,2025-11-08T12:41:13Z,52985,5238,34
2wSLhh4AwLQ,REBEL ENGINE OUT NOW!! CHECK IT OUT! #RebelEngine,2025-11-08T01:00:05Z,15211,2308,81
NxhZydlh_Fg,今日ビジュいいじゃん～ #hakosbaelz #vtuber #dance #shorts #いいじゃん,2025-11-07T15:00:54Z,207483,16892,230
HiuXYT4HaG8,≪APEX LEGENDS≫ DTTO CUP PRACTICE! w/ Towa-sama & rpr,2025-11-06T16:57:11Z,45345,4723,47
Uc68bMAxPGM,≪APEX LEGENDS≫ Professional Streamer is back w/ Towa Sama,2025-11-06T05:52:21Z,68709,7210,44
jgTB-TB6510,≪Stellar Blade≫ LET ME GAME...First Playthrough!! #3,2025-11-05T06:07:39Z,45296,5162,42
MHWDzTx7wG4,tech issues win today,2025-11-04T04:03:34Z,88823,8965,73
-yK90yTqyMc,Superstar - Ayumu Imazu Dance Cover #hakosbaelz #dance #vtuber #shorts,2025-10-31T15:00:01Z,150550,12074,175
wO-p2nbOy1E,≪SILENT HILL f≫ Who's next to go #3【SPOILERS WARNING】,2025-10-30T04:42:27Z,36804,4134,35
r-vkvN0sHv8,"≪TOWA 2ND LIVE ""SHINier"" WATCHALONG≫ OH HOW SHE SHINES #常闇トワ2nd",2025-10-29T11:40:45Z,57368,5291,30
dZQoJqlysqo,≪Chrono Gear: Warden of Time≫ FINALE?! #4,2025-10-29T05:49:05Z,50669,5200,59
L_N74KgbeA8,"≪SELFBOOTH 3D - KARAOKE≫ Today, The Rat will SHILL.",2025-10-26T04:27:23Z,104535,12514,124
ygILKuT0NDE,≪Little Nightmares III≫ We Spoopy Together #1,2025-10-24T16:06:35Z,35565,4980,42
G0YIh4AibV8,GILA GILA - Awich Dance Cover #befirst #hakosbaelz #dance #vtuber #shorts,2025-10-24T15:00:34Z,97269,9096,139
y9PBUgw5J_w,≪Chrono Gear: Warden of Time≫ TWO WORLDS LEFT! #3,2025-10-20T06:35:19Z,53767,5167,50
Mjc1lqt05Bk,≪SILENT HILL f≫ Do it for the Ikemen #2【SPOILERS WARNING】,2025-10-18T04:51:25Z,36272,4268,38
EcJs0mYlECo,LOST BAE #hakosbaelz #shorts,2025-10-17T15:00:25Z,126524,8898,89
YHM6cwSNQl8,≪Clubhouse Games: 51 Worldwide Classics≫ Rat VS Clock,2025-10-12T05:33:40Z,60699,6732,110
aGeC-2_lsRs,【MV】ダイダイダイダイダイキライ - 雨良 Amala || Hakos Baelz VS Ouro Kronii COVER,2025-10-12T03:00:10Z,754862,35134,691
dk51wef69U4,≪Chrono Gear: Warden of Time≫ Who's Baelz? #2,2025-10-11T04:36:16Z,42311,4507,52
Ej0CU18aJbs,WAN WAN!! Dance Cover #ワンワン #MILKの新曲 #hakosbaelz #dance #vtuber  #shorts,2025-10-10T15:00:34Z,187046,15713,208
bMH4hyKwtQM,≪SILENT HILL f≫ One Stream. 【SPOILERS WARNING】,2025-10-10T06:00:54Z,76335,6396,66
ZU7ODvAbtRI,≪Chrono Gear: Warden of Time≫ Experience Perfection.,2025-10-08T03:42:16Z,55477,5607,69
QD4cAgFITe8,2 DAYS LEFT UNTIL OUR 2ND ANNIVERSARY 3D LIVE!! #holopromise #shorts #vtuber,2025-10-07T03:00:21Z,98868,11554,210
lz_gp71C-gk,≪Stellar Blade≫ gimme all the suits...First Playthrough!! #2,2025-10-06T08:13:55Z,107044,7775,51
DONKgWPznMY,Manager Alarm Clock #hakosbaelz #shorts,2025-10-03T15:00:23Z,189721,11955,176
bUg8nnnerKc,≪Stellar Blade≫ WE BEGIN...First Playthrough!! #1,2025-10-03T07:23:38Z,106812,7821,81
vCq5tIjLwjo,Have you UmaPyoi-ed today? #umamusume  #hololiveen   #holopromise,2025-10-02T15:01:48Z,170655,10396,75
uDJV083-QLI,This is holoPromise #umamusume #hololiveenglish #shorts,2025-10-02T09:01:32Z,134865,11657,115
U76vp6NjWjQ,≪Bae Bash: The Chaos Collection≫ insert spiderman meme #4wardwithBae,2025-10-02T04:11:30Z,61527,6521,79
34VbYzjiEyk,UUUUUUUUUUUUUUUU #umamusume #hololiveenglish #shorts,2025-10-01T15:00:05Z,105227,9156,105
_U3SDnBCu_4,PROMISE PYOIII!!! NEW COVER!! OUT NOW!! #umamusume #hololiveEN #holoPromise,2025-09-29T15:01:07Z,133060,9202,85
3NyZZxjFibA,≪MINECRAFT≫ We are so screwed! #マイクラ肝試し2025,2025-09-28T06:02:20Z,54307,5502,43
DP6r8MAvpXs,≪MINECRAFT≫ NEKO ISLAND LETS GO!! #マイクラ肝試し2025,2025-09-27T05:10:47Z,70061,6173,58
FwCOCa6bE0I,CALLI NEW SONG SO FUNKY! #hakosbaelz #orpheus #shorts #dance #vtuber,2025-09-26T15:00:35Z,387318,28926,232
9Ul1dBO-V_Y,≪MINECRAFT≫ Minecraft like you've never seen before... #マイクラ肝試し2025,2025-09-26T07:06:01Z,122250,9825,111
nJQzIBTsiKA,≪Just Chatting≫ sleepy talks,2025-09-25T03:54:20Z,37428,4922,56
y7d8zL_FpjI,≪YAKUZA 5≫ It's been a long ride ... First Playthrough FINALE!! #11 【SPOILER WARNING】,2025-09-22T08:14:28Z,78456,5678,129
jAWd_CsWt58,≪OFF COLLAB≫ hololive 3rd Concert All for One WATCHALONG!,2025-09-21T08:29:20Z,73168,7171,63
