id,title,publishedAt,viewCount,likeCount,commentCount
D4-ZVgb3M-0,"【ROLEPLAY】Malewife Manjain Kamu dan Bantu Kamu Tidur (Soft Kisses, Wholesome & Sleep Aid)",2025-12-13T14:51:14Z,13956,3807,98
m7Mu103xm7s,POV ANGGOTA SOL.4CE YANG GA AKAN TERIAK DI GAME HORROR INI! 😱 - DON'T SCREAM TOGETHER,2025-12-11T18:41:53Z,35267,5806,52
VsaCalOrReU,3rd Year Anniversary! Thank you 🕊️ #TheWardenBurial,2025-12-10T17:49:53Z,41947,10635,120
YLDFkxLmO7k,Hindia | everything u are - Harris Caine Cover 🕊️ #TheWardenBurial,2025-12-10T12:45:06Z,108623,31648,2776
vl9gQKZYFRQ,"Hindia ""everything u are"" Cover by Harris Caine (PV)",2025-12-10T10:52:53Z,23978,5905,182
vC_uUndPRvA,KALAU AKU SUS LIVESTREAMNYA SELESAI?! 😓 - Five Hearts Under One Roof 2,2025-12-08T18:12:01Z,32178,4967,65
Xp7ZGkW3HP4,【FREETALK】I miss you 🥺,2025-12-07T15:51:41Z,18538,3946,64
UMiv2NclzhQ,SOL.4CE HARUS MENJAGA UCAPAN DI GAME INI?! - Cursed Companions,2025-12-03T16:23:01Z,23711,2703,30
QO_cKwh0A9c,SOL.4CE HARUS MENJAGA UCAPAN DI GAME INI?! - Cursed Companions,2025-12-03T13:55:10Z,17466,3397,38
TVZYk4oSFZE,MEMBUAT KEBUN BINATANG TAPI BINATANGNYA BISA MENIRU SUARA KITA? 🤨 - MyVoiceZoo,2025-12-01T14:52:46Z,41078,5016,66
G9ZtWtSwdRk,【REVIEW】Mereview Jujur Makanan Buatan Viewer...,2025-11-30T15:14:13Z,30250,5056,47
R3JVCOwD8tM,Kisah y/n dan CEO muda,2025-11-30T10:08:39Z,86015,9642,286
F0Ys8lXEnig,MENGUNGKAP MISTERI SEORANG PRIA FILIPINA YANG DIGANGGU ARWAH GENTAYANGAN?! 😱 - Taguan,2025-11-24T15:02:30Z,32047,4002,45
peuHUBqG9JM,Day 1 prank souta,2025-11-24T12:43:45Z,105575,12090,356
e7yNytQCOsI,"【ROLEPLAY】Ketemu Sama Teman Mabar dari Game Online... (Kisses, Redflag & Flirty)",2025-11-22T15:04:47Z,60601,5819,163
Y7tmqPN_ajQ,VTUBER INI JADI PENGASUH BAYI KUNING... TAPI KOK? 😱 - The Baby in Yellow: Crown Childcare,2025-11-20T16:26:33Z,56429,5784,76
4Oa9cKVCR8U,PETUALANGAN SOL.4CE SEBAGAI ZORT?!,2025-11-19T16:02:45Z,31552,4794,31
isXOwGRkySM,Imamamama show you how to crash a party #sol4cevol2,2025-11-19T10:55:52Z,25865,3506,53
PqoVomiSPI4,SEORANG 'SALESMAN' BERI TAWANAN KERJA ANEH... DAN AKU BUTUH UANG 😱 - The Salesman,2025-11-17T14:28:27Z,26317,4433,33
tLg5mKAnyC0,【Tahan Tawa】AKU HARUS MENAHAN TAWA ATAU AKU AKAN...,2025-11-15T14:16:17Z,23720,3890,45
oVEr9O0e_0I,AKU HANYA INGIN JUALAN KARPET... TAPI ADA STALKER YANG MENGINCARKU?! 😨 - Side Hustle,2025-11-13T14:07:42Z,26852,3743,50
BWvqSkbGqYY,KATANYA HANTU DALAM GAME INI BISA MENIRUKAN SUARA SOL.4CE?! - MIMESIS,2025-11-12T15:04:03Z,49548,5409,45
7vskptrFvqA,PERINTIS BUKA WARUNG MIE PHO TAPI MALAH DIGANGGU PREMAN?! 😨 - Brother Hai's Pho Restaurant,2025-11-11T14:50:27Z,34562,4392,46
7aCX0gA6h-U,【Warden Notes】Any more surprises in November? 🤔,2025-11-09T15:13:31Z,17806,3435,45
08xKaqXCvCg,GAME HORROR INI DAPAT MENGGANGGU KITA DI DUNIA NYATA?! 😨 - İblis3:Phenomena,2025-11-06T14:31:04Z,48421,5445,133
l6nE0Ap1WxM,RABU SOL.4CE BERMAIN LEGO PARTY!,2025-11-05T14:13:33Z,24582,4476,20
K-HiaEb-KYA,"【ROLEPLAY】AKU MINUM TERLALU BANYAK... (Kisses, Confession & Friends To Lovers)",2025-11-02T14:26:12Z,95726,8191,257
KBMjp1cTrOs,I'ma show you how to crash a party #SOL4CEVOL2,2025-10-31T11:19:46Z,43345,6624,124
uQLCJpq7YVU,Cerita Menyedihkan Seorang Penjaga Tol yang Sedang Hamil...  - 1998: The Toll Keeper Story,2025-10-30T17:58:00Z,63885,7161,60
3wfYasK8aps,EMPAT VTUBER PERGI CAMPING KE GUNUNG - RV There Yet?,2025-10-29T15:51:23Z,40047,5040,55
g-rWRzJN1o8,AKU TIDAK MEMESAN PAKET INI... 😨 - You’ve Got a Package,2025-10-27T16:03:35Z,33983,4804,67
kVhzOgWI0ts,【TikTok Recap】Mari kita lihat clip dan narasi kalian... 🤔,2025-10-25T15:36:09Z,23194,4352,49
A3T1txeT2IU,AKU HARUS MENYELIDIKI TETANGGA KU YANG ANEH ?! 😨 - Crime Detective: Red Flags,2025-10-23T14:15:19Z,30601,4289,44
SAfvuoKHge0,4 VTUBER PRIA BERUSAHA MELARIKAN DIRI DARI PENJARA - Cuffbust,2025-10-22T14:59:44Z,28524,4696,32
_pfvj3hAKJE,PACARKU SUKA BERJALAN SAAT TIDUR DAN DIA ITUIN AKU?! 😨 - My Sleeping Girlfriend,2025-10-21T14:59:36Z,32852,4533,48
CIcjXIuJr44,"【ROLEPLAY】MALAM INI KAMU MILIKKU... (Kisses, Yandere & Stalker)",2025-10-19T13:47:55Z,89861,7586,377
NDxbF89GtPc,Joget dulu 💃🕺🏾,2025-10-19T09:18:48Z,85523,15433,456
