id,title,publishedAt,viewCount,likeCount,commentCount
g7HyN_D7eMM,IM PRETTY GOOD WITH MY FINGERS HUH,2023-01-17T00:00:13Z,23273,1835,17
U6G11a5o8Rw,CHAT IS TOO BIG BRAIN,2023-01-13T00:00:09Z,68149,7209,52
sgv-YxlKPgo,good work my little discord kitten,2023-01-11T00:30:15Z,37905,4163,22
YWGZmV10Zlw,IM IN VSHOJO!?,2023-01-10T00:00:12Z,97044,7490,279
Ps7FMQoNej8,BOOOOOP THE SNOOOT,2022-12-25T01:00:11Z,260428,29608,345
sR81RH5vocs,Guess you could say that I'm SLAYIN,2022-12-24T01:00:15Z,63161,8200,74
vngwTBkCt10,SLAPPED THE 2D OUT OF ME,2022-12-08T00:06:44Z,23576,3184,62
oo3S0EmX_Cw,Haruka Karibu: The Seed of Life | VSHOJO DEBUT,2022-12-05T23:49:10Z,68696,5668,353
vqrMzPzqhAU,My PERSONAL VTuber Story,2021-11-17T21:59:31Z,191558,19856,1613
x9D3Khq2Ak8,VTUBER DEBUT MODEL REVEAL!,2021-10-29T00:00:13Z,150536,10074,422
TbmPS9bQ-CY,Are we really awful Markiplier?,2021-05-20T19:46:16Z,475421,32096,632
Kxuj0Qx5PMc,DEMON EXORCISM WITH FROOT,2021-05-02T19:22:08Z,40673,2622,67
5EdbP3Mhy20,Dark Souls almost BROKE ME,2021-04-29T18:17:47Z,38602,2818,145
d2eZJF-D538,DRUNK PRISON ESCAPE WITH NYANNERS,2021-03-28T17:50:20Z,54132,4169,104
ZMBl2VjnkYc,Animal Abuser INSTANT KARMA,2021-03-21T17:30:30Z,28676,2003,69
JQ_VZFzT4kE,Haruka Sings Watame Lullaby [Parody Cover],2021-03-07T17:00:05Z,14859,1594,107
jjIT8UIOd2c,Shot on iPhone meme,2021-02-28T17:51:08Z,23215,2074,63
rlbOoI66qrs,Ghosts Won't GET OFF My Ass,2021-02-25T16:00:18Z,16617,1412,44
7EQ2P35gndU,Here Comes Haruka ! (Christmas Song Parody),2020-12-25T16:00:02Z,25564,2283,125
PaYm3WXUFbI,TRUE PAIN,2020-11-06T17:44:00Z,44583,3539,149
8-FKt8_-tgQ,"[UNORIGINAL PARODY] 失礼しますが、RIP♡ | Excuse My Rudeness, But Could You Please RIP? Haruka Karibu COVER",2020-10-15T16:59:32Z,57917,5081,289
neyYZfXgs_Y,100 QUESTIONS HERE WE GO! Q&A,2020-09-30T20:57:37Z,75622,5447,329
yohL7uc2vug,CLEANSE YOUR SINS!,2020-09-16T21:24:21Z,50851,3942,274
z1p-aYPyV4I,HANDY DANDY!,2020-09-08T01:45:32Z,54218,4158,222
aZUfH4xll3g,CONQUERING HARUKA KARIBU,2020-09-04T20:59:58Z,22494,2306,260
IgPPzS1f6IU,Haruka x Nyanners Collab,2020-08-27T19:08:45Z,207377,15501,569
sEXo6pSV8Sw,TOAD INVASION,2020-08-21T16:00:32Z,30719,2713,167
N6Aktxi6Ohg,ULTRA SIMP GASOLINE,2020-08-11T21:00:04Z,45702,3068,112
OUz2Uubk3qs,YOU FORGOT TO CLOSE THE DOOR,2020-07-28T00:38:35Z,45585,2693,101
uVC-5ZcTvOA,【Self-Introduction】Its so nice to meet you! I'm Haruka Karibu! 🍀,2020-06-19T15:30:04Z,118567,6774,354
