id,title,publishedAt,viewCount,likeCount,commentCount
L-E6qNUV4JI,Seporsi Mie Ayam Sebelum Mati #2,2025-12-12T10:17:12Z,2463,236,2
LRf_fxa7-Ho,Seporsi Mie Ayam Sebelum Mati #1,2025-12-11T13:52:10Z,1643,201,3
_unYMMHiGAQ,GINI AMAT MAU JADI DUKUN #shorts,2025-12-10T09:01:11Z,2891,270,9
p42RlJhG3zs,【RDR 2 RP】Dukun Magang #BlackwoodChronicles,2025-12-09T21:16:07Z,720,113,1
6YYzxgOep88,"Recycle, Mi Cola, Original Taste #shorts #noirroleplay",2025-12-08T09:30:06Z,4062,487,6
67ldB8zG0yU,【RDR 2 RP】Black Magic #BlackwoodChronicles,2025-12-07T20:46:51Z,762,109,3
EwpKe-zr740,🔴Cerita Horror Tengah Malam,2025-12-05T18:04:37Z,1820,199,2
X3hYnjjoN54,Obrolan Jam Malam~,2025-12-04T19:04:20Z,783,129,5
S097VoDCU0w,AKU NYOBAIN RUMAH MISTERI JUNJI ITO #shorts,2025-12-03T09:54:44Z,2829,204,9
JlYOo0lbjUU,Mencoba Red Dead Redemption 2 Untuk Pertama Kalinya!,2025-12-01T10:42:08Z,1114,138,1
x_AWR2Kst5k,【GTA V RP】A Place to Call Home #Day2 #RyokenBY #DayDreamsRP,2025-11-30T18:55:47Z,986,107,1
MmIYa69gJxw,MK MENOLAK RP BERAD #shorts,2025-11-30T08:06:43Z,2681,200,4
7UEv62OixYY,🔴Cerita Horror di Siang Hari,2025-11-29T09:50:07Z,1832,205,2
MviIHt5s9Wk,NYAI PUNYA NAGA??? #shorts,2025-11-28T09:34:19Z,3633,393,11
klj_eXurJ3g,【RDR 2 RP】Naga Naga Naga #BlackwoodChronicles,2025-11-26T21:08:34Z,1049,118,2
mOVHc381oCo,【GTA V RP】After the Storm #Day1 #RyokenBY #DayDreamsRP,2025-11-24T17:26:23Z,854,124,2
MdjwbYAhbIU,【Silent Hill F】SAATNYA MENAMATKAN GAME INI,2025-11-19T13:30:29Z,1085,169,1
8hRCFdgfd8E,【Handcam】Hujan-Hujan Unboxing Lootingan CF21~,2025-11-18T09:46:11Z,1246,175,3
LViXzgVPxG8,"【RDR 2 RP】Hera, A nya Asbun #BlackwoodChronicles",2025-11-14T17:44:09Z,876,96,3
