id,title,publishedAt,viewCount,likeCount,commentCount
1E61g36Zszc,Let's make a real Bolognese Pasta! 🍝 #shorts,2025-12-11T00:00:03Z,203097,28628,644
r4tOJWs5McY,I LOVE COFFEE! #shorts #hololive,2025-12-02T00:00:56Z,217514,25614,685
OENemu0fBto,【Mafia: The Old Country】THE FINAL SHOWDOWN【SPOILERS】,2025-11-27T17:54:09Z,61410,8012,166
wNdlO3X1qAI,【Mafia: The Old Country】Raora Protection Service here to collect【SPOILERS】,2025-11-26T18:14:29Z,50687,7219,47
eDeAkp4a4V8,"【Mafia: The Old Country】PER LA FAMIGLIA, CHATTINI【SPOILERS】",2025-11-25T17:07:03Z,58103,8296,52
3NenOWjlACU,Gacha×Gacha ADVENTURE!,2025-11-24T11:10:25Z,77435,11394,234
Y3jyCmMlyw0,"We need to talk (not graduation, but it's serious)",2025-11-23T15:18:42Z,260545,37210,2954
WaMRN51S-0k,【ASMR】POV: You booked a Lobotomy by mistake  #Yuripeans,2025-11-23T03:26:19Z,128355,13269,225
nvy2zN6Vbx4,【JUSTICE COLLAB】THIS IS PEAK #holojustice,2025-11-21T23:09:18Z,21601,3561,34
PTtQAMVPp3w,【POKEMON EMERALD NUZLOCKE】Seventh Gym time… will we actually make it???!【8】,2025-11-19T18:21:57Z,36937,4906,20
TC1JExhTddc,【Escape Simulator】Braincells escape simulator w/ Dyarikku!,2025-11-18T17:34:06Z,69621,7947,59
-xSUXF5ctQY,【Police Simulator: Patrol Officers】WE ARE JUST DOING OUR JOB!!! FOR JUSTICE!!!,2025-11-13T18:48:31Z,43839,5912,33
0yRuC3eXzgQ,【DRAWING】PINK CAT NEW DESIGN?!?,2025-11-12T18:29:42Z,75651,8392,49
yajP8IXb0v0,【Mafia: The Old Country】The Godmother Returns to the Family Business - #2【SPOILERS】,2025-11-11T17:47:39Z,54951,7125,39
bLS49NadGYc,My Life in Hololive,2025-11-08T17:09:22Z,311014,38445,415
