id,title,publishedAt,viewCount,likeCount,commentCount
DhPf_ob5dPY,【雑談】辛くて…苦しくて…痛かった話💉【ホロライブ / 星街すいせい】,2025-12-13T12:01:28Z,187184,0,94
297ru_VlI6w,"繭と心 / Hoshimachi Suisei 日本武道館 Live ""SuperNova"" ver",2025-12-12T12:00:06Z,77552,0,311
t8xl5Jt62lo,#星街すいせい 新曲「彗星」あなたの好きなシーンは？☄️コメントで教えて📝,2025-12-11T11:21:50Z,128841,0,271
eZqaSCeNfNU,#星街すいせい 新曲「彗星」もう聴いてくれた？✨tuki.ちゃんが作詞作曲を担当🌙,2025-12-09T06:48:36Z,190511,0,296
fPMqgGRvzd0,【にじホロR.E.P.O.】海賊(コスプレ)とケルベロスと錬金術師とアイドルです【ホロライブ / 星街すいせい】,2025-12-08T13:18:42Z,187909,0,67
e37a2QxeYqU,#星街すいせい 新曲「彗星」MV公開☄️作詞作曲は @tuki.music_official,2025-12-06T08:31:36Z,200705,0,303
1YrG2WGeIJo,彗星 / 星街すいせい(official),2025-12-05T09:00:08Z,745549,0,1699
Ddcoq6USQjw,【 告知アリ！】転籍６周年！マシュマロ100本ノック💥【ホロライブ / 星街すいせい】,2025-12-01T11:26:46Z,258201,0,174
ngh1AgxU8gg,【カービィのエアライダー】#ホロのエアライダー みんなでシティトライアル！！【ホロライブ / 星街すいせい】,2025-11-30T14:23:14Z,188666,0,95
-Og7TBaZ3Ac,【 Minecraft / #ラムベガスグランドオープン 】運の悪い私はもういません♪【ホロライブ / 星街すいせい】,2025-11-29T13:37:24Z,232696,0,133
kUKVmh9pjms,【雑談】歯の結果発表～～～！！！！！！！！と近況【ホロライブ / 星街すいせい】,2025-11-21T12:04:08Z,198715,0,115
RUXD_0phhf0,"Hoshimachi Suisei Live Tour 2024 “Spectra of Nova” / Hoshimachi Suisei 日本武道館 Live ""SuperNova"" ダイジェスト",2025-11-14T14:00:02Z,131963,0,365
2xeoAHEoKwM,【再演続報アリ‼】星街すいせいのお仕事に密着⁉ライブの裏側を公開👀【ホロライブ / 星街すいせい】,2025-11-14T13:18:34Z,328592,0,240
tTXBfdlWboc,【 #ホロ鉄千】 一番早く鉄を1000個集めろ‼【ホロライブ / 星街すいせい】,2025-11-13T14:59:29Z,192657,0,57
C8q07j-iqUE,【告知アリ!!】VRchatで新髪形お披露目‼めっちゃかわいい♪【ホロライブ / 星街すいせい】,2025-11-10T11:14:16Z,293918,0,182
mQy7pgEslwM,GET THE CROWN / Hoshimachi Suisei Live Tour 2024 “Spectra of Nova” ver,2025-11-10T11:00:06Z,286119,0,426
pZr7E4n6CsQ,"ビビデバ / Hoshimachi Suisei 日本武道館 Live ""SuperNova"" ver",2025-11-05T09:00:06Z,647903,0,731
tuf1ntsGucY,お前は誰だ!?!?!?みんなはわかったかな？✨　@TakaneLui,2025-11-02T11:35:02Z,392511,0,323
fUZwDaLJFPs,【#ホロ鉄千】マイクラで鉄インゴット1000個集めるタイムアタック‼【ホロライブ / 星街すいせい】,2025-10-25T12:40:38Z,204757,0,81
WNUJdRsBi1o,【歌枠 / 大告知アリ！】鼻ドスを乗り越えてうたう‼ 告知はみんな待望のアレ【ホロライブ / 星街すいせい】,2025-10-24T13:13:20Z,391509,0,298
N2Y9YGZJ2hc,【Shadowverse: Worlds Beyond】シャドバ初心者が強くなるまで💪✨ランクとデッキ構築【ホロライブ / 星街すいせい】,2025-10-23T11:11:29Z,223445,0,80
P7rAaf8veas,【おにぎり屋さんシミュレーター】明太子おにぎりがだ～いすき！🍙【ホロライブ / 星街すいせい】,2025-10-18T12:16:18Z,198772,0,82
eDUFvX2cU9g,【近況報告雑談】です！！！！！！！！！！！！！！！！【ホロライブ / 星街すいせい】,2025-10-13T11:56:04Z,258860,0,138
