id,title,publishedAt,viewCount,likeCount,commentCount
H6k_0wU_Qew,【#ホロドラゴンマイクラ】第四話 まだ知らないモンスターが、いる！？【一条莉々華/hololive DEV_IS ReGLOSS】,2025-12-12T15:31:34Z,27190,3336,49
pleahS_jDX4,【#ホロドラゴンマイクラ】第三話 空を飛べるかもしれないんですか！？【一条莉々華/hololive DEV_IS　ReGLOSS】,2025-12-11T15:26:48Z,50832,5191,61
A573FfUo20E,【ちょっとだけおはよう】最近ラノベがアツイ【一条莉々華/hololive DEV_IS ReGLOSS】,2025-12-08T23:11:31Z,56046,5207,125
KMdAA5zLtlg,【#ホロドラゴンマイクラ】第一話 まずは食べ物を整えるべきですか！？【一条莉々華/hololive DEV_IS　ReGLOSS】,2025-12-08T14:46:01Z,65821,5399,58
gyFfnt48Lmg,【#holoindie】みこ先輩が主役のゲーム！！ホロメン沢山出るらしい！！【一条莉々華/hololive DEV_IS　ReGLOSS】,2025-12-05T15:21:16Z,99639,6269,63
pgYSmjOUbHU,【イナズマイレブン 英雄たちのヴィクトリーロード】※最終回！ネタバレ注意　雨道未理科ちゃん役が遊ぶイナイレ！サッカーやろうぜ！！part9【一条莉々華/hololive DEV_IS ReGLOSS】,2025-12-04T15:53:55Z,85593,3986,86
m45zkmBHxLI,【#holoIndie 応援大使🎮】お知らせ盛りだくさん！2周年を皆と一緒にお祝いしよ～～！【#一条莉々華 / ホロライブ】,2025-12-03T12:40:40Z,73118,6558,100
cXrLhP-vpgA,【定期雑談】12月ってほんとぉ！？！？ #17【一条莉々華/hololive DEV_IS　ReGLOSS】,2025-12-01T16:00:44Z,33913,3719,83
TzHuLpBN2Mo,【#ホロのエアライダー】シティトライアルで勝負だーーっっ✨✨【一条莉々華/hololive DEV_IS ReGLOSS】,2025-11-30T14:14:32Z,40623,4397,65
EAFyNsTjC6k,【初見プレイ】カービィのエアライダー練習するぞぉぉ✨【一条莉々華/hololive DEV_IS ReGLOSS】,2025-11-29T15:44:29Z,39365,3510,55
WMOK0ERbpRU,【イナズマイレブン 英雄たちのヴィクトリーロード】※ネタバレ注意　雨道未理科ちゃん役が遊びつくすイナイレ！！サッカーやろうぜ！！part8【一条莉々華/hololive DEV_IS ReGLOSS】,2025-11-28T15:46:07Z,47805,2720,68
xsH3ZjeC5Ak,【イナズマイレブン 英雄たちのヴィクトリーロード】※ネタバレ注意　雨道未理科ちゃん役が遊びつくすイナイレ！！サッカーやろうぜ！！part7【一条莉々華/hololive DEV_IS ReGLOSS】,2025-11-27T15:42:26Z,51934,3077,64
bBpGLnZvWo4,なんか一人酔っ払いいる？黒子ちゃんと踊ってみた #uchida #shorts #hololive,2025-11-26T10:14:40Z,261390,13279,414
7vbq7PWd8ps,冤罪だ！！！！！！悪いのは誰？？？！#shorts #reglossの日常 #hololive,2025-11-25T09:37:45Z,187041,15151,570
r6SJFVqVc8s,【定期雑談】もう1週間経ってるってこと！？！？ #16【一条莉々華/hololive DEV_IS　ReGLOSS】,2025-11-25T05:15:16Z,33863,3683,83
baEVk0deD-U,【phasmophobia】ホラーデート…ってこと…？【一条莉々華/hololive DEV_IS　ReGLOSS】,2025-11-24T12:43:31Z,51613,4703,55
