id,title,publishedAt,viewCount,likeCount,commentCount
SeHGEcAQ16s,The Warframe Community Is AWESOME,2025-12-14T07:57:33Z,10474,1150,199
xL4W6dI79Kw,Obsessed Stans Are Scary..,2025-12-14T05:54:57Z,16138,2030,223
tPddAfl_SXk,Camila Invited Me For A Tea Party!,2025-12-13T23:08:48Z,17254,1602,133
PgRtFiKF29k,I Was Getting Bullied..,2025-12-13T07:50:15Z,21697,1259,15
Phs0VRUGnSo,Elden Ring Marathon Took Longer With Connor..,2025-12-13T00:59:46Z,115984,5321,34
pLfny0go7Ns,I Got The Best Ending..,2025-12-12T07:15:07Z,22606,1119,15
3rQC4f1KxDE,I Died..,2025-12-12T06:16:50Z,42357,2377,40
uMy-k06jKAI,Connor Can't Be Sober Around Me..,2025-12-11T02:45:05Z,72579,4372,61
wQr5mPtoMw8,My Favorite Experience of All Time..,2025-12-11T00:45:27Z,68967,4069,49
3gAjqT3aTw4,Connor Took Me To Las Vegas' Scariest Attraction..,2025-12-10T21:30:01Z,46365,1846,175
ZixxY5XriWg,My Mom's A Little Clueless..,2025-12-10T04:45:03Z,432363,20456,150
TJE3adXJO9I,Ironmouse & MarcoMeatball Perform Lullaby of the Manifold!,2025-12-10T02:45:03Z,82663,5086,51
jtAbozvwku8,Ironmouse Plays Arknights: Endfield!,2025-12-10T00:11:20Z,30743,1758,68
TmHDO2FaUpM,I Didn't Expect Him To Be Here!,2025-12-09T23:39:04Z,366416,19245,88
wgfnqgXM_5E,This Boss Music Is Too Good..,2025-12-09T04:30:43Z,36762,1814,16
BTmTRpIrhHM,Ironmouse & MarcoMeatball Perform We All Lift Together!,2025-12-09T02:50:12Z,74147,5132,103
wYHOdC_hbsw,Ironmouse & Connor Meet Sketch & KatieB!,2025-12-09T01:41:47Z,65079,3328,50
SpPMam84zis,Connor Finally Took Me To OMEGA MART In Las Vegas!,2025-12-08T23:15:05Z,109524,5555,259
A8z6989oOoY,Radahn Doesn't Understand Personal Space..,2025-12-08T01:30:18Z,53125,2497,42
RdR3gcK8WE8,I Love This Game..,2025-12-07T23:20:48Z,46109,2906,54
wSiPORtP-M4,The 2025 Streamer Awards..,2025-12-07T22:30:13Z,61360,3187,376
rj8QQqvsd8s,Ironmouse & MarcoMeatball Perform At The Streamer Awards!,2025-12-07T04:08:25Z,238915,25701,1468
-a_74_jOqhA,Ironmouse & Connor Have Arrived To The Streamer Awards!,2025-12-07T00:57:25Z,45873,3117,151
76mJtNJwYtA,Orphan Of Kos PTSD..,2025-12-06T07:15:00Z,41027,1997,27
HSTefzEID3I,This Boss Was INSANE!,2025-12-06T06:49:59Z,55881,2050,25
cAVZ3KUdAfY,Try Not To Ragebait Mouse Challenge Impossible..,2025-12-06T05:15:09Z,86921,3819,25
lenCvPJqxyg,Connor Needs Correction..,2025-12-06T03:37:52Z,88673,3266,27
qCfYn69-M2w,I think I'm in love with daily dose..,2025-12-05T20:15:07Z,99916,4996,258
4CFvuWjpIPg,TTYL Ft. Ironmouse,2025-12-05T17:15:01Z,104557,11398,457
XBVit2xd-xY,I Want To Make A Spanish Song With Numi!,2025-12-05T02:15:06Z,98705,5364,53
pJNitpIGHHw,Our Collab Cafe Was A HIT!,2025-12-05T00:41:26Z,129656,4746,28
kyE8aZDX-Po,TTYL COVER OUT TOMORROW..,2025-12-04T19:15:01Z,28009,1921,36
1jpxxeXdfvE,Bubi & Ironmouse Have Something To Say..,2025-12-04T18:15:01Z,52491,5714,187
UJ4HOXyjQVM,Connor Has Dyslexia..,2025-12-04T02:13:38Z,238468,10168,101
Relzm4tQ3SU,Connor Is A Troll..,2025-12-03T07:17:39Z,320455,11087,30
Nk94n7CdnrA,Why Does Manny Look Like That..,2025-12-03T04:04:53Z,48558,2392,19
CDtK523sjc4,Connor Surprised Me With Japan's Most Hidden Gem..,2025-12-02T22:01:12Z,72755,3920,212
yB-yxd57suw,I Don't Trust Anybody..,2025-12-02T07:45:10Z,43071,2396,13
C-LgVYFeagA,Why Is Connor So Mean..,2025-12-02T06:15:01Z,90584,3999,36
ilCHH8dcN0k,I HATE CONNOR!,2025-12-02T04:10:59Z,56085,3296,78
T4aeuBpt3VU,Ironmouse Reacts To Macy's Thanksgiving Day Parade!,2025-12-01T20:45:03Z,44349,2385,207
v6_7Ujsjr_o,Connor & Ironmouse FINALLY Beat Radahn!,2025-12-01T18:37:26Z,17125,1129,55
9FTjSMxX8lw,Why Did I Get Called Out..,2025-12-01T07:45:00Z,158343,9366,62
LKR5r-Gr9wc,I Can't Believe This Happened..,2025-12-01T06:39:39Z,70431,4460,30
J3VLKJKM9zs,GRANDPA HAS A GIRLFRIEND?,2025-12-01T04:55:43Z,25713,1992,16
Iu-LGXymk2o,WHAT IS THIS GAME ABOUT,2025-11-30T07:00:29Z,203244,6564,61
aZRiJY1KfiM,Leizu Has Crazy Lore..,2025-11-30T06:09:42Z,47491,3133,52
TPbB5S4P-lE,Ironmouse Reacts To The Super Mario Galaxy Trailer!,2025-11-29T21:56:11Z,40671,2662,140
ODUPl5_gxLk,40 Minutes of Ironmouse Getting Ragebaited..,2025-11-29T20:46:10Z,124783,6257,224
I466c5E5_LU,Ironmouse Reacts To The Funniest Dog Videos On The Internet..,2025-11-29T17:15:01Z,175701,9662,173
B2lDD1JMHXQ,Ironmouse Has Turned Into A Gambler..,2025-11-29T07:37:45Z,38670,2400,26
b85lHrZcnEk,I HATE JUMPSCARES..,2025-11-29T01:15:08Z,44157,2573,24
vNMYuqCDscw,Ironmouse Teaches Her Chat How To Rizz..,2025-11-28T22:25:22Z,28875,1203,77
8Cp_dLBEA0M,My First Death In Prey Was By Helicopter..,2025-11-28T07:04:42Z,95232,3717,38
