id,title,publishedAt,viewCount,likeCount,commentCount
A8arqFH-9_g,【FEROCIOUS】HORROR DINOSAUR SURVIVAL GAME,2025-12-13T15:53:48Z,7812,882,11
YG0WwhRjU9Y,amongst my fish friends #shorts #holoarmis #jurardtrexford,2025-12-13T01:00:47Z,5518,833,25
TvGShnePf1s,seriously someone call CPS already #shorts #holoarmis #jurardtrexford,2025-12-12T01:00:45Z,3967,605,23
jNISCUuiZnI,Brain noises #shorts #holoarmis #jurardtrexford,2025-12-11T01:01:11Z,5050,781,18
1iUT1Xa8jxU,【DISPATCH】FINALLY GOT MY HANDS ON THE GAME OF THE YEAR | FULL GAMEPLAY,2025-12-10T15:38:56Z,25768,1523,32
6u-Euc4n6wM,good morning sleepyhead #shorts #holoarmis #jurardtrexford,2025-12-10T01:00:07Z,4446,706,18
C80gwd2ZP7k,【FINAL FANTASY 14】THE MMO CRAVING IS REAL w/ @girldm,2025-12-09T06:27:35Z,11259,1105,16
jFMW9WzVc8I,The Jurard T Rexford Experience #shorts #holoarmis #jurardtrexford,2025-12-09T01:01:04Z,13324,2096,34
-s9YGhOV48o,what was he doing before the raid #shorts #holoarmis #jurardtrexford,2025-12-08T01:00:03Z,8415,1251,25
CyDkNCjf7Xc,OH NO #shorts #holoarmis #jurardtrexford,2025-12-07T01:00:28Z,21642,2463,46
JD6E1eABgWQ,【ARMIS ANNIVERSARY】LOOKING AT FAN PROJECTS!!,2025-12-06T18:46:50Z,7126,941,12
9io-xXC5eYA,PIZZA WARS #shorts #holoarmis #jurardtrexford,2025-12-06T01:00:14Z,15166,2241,85
S6CSEcvtlrQ,something something holostars bfe #shorts #holoarmis #jurardtrexford,2025-12-05T01:00:43Z,7353,955,44
hdN-I4CZSjQ,【AMONG US】BUSTING OUT MY ULTRA DETECTIVE SKILLS,2025-12-04T05:19:53Z,6872,838,13
PzqiahOuUPk,rock #shorts #holoarmis #jurardtrexford,2025-12-04T01:00:41Z,6627,928,25
SrPQgYECOMA,【BATMAN: ARKHAM ASYLUM】FIRST BATMAN GAME,2025-12-03T17:29:58Z,10691,1043,18
l2rPusRPnmI,someone call CPS #shorts #holoarmis #jurardtrexford,2025-12-03T01:01:06Z,10897,1853,57
xYerc5LJtXc,I'm baby #shorts #holoarmis #jurardtrexford,2025-12-02T01:01:25Z,6733,789,22
J_4O9lyKfJk,I JUST WANTED CHERRIES AND LEMONS #shorts #holoarmis #jurardtrexford,2025-12-01T01:00:33Z,15699,2509,70
Qida2SFP6yY,【YAKUZA ZERO】THE COMEBACK IS REAL,2025-11-30T18:21:45Z,7185,834,9
KRcjXx4hzos,J*llibee date again next week? #shorts #holoarmis #jurardtrexford,2025-11-30T01:00:29Z,10475,1608,56
B22nhi1OJoY,I HELPED #shorts #holoarmis #jurardtrexford,2025-11-29T01:00:13Z,7917,1002,14
2b_3GxhBSiA,【ANNIVERSARY STREAM】A GIANT 'YOU'RE WELCOME' PARTY,2025-11-28T08:36:49Z,7766,1040,13
y3ivqXaH9L0,【TWILIGHT OF THE END】PUBLIC LORE VOICE DRAMA,2025-11-28T04:00:06Z,19015,3264,262
slyMNaP89L4,just the tip #shorts #holoarmis #jurardtrexford,2025-11-28T01:01:23Z,12840,1680,39
rucwFuEaZ4Y,【LEAGUE OF LEGENDS】WHAT HAVE I BECOME!?,2025-11-27T15:16:19Z,12287,1226,9
p-76XgnZT2w,CALM DOWN MAGICAL ARM #shorts #holoarmis #jurardtrexford,2025-11-27T01:01:11Z,9496,1185,34
2JWGx9T8WI4,【RV THERE YET】#VANLIFE w/ THE BROS,2025-11-26T05:22:40Z,11638,1154,15
3VoHtRGYzc0,balls (balls) (balls) (balls) #shorts #holoarmis #jurardtrexford,2025-11-26T01:00:03Z,4078,566,25
Lqb13Q-KorM,【PRISON SIMULATOR】JUSTICE IS MY LOVE LANGUAGE,2025-11-25T16:47:05Z,10753,1173,13
fc7QvY58lds,YOU ARE GONNA GET CANCELLED #shorts #holoarmis #jurardtrexford,2025-11-25T01:00:57Z,8884,1121,24
P2-rEZ2unF4,i too can be an idol #shorts #holoarmis #jurardtrexford,2025-11-24T01:00:36Z,14612,2372,47
oztN3Jpb4-s,RUZE!!!!!!!!!! #shorts #holoarmis #jurardtrexford,2025-11-23T01:01:07Z,13221,1634,22
3mR6Z3maxUg,【SNAIL DEBUT】RETURN OF THE KING,2025-11-22T12:51:09Z,13111,1780,52
R_BN81WCico,ITS ALL THEIR FAULT #shorts #holoarmis #jurardtrexford,2025-11-22T01:00:41Z,24091,2933,90
