id,title,publishedAt,viewCount,likeCount,commentCount
viC-9uCdsCo,【ASMR】月曜夜の朗読ASMR【影山シエン/ホロスターズ】,2025-12-08T15:15:17Z,3904,406,2
R3DmN_8xt78,【MIMESIS】気をつけろ、偽物が混じっているかもし繧後↑縺?°繧峨↑【影山シエン/空星きらめ/柚原いづみ/花之園橙】,2025-12-07T02:05:19Z,1607,272,2
pAQwt__NU-U,【RV There Yet?】最後までドライバーを全うします【影山シエン/花咲みやび/律可/羽継烏有】,2025-12-02T13:52:19Z,2804,365,6
dGp10BYHNfo,【ストリートファイター6】パインアメ買ってきたので豪鬼【影山シエン/ホロスターズ】,2025-11-25T14:42:11Z,2031,303,1
ob_NvtLXPHM,【未解決事件は終わらせないといけないから】全員嘘を付いているらしいので処します【影山シエン/ホロスターズ】,2025-11-23T17:44:27Z,1872,315,4
JQNhu21fNNM,【カービィのエアライダー】あの神ゲーが帰ってきました【影山シエン/ホロスターズ】,2025-11-22T09:26:46Z,2039,307,3
81poqJ4hcWs,【シャドウバースWB】グランドマスターになってやるゥゥ～～～～↑↑【影山シエン/ホロスターズ】,2025-11-18T16:08:35Z,1575,250,3
hExUACzHHX0,【RV There Yet?】運転は任せろォ！ﾊﾞｰﾛﾛﾛﾛｗｗｗ【影山シエン/花咲みやび/律可/羽継烏有】,2025-11-12T19:26:14Z,5150,570,5
g5XJLDbVkHQ,【雀魂】やるか、段位戦【影山シエンホロスターズ】,2025-11-08T14:55:43Z,3236,341,5
WgKTW_Qohu4,【犯人は踊る】季節も犯人もうつろう時期【影山シエン視点】#ホロスタAGF2025,2025-11-03T11:20:40Z,2743,380,4
CNNmhzngwTk,【同時視聴】みやびとツイステアニメ＆Blazing Jewel同時視聴！【影山シエン/花咲みやび/#花獣グミ】,2025-10-31T15:37:18Z,2431,312,0
T-sbOmE78Jo,【 #ドズル社ランド2025】テーマパークに来たみたいだぜぇ【影山シエン/ホロスターズ】,2025-10-29T13:55:37Z,3151,341,2
37Q3hq5ybvc,【雀魂】5億年ぶりの雀魂コラボ！【影山シエン/空星きらめ/柚原いづみ/花之園橙】,2025-10-27T14:13:12Z,1728,301,4
zFPKIsrEsBg,【雑談】秋、どこ行った？【影山シエン/ホロスターズ】,2025-10-23T15:58:43Z,1710,299,6
f7W5wTENEeA,【CloverPit】掴もうぜ、””””””””””””””ユメ”””””””””””””””【影山シエン/ホロスターズ】,2025-10-19T14:41:50Z,1598,296,2
FWTxn1Oxrnc,【Baby Steps】ヤマ、登ります【影山シエン/ホロスターズ】,2025-10-13T16:33:32Z,2074,349,2
QtVEqMX-Pck,【スーパー マリオパーティ ジャンボリー】FREEDAMなメンツでマリパコラボ！【影山シエン/荒咬オウガ/藍月すりっぷ/水凪自由】,2025-10-12T13:35:42Z,8824,689,6
KTv-LHFTuZw,【逆水寒】 影山シエン、逆水寒をプレイしてみる #justice #shorts,2025-10-11T09:00:15Z,5111,421,9
N0BSl-ViwUE,【豊潤サジー】サジスタWEEK！歌ってこーか【影山シエン/ホロスターズ】,2025-10-09T16:01:27Z,2182,386,2
ehGrdONJQ0E,【逆水寒(Justice)】組み合わせ無限大なオープンワールドMMORPGやるぞ！【影山シエン/ホロスターズ】,2025-10-06T00:07:20Z,1492,234,3
7a67DIkBg1c,【ゴブリン・ノーム・ホーン 】エモノ発見！ｲｸｿﾞｰ！【影山シエン/ホロスターズ】,2025-10-03T15:03:05Z,1979,300,3
doBN5Q7_CfQ,【#シエんぼ】ホロスタとあたなるの紫組雑談！【影山シエン/ヨシヅキ参謀】,2025-09-27T14:46:16Z,11185,794,1
n376P4wMvag,【雑談】大運動会お疲れンゴ【影山シエン/ホロスターズ】,2025-09-24T15:03:14Z,2134,360,3
1tYxCLC4i1w,【Fall Guys】8時だヨ！ホロスタ12人全員集合！【影山シエン視点】,2025-09-19T12:36:54Z,2653,378,5
a1_B6WOVpYI,【7 Days to Die】そろそろ拳銃も使います・・・か #04【影山シエン視点】,2025-09-17T16:20:29Z,2596,323,2
MUsbQTyPUxo,【MAGE ARENA】呪文を放て！！ホロスタ魔術王決定戦【影山シエン/花咲みやび/アルランディス/律可/水無世燐央/羽継烏有】,2025-09-16T16:38:56Z,1988,384,1
qHjA3M1Cv_w,や🖐️,2025-09-13T15:35:35Z,4393,636,4
hH2-vw9jXxg,【DEATH NOTE Killer Within】粉☆バナナ！【影山シエン視点】,2025-09-07T15:42:06Z,3312,394,3
s9iZ2F9P5B0,【ネタバレあり】まどマギの映画を11回観に行った男のまのさば #01【魔法少女ノ魔女裁判】【影山シエン/ホロスターズ】,2025-08-30T18:35:17Z,4781,444,6
Hqa59QDvJ7s,【Shadowverse: Worlds Beyond】絶傑の継承者ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!【影山シエン/ホロスターズ】,2025-08-28T14:41:18Z,1711,276,0
4G2CG52z04s,【7 Days to Die】拳で #03【影山シエン視点】,2025-08-27T14:25:28Z,2605,316,2
pl7hHun7hrE,【雑談】もう8月後半【影山シエン/ホロスターズ】,2025-08-24T16:23:51Z,2871,451,3
RLdsZSyHiMY,【7 Days to Die】拳で #02【影山シエン視点】,2025-08-21T17:25:32Z,2897,341,3
Z1RguifrNcM,【R.E.P.O】まぁ運動会前に稼いどきます・・・カ #ホロスターズ大運動会 　【影山シエン/花咲みやび/アルランディス/アステルレダ/羽継烏有/水無世燐央】,2025-08-17T12:49:47Z,4108,479,1
DmVdyRgQ6kU,【7 Days to Die】ホロスタ Days to あたなる【影山シエン視点】,2025-08-16T17:58:05Z,3761,398,4
1JqOpOzYDeo,【FGO】石１０００個持ったか！？引くぞォ！！【影山シエン/ホロスターズ】,2025-08-10T12:28:42Z,14462,765,2
j7wO4JBnh4s,【ASMR】ミ”ーーーーーーーーーーーン”ミ”ン”ミ”ン”ミ”ン”ミ”ン”【影山シエン】,2025-08-09T14:27:16Z,4531,601,11
gxdf70Ho71U,【ノロイヅキ(呪イ憑キ)】ラインは即返す方なのでやり返したいと思います【影山シエン/ホロスターズ】,2025-08-02T16:19:56Z,2971,403,5
CgWbh8I2dQw,【振り返り】ホロスタあたなるコラボとかかなきみとか【影山シエン/ホロスターズ】,2025-07-30T17:08:54Z,6631,467,2
5p-QACO6J6s,【#ホロスタあたなるコラボ】２２時だヨ！全員集合ペアクイズ！,2025-07-28T16:35:02Z,42045,2129,9
Gjgad54PjcY,【R.E.P.O】このメンツ、オタクしかいないのでは・・・？　影山シエン視点【#ホロスタあたなるコラボ】,2025-07-28T11:13:27Z,6815,537,2
ovWVOItgmtM,【歌枠】アニソンを歌いたいという気持ち【影山シエン/ホロスターズ】,2025-07-20T16:21:28Z,5074,636,9
15T-1kBApDM,【ASMR】水曜の涼しい夜に朗読ASMRはいかが？【影山シエン/ホロスターズ】,2025-07-16T19:21:36Z,4943,450,2
KOnmcLG2L8Q,【ツイステ】サバナクロー寮にいそうな奴がプレイするツイステッドワンダーランド#33【影山シエン/ホロスターズ 】,2025-07-12T16:10:07Z,4473,346,2
_sgLno7bZxs,【VRChat】ぶいーちゃで遊ーぶよ【影山シエン/ホロスターズ】,2025-07-10T15:27:17Z,3638,477,2
6bUkfM0-nqA,【#unplan】例のスタジオの簡易３Dで遊ぶunplanズ【影山シエン/花咲みやび/律可/アルランディス】,2025-07-06T10:38:37Z,11569,1262,14
Eb0a2YGlF0w,【ツイステ】サバナクロー寮にいそうな奴がプレイするツイステッドワンダーランド#32【影山シエン/ホロスターズ 】,2025-07-02T16:24:33Z,4916,339,1
aKTwMIomJFQ,【シャドウバースWB】ネメシスウィッチ滅ぼします【影山シエン/ホロスターズ】,2025-06-28T15:05:30Z,1968,291,1
wLzhZJwbNZI,【学園アイドルマスター】トゥルーエンド目指して【影山シエン/ホロスターズ】,2025-06-26T17:08:27Z,2208,326,2
gPV4z-7PAxE,【ASMR】ガチでスタンダードなASMR【影山シエン/ホロスターズ】,2025-06-23T15:23:02Z,24581,1117,20
-azfdeGHBmQ,【DELTARUNE】ケツイ、再び #01【影山シエン/ホロスターズ】,2025-06-21T09:52:12Z,2911,446,4
-ii0PoRsnO0,【雑談】雑談リング【影山シエン/ホロスターズ】,2025-06-19T16:19:50Z,2186,347,2
XHp_FETr0dw,【ツイステ】サバナクロー寮にいそうな奴がプレイするツイステッドワンダーランド#31【影山シエン/ホロスターズ 】,2025-06-17T16:53:47Z,4414,362,3
LbzUu7C0y6o,【R.E.P.O】unplanでガッポガッポよ【影山シエン/花咲みやび/律可/アルランディス #unplan 】,2025-06-13T17:11:08Z,3350,457,4
kEr1roIH2aE,【学園アイドルマスター】初心者（初心者ではない）プロデュース、始めます※ネタバレあり【影山シエン/ホロスターズ】,2025-06-12T16:07:17Z,2631,352,1
iTCi8zNPA4c,【歌枠】月曜夜の歌【影山シエン/ホロスターズ】,2025-06-09T16:46:05Z,5230,673,12
dPYnPfAi8tw,【マリオカートワールド】サバイバルで1位取りたいンゴねぇ！【影山シエン/ホロスターズ】,2025-06-08T16:05:11Z,2330,342,4
T3x1XecBrHg,【マリオカートワールド】Switch2＆マリカワールドｷﾀ━━━(ﾟ∀ﾟ)━━━!!【影山シエン/荒咬オウガ】,2025-06-05T14:28:20Z,2979,420,3
qpAX297QypY,【ストリートファイター6】ご、豪鬼・・・・・？？【影山シエン/ホロスターズ】,2025-06-04T14:15:14Z,1658,287,2
ZrD6bvcP2N0,【ツイステ】サバナクロー寮にいそうな奴がプレイするツイステッドワンダーランド#30【影山シエン/ホロスターズ 】,2025-06-03T16:30:20Z,4678,404,2
vbHiXj5CpZs,【違う星のぼくら 】魔フィア、違う視点なれど【影山シエン/荒咬オウガ】,2025-05-31T16:40:50Z,4201,572,6
5UPGB3PpRYs,【あつまれどうぶつの森 】金曜のチル森【影山シエン/ホロスターズ 】,2025-05-30T16:39:01Z,2569,354,3
l1A9qhjUDeU,【モンスターハンターワイルズ 】ゴウキ貰えるの！？【影山シエン/ホロスターズ 】,2025-05-28T14:54:45Z,2257,319,3
hRqnl5TwJOA,【ストリートファイター6】月曜のランクメッチ【影山シエン/ホロスターズ】,2025-05-26T11:02:30Z,3813,487,3
Fmwm1QDaq80,【#unplan】オリ曲上がったのでその辺の千夜一夜【影山シエン/花咲みやび/律可/アルランディス】,2025-05-21T14:25:30Z,4640,685,10
hLAqsrXcLek,【スト６】MR1500に戻る旅路【影山シエン/ホロスターズ】,2025-05-19T17:14:53Z,3428,500,1
eUwO6TRlYaU,【逆再生キング】！！！！！！！！すまし指目王生再逆【影山シエン/ホロスターズ 】,2025-05-18T14:58:48Z,2328,408,4
iWYIEj57AAY,【モンスターハンターワイルズ 】新PCで歴戦王レ・ダウ挑戦！【影山シエン/ホロスターズ 】,2025-05-15T16:20:50Z,1752,330,4
APhnRPg9ynA,【MV】Moonlight Parade  ／ unplan 【アルランディス×影山シエン×律可×花咲みやび】,2025-05-05T13:30:06Z,61884,3371,156
_HA0syxnapA,【#unplan】おいunplan！重大告知出来るのかい！出来ないのかい！【影山シエン/花咲みやび/律可/アルランディス】,2025-05-05T13:14:05Z,7412,949,3
k3ZuXULXJLo,【#卓友ガーティックフォン】めっちゃおるぞガーチックホン【影山シエン/ホロスターズ 】,2025-05-02T14:45:49Z,2602,428,3
UCf0yLKpen4,ずうっといっしょ！/ Covered by 影山シエン,2025-04-30T13:00:06Z,53413,3522,80
