id,title,publishedAt,viewCount,likeCount,commentCount
pYHGMrIiTuY,【 あつまれ どうぶつの森 】 新衣装で深夜の森【 奏手イヅル / ホロスターズ 】,2025-12-12T16:16:00Z,3205,417,4
K4R4A0rPxiQ,【#ホロスタ人類終末 】終末の眠り姫 【 奏手イヅル (クロックキャット) 視点 】,2025-12-11T14:22:12Z,3158,394,4
R8OBwAaXnds,【Cover】ヒロイン - back number / 奏手イヅル #shorts #歌ってみた #vtuber,2025-12-10T09:30:30Z,20447,2654,65
fzBifgR8OkU,【Unpacking】ゆったり睡眠導入お片付け男【 奏手イヅル 】,2025-12-09T17:57:58Z,6432,682,7
9MDi72S57ME,"【Rakuten esports cup うまいもの争奪戦】今日は俺も 美 少 女【 奏手イヅル w/ 稲荷いろは³ , レグルシュ・ライオンハート³ , 雪芽るみ³ 】",2025-12-06T14:18:15Z,8220,633,4
N-xt8XFItFQ,【新衣装】遅くなりますた【 奏手イヅル 】,2025-12-05T10:13:57Z,9429,1468,24
lAfr5ZPutlo,【Cover】IRIS OUT - 米津玄師 / 奏手イヅル #shorts,2025-12-05T10:10:57Z,27693,3847,53
mtsXPJ3K7cw,【Cover】IRIS OUT - 米津玄師 / 奏手イヅル,2025-12-05T10:00:06Z,57381,6981,249
dKJYMIbijuA,【#ホロスタWinter2025】クリスマスケーキ作り！ 【 奏手イヅル・花咲みやび・アルランディス・夜十神封魔】,2025-12-04T11:49:33Z,12006,1153,14
bJ7QVEO72Bg,【トルービズの秘薬師】深夜チルポーション部【 奏手イヅル 】,2025-12-03T15:42:42Z,2960,373,6
I2wTWAPls98,【Cover】おやすみ泣き声、さよなら歌姫 - クリープハイプ / 奏手イヅル #shorts #歌ってみた #vtuber,2025-12-02T10:30:21Z,33663,3642,107
vNS_pFq3y7I,"【TFT】 本番２日目！ w/ 水無瀬 , 神楽めあ , AlphaAzur , しかめまどか , summertimer【 奏手イヅル 】",2025-11-30T14:03:16Z,4415,378,2
G80Alca4Cqo,"【TFT】 本番1日目！ w/ 水無瀬 , 神楽めあ , AlphaAzur , しかめまどか , summertimer【 奏手イヅル 】",2025-11-29T13:09:20Z,4049,337,4
p89v-L3o0y0,"【TFT】 スクリム！ﾁﾑA w/ 水無瀬 , 神楽めあ , AlphaAzur , しかめまどか , summertimer【 奏手イヅル 】",2025-11-28T17:48:35Z,5056,376,3
YEl90WNSou0,【#ホロスタ人類終末 】人類最後のみなさまへ 【 奏手イヅル (セレスティア) 視点 】,2025-11-27T15:00:16Z,5054,498,5
HcxfRzFh_R8,【Cast n Chill】深夜 雑談しながら釣り 【 奏手イヅル 】,2025-11-26T18:49:48Z,3346,369,5
tgWejHmu7Ks,"【TFT】 顔合わせ！ﾁﾑA w/ 水無瀬 , 神楽めあ , AlphaAzur , しかめまどか , summertimer【 奏手イヅル 】",2025-11-26T15:16:40Z,7357,465,2
OPGbb_Ig4kI,まだ猫は逃げますか？ をやる【 奏手イヅル 】,2025-11-25T16:16:42Z,3381,430,3
Hi4SdfMtOkk,"【スタバレマルチ】３日目 公民館を目指せ w/ 日向まる, 小柳ロウ, アルランディス, 水無瀬, おなつのにびたし【 奏手イヅル / ホロスターズ 】",2025-11-24T11:35:20Z,8577,627,2
u-nxV3XCKPI,"【R.E.P.O.】真・スーパーの皆さんと【 奏手イヅル w/ 夕刻ロベル, 堀西, 稲荷いろは, 光葉エニ, Day1 】",2025-11-23T17:47:51Z,6918,623,5
8xwURUZ4MNc,【TFT】 いまどうなってるんやﾀｸﾃｨｸｽ【 奏手イヅル 】,2025-11-23T09:11:30Z,2657,405,1
HbFmCdvR8LA,【Cast n Chill】深夜 ちょろりと釣り男 【 奏手イヅル 】,2025-11-21T19:03:30Z,3158,402,4
EfwV97zeW58,"【Project Winter】MADな雪山人狼！【 奏手イヅル w/折咲もしゅ, るぅと, 莉犬くん, アマル, 稲荷いろは, ろぜっくぴん, 夢咲ひぽぽ  】",2025-11-20T16:13:28Z,6495,540,2
4h3vx_TTWgU,"【VALORANT】 2日目！スカーミッシュトーナメント 【 奏手イヅル w/ アルランディス, oitaN³ 】",2025-11-17T00:37:49Z,6765,441,6
uw4zaDVTHmw,"【VALORANT】 スカーミッシュトーナメント【 奏手イヅル w/ アルランディス, oitaN³ 】",2025-11-16T00:24:14Z,6345,473,3
ITiZI02JbsU,【 あつまれ どうぶつの森 】 深夜のチル雑談じゃ【 奏手イヅル / ホロスターズ 】,2025-11-14T16:51:15Z,4137,410,4
wlbgShWhqyM,弾き語り歌枠！※ｶﾒﾗなし【奏手イヅル】,2025-11-13T15:41:16Z,9647,1066,15
xLPh9lfidM0,"【ARC Raiders】 急に始める初心者【 奏手イヅル w/ばぁう k, あっと k  】",2025-11-11T17:22:28Z,5125,496,4
nom5vpOIsXw,【Cast n Chill】深夜 まったり釣り男 【 奏手イヅル 】,2025-11-08T17:26:34Z,4073,470,5
Ugq7rEqGQb0,【Cover】プロポーズ - なとり / 奏手イヅル #shorts #歌ってみた #vtuber,2025-11-08T08:30:30Z,48526,5455,90
gBzQ_iQO5rU,【 あつまれ どうぶつの森 】 久々深夜雑談チル森【 奏手イヅル / ホロスターズ 】,2025-11-07T16:17:17Z,4001,423,2
y--nbEwXiQM,【Cast n Chill】深夜 のんびり釣り男 【 奏手イヅル 】,2025-11-05T15:55:29Z,3903,488,2
fQqnRRPq52s,じゃ、歌枠するね… 【 奏手イヅル 】,2025-11-04T13:05:25Z,10882,1141,16
iNNuCtzc9C0,”エスケープ フロム ダッコフ”  を流石にやらせて頂く【 奏手イヅル 】,2025-11-02T16:08:51Z,3764,414,2
CNHOWxgBvwE,【ブリッジキャストワン】最新のゲーミングオーディオミキサー使って二人でOW２！【 奏手イヅル 】,2025-11-01T12:08:18Z,3243,543,2
gfA5AvctJ6c,#MADTOWN 10/31 最終日店員【 奏手イヅル 】,2025-10-31T17:23:00Z,13474,738,8
n57O4f6Kr2U,#MADTOWN 10/30 あと二日らしい店員【 奏手イヅル 】,2025-10-30T18:18:13Z,12687,629,4
AGHuR3sk_n0,”エスケープ フロム ダッコフ” を俺もやりたい【 奏手イヅル 】,2025-10-28T17:12:41Z,6387,573,3
_smRWvstEQ0,"【Cover】ノーダウト - Official髭男dism / 奏手イヅル, 鯨木, ビエラ",2025-10-27T09:46:31Z,36577,2749,23
1zf9BXwDTWY,"【Cover】ノーダウト - Official髭男dism / 奏手イヅル, 鯨木, ビエラ",2025-10-27T09:00:07Z,71586,5059,132
_9XBykPsik0,#MADTOWN 10/25 夜勤店員【 奏手イヅル 】,2025-10-25T18:11:17Z,17125,952,12
3qaCBjxGx00,#MADTOWN 10/24 ここに骨をうずめる店員【 奏手イヅル 】,2025-10-24T18:28:17Z,26951,1010,3
tzzMSn0u8HY,【Cover】IRIS OUT - 米津玄師 / 奏手イヅル #shorts #歌ってみた #vtuber,2025-10-23T08:30:30Z,116016,8551,188
rSO34NAMXQA,#MADTOWN 10/19 珍しく早番スーパー店員【 奏手イヅル 】,2025-10-19T18:24:34Z,19790,890,5
MplLG8GMmhM,#MADTOWN 10/17 夜勤のスーパー店員【 奏手イヅル 】,2025-10-17T18:10:26Z,7506,470,2
Yb3HtJo6rO0,【 あつまれ どうぶつの森 】 珍しい早朝の森【 奏手イヅル / ホロスターズ 】,2025-10-17T02:23:01Z,3457,407,3
3BhLul8UXFc,#MADTOWN 10/15 3週目のベテランスパ店【 奏手イヅル 】,2025-10-15T18:15:20Z,11736,601,4
kMJ_nTcqJcs,"【 FFL Delta Force ~天使vs悪魔~ 】 闇の悪魔軍【 奏手イヅル w/ アルランディス, おなつのにびたし, 巫神こん 】",2025-10-15T13:21:11Z,4513,446,1
m3p9ZTfTtGU,"【R.E.P.O.】スーパーの皆さんと【 奏手イヅル w/ 夕刻ロベル, 堀西, 稲荷いろは, 光葉エニ 】",2025-10-13T16:57:44Z,7756,712,4
oOzijvaO7MU,デスバーガー をやる【 奏手イヅル 】,2025-10-13T13:16:21Z,3580,454,4
3OrxaOeanQI,#MADTOWN 10/12 作業服増やしてﾌｧｱﾑ【 奏手イヅル 】,2025-10-12T18:24:12Z,22354,935,6
qR1D2WpD50k,おにぎり屋が好きだ【 奏手イヅル 】,2025-10-12T10:21:14Z,5578,626,2
aN2Lx8_yr7U,#MADTOWN 10/10 本日もにゅるりと店員【 奏手イヅル 】,2025-10-10T18:20:49Z,14860,686,5
NLSF3OtNZZg,#MADTOWN 10/08 滑り込み店員【 奏手イヅル 】,2025-10-08T18:12:38Z,9896,573,5
hQegDKOsTmg,""" メグとばけもの "" と【 奏手イヅル 】",2025-10-07T18:33:01Z,4519,522,6
TUa8icRR_KM,#MADTOWN 10/05 遅番店員【 奏手イヅル 】,2025-10-05T18:15:36Z,10752,599,4
28Va_Sjp0gs,【豊潤サジー】サジスタWEEK！雑談と歌！【 奏手イヅル】,2025-10-05T12:08:45Z,4437,635,5
9EFDq24IYMs,#MADTOWN 10/04 大荒れの街でｽﾊﾟ店【 奏手イヅル 】,2025-10-04T18:25:06Z,18169,856,5
AYDgLQKxSF4,【 あつまれ どうぶつの森 】 自分自身を寝かしつける森【 奏手イヅル / ホロスターズ 】,2025-10-03T19:08:58Z,3536,374,3
5x8-h4rqV4w,#MADTOWN 10/02 チルくスーパー店員【 奏手イヅル 】,2025-10-02T18:30:02Z,13438,716,3
x_otm1of1AA,#MADTOWN 10/01 ゆるっと見て回るやつ【 奏手イヅル 】,2025-10-01T18:16:31Z,17282,923,5
_54XupGytPc,ひとつまみのカラオケ歌枠 【 奏手イヅル 】,2025-09-28T12:18:58Z,12374,1234,10
s1TIFkR-NKs,"No, I'm not a Human をやる【 奏手イヅル 】",2025-09-27T17:50:40Z,5570,581,4
7j6V7xwUcBs,🍒足の裏筋肉痛 雑談 【 奏手イヅル 】,2025-09-24T16:48:44Z,6507,669,6
KVboPFBfbfc,【Cover】チェリーポップ - DECO*27 / 奏手イヅル #shorts,2025-09-24T09:00:35Z,52770,3760,22
gygplp5em60,【Cover】チェリーポップ - DECO*27 / 奏手イヅル,2025-09-22T09:00:06Z,140333,6653,223
Nf0kaDn-hxM,【DEATH NOTE Killer Within】デスノート人狼!! をやるぞ！！ 【奏手イヅル 】,2025-09-21T15:52:11Z,10807,749,7
9kpt3dsk92A,【 あつまれ どうぶつの森 】 眠れない人のため、ゆるい森【 奏手イヅル / ホロスターズ 】,2025-09-20T17:08:21Z,4597,472,3
DXNF3U1ahb4,ゴブリン・ノーム・ホーン をやる【 奏手イヅル 】,2025-09-20T09:44:18Z,4453,524,4
U1Nf2TjlQ_Q,【FALLGUYS】#ホロスタ大運動会 前哨戦ともいえる【 奏手イヅル 】,2025-09-19T12:25:06Z,5555,653,8
rpQWt7E6t8k,【LOL】ｽｸﾘﾑ！助っ人サポ~ LTK ST Next ~【 奏手イヅル 】,2025-09-17T10:22:24Z,5114,380,3
vZvvgfXB7oc,【LOL】助っ人サポ~ LTK ST Next ~【 奏手イヅル / ホロスターズ】,2025-09-15T18:04:17Z,8378,523,2
Achuvd18rcg,弾き語りする 【奏手イヅル】,2025-09-15T04:33:53Z,12953,1266,11
h1GUwm6pzTY,"【スタバレマルチ】2日目 公民館を目指せ w/ 日向まる, 小柳ロウ, アルランディス, 水無瀬, おなつのにびたし【 奏手イヅル / ホロスターズ 】",2025-09-14T12:10:32Z,7800,627,3
Gnrr4GbQ3o0,"【スタバレマルチ】1日目 みんなで農場再建！w/ 日向まる, 小柳ロウ, アルランディス, 水無瀬, おなつのにびたし【 奏手イヅル / ホロスターズ 】",2025-09-13T11:59:13Z,10891,777,4
mTRxRx89w1k,【Stardew Valley】夕方にもチルは存在する農場【 奏手イヅル / ホロスターズ 】,2025-09-12T11:48:21Z,4412,432,2
_W-O6tAYxPA,【Stardew Valley】駆け込み深夜のチル農場【 奏手イヅル / ホロスターズ 】,2025-09-10T18:26:23Z,4877,456,3
9b2G0spbG9s,闇鍋人狼 をやるぞ！ w/ アルランディス 絲依とい³ カワクラ³ 【 奏手イヅル / ホロスターズ 】,2025-09-10T12:29:59Z,4349,494,1
lQeASJYaeRY,【Dinkum】恐らく最後の島開拓 w/ 🌺 🕯 🦔🃏 【 奏手イヅル / ホロスターズ 】,2025-09-09T16:23:44Z,3674,407,2
35veQuQ0zQg,【 あつまれ どうぶつの森 】 深夜のチルい睡魔の森【 奏手イヅル / ホロスターズ 】,2025-09-07T17:56:29Z,3787,437,3
Zu8aS259Gf8,【Stardew Valley】深夜の安眠農場【 奏手イヅル / ホロスターズ 】,2025-09-04T18:55:50Z,4608,500,6
tVY6nx67Ojk,【チームファイト タクティクス】TFTダブルアップカスタム【 奏手イヅル / ホロスターズ 】,2025-09-03T13:58:54Z,4605,446,3
oYAKZD_GICg,【LOL】かすたむ w/ AlphaAzur kinako³ KH³ 釈迦³ かみと³ やうじ イブラヒム³ 日裏クロ うるか³【 奏手イヅル / ホロスターズ】,2025-08-31T15:30:43Z,10297,563,3
ruxq-Fdx7YI,【Dinkum】チルい島開拓 w/ 🌺 🕯 🦔🃏 【 奏手イヅル / ホロスターズ 】,2025-08-30T19:09:41Z,4828,446,2
RWthWuNF6g8,【 あつまれ どうぶつの森 】 チルくやる 深夜の森【 奏手イヅル / ホロスターズ 】,2025-08-29T18:38:39Z,4932,492,4
bMnqvVdmQC0,【Stardew Valley】眠れない人おいで農場【 奏手イヅル / ホロスターズ 】,2025-08-28T18:18:45Z,4659,522,2
MFDF8tpSn5o,【TFT】本番！TFTを1から学ぶ！FAST8【 奏手イヅル / ホロスターズ 】,2025-08-24T15:48:44Z,3924,394,4
ItgzVHQLzec,【TFT】TFTを1から学ぶ！FAST8 二日目その２【 奏手イヅル / ホロスターズ 】,2025-08-24T00:59:13Z,3371,344,4
PWXEhfnQAf4,【TFT】TFTを1から学ぶ！FAST8 二日目その１【 奏手イヅル / ホロスターズ 】,2025-08-23T21:52:45Z,6078,519,2
2nJ3WgKimMY,【TFT】TFTを1から学ぶ！FAST8 まずは初心者講習【 奏手イヅル / ホロスターズ 】,2025-08-22T21:33:28Z,7786,615,3
u8a2mBr0iGE,【VALORANT】ひさびさのヴァ【 奏手イヅル / ホロスターズ 】,2025-08-21T21:23:53Z,5769,570,2
AaUGP2z2q4I,【Stardew Valley】深夜のチル農場【 奏手イヅル / ホロスターズ 】,2025-08-19T17:50:37Z,5089,556,3
yB1osUWGxRY,【League of Legends】ふるぱきたー！w/ 歌衣メイカ³ 木村良平³ るぅと³ とおこ³【 奏手イヅル / ホロスターズ 】,2025-08-18T16:35:12Z,9300,678,4
kPo215zvI2c,【 あつまれ どうぶつの森 】 眠りたい人のための森【 奏手イヅル / ホロスターズ 】,2025-08-15T16:15:35Z,4071,472,3
OHv65uxe4gQ,【Stardew Valley】眠れない人のための農場 【 奏手イヅル / ホロスターズ 】,2025-08-14T19:02:29Z,6323,662,4
