id,title,publishedAt,viewCount,likeCount,commentCount
zIXB52E-cmc,Freetalk Malam Bentaran,2025-12-12T05:17:21Z,609,149,0
ZX6gUbCoGaQ,Yuk Explore Game Ini,2025-11-27T18:19:13Z,402,85,1
DdjCxzkRsjQ,"Belajar YSS, Kalo Cupu Kita Ganti Game WKWK",2025-11-25T12:39:32Z,812,123,1
Fjesoy4HbZw,3... 2... 1... GO... SHOOT!!! BEYBLADE X MINI TOURNAMENT!!!​,2025-11-17T17:31:20Z,7547,882,0
ekKosSR2RkA,The Human World #7Glory #Glorix7Town,2025-11-04T18:24:15Z,5221,957,2
IF0A3_7yi8c,[Backseat Drivers] Diajarin Nyetir Sama Curut with @JellyCB14,2025-11-03T16:08:52Z,481,103,1
SRs14DI6q_k,The Kingdom of the Dragon #7Glory #Glorix7Town,2025-10-26T16:54:03Z,5592,1683,1
G7kYkfdFuPc,Sunrise Still Had Stars,2025-10-12T16:50:11Z,3354,1245,1
ud3fEsRtgKo,DIRGANTARA! - Pak Yoo - Bakwan Fight Back Episode 48 [Minecraft Roleplay],2025-10-10T01:51:59Z,2887,271,6
BRJSZ5PStlY,Mourn #7Glory #Glorix7Town,2025-10-09T19:15:32Z,6188,833,0
Heq3PsP-7vA,The Truth #7Glory #Glorix7Town,2025-10-08T20:05:40Z,3113,477,0
m6Q4jE9sCBI,Learn... and? #7Glory #Glorix7Town,2025-10-02T18:02:48Z,6725,955,1
QZHU1uYSM2Q,Home... #7Glory #Glorix7Town,2025-09-28T20:56:41Z,13614,2428,3
6UJzFN-Pu_g,The Mortal Life #7Glory #Glorix7Town,2025-09-24T17:24:00Z,6327,1141,3
gtD7xd8VFKU,KEBENARAN AKAN TERUNGKAP - Pak Yoo - Bakwan Fight Back Episode 47 [Minecraft Roleplay],2025-09-23T01:47:25Z,6600,450,15
VFzQf-S3xJQ,A Tales From The Heaven #7Glory #Glorix7Town,2025-09-21T15:31:02Z,18129,3205,15
pWfukFBEPcE,[WHISPER MOUNTAIN OUTBREAK] MENCOBA MERATAKAN ZOMBIE,2025-09-16T15:38:36Z,578,134,2
7j2Hf_1RodI,[ROBLOX] CHALLENGE SUMMIT MOUNT YAGATAW TANPA CHECKPOINT! DONATE 50K = RESET,2025-09-14T10:18:18Z,698,147,0
axoadZffPbc,BANGGA! - Pak Yoo - Bakwan Fight Back Episode 46 [Minecraft Roleplay],2025-09-13T01:15:01Z,5290,383,16
mB0HAk0i2pM,[ROBLOX] DANDAN + MENCOBA MENAMATKAN MOUNT YAGATAW,2025-08-26T17:54:59Z,812,139,1
KGaGBjfURAk,ANNOUNCEMENT PESERTA LOMBA CHAO.5,2025-08-20T22:13:08Z,501,103,0
fAyoVypZUkQ,[MAGE ARENA] TUKANG SIHIR TERBAIK 2025,2025-08-20T15:12:18Z,532,122,1
l18WxA59xCk,[WHISPER MOUNTAIN OUTBREAK] GAME LOKAL SEBAGUS INI? SUMPAH?,2025-08-13T17:09:16Z,712,128,2
fXCRi4bCE2o,Kejadian Kecil #NoirRoleplay,2025-08-07T20:18:29Z,3113,444,1
3RDSXqdLUy8,Mau Liat Gameplay Bronze Lucu? Sini Masuk [VALORANT],2025-07-30T18:14:56Z,908,143,0
R_tbwEmRdRs,PRAKTEK GELAP - Pak Yoo - Bakwan Fight Back Episode 45 [Minecraft Roleplay],2025-07-29T01:42:59Z,15459,886,43
VW1OoyrT_Jc,[UMAMUSUME Pretty Derby] KITASAN BLACK HERE WE GO!!,2025-07-22T18:37:26Z,569,129,0
ZApQKNFiV8w,5Roots : Akhir Hidupku - Pak Yoo - Bakwan Fight Back Episode 44 - [Minecraft Roleplay],2025-07-18T12:45:04Z,10601,683,159
Jzrlkeki_NI,1st step #NoirRoleplay,2025-07-11T18:21:01Z,4519,758,0
5wuuvNQcJ2A,Mencari Kehidupan #NoirRoleplay,2025-07-10T19:30:56Z,6113,838,1
hV8aMRYa_t0,"[UMAMUSUME Pretty Derby] Happy Happy Darling, 3..2..1.. GO FIGHT!!",2025-07-09T19:42:45Z,1706,306,0
i_B6UGAXbQ4,5... #NoirRoleplay,2025-07-03T18:29:37Z,13022,2723,1
tDG7Y7_F_1g,[PEAK] Tadinya Mau Spyfall Cuma Jadinya PEAK,2025-06-27T13:00:26Z,1939,271,0
K8bxrO405qI,EVE Wajib Punya! #NIKKExStellarBlade #EveInNikke #RavenInNikke #shorts,2025-06-12T09:07:32Z,30220,2878,42
UN8Y5pEvM6Y,NIKKE COLLAB SAMA STELLAR BLADE? SERIUS? #NIKKExStellarBlade,2025-06-07T23:31:03Z,1064,150,0
GuKIFL-FMeY,[AMONG US] HUAHAHAHAHA AKU IMPOSTOR with CHAO.5 & SOL.4CE,2025-06-06T22:51:55Z,3070,636,0
pwwAiBkW3U4,APAPUN DEMI SEBUAH INFO - Pak Yoo - Bakwan Fight Back Episode 43 [Minecraft Roleplay],2025-06-05T01:21:36Z,26004,1329,86
uwDBFcUKNwc,[APEX LEGENDS] Intinya Aku Digendong Sama @Paulaarchie_ & @AliciaRavenna,2025-06-02T15:03:27Z,935,148,0
tszAkD5q9Ho,LANGKAH BERAT! - Pak Yoo - Bakwan Fight Back Episode 42 [Minecraft Roleplay],2025-05-22T02:09:29Z,6823,446,17
4ALKvxT_vOA,[APEX LEGENDS] Masih Coba Grind Aim Baru Bangun,2025-05-21T19:22:50Z,462,73,0
S-ggyvbHzxM,[Summer of 58] VTUBER INI BERANI MAIN GAME HORROR DI MALAM JUMAT,2025-05-16T04:19:08Z,993,173,0
sb2JTC9lBP0,KACAU! BERANI BERANINYA - Pak Yoo - Bakwan Fight Back Episode 41 [Minecraft Roleplay],2025-05-08T01:16:14Z,21021,1084,69
mbYq_M0meBw,!! Koh Acuk New Outfit Reveal !!,2025-05-05T14:04:51Z,10940,2288,19
pOmWlPP5v5M,"Oh tidak, cucu #gtav  #gtarp",2025-05-03T16:37:57Z,6109,1368,0
3mGZFViNbuk,!!NEW OUTFIT!!,2025-05-01T03:00:04Z,4438,332,19
uhUJkm5r1Fw,[VALORANT] 3 TAHUN GA PERNAH STREAM VALO!! Kata Kimi game jelek,2025-04-30T16:20:20Z,963,232,0
mkAV8gDewwQ,[RAGNAROK V RETURNS] Lanjut Quest! Kejar Level!,2025-04-30T05:16:34Z,582,106,0
bMMyS9JUq8E,[AO ONI] VTUBER INI DIKEJAR ANOMALI UNGU BESAR,2025-04-29T04:04:50Z,883,172,0
ga64jR09YmQ,1... #shorts,2025-04-29T03:00:50Z,8086,573,8
A81UJbjDRng,I'm Back #gtav  #gtarp,2025-04-27T03:53:09Z,9435,1582,0
sqTmjdew6ME,2... #shorts,2025-04-26T03:00:59Z,5947,565,14
iEBessybHlM,3... #shorts,2025-04-23T03:00:46Z,5390,509,15
fSjSvgEr3JE,"Minggu Malam, Jalan Yuk #TNF #TNMC",2025-04-20T17:14:38Z,5219,1327,2
R03jpi8RC_I,Airport #TNF #TNMC,2025-04-15T18:09:40Z,13050,1524,5
DSmE_IS7zRQ,EMERGENCY #TNF #TNMC,2025-04-14T17:55:32Z,16235,2960,0
-XpmuBIjAJw,"Udah gila, ga ngerti lagi #TNF #TNMC",2025-04-07T16:56:19Z,5220,1058,7
RqQF7bS3UIM,The answer is... Hard #TNF #TNMC,2025-04-03T19:18:39Z,16640,3068,2
c8FGAk37eu8,Sabtu Waktunya Apa????? #TNF #TNMC,2025-03-29T18:57:36Z,18669,2829,2
1pbLcBieq8A,Suit and Tie #TNF #TNMC,2025-03-23T20:04:08Z,9286,1485,1
cSvi7RLy-SM,Damn HOT #TNF #TNMC,2025-03-21T21:29:39Z,23136,2759,5
1TfhgxwunAk,SALAH LANGKAH - Pak Yoo - Bakwan Fight Back Episode 40 [Minecraft Roleplay],2025-03-21T03:13:47Z,13635,836,37
qFLyjbyjfmY,Ada yang baru #TNF #TNMC,2025-03-18T20:38:27Z,8009,1367,3
E-6VIBD4fmA,BAHAYA ATAU TIDAK? - Pak Yoo - Bakwan Fight Back Episode 39 [Minecraft Roleplay],2025-03-14T03:04:23Z,5771,419,15
