id,title,publishedAt,viewCount,likeCount,commentCount
lE3IF-hVVek,【ALSTOURMERIA?】LET'S SAIL ON THE MAJESTIC 'VATERLAND'【NIJISANJI  | Layla Alstroemeria】,2025-11-09T16:09:58Z,1258,298,2
hMuKYoJlkhY,【R.E.P.O.】Katanya Ada Guguk yang Mesti Dielus Terus Yak?【NIJISANJI | Layla Alstroemeria】,2025-11-08T14:43:56Z,889,246,4
cKY5b3WrQas,【Silent Hill f】Pt.4 - HAHAHAHAHHAHAHAHAHAHAHAHAHAA【NIJISANJI | Layla Alstroemeria】,2025-11-05T15:41:09Z,665,206,5
pCOFbu8MCsE,【WORK + FREETALK】Trying Pomodoro System - CoWorking Stream Ep. 2【NIJISANJI  | Layla Alstroemeria】,2025-10-29T00:24:24Z,848,190,7
J59-UUPBHH0,【RATATAN】BEATING THE BEATS WITH @RaiGalilei 【NIJISANJI | Layla Alstroemeria】,2025-10-28T17:19:10Z,1037,241,2
uJimqPGg9bo,【Silent Hill f】Pt.3 - WEAPON MANAGEMENT【NIJISANJI | Layla Alstroemeria】,2025-10-20T22:32:03Z,707,203,2
fW-k_Nz2KNM,【Silent Hill f】Pt.2 - I CAN FIGHT THE MONSTERS!!! -SPOILER WARNING-【NIJISANJI | Layla Alstroemeria】,2025-10-09T22:37:20Z,912,239,5
0XNaeX2HZ3s,【R.E.P.O.】GA TAU GA PERNA MAEN TAPI KATANYA SEREM BENER GA【NIJISANJI | Layla Alstroemeria】,2025-10-04T15:05:47Z,1451,351,6
CxCrJq0_osY,【Silent Hill f】Pt.1 - Let's Check This Fog -SPOILER WARNING-【NIJISANJI | Layla Alstroemeria】,2025-10-03T16:01:13Z,1332,303,1
U8txW-6uYM8,【ALSBIRTHMERIA25】Birthday is a good day to have fun【NIJISANJI  | Layla Alstroemeria】,2025-09-27T14:54:01Z,1544,403,15
snr7e-bMCjw,【WORK + FREETALK】Trying Pomodoro System - Work Stream【NIJISANJI  | Layla Alstroemeria】,2025-09-24T13:33:39Z,1178,258,2
DEo2iFjk9zw,【FREETALK】OK【NIJISANJI | Layla Alstroemeria】,2025-09-21T08:32:56Z,1062,259,6
pxuRwpfnTQo,【Aotenjo #2 + FREETALK】Braining While Talking【NIJISANJI | Layla Alstroemeria】,2025-09-19T18:38:06Z,1213,273,6
K52-89W5zAU,【PEAK】CLIMBING TOGETHAAA!!【NIJISANJI | Layla Alstroemeria】,2025-08-02T15:36:49Z,2005,419,10
Yb-vL-1uo4A,【FREETALK】Hello How Are You I'm Fine Thank You and You?【NIJISANJI | Layla Alstroemeria】,2025-08-01T13:08:02Z,2501,482,12
EgxnepbBgXc,【WAR THUNDER】RIDING THE TANK AGAIN WITH @yaboishiru !!【NIJISANJI | Layla Alstroemeria】,2025-05-16T15:31:14Z,2791,391,4
u6cWMJq3ka8,【My Little Puppy -DEMO-】WOOF LAND【NIJISANJI | Layla Alstroemeria】,2025-04-26T03:36:04Z,1390,277,2
