id,title,publishedAt,viewCount,likeCount,commentCount
w2gAygQ7VKA,Mencoba mengubah HP Android menjadi LCD untuk menampilkan statistik PC Komputer [vTuber Indonesia],2025-12-09T08:01:15Z,8413,323,102
KlUX0FFCxXk,Mencoba RAID untuk menggabungkan beberapa HDD dan SSD di Linux dan Windows [vTuber Indonesia],2025-12-06T08:00:32Z,6546,281,86
luGPLbcWTos,Review Control Deck FIFINE D6 AMPLIGAME - Tombol LCD untuk Streamer Creator [vTuber Indonesia],2025-11-28T09:23:42Z,1682,68,27
U03bWg-Wgto,Zaman Exynos lebih baik dari Snapdragon - Adu Flagship 2015 Galaxy Note5 vs LG V10[vTuber Indonesia],2025-11-25T08:00:41Z,8886,311,89
I9IXIBxTjhc,[LIVE] apakah masih ngelag seperti tadi? freetalk aja lag apalagi maen game [vTuber Indonesia],2025-11-17T02:35:56Z,792,32,3
HNDVdDJGSH4,"[LIVE] git commit -m ""update dikit channel ini sambil CF (Curhat Freetalk)"" [vTuber Indonesia]",2025-11-16T01:35:05Z,739,48,3
ZwqmLsRw6bM,HARD DISK TAPI CEPAT? Coba HDD 10K RPM Server WD Velociraptor - Solusi SSD Mahal? [vTuber Indonesia],2025-11-10T08:00:51Z,12586,423,143
grqnILRhFTE,"ALAT UBAH SUARA VOICE CHANGER JADI BIG SMOKE , PAIMON , HATSUNE MIKU TERBARU 2025 - EaseUs VoiceWave",2025-11-07T08:28:46Z,1937,95,37
f-CNC8e9Lv0,Tutorial mengetahui apakah hp android bisa di custom rom atau tidak? [vTuber Indonesia],2025-11-05T15:25:32Z,5563,238,105
IaLc4rIGlHU,Mencoba Custom Rom LG V10 Snapdragon 808 si paling panas Dynamic Island pertama [vTuber Indonesia],2025-11-01T08:00:16Z,16804,458,104
AtjqlK0Ithw,Mencoba Thermal Paste murah harga 3 ribu EXCEL 3K380 3mw/K [vTuber Indonesia],2025-10-27T08:00:23Z,5493,216,42
dTeq-2fnjiM,[LIVE] gak tau males pengen gaming siksa laptop kentang dipaksa streaming [vTuber Indonesia],2025-10-27T02:58:29Z,975,44,3
veB0N-c-sRc,[LIVE] review bacain pengalaman horror teknologi kalian part 1 [vTuber Indonesia],2025-10-26T02:55:05Z,1213,54,3
GljDPEtPWMs,Mencoba Ganti SSD Laptop Agak CEpat Rusak (Acer V5-471) ft.  @febbiloctaviana [vTuber Indonesia],2025-10-23T07:03:06Z,7060,229,77
TXBuV9v9AN0,[LIVE] coba makan makanan kucing lagi pake nasi [vTuber Indonesia],2025-10-20T13:26:43Z,998,44,18
RM-pdV2LUtI,[LIVE] coba tes gaming di LG G7 ThinQ Snapdragon 845 langsung pake hdmi out [vTuber Indonesia],2025-10-20T04:24:28Z,1488,79,0
H-M1GSLhKyw,⚠️TERNYATA BAHAYA - APAKAH BOLEH MEMATIKAN/DISABLE WINDOWS DEFENDER/ANTIVIRUS ? [vTuber Indonesia],2025-10-18T08:00:16Z,9214,407,192
9AtQr1AV_Zs,Review iMyFone MagicMic - Alat ganti suara voice changer lengkap terbaru 2025 untuk PC dan Android,2025-10-17T08:00:10Z,4080,124,36
PmXy8mId054,Mencoba Ganti LCD HP vTuber Realme C15 ft. @HashimotoSeiraVTuber  [vTuber Indonesia],2025-10-14T08:06:37Z,11308,471,131
sLBeGJ2Gf70,"[LIVE] coba minum yakult sebanyaknya untuk ""install ulang"" usus sampe bersih [vTuber Indonesia]",2025-10-14T01:36:48Z,1295,70,24
jGDNyBG9Gtc,[LIVE] gak tau males pengen beli truk sambil siksa laptop dipaksa streaming [vTuber Indonesia],2025-10-12T12:02:13Z,837,59,1
hGWR1LRVgXc,[LIVE] bangun tidur ku terus INUL mereng os windows mod anak bangsa [vTuber Indonesia],2025-10-11T09:38:37Z,872,38,12
wSwOK2tFsNw,Mencoba Windows 11 IoT LTSC di RAM 4GB - Windows ringan RESMI DARI MICROSOFT [vTuber Indonesia],2025-10-11T08:01:06Z,20759,511,162
HM4gga87Snw,HP Batre tanam tapi bohong #android #samsung #smartphone #hpkentang #vtuberindonesia,2025-10-10T02:00:59Z,27365,731,50
W5EvpaYwZuo,📏 HP jadi PENGGARIS #smartphone #android #aplikasi #trikponsel #vtuberindonesia,2025-10-09T01:32:09Z,14699,444,44
SgUigX7pHd4,LG V10 HP Dynamic Island Pertama #smartphone #android #iphone #vtuberindonesia #snapdragon,2025-10-08T01:45:56Z,14747,812,35
sAaDT6xu9tM,[LIVE] coba ganti mesin hp samsung a01 core secara langsung  [vTuber Indonesia],2025-10-07T03:54:56Z,1927,97,12
T_QInAE6GXQ,🥔📱HP KENTANG TERAKHIR SAMSUNG A01 Core #android #smartphone #samsung #vtuberindonesia #samsunggalaxy,2025-10-07T01:48:26Z,13989,614,37
0xeESRGpOHU,Custom Rom OPPO A37 #android #smartphone #oppo #androidphone  #vtuberindonesia,2025-10-03T21:48:44Z,26356,816,64
OSsJOhYmpBE,Mencoba Upgrade RAM & Ganti LCD ASUs Zenfone Max Pro M1 ft. @febbiloctaviana  [vTuber Indonesia],2025-09-30T15:14:37Z,19117,583,198
JrCAJZAUxDk,SD Card jadi Flashdisk ? #tutorial #komputer #android #smartphone #vtuberindonesia,2025-09-30T03:40:02Z,17287,545,41
jpHO1QoyQUw,🍎 MAC INTEL = HARAM #apple #mac #macintosh #macboook #vtuberindonesia #intel #laptop #komputer,2025-09-29T13:25:56Z,20594,697,49
Ez47TL83t_c,Mencoba RAKIT HP KENTANG TERAKHIR Samsung zaman LIBUR 2 TAHUN - Galaxy A01 Core [vTuber Indonesia],2025-09-27T08:00:14Z,14961,430,167
DAikBQ0cZwg,[LIVE] tes striming ram 4gb + windows 11 = alat uji ksabar an [vTuber Indonesia],2025-09-26T04:46:26Z,1238,37,8
uM1E-cB-v8o,Cara paling mudah Transfer WhatsApp dari Android ke iOS iPhone TANPA PC KOMPUTER pake iToolab WatsGo,2025-09-22T08:30:32Z,2875,97,46
FNDYJgdLFTQ,[LIVE]  ̶m̶a̶k̶a̶n̶ ̶s̶i̶a̶n̶g̶  ngobrol gratis [vTuber Indonesia],2025-09-22T00:30:06Z,1165,72,4
qcBoBLtjWE0,Android di Nokia Lumia 520  #android #hpjadul #nokia #windowsphone #vtuberindonesia,2025-09-20T23:37:05Z,17872,528,22
sTmj8zq7ygA,Mencoba Beli dan INstall ULang macbook jadul tahun 2009 - Mac OS X Snow Leopard [vTuber Indonesia],2025-09-20T08:00:58Z,13223,470,128
XhYYZxk7tRY,AOD Always On Display di HP layar IPS #android #smartphone #techtok #vtuberindonesia #iphone,2025-09-20T00:07:43Z,23109,699,46
t8vFVja2wrM,⚡💻 Charger laptop WATT besar di colok ke HP #android #smartphone #laptop #komputer #vtuberindonesia,2025-09-18T15:52:08Z,19035,567,43
9pjuo36wJqw,🔥 Alat bikin video MEME VIRAL pake 🤖 AI terbaru 2025 - LumeFlow AI [vTuber Indonesia],2025-09-18T07:05:27Z,1580,60,20
NYqEkaSRxpo,🥔 Samsung Galaxy A2 Core - Kentang yang terlupakan #smartphone #android #samsung #vtuberindonesia,2025-09-17T15:56:58Z,17046,510,38
rjHRRVpeVDs,HP 10 tahun bisa apa? Samsung Galaxy Note 5 #smartphone #samsung #samsunggalaxy #hpjadul #hpkentang,2025-09-17T01:27:48Z,26955,929,42
XCxYAqcuh7c,MacBook paling TOLOL #apple  #laptop #komputer #macbook #techtok #iphone,2025-09-15T15:59:42Z,50425,1650,95
I_-6CAhqkPE,Mencoba beli dan servis Xiaomi POCO F3 tapi malah rugi dan buntung [vTuber Indonesia],2025-09-13T08:00:19Z,20218,598,183
E9Bbt_Vms5c,Review Topmediai AI Music Generator - Alat AI Musik untuk Konten Kreator terbaik [vTuber Indonesia],2025-09-09T05:13:01Z,1793,84,36
iBHnmJ5Lqtc,Mencoba GANTI THERMAL PASTE PC KOMPUTER pake PASTA GIGI / ODOL  [vTuber Indonesia],2025-09-06T08:01:01Z,12410,424,117
TSvoN4dmJPM,Auto Catch Poke Ball tanpa Pokemon Go Plus #ianygo #pokemongo #tutorial #android #iphone #pokemon,2025-09-05T12:01:28Z,7204,149,7
Q-bBu5FG8Xo,Auto Throw Great Ball & Ultra Ball tanpa Pokemon Go Plus GRATIS - iAnyGo Plus [vTuber Indonesia],2025-09-05T11:58:56Z,1109,28,10
iMD_oAp3BkU,Mencoba RAKIT HP RAM 1GB Samsung Galaxy A2 Core lalu ROOT dan TES GAMING  [vTuber Indonesia],2025-08-30T08:00:56Z,102418,2189,369
bomSozC8jVc,Kelebihan Aplikasi Pemantau HP Xnspy #Xnspy #AplikasiXnspy #AplikasiPelacakPonsel #vtuberindonesia,2025-08-29T01:43:20Z,9677,515,17
SF_vTbO7Y8c,ubah lokasi gps tanpa pc iAnyGo #fakegps #android #ianygo #tutorial #vtuberindonesia #pokemongo,2025-08-28T08:56:19Z,7904,218,9
RLBbL-tt-ew,Cara aman FEKK GPS Pokemon Go 2025 Tanpa PC Komputer Laptop - TenorShare iAnyGo [vTuber Indonesia],2025-08-28T08:42:41Z,2012,46,15
jb0fXsmp4gg,[LIVE] After debut form reading - baca ucapan dari kalian viewers [vTuber Indonesia],2025-08-24T15:32:01Z,788,53,2
sV_-0WFzFY4,[LIVE] bahas quiz 17 agustus spesial kemerdekaan 80 tahun indonesia [vTuber Indonesia],2025-08-18T01:39:21Z,705,24,5
lyrj6BOGs5E,[Debut Video] anak_nolep_dari_cibaduyut.wmv [vTuber Indonesia],2025-08-16T13:00:06Z,7015,311,86
9AFj3kZL6dg,mY Kisah mouse lucitik double click kiri gak jalan #mouse #komputer #gaming  #pcgaming #gamingmouse,2025-08-14T18:03:50Z,28115,604,43
iKiSpHkwlNU,"Mencoba berbagai Windows Mod Atlas OS , Revi OS , Ghost Spectre , X-Lite , Tiny10 [vTuber Indonesia]",2025-08-12T08:00:51Z,21601,518,160
9t6SN-iOAwo,Terima Kasih Pak Jokowi (Cover) [vTuber Indonesia],2025-08-02T15:11:25Z,4432,181,114
7pMdf7FEhe4,Mencoba main Upin & Ipin Universe di mini pc kentang harga 500 ribu  [vTuber Indonesia],2025-07-24T08:00:09Z,29889,814,196
ORWx96U-14w,[LIVE] ditanyain mulu kapan custom rom bahas hp lagi [vTuber Indonesia],2025-07-20T15:34:30Z,1549,77,2
OgcW6gSBgoY,"Mencoba bikin Warnet pake HP Android Winlator , Proxmox VE dan Billing Explorer [vTuber Indonesia]",2025-07-19T08:00:25Z,23694,638,150
