id,title,publishedAt,viewCount,likeCount,commentCount
JSfTYLLkHdk,【GTA RP】Hopping back in nopixel with the zads【NIJISANJI EN | Luca Kaneshiro】,2025-12-13T09:08:17Z,22655,1418,26
0LVg6uO1Dsk,【Pokémon Legends: Z-A #6】POKEMON DAISUKIIIIIIIIIIIIIIIIIIIIIIIIIIIIII【NIJISANJI EN | Luca Kaneshiro】,2025-12-12T09:15:30Z,27117,981,11
hRI7wjP7x6o,MAFIA BOSS TALKS TO YOU WHILE DOING???,2025-12-11T09:45:27Z,18563,1433,21
VFEC0xbLLMg,ノーダウト AFTERPARTY,2025-12-07T14:32:36Z,32649,2906,36
b1DaCW9-ZiA,ノーダウト/ NØVA Cover,2025-12-07T12:00:07Z,460414,54033,1469
t0Ys6njx9YE,【Pokémon Legends: Z-A #5】LET'S PLAY MORE POKEMON TOGETHER【NIJISANJI EN | Luca Kaneshiro】,2025-12-05T07:37:42Z,21767,803,19
x8oepW3B0Q4,MAFIA BOSS TALKS TO YOU 😉,2025-12-04T08:19:20Z,16832,1293,24
xh-fekSlDUs,【ELDEN RING Shadow of the Erdtree】FINALLY BEATING THIS DLC【NIJISANJI EN | Luca Kaneshiro】,2025-12-02T07:33:39Z,44592,847,15
5df7iirtCvw,【RV There Yet?】WORLDS BEST RV DRIVER KILLS ALL HIS FRIENDS【NIJISANJI EN | Luca Kaneshiro】,2025-11-29T18:03:03Z,18140,1334,23
meXLBBUa4KM,【MC ETERNAL 2】GOING TO MARS AND MAKING A MECHA SUIT【NIJISANJI EN | Luca Kaneshiro】,2025-11-28T09:30:27Z,26918,1055,17
YJoMkmMvLI4,【Pokémon Legends: Z-A #4】CHECK OUT MY SHINY POKEMONS!【NIJISANJI EN | Luca Kaneshiro】,2025-11-26T09:20:30Z,14217,811,23
f8JAlvffAu8,【RV There Yet?】GOING ON A ROAD TRIP WITH THE BOYS!【NIJISANJI EN | Luca Kaneshiro】,2025-11-23T17:56:56Z,33258,1923,27
Xh39OFfgxfo,【Pokémon Legends: Z-A #3】BECOMING THE STRONGEST TRAINER【NIJISANJI EN | Luca Kaneshiro】,2025-11-21T10:05:01Z,58403,914,13
_Trgd--hYjs,【HANDCAM COOKING】TRYING TO MAKE A POT ROAST【NIJISANJI EN | Luca Kaneshiro】,2025-11-20T15:17:16Z,31310,2748,28
pYabQF4V12o,【Pokémon Legends: Z-A #2】SHOPPING FOR THE BEST CLOTHES EVER【NIJISANJI EN | Luca Kaneshiro】,2025-11-19T10:40:50Z,27253,965,13
QMGk294chqQ,【Pokémon Legends: Z-A】I LOOOOOOOOOOOOOOOOOOOOOVE POKEMON!!!!!!!!!!!!!【NIJISANJI EN | Luca Kaneshiro】,2025-11-16T09:36:49Z,44127,1242,20
exhyh5SrkL0,【GETTING OVER IT】I LOOOOOOOOOOOOOOVE GETTING OVER IT【NIJISANJI EN | Luca Kaneshiro】,2025-11-13T07:34:15Z,45938,1381,20
Wil4ndfWv70,【GETTING OVER IT】SOMEONE IS GETTING CLOSE TO MY RECORD 😱【NIJISANJI EN | Luca Kaneshiro】,2025-11-10T07:39:07Z,29425,1417,18
5drnNGeqm34,I'M BAAAAAAAAAAACK YEEEEEEEEEEEEEEEEEEEEAHHHHHHHHHHHH,2025-11-09T08:32:20Z,22963,2067,33
6NmnXWcL1ig,#相性優勝ドロップス MATA DANCE SHITE MITA #shorts,2025-11-05T13:00:13Z,263425,28270,327
d1h2CDiiU-0,Luca get's caught by Shu in the classroom #fnaf  #burgerking #shorts,2025-11-01T15:01:12Z,177442,16807,278
f2-cvon9fg4,【NO I'M NOT HUMAN #2】HALLOWEEN AND HALLOWSDAY STREAM【NIJISANJI EN | Luca Kaneshiro】,2025-11-01T05:07:43Z,19590,1153,28
C2TA0eot-mA,【NO I'M NOT HUMAN】CREEPY PERSON INFRONT OF MY DOOR HEEEEEEEELP【NIJISANJI EN | Luca Kaneshiro】,2025-10-31T07:51:55Z,43209,1797,35
pqdpNP-p_go,【MC ETERNAL 2】GOING TO SPACE AND GETTING EVEN STRONGER【NIJISANJI EN | Luca Kaneshiro】,2025-10-29T07:54:04Z,77332,1298,29
s5xkpQKXKLY,Mafia Boss Hangs Out w/ YOU,2025-10-28T07:43:08Z,86261,1679,35
s8uM2pXftCM,【3D KARAOKE】SINGING AND HANGING OUT OFF COLLAB【NIJISANJI EN | Luca Kaneshiro】,2025-10-26T08:10:36Z,86112,8049,120
VWvPMCCduOQ,【AMONG US 3D】READING PEOPLE'S MINDS LIKE A PSYCHO【NIJISANJI EN | Luca Kaneshiro】,2025-10-24T14:58:28Z,53941,2563,61
zAgf_7lxjx0,【MC ETERNAL 2】Hanging out and doing crazy things 😊【NIJISANJI EN | Luca Kaneshiro】,2025-10-24T11:30:23Z,78944,1600,12
8_nMgt3k1Zc,#にぎにじダンス My Coat... にぎにぎにじたうん！,2025-10-20T07:03:43Z,385028,31545,451
ocv6v7pj1yI,【MC ETERNAL 2】I'M AWAKE AND READY TO ZUCC SOME BLOOD【NIJISANJI EN | Luca Kaneshiro】,2025-10-18T09:52:50Z,29121,1540,19
gZA2NkxF2VA,【MC ETERNAL 2】GOOD EVENING LATE MINECRAFTING WITH ME【NIJISANJI EN | Luca Kaneshiro】,2025-10-17T17:17:09Z,23476,1743,23
bmsMhqtZJMA,【MC ETERNAL 2】SURVIVING AS A VAMPIRE IN A NEW MODPACK【NIJISANJI EN | Luca Kaneshiro】,2025-10-15T09:36:44Z,31120,1743,41
8ekTIxUsoLc,"【MC ETERNAL 2】GOT LOST, FOUND MINECRAFT NOW I AM BACK TO POOOG【NIJISANJI EN | Luca Kaneshiro】",2025-10-13T11:31:46Z,43884,2247,37
spYZJN_sbY8,【✨3.0 BRUSHUP✨】AFTER SO LONG I FINALLY HAVE 3.0【NIJISANJI EN | Luca Kaneshiro】,2025-10-11T04:30:24Z,24721,2787,62
6Be-GS7Fess,I CAN BREATHE AGAIN YEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAH,2025-10-08T08:24:36Z,20314,1785,31
_HYO6eh3PCM,VCraft Enchanted is officially over... (GET CUBED)【NIJISANJI EN | Luca Kaneshiro】,2025-10-02T07:56:03Z,17378,1311,20
R89bv_iOVo0,【#VCraftEnchanted DAY 13】THE FINAL DAY! LET'S MAKE SOME FUN MEMORIES【NIJISANJI EN | Luca Kaneshiro】,2025-09-29T10:20:39Z,48200,1762,70
5C0V_LsPs1w,【#VCraftEnchanted DAY 12】My insane revenge plan...【NIJISANJI EN | Luca Kaneshiro】,2025-09-28T10:50:08Z,56038,1833,30
XIMuXfERnVw,【#VCraftEnchanted DAY 11】INSANE MINECRAFT ROLEPLAY ONLY REAL【NIJISANJI EN | Luca Kaneshiro】,2025-09-27T10:23:47Z,53889,1854,33
NrXlt_qWHpU,【#VCraftEnchanted DAY 10】FINISHED TRAIN STATION? & TRAPPING VETRUVIUS【NIJISANJI EN | Luca Kaneshiro】,2025-09-26T09:45:35Z,46944,1482,28
MNfjuC7xnP8,【#VCraftEnchanted DAY 8】Hey there... let me show you my inventions 【NIJISANJI EN | Luca Kaneshiro】,2025-09-24T08:17:13Z,28993,1387,26
3t972fEqf7Q,【#VCraftEnchanted DAY 7】PRANKING PEOPLE AND WORKING ON THE TRAIN!!! 【NIJISANJI EN | Luca Kaneshiro】,2025-09-23T09:54:41Z,29592,1599,22
_nsEVTDVd1o,【#VCraftEnchanted #5】WORLD'S BEST ENGINEER BUILDS A TRAIN!!!!!!!! 【NIJISANJI EN | Luca Kaneshiro】,2025-09-21T09:51:08Z,34569,1798,34
sj_4vhjLA3g,【#VCraftEnchanted #4】STARTING THE TRAIN PROJECT & GET FASTER 【NIJISANJI EN | Luca Kaneshiro】,2025-09-20T10:20:26Z,36906,1796,38
P05D7uGBZeo,【#VCraftEnchanted #3】PRETENDING TO BE NICE AND GETTING STRONGER AND 【NIJISANJI EN | Luca Kaneshiro】,2025-09-19T10:23:25Z,35765,1659,37
cJm4wxEdvpI,"【#VCraftEnchanted #2】WORLD'S BEST ENGINEER, PRANKSTER, PSYCHOPATH【NIJISANJI EN | Luca Kaneshiro】",2025-09-18T10:49:38Z,37108,1974,49
fRP0ecBIRtg,"【#VCraftEnchanted #1】WORLD'S BEST ENGINEER, PRANKSTER, PSYCHOPATH【NIJISANJI EN | Luca Kaneshiro】",2025-09-17T08:40:41Z,48588,2673,55
