id,title,publishedAt,viewCount,likeCount,commentCount
2N0ayZlw72k,Michi Teaches Chat About The Borobudur Temples!,2025-12-13T07:56:01Z,9874,904,35
J6trjMmkLo4,Michi Plays Red Dead Redemption 2 For The First Time!,2025-12-13T07:43:39Z,978,165,9
7oaTbH4p3Sk,Who Remembers This?,2025-12-12T06:30:02Z,13323,1337,21
bIruf0DSXc0,Michi & Numi Play The ReAnimal Demo!,2025-12-12T06:22:52Z,1875,280,12
QgDe5zdwUB8,I Think He Got Mad..,2025-12-10T08:38:30Z,9719,671,7
ycN5XPKMO4M,When VTubers Play Peak..,2025-12-09T22:44:03Z,5856,643,23
N133hpqyAIw,We Have The Best Duo Chemistry..,2025-12-08T06:15:02Z,39495,2068,32
RcGMih1iRyk,Michi Reacts To Henya's Gifts!,2025-12-08T05:56:05Z,14329,1018,81
DMTFmhD9n9g,Michi Plays Snowbreak: Containment Zone!,2025-12-07T11:31:10Z,2786,297,10
nHZ6sij1rNo,This Didn't Register In My Brain..,2025-12-05T07:28:07Z,8808,791,11
xgVIfAATMx8,I Wasn't Careful..,2025-12-03T09:19:16Z,13369,950,8
TtJc-bMrBnU,I Taught My Chat Indonesian Slang!,2025-12-02T15:30:18Z,7076,721,43
TNKf4eDGX98,I Borrowed Numi's Clothes..,2025-12-02T08:50:25Z,19094,1519,21
yU8Cqy2EN7g,Michi & Numi Go To Home Depot!,2025-12-01T07:45:04Z,23826,1562,19
17gXcvGnbX4,Michi Debuts A BRAND NEW Model!,2025-12-01T06:54:55Z,7532,787,42
8Ci1QuSg6r8,Michi Learns Canadian Slang With Will Arnett!,2025-11-29T01:15:00Z,10931,616,122
7e0OOjWRLP8,Michi Reacts To Arielle's New Model!,2025-11-28T22:17:05Z,5911,431,11
bypS0Xt-3zQ,Numi Exposes Herself..,2025-11-25T01:45:57Z,16386,1687,38
zH1BzNdWntg,I Got A New Pet!,2025-11-25T01:44:02Z,15854,1242,81
7zE-dh7YJwE,This Caught Me Off Guard..,2025-11-24T07:51:03Z,71773,3815,16
v2J73vXcGcg,I Think I Love This Game..,2025-11-21T06:25:32Z,17254,1153,22
oZAsn49tiTQ,Michi Reacts To Summersong (Miyolophone) Cover By Rachie & More!,2025-11-18T08:23:33Z,2004,253,13
_xihbLJxHCY,That Didn't End Well..,2025-11-17T07:51:08Z,23085,1463,14
B6ahNrHMjU8,Michi Plays Peak With Friends!,2025-11-17T07:51:03Z,6714,601,15
pfBpkLx_OC4,Numi Calls Me A Pig..,2025-11-16T07:17:46Z,35378,2366,26
k_8aB3IbJ6Y,"Numi Was So Lost,,",2025-11-15T07:26:41Z,41788,2480,17
lb-EEnTSSOE,It''s Time To Go Gambling!,2025-11-14T07:51:23Z,19920,1513,27
ztHrQf-tOYE,Rage baiting Numi Is The Best..,2025-11-12T06:25:51Z,50052,3250,29
m0TTVsZJpZ0,I Become A Dog..,2025-11-06T19:05:09Z,34243,2973,33
65LxFmWGIPc,Can Someone Pick Me Up Like This..,2025-11-01T22:11:56Z,55464,3538,37
AbkrvSnxotI,Numi's Clingy In The Morning..,2025-10-28T06:59:38Z,75150,4702,100
L_3Ly9czvHU,I regret this..,2025-10-28T06:58:40Z,17905,1300,84
uhdOxD18QiI,My Experience In America..,2025-10-27T06:30:40Z,55902,3239,225
awX4y44sRAk,I Didn't Do Anything..,2025-10-26T08:26:35Z,24846,1512,15
SBc8hY3YCr8,Michi Made Her Crash Out..,2025-10-23T05:45:18Z,24246,1567,10
RBK-PpVGDt8,I Miss Numi..,2025-10-20T06:25:22Z,36681,3013,37
T94uF14_Vhc,LETS GO GAMBLING!,2025-10-18T05:22:06Z,23544,1644,13
pv5M-oDaV0s,Violence Is Never The Answer..,2025-10-17T06:53:55Z,14454,1168,20
zLi8u_o2do4,I CAN COOK!,2025-10-15T06:32:54Z,20059,1697,26
K3ehxyhH_sY,Michi's Experiences Hooter's For The First Time..,2025-10-15T06:30:30Z,14275,1095,53
yhUre0Eril8,Is Indonesia Open Minded..,2025-10-14T05:21:01Z,27040,2197,40
bdWgfitKW4I,We Made A Cover To How It's Done / KPop Demon Hunters!,2025-10-14T05:18:36Z,7574,784,31
V1KGlKTxA98,I Became Kuro!,2025-10-12T06:39:44Z,18510,1600,13
-MlCBHXdatg,Michi Plays Blue Protocol: Star Resonance!,2025-10-12T06:37:41Z,2559,260,7
EEOotZIK4Ic,Michi Tries Stealing Someone's Girl..,2025-10-11T06:41:58Z,10062,864,5
tCXA44dO194,I'm Sorry U-san...,2025-10-10T06:53:33Z,37217,1969,16
Q33YbVZ8oAY,Michi Plays Venba For The First Time!,2025-10-10T06:43:09Z,2900,329,19
mjtN0hVMl7c,I Tried Doing A Nice Gesture..,2025-10-09T06:02:26Z,14863,929,9
gCVXIIKZXTo,How To Summon Michi..,2025-10-08T06:42:17Z,64922,4205,30
R6GCxtfGkr0,The Nintendo Store Broke My Brain..,2025-10-08T03:15:04Z,9676,599,42
GwZb_NwrJng,Michi Betrays Her Teammates..,2025-10-07T06:59:19Z,10984,996,10
VyrLC8Gx9zA,Michi Teaches Chat About Relationships..,2025-10-07T06:55:45Z,10715,948,54
PHQFsWCKumg,The Horses Didn't Have To Die..,2025-10-06T06:36:50Z,12875,879,10
iA595Nc3yeA,Michi Reacts To Free - KPop Demon Hunters || Issa Corva & @Derivakat Cover & More!,2025-10-06T06:34:51Z,6174,560,27
-clmdjAlOlg,Mouse Is A Ragebaiter..,2025-10-05T03:15:01Z,27678,2826,17
PmO-P0HFzq0,Michi Reacts To The XQC Situation..,2025-10-05T02:13:33Z,8768,587,38
X6q6kOuwPEs,Everything went wrong..,2025-10-04T07:17:23Z,22521,2444,17
ye9EdDnEuH0,I Got Some New Model Updates!,2025-10-04T07:14:25Z,7396,651,17
2_7aZarVRZ0,Michi Can't Control Herself..,2025-10-03T07:04:11Z,20966,1698,12
9e2K8LAzDo0,The Winner of the Outfit Competition..,2025-10-03T07:00:09Z,9951,866,38
7_cjJjUL_4c,I Got Baited..,2025-10-01T06:53:24Z,54573,2729,8
nGjol9xR7yc,Michi & Friends Play Minecraft!,2025-10-01T06:51:56Z,5198,463,10
8Ye90BE0wZI,This Is All I Want..,2025-09-30T06:22:17Z,27605,2085,38
f6ZRyQfgifE,Michi Reacts to Ollie's Rant!,2025-09-30T06:18:07Z,13650,1184,38
2b2iOB7Uqco,How Do You Run Into Your Own Trap..,2025-09-29T04:59:05Z,30555,1546,11
cZKYr0DFHeA,Michi Joins An Art Class In Rust Kingdoms!,2025-09-29T04:58:09Z,2385,338,5
TA5bZOd_rQw,Rate This Drip..,2025-09-28T07:00:42Z,29937,2062,16
f5FLMY5lrCU,Michi Reacts To Saiiren Cover of ヴァンパイア (The Vampire),2025-09-27T06:44:32Z,4123,460,11
n9hKJwAuHHE,I Got A Random Call On Rust..,2025-09-27T02:15:06Z,15470,1002,2
WNrN62uzjBQ,I'm The Worst Gambler of All Time..,2025-09-27T00:13:49Z,10816,739,5
Lm6a_ctXieo,Michi's First Time Playing Spell Candle..,2025-09-26T05:55:22Z,4307,249,6
_AcNkI48IBo,Michi & Ironmouse Play Goddess of Victory: Nikke!,2025-09-25T05:34:21Z,6723,560,24
1opTaUx_dnc,We Share The Same Braincell..,2025-09-25T00:55:43Z,17996,1250,14
7heWa3XhoIY,How Did They Do This..,2025-09-23T02:41:40Z,31500,1608,8
ogIBUIYWVDU,Michi's First Time Playing Rust..,2025-09-23T02:15:07Z,5413,436,10
VSBrrzkWVFQ,I Got Caught Stalking Saiiren..,2025-09-22T03:15:04Z,19874,1907,11
A9kqVgy37DY,Chat & I Have A Dance Party!,2025-09-21T06:26:40Z,4628,615,21
OhUDKvj_HPw,This Is All I Want In Somebody..,2025-09-21T03:15:01Z,42182,2979,50
woXSx2pUUkY,I Tried Building My Own Waterpark!,2025-09-20T05:19:13Z,3394,374,13
7cE3IhRz06I,I Have A Surprise..,2025-09-20T04:15:00Z,27232,1996,18
O_z_PAbf674,I Learned My Fortune..,2025-09-19T03:15:03Z,33452,2211,10
Qd81gWRKBv4,This Is The BEST Outfit Competition Yet..,2025-09-19T02:39:15Z,6565,561,41
cUKByymz33g,Michi's First Time On Pixel Canvas!,2025-09-18T06:30:25Z,4845,460,10
xIYXmnsfvj4,I Told My Mom That Ironmouse Is Short..,2025-09-18T03:15:13Z,224257,12995,92
GTUm34i71rI,Michi Reacts To Nintendo Direct!,2025-09-17T06:38:16Z,6987,456,45
MAkqqI-_yoQ,The Doctor Told Me To Scan My Brain..,2025-09-17T03:15:05Z,46025,3706,31
djnJ4_n_Cho,My Cutest Model Yet..,2025-09-16T05:33:20Z,16052,1604,70
KreA8ZmilHI,Michi Learns About Pen Island..,2025-09-16T03:15:01Z,34978,2734,19
Ga4KA6mM8h0,We Thought This Would Be Easy..,2025-09-15T07:06:24Z,28491,1532,8
T65qJ2w1asM,Michi & Numi Watch EPC The Musical!,2025-09-14T22:58:45Z,35453,1867,101
WZ_JD2QnBYs,Thank You For Watching The Subathon!,2025-09-14T02:15:01Z,4914,761,41
P-LqBQLIp28,What Did I Just Listen To..,2025-09-13T22:00:02Z,16534,1175,5
7Wt_nPf0_Bk,Michi Visits Indonesian Rice Fields!,2025-09-13T06:22:02Z,21146,1422,114
PWas-pu5_W0,Jorts Should Be A Sin..,2025-09-13T02:10:16Z,11841,773,8
eSbyG6h8g5k,This Is All My Fault..,2025-09-12T09:01:07Z,17458,931,3
o9wMCqsZma0,Michi Shows Off Her Craziest Model of All Time!,2025-09-12T08:13:44Z,7732,807,40
PNYUZTcjHVw,"Michi Plays The ""Worst"" Resident Evil..",2025-09-10T03:55:08Z,3273,357,33
fd8WT2DSeds,Numi Made Me The BEST Gift..,2025-09-09T04:19:18Z,28470,2569,42
BUE-z8iNpJo,The Dentist Hates Me..,2025-09-09T04:15:45Z,4455,527,25
lEr7ElosfW4,What Did She Say..,2025-09-08T06:51:16Z,17821,1597,26
0x81mvTLUb0,"We Rated My Viewers ""Hear Me Out's""..",2025-09-08T06:28:59Z,6938,617,36
Vi_2KyAeJkg,"Say The Wrong Word, YOU DIE!! | Cursed Companions",2025-09-07T05:20:31Z,3101,357,7
37Axv7IVdHo,99% Of Gamblers Quit Before Their Biggest Win!,2025-09-06T05:33:21Z,59268,2167,15
kPw_G62mHPE,We Tried To Hunt Ghost..,2025-09-06T04:21:18Z,8779,797,28
zvE9ulZlCyA,Our Friendship Was Tested By This Game..,2025-09-05T06:43:54Z,7266,727,67
FTCdelSVEcg,I Deserve My Compliment..,2025-09-04T05:18:33Z,21516,1745,14
7mN1C5WeH78,She's Perfect For Me..,2025-09-04T05:17:54Z,20003,2037,133
H4jRi4E-dvA,Kill V. Maim - Michi Mochievee & Camila (COVER),2025-09-02T16:00:06Z,416031,17168,581
fZiaPRL3KDo,He Tried Leading Me To My Death..,2025-09-02T05:14:00Z,24546,1765,8
3XVrVOqYr9Q,My Dog Eats Better Than Me..,2025-09-01T06:54:31Z,29732,2150,34
cgPcqyBAjhM,My Chat Hates Me..,2025-08-31T04:44:20Z,22736,1816,19
LDl6aELHlj0,Michi & Mouse Try Climbing To The PEAK!,2025-08-31T04:42:30Z,5627,575,12
awMcvaaz_EY,Michi Plays The Funniest Wizard Game!,2025-08-30T21:56:46Z,2684,343,4
Qowl-fA386k,This Might Be My Best Model Yet..,2025-08-30T06:30:11Z,13508,1503,65
pATFBgSPSCM,Michi Plays Resident Evil 5 For The First Time!,2025-08-30T02:15:09Z,2725,317,24
JoGijWb0osY,Michi Feeds A Tiger At The Bali Zoo!,2025-08-29T23:34:51Z,24070,1659,15
kgeuTBj42ZQ,Michi Had No Remorse..,2025-08-29T06:43:25Z,27431,1899,27
Z-UAfRHaPVM,Michi Goes To The Bali Zoo!,2025-08-29T06:39:24Z,9339,736,27
qsq2JEsHk54,I Rated My Chat's Outfits With Saiiren..,2025-08-28T07:32:29Z,4735,485,19
NgMHa5YIh5M,Mouse Looked So Delicious..,2025-08-27T06:51:45Z,37674,2233,21
uIhXb-pJeGY,The Drama Never Ends..,2025-08-27T06:51:20Z,67564,4636,161
rOxZDGrgY_E,What Did Mouse Just Do..,2025-08-26T04:05:20Z,31766,1859,22
diYNI_1urgg,The Best PEAK Group Yet..,2025-08-24T06:58:58Z,18154,1203,5
2wPkCYRq10k,The Best Show On Youtube Is On..,2025-08-24T06:41:24Z,24154,2283,161
O3pblNpgLXA,I Can't Believe I Witnessed This..,2025-08-23T06:58:17Z,9554,762,11
SB6axvpHNwo,Just Friends... or Something More?,2025-08-23T06:58:14Z,30502,2669,173
galRD6jK27Y,Money Is Serious..,2025-08-23T00:27:32Z,20629,1604,15
NSRh9vAwObY,This Video Has Me DYING..,2025-08-22T04:52:30Z,24233,1529,14
ZWwvLOvsvBU,Henya Singing Is Beautiful..,2025-08-21T06:30:41Z,93248,5246,37
RqxXjhpCwBs,Drunk Talks w/ My Wife..,2025-08-21T06:30:37Z,18760,1811,109
sGAOep0DMLo,I Have The Worst Luck of All Time..,2025-08-20T10:32:23Z,26784,1867,30
4ye_YzxIxAo,Usan & Michi Raise A Baby Together..,2025-08-19T22:46:51Z,5852,586,13
mfLHw-1ztOQ,I Did NOT Expect This..,2025-08-19T22:22:32Z,41369,2918,37
Jpk-nzSExyU,The Best Update of All Time!,2025-08-19T06:15:00Z,35955,1916,18
p7ElAFRWLQk,Michi Shows Off Her New Model To Her Crush..,2025-08-18T23:17:42Z,31592,2573,103
S_CLFZoOkFw,My New Model Is Something Else..,2025-08-18T06:18:58Z,50149,2628,27
8TBpAWzgHGs,Designing a V-Tuber World with Numi!,2025-08-17T20:44:24Z,5243,494,12
j-Qu2N8yvgU,My Chat Hates Me..,2025-08-17T04:25:51Z,22785,1589,25
OizQsSbhONI,OniGiri & I Rated Your Fridges..,2025-08-17T01:23:16Z,6755,565,21
Xor4yE8X7zg,Michi Goes On A Tour of Japan!,2025-08-15T23:38:38Z,6953,529,12
yrg2zWEbB4s,What Did I Just Watch..,2025-08-15T09:51:15Z,16778,1056,23
kJtM3Ni3Jj0,I Played Minecraft With My Crush..,2025-08-14T22:57:47Z,7611,737,46
