id,title,publishedAt,viewCount,likeCount,commentCount
fDtUy1PTor0,【#湊あくあ卒業ライブ】あくあ色に染まれ！／MinatoAqua Graduation LIVE,2024-08-28T12:56:09Z,8476958,438655,45446
RBBwfP1rtkE,【original】#きみいろプリンセス【ホロライブ/湊あくあ】,2024-08-28T09:00:07Z,1960900,84692,7581
ERB5O16-SZw,【みんなへ】最後の雑談！！！！【湊あくあ/ホロライブ】,2024-08-27T17:51:13Z,1199214,75631,2992
izMrbcgKVtY,【Minecraft】ホロメンへ最後のお手紙をかく！【湊あくあ/ホロライブ】,2024-08-27T16:41:13Z,2167541,90851,1582
xtYdo3HteYU,【original】キズナトキセキ with hololive JP【湊あくあ／ホロライブ】,2024-08-27T15:00:07Z,2200814,92309,5756
pAFgy6hLjqc,今はいいんだよ。／湊あくあ cover,2024-08-27T11:00:06Z,4285322,109116,6545
PIoVY8xcGyY,【#女子VALOカスタム】みんなでVALORANTやるぞおおおお！！！！【湊あくあ/ホロライブ】,2024-08-26T14:35:18Z,1085027,37743,0
YHfc0M3CGw0,【アニメMV】あくたんのこと好きすぎ☆ソング／湊あくあ short ver.,2024-08-26T10:00:06Z,2098164,86186,4008
U9paX0Kjt1k,【#湊あくあわかり手選手権 】湊あくあについて一番知ってるのは誰だ！？【湊あくあ/ホロライブ】,2024-08-25T12:31:32Z,827863,45482,605
_T-1Vvm1fPA,快晴 ／ Startend cover,2024-08-25T10:00:06Z,3219295,90335,3372
zCGJYUi24kM,【メン限】おねがいダーリン　歌ってみた Ver.湊あくあ,2024-08-24T11:14:13Z,1698468,66240,2422
XPbFLEloZnQ,【メン限】ディスコミュ星人　歌ってみた Ver.湊あくあ,2024-08-24T11:13:24Z,1695478,47201,1658
G0zhonxSxqY,湊あくあは陰キャなのか？〜妄想中の場合〜,2024-08-24T09:00:13Z,991028,64289,1133
nOfu3FJbmOE,湊あくあは陰キャなのか？〜学校に行きたくない場合〜,2024-08-24T03:00:40Z,825886,65127,766
Zb2iHULVZEk,【カメラ】みんなへおむらいすつくる！！！！！！！！！！【湊あくあ/ホロライブ】,2024-08-23T14:18:29Z,477085,26420,483
ZxN7raRF_24,【Minecraft】ホロ鯖！観光したりふりかえるぞ！！！！！！！！！【湊あくあ/ホロライブ】,2024-08-22T15:47:42Z,448885,27218,435
ojb5M_S77vY,【凸待ち】あの～・・・こんちは～・・・アソビ大全しませんか・・・？【湊あくあ/ホロライブ】,2024-08-21T12:13:47Z,601234,26558,0
OCm3YTKz7r4,【お宝マウンテン】巷で噂のホロライブお宝マウンテンやってみる！【湊あくあ/ホロライブ】,2024-08-20T15:34:49Z,421182,22689,421
UMiQATGT-74,【#あくぽる対談 】暗い話になったら即終了、残機3【湊あくあ/ホロライブ】,2024-08-20T14:57:09Z,311065,20143,296
