id,title,publishedAt,viewCount,likeCount,commentCount
VhhF5ZPFQSs,【＃ホロドラゴンマイクラ】初参戦！1級マイクラ術師のねね、いきまーーーす！【 桃鈴ねね / hololive 】,2025-12-09T15:28:34Z,147729,7735,40
xvjo-sK0G80,【 DON'T SCREAM TOGETHER 】ぺこマリまがまがでドンスク！！！！！！【 桃鈴ねね / hololive 】,2025-12-07T13:07:08Z,109986,7756,35
XQmJiGGIZ6s,スクランブル交際 / DECO*27 full covered by 桃鈴ねね,2025-12-01T09:00:06Z,79359,8959,281
xYZYAidJqJk,【Minecraft】ラムベガス優勝させていただきました！！！ありがとうございます！！！【 桃鈴ねね / hololive 】,2025-11-29T13:50:21Z,111277,6897,45
2bpH9X-9VRw,【 ミメシス 】ねねの真似なんてできるわけないじゃんｗ勝ったな！【 桃鈴ねね / #ねぽらぼ  】,2025-11-28T12:50:23Z,116961,7231,56
4aCb1Bj5pzQ,【 雑談 】寝る前にしゃべろ～～～～！！！！！！！【 桃鈴ねね / hololive 】,2025-11-27T14:41:13Z,75890,6443,60
vRkCeuJfx_o,【 インターネットサイン会 】まったり夜雑談しながら～！【 桃鈴ねね / hololive 】,2025-11-19T15:14:04Z,135512,9182,110
zuonVIawwZY,【 歌枠 】１時間楽しく歌う枠！！！！！！【 桃鈴ねね / hololive 】,2025-11-15T11:12:24Z,56446,7113,68
Rydv8QschOQ,【 DREAD FLATS 凶寓】今年ダントツ怖いと噂のゲームにねねねトワワで挑む…【 桃鈴ねね / 常闇トワ 】,2025-11-14T14:24:19Z,154219,10737,60
8Aw94JI1yNY,【 雑談 】呪術とチェンソーマンと鬼滅観たから流行りに乗れてるナウい女‼【 桃鈴ねね / hololive 】,2025-11-11T10:41:24Z,81811,7170,74
IRGyVRda4y0,【 Pokémon LEGENDS Z-A 】虫パ縛り❣！伝説捕まえに行く！！#11【 桃鈴ねね / hololive 】,2025-11-10T11:56:25Z,87607,5659,25
Jaaxy3yVOf8,【 Pokémon LEGENDS Z-A 】虫パ縛り❣！AZさんのために一肌脱ぐか～～#10【 桃鈴ねね / hololive 】最終回！,2025-11-04T11:32:49Z,91831,6149,50
lRuV8LxIRNo,【 #ぺこねね 】改めてコミュ障 (?) 二人で喋ってみた！！！！！！！！！！【 桃鈴ねね / 兎田ぺこら 】,2025-11-03T12:09:05Z,295349,18763,302
6MnL53Kb9LE,【 UNO 】絶対負けられない選手権！【 #ねぽらぼ 】,2025-11-01T14:24:37Z,166353,10970,88
OnDrU5eCihA,【AmongUs】パッションのパ担当！！！！！桃鈴ねね視点！！！！！【 桃鈴ねね / hololive 】,2025-10-31T13:52:55Z,78909,5798,38
PYHXn0jHnkI,【 Pokémon LEGENDS Z-A 】虫パ縛り❣！ガァイの探してる人って結局誰なん？#9【 桃鈴ねね / hololive 】,2025-10-30T10:56:55Z,56165,4118,22
jGPt1XApIng,【 Pokémon LEGENDS Z-A 】虫パ縛り❣ボア以外も戦えるようにしたい！#8【 桃鈴ねね / hololive 】,2025-10-29T10:47:26Z,72167,4584,36
3CRnlfFdxDc,【 #ガジェヲタねねゾン 】Amazonさんで買えるガジェットをガチレビューするぞい！【 桃鈴ねね / hololive 】,2025-10-28T11:07:43Z,115228,8028,103
K6ixYw-pcX4,【 Pokémon LEGENDS Z-A 】虫パ縛り❣色違いハッサムが来た！#7【 桃鈴ねね / hololive 】,2025-10-27T12:04:23Z,96717,5692,23
Gt0egouh-h8,【 #ホロ鉄千 】鉄１０００個早く集めたチームの勝ち！！！すなわちねねチームの勝ち！ｗ【 桃鈴ねね / hololive 】,2025-10-25T12:39:38Z,70813,5427,31
E7VYrlzYUEI,【 Pokémon LEGENDS Z-A 】虫パ縛り❣友達が色違いハッサムくれるらしい#6【 桃鈴ねね / hololive 】,2025-10-24T11:25:08Z,93224,5436,32
j42Hjc3EXjg,【 Pokémon LEGENDS Z-A 】虫パ縛り❣虫パが完成しつつある！！！！#5【 桃鈴ねね / hololive 】,2025-10-21T11:23:23Z,93237,5097,34
SXHDHV5eonM,【 Pokémon LEGENDS Z-A 】虫パ縛り❣戦力を増やしたい！！！！#4【 桃鈴ねね / hololive 】,2025-10-19T14:31:14Z,99657,5408,32
kqkjd0Pl0No,【 Pokémon LEGENDS Z-A 】虫パ縛り❣ストライクほしい！！！！！！！！#3【 桃鈴ねね / hololive 】,2025-10-18T15:15:20Z,101768,5524,37
xV3Ph-JhzHg,【 Pokémon LEGENDS Z-A 】虫パ縛り❣虫結構いて草ｗ#2【 桃鈴ねね / hololive 】,2025-10-17T11:16:59Z,82662,4906,33
oiF4YuAMK_s,【 Pokémon LEGENDS Z-A 】虫パ縛り❣どんな虫に出会えるかな？#1【 桃鈴ねね / hololive 】,2025-10-16T12:27:26Z,153311,7719,51
0c3iaWbpdsY,【 Minecraft 】アプデきた！！！！どんな要素なのか見に行くぞ～教えてね！【 桃鈴ねね / hololive 】,2025-10-15T12:33:57Z,108152,8052,37
-DIPbbqAWZo,【 オフコラボ 】#ねねポル 鬼滅観てきた！！！【 桃鈴ねね / hololive 】,2025-10-14T13:02:39Z,116347,8647,61
h7Bz6tvDk3A,【 歌枠 】リベンジ！しっとりバラード多めでチルい夜にしてね【 桃鈴ねね / hololive 】,2025-10-11T16:23:34Z,145222,11017,69
zbxMNaK4Grc,桃鈴ねね名言集 #shorts,2025-10-10T12:01:25Z,96871,6973,192
51Ft_u39RvE,桃鈴ねね代表曲3選どれがすき？ #shorts,2025-10-07T12:10:02Z,207861,11391,581
W4uL1kT1V3s,【 雑談 】あまりにも声がガサガサだったから寝かしつけ雑談【 桃鈴ねね / hololive 】,2025-10-04T19:11:00Z,83538,7256,84
KMvvelucjbQ,【 HITMAN 】エージェントねねち、出勤！【 桃鈴ねね / hololive 】,2025-10-04T14:30:38Z,93401,6792,56
5Zi2RHGCH_w,【 TCG Card Shop Simulator 】3日目！欲が止まらないカドショ店長ねね【 桃鈴ねね / hololive 】,2025-10-03T08:52:55Z,79981,5928,40
8SnLvWQZVyc,【 TCG Card Shop Simulator 】2日目！とりあえず１００万こーーい！‼！【 桃鈴ねね / hololive 】,2025-10-02T11:23:04Z,66545,5465,27
iWzS9GKzG3k,【 TCG Card Shop Simulator 】初日から大儲けで笑い止まらん侍になる！ｗ【 桃鈴ねね / hololive 】,2025-10-01T11:50:39Z,80313,6196,29
lTcY8fnH3KU,【 #ホロAmongUs3D 】ガチPONに1人秀才混じってみたｗ【 桃鈴ねね / hololive 】,2025-09-30T15:22:08Z,73990,6350,43
hD1l5y9IyA0,【 案件 】ホグワーツレガシーSwitch２版で遊んでみた！！！！！【 桃鈴ねね / hololive 】,2025-09-25T10:31:54Z,54965,5274,36
NaJZ75TaYmY,【 朝活 】みんなの準備といってらっしゃいを手伝うねねち【 桃鈴ねね / hololive 】,2025-09-23T22:05:12Z,85143,7394,79
ehQwjJISpSk,みこちと小学生のケンカ【 桃鈴ねね / hololive 】#shorts,2025-09-22T08:03:39Z,109171,6741,194
34tAVXFbDj0,【 PEAK 】ししろん体調だいじょうぶ～！？ねぽらで山昇る！【 桃鈴ねね / hololive 】#ねぽらぼ,2025-09-21T05:54:09Z,83344,6963,25
JCMLKgHCRWc,【 歌枠 】元気いっぱいソングでみんな元気になれ～～🌟【 桃鈴ねね / hololive 】,2025-09-20T11:00:34Z,106378,9517,57
WeTm1MA-nLg,【 #突発ホロAmongUs 】いちばんかしこいこうさつが見れる視点、ねね【 桃鈴ねね / hololive 】,2025-09-17T14:05:36Z,83904,6104,43
0gTK7DkfqzY,【 UNDERTALE 】完全初見！アンダーテイルって何？？？【 桃鈴ねね / hololive 】,2025-09-16T13:32:45Z,96303,7529,53
Jc09uIZQCUc,【 Liar's Bar 】心理戦でねねに勝てるやついりゅ？ｗ【 桃鈴ねね / hololive 】,2025-09-14T10:54:43Z,64055,6130,32
cJe65XX9N7k,推しじゃないと泣いちゃうよ！？【 桃鈴ねね / hololive 】#shorts,2025-09-13T11:38:00Z,1518600,39925,448
jVrUXSAxb8I,【 ホロカ 】みんなで最強カードを1枚作ろう！？【 桃鈴ねね / hololive 】,2025-09-12T10:23:13Z,50889,4736,30
ZkTOi7zRilk,【 APEX 】ダスピフルパでチャンピョン目指す！！！！！！！！！！【 桃鈴ねね / hololive 】,2025-09-11T15:17:15Z,71917,7199,27
k4_CuSfgX40,【 みんな大好き塊魂アンコール＋ 王様プチメモリー 】昼のねねの世界征服！！！！！【 桃鈴ねね / hololive 】※ネタバレあり,2025-09-09T05:31:39Z,68626,6141,30
2OJrYK2ygMQ,【 マリオカートワールド 】サバイバルでベスト８に入りたいねね【 桃鈴ねね / hololive 】,2025-09-08T10:39:03Z,71716,5652,46
iXOELIsCqnE,【 Get To Work 】ねねの力でハゲおじを出世させたるｗ【 桃鈴ねね / hololive 】,2025-09-07T10:21:20Z,48665,4378,33
DE772vKmn64,早口マヨラー博衣こよりにわからされる桃鈴ねね【 桃鈴ねね / hololive 】#shorts,2025-09-06T13:51:51Z,21296,2835,131
IehMVylI6vM,【 ８番出口 】大型アプデ！？新しい異変、あるらしい・・・！【 桃鈴ねね / hololive 】,2025-09-05T11:04:39Z,87060,7926,66
IgPiItuIv1Q,【 歌枠 】カラカラMV発表！！！嬉しくて歌う！！！！！【 桃鈴ねね / hololive 】,2025-09-03T11:04:26Z,49606,5653,41
f4XaHD73ByU,【original anime MV】カラカラ！【 hololive/桃鈴ねね 】,2025-09-03T10:55:06Z,165613,12714,388
sHm0dCvh1Ds,【 おかゆにゅ～～む！ 】おかゆ先輩を深堀したい♡【 桃鈴ねね / hololive 】,2025-08-26T13:07:51Z,119778,8832,51
