id,title,publishedAt,viewCount,likeCount,commentCount
HXsxvAq-418,【DARK SOULS III】drunk souls with @holoen_ceciliaimmergreen #calliolive #gutsisnuts,2025-12-13T17:20:52Z,140723,9904,83
0hU_9atQmbU,【Sekiro: Shadows Die Twice】okay game is actually really fun #calliolive,2025-12-13T04:24:40Z,87705,5694,52
5opIO0oVuCI,【MIMESIS】that mother f word is NOT REAL #calliolive,2025-12-11T15:15:04Z,56157,6185,61
c83F5SPdgM4,【Dragonball Z Kakarot】domesticating Piccolo AND Vegeta today  (SPOILERS!!)  #calliolive,2025-12-08T06:02:53Z,132707,8310,192
mY9ToJI3A1c,【Dragonball Z Kakarot】I'm going to marry piccolo!!  (SPOILERS!!)  #calliolive,2025-12-05T10:58:03Z,174737,8369,239
N4MsIQi2tMA,gigi murin wants to keep me in a cage #shorts #anime #animation #hololive #holoen #vtuber,2025-12-04T02:19:41Z,632162,40078,218
i-C-30vYpzk,【Sekiro: Shadows Die Twice】this is where I got filtered #calliolive,2025-12-03T07:26:07Z,86644,6549,104
cSXp5JOvldc,【Sekiro: Shadows Die Twice】the game I gave up on 6 years ago #calliolive,2025-12-02T06:38:55Z,165588,8061,83
nvwyk_kCnVk,【Dragonball Z Kakarot】freiza arc today!? (SPOILERS!!)  #calliolive,2025-12-01T08:26:07Z,155284,8603,185
gEe00Nwgb1E,【Dragonball Z Kakarot】the balls are (SPOILERS!!)  #calliolive,2025-11-29T06:13:31Z,122075,7982,168
P5ap1YCGSN4,【UNO】unoやるぞ #calliolive,2025-11-27T17:08:26Z,156816,12037,138
AwIaV4AJ8g0,【DEVIL MAY CRY 3】Bloody Palace with BIBOO!! #calliolive,2025-11-27T06:36:50Z,107364,8030,86
5I6viIg0Uac,カリオペ feat. KENTY!? リアル meets バーチャル!! 新コラボ曲 “Gold Unbalance” #shorts #hololive #中島健人 #vtuber #anime,2025-11-25T13:28:29Z,153607,11972,128
P7RfIwKzVm4,【ARC Raiders】generational solo run by the grim reaper!! #calliolive,2025-11-25T05:56:44Z,85603,7569,75
FjVbJP3qDGs,Golden…solo?! #dance #vtuber #anime #hololive #中島健人 #moricalliope,2025-11-23T03:39:30Z,312140,24117,262
s7j7FPMlh_U,【Dragonball Z Kakarot】what is a dragon ball (SPOILERS!!)  #calliolive,2025-11-23T01:24:33Z,114754,8556,210
3T15nOHMuqM,dancing with real backup dancers?! An KENTY! 森カリオペ feat. 中島健人 #shorts #dance #hololive #踊ってみた #中島健人,2025-11-21T16:02:31Z,277019,17930,156
FAazuhO4654,二人ならやれるさ！！Gold Unbalance feat. 中島健人 is OUT!! #dance #中島健人 #hololive #anime #踊ってみた #jpop,2025-11-21T04:20:32Z,275119,21700,284
l2lwWK8AkgM,the press conference (記者会見),2025-11-21T03:07:23Z,117493,9907,179
zeghyElg264,【MV】Gold Unbalance feat. 中島健人 - Mori Calliope,2025-11-21T03:00:07Z,949193,52758,2484
awt76PoOVt8,【RV There Yet?】mythical women ROAD TRIP!!! (MORI POV) #calliolive,2025-11-20T06:02:43Z,90576,8390,55
P_0Dqt5pBtI,"【Demonschool】lover of demons, HATER of SCHOOL... #calliolive #PR",2025-11-20T02:59:38Z,35834,4110,43
G40QNeoPepw,"【DEVIL MAY CRY 5】pay up, dead beat (part Vergil FINALE) #calliolive",2025-11-19T07:35:14Z,82523,5865,126
v2Q05M2trY0,【RAFT】12 Hours of Inviting HoloEN Girls to Build a Boat With Me #calliolive,2025-11-17T14:42:23Z,293490,16540,196
9gmo02M7nFM,Who is Mori Calliope!? (“Bassist” is still a work in progress…) #shorts #anime #hololive #vtuber,2025-11-15T06:27:49Z,319082,21344,254
D5Pp8IosqsA,カワイイオペがまた脱走した…kawaiiope escaped again… #shorts #dance #azki #hololive #jpop #anime,2025-11-14T09:26:14Z,330779,29072,601
QCSQO6Z12Oo,【DEVIL MAY CRY 5】I AM THE SKULL THAT IS APPROACHING. (part Vergil) #calliolive,2025-11-12T09:38:48Z,132542,8308,128
Xftooty7p7M,【DEVIL MAY CRY 5】JACKPOT!!! Possible Finale. (part 3) #calliolive,2025-11-11T06:30:02Z,237909,9106,231
s1f9gpjwRA4,【DEVIL MAY CRY 5】I Don't Care About V (part 2) #calliolive,2025-11-09T08:00:45Z,182205,9515,157
avv01R2mcrA,600k VIEWS THX!! What was your favorite part?! #shorts #anime #animation #hololive #gachiakuta,2025-11-07T16:25:58Z,254082,21189,304
vdvuTchRlTs,【DEVIL MAY CRY 5】how did we get here (part 1) #calliolive,2025-11-06T06:33:51Z,137054,8874,248
r321SbSBntc,“Making of LET’S JUST CRASH MV” #shorts #animation #anime #gachiakuta #hololive,2025-11-05T10:27:11Z,193613,14063,121
08D2ru43ee0,【DEVIL MAY CRY 4】what the h e double hockey stick is this?! (part 3) #calliolive,2025-11-05T06:15:49Z,88006,6553,121
rYGByRyCeEs,“LET’S JUST CRASH” 2nd Anime OP of GACHIAKUTA. MV released! #shorts #animation #anime #gachiakuta,2025-11-03T03:23:19Z,262891,19886,262
do8EmK-XoAg,【MV】LET'S JUST CRASH - Mori Calliope (2nd Opening Theme of TV Anime GACHIAKUTA),2025-11-03T03:00:08Z,8283705,85375,3017
w5iHIfWDy4c,impasta amogus #shorts #animation #hololive #hololiveenglish #vtuber,2025-11-02T12:24:16Z,1292003,84323,437
SxPs5aKg45U,【DEVIL MAY CRY 4】THE TIME HAS COME AND SO HAVE I (part 2) #calliolive,2025-11-02T07:58:57Z,283965,7255,92
tBj1e98NEzk,【DEVIL MAY CRY 4】no self control #calliolive,2025-10-31T07:29:21Z,133014,8238,148
QAhe7pgLoyU,【HOLOWEEN FEUD】Survey Says...BIG GAMESHOW COLLAB?! #calliolive,2025-10-30T15:43:23Z,261168,17966,499
Mh2ZUqzVbok,【IRE: A Prologue】not scared of ANYTHING!! of course!!! #calliolive #sponsored,2025-10-30T03:37:09Z,44736,4748,61
FVBN_-hiD9U,Please grant me permission to play Persona 3 Reload!,2025-10-29T18:00:16Z,3345446,17059,187
ItSzk490lyI,【DICE DESIGNING!】drawing something edgy for the grim reaper's dice?! #calliolive #ad,2025-10-29T01:29:31Z,35763,4330,78
atffJuZWhx8,【DEVIL MAY CRY】the very first one. #calliolive,2025-10-28T09:34:45Z,217180,9602,127
cDi0O-miBsA,【Chaos Zero Nightmare】time for trauma #calliolive #PR #sponsored,2025-10-25T04:22:16Z,67091,5560,71
VxtKjIQoxp4,【DEVIL MAY CRY 3】love my whacky woohoo pizza man (part final) #calliolive,2025-10-24T08:24:31Z,187402,7391,121
ehXpN_vE0Ek,"【MAGE ARENA】behold, the most powerful spell of all #calliolive",2025-10-23T15:21:50Z,60730,6043,50
PabqLOKlvr4,【DEVIL MAY CRY 3】where's your MORIVATION? (part 3) #calliolive,2025-10-23T06:41:30Z,147867,7252,72
9gOJI2DOihc,【DEVIL MAY CRY 3】pull my reaper trigger? (part 2) #calliolive,2025-10-21T08:12:44Z,176318,8111,100
neIOTow42DY,tonight it’s MY turn!! thanks for dancing! #shorts #dance #anime #animation #hololive #vtuber,2025-10-20T03:32:14Z,422694,34739,605
S93vOnedPAw,【SHADOWVERSE: WORLDS BEYOND】heard this game has umas now...also I'm with GIGI #calliolive #sponsored,2025-10-20T02:58:52Z,51324,5138,40
uzG6MjeSuFU,【DEVIL MAY CRY 3】first dmc experience sorry #calliolive,2025-10-19T10:49:43Z,266775,11889,211
qZpM8Tuo0E0,【Pokémon LEGENDS: Z-A】trying it out today!! #calliolive,2025-10-18T09:02:00Z,82351,6504,68
xw5PjKyfEJQ,【FORTNITE】yeah fortnite we bout to takedown #calliolive,2025-10-16T04:06:13Z,115235,8128,86
fqNydT-g8g4,【OPENING 200 BOXES】ABOVE Odds for a SEC?! HoloOCG Card Box Opening! with HoloEN Members! #calliolive,2025-10-15T06:21:11Z,201196,12983,141
9D22ADfm7tk,"when Mori’s afk, gigi will play… #shorts #animation #hololive #anime #gigimurin #vtuber #envtuber",2025-10-13T05:21:36Z,1337548,74375,340
XpwFuZmQfok,【GACHIAKUTA PARTY】many activities!! leading up to the anime song release!!! #calliolive,2025-10-12T16:23:35Z,66424,6997,110
63LAc9AAlPs,"【MEGABONK】sorry, skeletons. #calliolive",2025-10-10T07:35:42Z,81621,6905,54
yX_xtSKd3RI,let's celebrate. #calliolive,2025-10-07T04:01:13Z,97693,9963,191
hhJR6-YozZM,【KARAOKE】anime songs!! oh boy!!! #calliolive,2025-10-06T04:39:59Z,105577,10497,111
2Ww5XA7AdBk,birthday WHAT??? #shorts #animation #anime #hololive #gigimurin #vtuber #envtuber,2025-10-05T02:36:54Z,675993,53430,425
rxgQ-holhzM,【GODDESS ORDER】grinding and chatting!! one more time!!  #calliolive #GoddessOrder #PR,2025-10-04T04:18:05Z,45548,4406,32
