id,title,publishedAt,viewCount,likeCount,commentCount
4RYbmR8oJHw,【#紫咲シオン卒業LIVE】最大の感謝を込めて。【MurasakiShion Graduation LIVE】,2025-04-26T13:30:12Z,3125888,189382,10859
d_DD2bzkEHg,【雑談】最後のお話！！！みんな本当にありがとう！！！！【ホロライブ/紫咲シオン】,2025-04-25T13:52:33Z,485366,34452,931
QcBj02A8ln4,【original】シオン【ホロライブ/紫咲シオン】,2025-04-25T10:00:06Z,1489389,57231,3482
WUe-ylfdHSk,【#holoRUST】ラストのRUST！！たくさん思い出作って楽しむ！【ホロライブ/紫咲シオン】,2025-04-24T18:25:57Z,497658,19424,196
qBfBVk_l0TU,【#holoRUST】ホロ鯖RUST！！冒険したり農業したり！！【ホロライブ/紫咲シオン】,2025-04-23T20:18:50Z,281029,11374,97
XIwpSS6PVGw,【#塩がゆ】最後の塩がゆでましゅまろ雑談だ！！🌙🍙【ホロライブ/紫咲シオン】,2025-04-22T15:26:18Z,144090,12090,131
48VYp4T1UKM,【#holoRUST】ホロ鯖RUST！！今日も生き残りたい！！【ホロライブ/紫咲シオン】,2025-04-21T19:32:24Z,290119,12331,83
VcHUajZ_zks,Sincerely／Covered by紫咲シオン,2025-04-20T10:00:06Z,620099,33072,1497
NyQA-oXdwS4,【#holoRUST】ガチ初見RUST！！ホロ鯖冒険します！！2【ホロライブ/紫咲シオン】,2025-04-19T22:34:49Z,278808,12535,82
matC32C-i-M,【#holoRUST】ガチ初見RUST！！ホロ鯖冒険します！！【ホロライブ/紫咲シオン】,2025-04-19T12:53:55Z,189763,10762,40
MrzXY7e00a0,【スーパーマリオパーティジャンボリー】#マシぺこ (塩田マリ子) でマリパする！👑【ホロライブ/紫咲シオン】,2025-04-17T14:14:23Z,479694,22915,251
qtHagElZ0oY,【#ホロ2期生】ホロライブ２期生でUNO遊ぶ！！【ホロライブ/紫咲シオン】,2025-04-16T13:43:46Z,586729,32556,465
Depq1GaHn-o,【Minecraft】重大告知あり！ホロ鯖で思い出を巡り、思い出を作る！！【ホロライブ/紫咲シオン】,2025-04-15T13:56:22Z,231888,14813,152
--1m3Mj8uew,【#あずしお】紫咲シオンをGeoGuessrする配信…！？【ホロライブ/紫咲シオン/AZKi】,2025-04-13T15:02:11Z,147786,10061,108
pq0Wf288wiI,【#あずしお】紫咲シオンをGeoGuessrする配信…！？【ホロライブ/紫咲シオン/AZKi】,2025-04-13T13:25:29Z,94852,7435,29
iPm5YHGZnaA,【歌枠】久しぶりにまったり歌う～～！！KARAOKE！【ホロライブ/紫咲シオン】,2025-04-12T20:07:15Z,195149,15218,165
IJ5BtotPzU0,【ポケットモンスター銀】初めてのカントー地方へ！！【ホロライブ/紫咲シオン】,2025-04-09T20:20:52Z,214979,9938,127
gPubrU59GWE,【ポケットモンスター銀】まだ見ぬ新天地目指して冒険だぁ！！【ホロライブ/紫咲シオン】,2025-04-07T23:15:44Z,314544,12716,101
u2aEvbFEjRY,【ポケットモンスター銀】はじめましての新しい冒険！！【ホロライブ/紫咲シオン】,2025-04-05T23:40:19Z,346086,13246,101
w2s20VIezAo,さよならだけが人生だ／Covered by紫咲シオン＆沙花叉クロヱ,2025-03-31T10:00:06Z,1242575,57393,2456
1Itzd3i2G6g,【凸待ち】告知あり！アポなし凸待ち！誰か来てくれるかなっ？【ホロライブ/紫咲シオン】,2025-03-30T13:32:21Z,470535,22807,193
-0bOqfsnQ7Q,【アソビ大全】懐かしの ＃ハバババ で仲良く真剣勝負するぞ！！🌙🏴‍☠️【ホロライブ/紫咲シオン/宝鐘マリン】,2025-03-26T14:43:56Z,397923,20698,204
TikDVKv_IZE,【MiSide : ミサイド】彼女とラブラブ新生活始めます！💓(予定)【ホロライブ/紫咲シオン】,2025-03-24T22:22:18Z,225999,14197,102
MVx_2lL5Wrc,【お宝マウンテン】久しぶりにいっちょ行きますか…【ホロライブ/紫咲シオン】,2025-03-20T19:27:51Z,174714,12011,92
057nRuHJIDs,【Minecraft】新ホロ鯖で家の中まで可愛くしたいっ！！【ホロライブ/紫咲シオン】,2025-03-18T22:18:40Z,406347,17352,128
xM1YXCnuq1g,キャットラビング🐈‍⬛歌ってみた【ホロライブ/紫咲シオン】#shorts,2025-03-14T10:39:58Z,268783,26684,411
TfDN_TjmG3c,【モンハンワイルズ】塩ぺこ天下統一モンハン！！行くぞ！！！【ホロライブ/紫咲シオン】,2025-03-12T16:54:35Z,217980,14036,108
7LpT5kHEI_k,【モンハンワイルズ】上位を少し嗜みに行ってみる！！【ホロライブ/紫咲シオン】,2025-03-12T00:33:55Z,410671,19373,107
