id,title,publishedAt,viewCount,likeCount,commentCount
_649hxihom0,🔴 (Review Lagu Mediashare) GAADA HABISNYA! BILLING SAMPE JAM 9 GAS!,2025-12-10T13:08:24Z,11396,826,11
4H_DMdaVyok,🔴 #PRAYFORSUMATERA 12 JAM CHARITY PART 2,2025-12-08T21:38:11Z,30154,1727,14
qxFIf8yl8lk,🔴 #PRAYFORSUMATERA 12 JAM CHARITY STREAM,2025-12-07T22:04:42Z,34960,2015,18
IJ8XDQp_gNE,🔴 Pengumuman 15 menit aja gausah lama-lama,2025-12-03T13:16:51Z,5309,605,22
rVkdP8fnQdY,🔴 NGERAYAIN 5 TAHUN JADI VTUBER | HANDCAM / BUKA KAMERA,2025-12-01T15:12:30Z,11672,1339,8
F2D59Ol_D_0,🔴 Chilling pagi pagi gini. Sarapan apa ya enaknya? | OHAMITI,2025-12-01T05:39:26Z,6186,588,6
iV5kZXy4uu0,🔴 WAH.. INI.. KETEMU SAYANGKU.. | Five Hearts Under One Roof 2,2025-11-30T15:48:40Z,19666,1241,21
EZAF2fK67V4,🔴 Temenin kerja yuk? :3 | OHAMITI #8239183920,2025-11-30T04:11:19Z,10723,1084,8
Mqb-7LiNHik,🔴 APA YANG TERJADI KALAU DUO(NGOK) INI DISATUKAN... w/ @TanaNona-JKT48V | RV There Yet?,2025-11-29T15:24:07Z,7467,820,10
yYfyjAELAB4,🔴 CHILLING BERTANI DAN MEMBUAT RUMAH :3 w/ Shannon! | Dinkum,2025-11-28T15:39:27Z,6754,785,6
o_nsnAnCXmI,🔴 Malaikat GAGAL ada cerita horror ga ya? Katanya dia suka horror! @DeltorielVT | Cerita Horror,2025-11-27T16:49:12Z,8554,919,9
hLgOymITwRI,🔴 GATAU INI HARUSNYA NAMA SESI STREAMNYA APA... btw halo baru bangkit.,2025-11-26T16:00:41Z,8419,836,13
Uk5aJ_hMCjA,"🔴 (Review Lagu Mediashare) OK KALI INI BENERAN, LETS GO",2025-11-24T15:37:39Z,11619,930,12
eqBezO--GFY,🔴 Strimer karbit ini ada horror horrornya ga? @naplive7  | Cerita Horror,2025-11-20T20:16:31Z,24570,1982,34
nl7en93gJCA,🔴 NGECEK APA YANG LUCU... | MEME DISCORD REVIEW,2025-11-19T15:15:23Z,12567,1229,20
wY8ZWmx8LHw,🔴 Ngobrol dulu.... banyak hal yg terjadi.,2025-11-14T17:10:14Z,9740,929,23
YN0VGAAn0yY,🔴 SCROLLING LAGI SAMPE GA ANEH ANEH.. | What's On My FYP,2025-11-11T14:13:57Z,13981,1359,17
_vKJ-VcJ-wM,🔴 Ngatau bingung maw beli truk | Nobar Horror,2025-11-06T15:34:28Z,9966,971,16
Upeu4NN34fA,🔴 Udah lama ga ngobrol. Apa kabar? | Mediashare & Talk,2025-11-05T15:25:27Z,10983,1202,11
e4dZ9CrVv4U,🔴 Cerita Ibu Hamil Di Tahun 1998 | 1998: The Toll Keeper Story,2025-11-02T13:20:05Z,20378,1906,24
rVEU0uZEY2o,🔴 MASTER OF PETA DUNIA IS HERE! | VTUBER (GAMBAR) VS B2F: GEOGUESSR,2025-10-31T19:38:23Z,26522,1854,18
VOJz3FxQ3FE,🔴 Ngobrol sama butler yang ganteng.. atau cantik? Serem ga ya? @orianasolstair  | Cerita Horror,2025-10-30T15:47:56Z,14664,1276,15
3qukS0U4XIg,🔴 DISURUH NGEJAGA RUMAH TEMEN MALAH BERUJUNG.. HAL GA BAIK. | Overcome Your Fears - Caretaker,2025-10-30T13:23:31Z,7074,850,23
ysmTKAcRKr4,🔴 APIPI?,2025-10-28T16:49:37Z,16758,1093,25
QIbkVRw23ag,🔴 SUDAH LAMA TIDAK LIAT KELAKUAN MEMBER DISCORD?! | Meme Discord Review,2025-10-27T14:14:23Z,11516,1125,13
k4Ea2jaM7bo,🔴 ALAH.. REELS & MEDIASHARE JOMOK. BETE GWEH. | What's On My FYP,2025-10-25T17:18:51Z,17074,1452,18
0RJy8zetxcE,🔴 Kisah Horror VTuber Hijab? Ada kah memang? | Cerita Horror,2025-10-23T16:12:12Z,12658,1204,10
bUmjlkWRYSo,🔴 Udah lama ga ngobrol santai. Sini masuk.. | Freetalk,2025-10-23T13:59:15Z,6744,794,10
X-znxLipPIg,🔴 MELIHAT HOBI ORG ORG ANEH | Review Hobby,2025-10-22T14:12:29Z,9083,1071,18
