id,title,publishedAt,viewCount,likeCount,commentCount
Gv04Jbo7_yk,GOMEN EHE ( ˶ˆᗜˆ˵ ),2025-12-06T08:13:32Z,2238,396,29
CQL5PB5De3M,[REPO]  We are Back to REPO yea【NIJISANJI| NAGISA ARCINIA】,2025-11-08T14:44:55Z,1183,254,5
fP1sulbxdT4,[REPO]  Collab Bareng Penghuni Terakhir Ex-ID【NIJISANJI| NAGISA ARCINIA】,2025-10-04T15:10:30Z,1688,398,7
LYMybvmC4zk,[BLANK]  Nagisa Turun Gunung【NIJISANJI| NAGISA ARCINIA】,2025-08-30T03:32:51Z,3003,494,29
5oG57hZtSlY,[DAVE THE DIVER]  HI GAME TIME【NIJISANJI| NAGISA ARCINIA】,2024-09-23T09:19:47Z,6635,529,14
mf4d9SwxbQk,[BDAY STREAM]  Nagisa Ulang Tahun tapi gak lupa kok【NIJISANJI| NAGISA ARCINIA】,2024-07-24T21:36:34Z,3235,579,44
ivWKbI9ZTAs,[ FreeTalk] Finally It's Here! Nagisa's Original Good Bintang 5 Boleh kak【NIJISANJI| NAGISA ARCINIA】,2024-03-02T18:21:56Z,3787,453,10
_aNOG-iiBIY,[CORAL ISLAND] FARMING NO HUSTLE【NIJISANJI  | NAGISA ARCINIA】,2024-02-28T10:07:21Z,1567,324,8
A38rdlLyulo,[AMONG US] Kumpul Keluarga Besar  Mama(ng) Panda【NIJISANJI  | NAGISA ARCINIA】,2024-02-02T15:10:35Z,2080,361,4
pfdoa5fT2E8,[ FreeTalk] -Tea Talk-【NIJISANJI  | NAGISA ARCINIA】,2024-01-30T21:17:39Z,1200,267,2
ka5blRsGYbs,[Valorant] Chill and  K???【NIJISANJI  | NAGISA ARCINIA】,2024-01-29T22:59:54Z,837,211,2
VZSym5w1YV4,[Geoguessr] Lost in Maps! Can I tell where am I?!【NIJISANJI  | NAGISA ARCINIA】,2024-01-26T22:36:30Z,906,237,4
yh0e07X7ZoE,[MINECRAFT] Minecraft while I misuh【NIJISANJI  | NAGISA ARCINIA】,2024-01-24T10:14:51Z,1452,329,9
Y_B8jCShaC4,[Valorant] C'mon【NIJISANJI  | NAGISA ARCINIA】,2024-01-18T22:38:47Z,857,250,7
