id,title,publishedAt,viewCount,likeCount,commentCount
GzvAM7ehG6M,【CHAT】= w= Just Chlling,2025-12-12T04:58:25Z,65682,7982,54
-1OGbAUALxc,『re:VISION』 Ninomae Ina’nis 1st EP Open for Orders Now!!,2025-12-11T14:39:29Z,59170,5637,114
RbhgBnldsGk,【HATSUNE MIKU: COLORFUL STAGE!】Special 4th Anniversary Collab Stream!!! Past Ina Designed WHAT?!,2025-12-08T02:16:25Z,43029,6695,102
3qVP-AyFeG4,【CHAT】OWO YEEPEEEEEEE,2025-11-25T01:07:20Z,35797,6187,89
WORaKKzYkyw,【Pokémon LEGENDS Z-A】Eepy Trainer Eepy Pokemon【#6】,2025-11-23T03:42:29Z,45631,5731,64
s9sHarEWMDc,Head Empty No Thoughts....But Don't Forget to Tune Into #TakoToriShowtime !!!!,2025-11-21T15:25:21Z,69591,7517,186
0Uw99JGHWqc,【RV There Yet?】Carry Me Please Friends @MoriCalliope @TakanashiKiara,2025-11-20T06:03:10Z,90592,8888,77
pHNlue_9Qo0,【MAGE ARENA】fireball (lowercase),2025-11-16T15:39:04Z,71935,7406,51
2tQOQ8OIa1w,"【Raft】Just Me, the Ocean, and Mori Calliope",2025-11-08T03:17:59Z,100047,10689,92
WMLnlYTZgN0,【Pokémon LEGENDS Z-A】IT'S TIME TO PROVE YOUR WORTH【#5】,2025-11-07T06:11:48Z,49632,5824,52
wZrwhMzM-m0,Orpheus? ORPHEUS!!!,2025-11-03T13:57:14Z,196478,20508,351
rP-u7XCzx5U,【Little Nightmares III】WOODEN SHOVEL DOUBLE PURPLE!!!!! with @KosekiBijou #sponsored,2025-10-31T02:34:22Z,35973,5078,41
xWClvFiAgMY,【Pokémon LEGENDS Z-A】Get In My Pockets 【#4】,2025-10-28T03:34:49Z,88267,7985,76
g83ppe-AiVY,『Deep in Abyss』 Ninomae Ina'nis & Nanashi Mumei (Cover),2025-10-28T00:00:06Z,392104,45109,1928
FplAYwsBBNY,【MAGE ARENA】They Told Me I Can Be the Greatest Mage of All Time,2025-10-23T15:25:55Z,77848,8004,59
8x_Y2PmxJok,【Pokémon LEGENDS Z-A】Just A Little Bit of Progress So I Don't Become Too Powerful 【#3】,2025-10-22T04:24:23Z,49074,5310,38
eNCp4mfpqh0,【Pokémon LEGENDS Z-A】TINY MUSHROOM PRETTY FEATHER HUNT HERE 【#2】,2025-10-20T07:47:27Z,132308,9258,53
Uz2XU3GAp5g,【Pokémon LEGENDS Z-A】A NEW ADVENTURE FOR US!!!!!!!!! 【#1】,2025-10-17T06:27:10Z,134395,10032,84
2HDsLdTunB4,【MONSTER HUNTER WILDS】WOODEN SHOVEL Hunting With Biboo!! Pt. 2,2025-10-10T07:11:00Z,66999,6093,38
X9eatHq84nI,【MONSTER HUNTER WILDS】WOODEN SHOVEL Hunting With Biboo!!,2025-10-10T04:38:36Z,70991,7206,50
Ss_Rw6nObdI,【FiGGYZ x hololive EN】A Fine Addition to My Collection! Upcoming Collab Info + Drawing!? #sponsored,2025-10-08T02:18:22Z,40679,5600,50
ESnOPXLjnvg,【Hollow Knight: Silksong】MEOWMEOWMEOWMEOW (Translation: Slow and Steady!!)【#5】,2025-10-06T04:31:31Z,71119,7083,63
R8OQDnZSI80,【ELDEN RING: NIGHTREIGN】Myth Nightreign!!....CARRY US MORI CALLIOPE,2025-10-03T15:51:45Z,68073,7793,38
KRiNBzIrvqU,【Inacademy: Drawing】Full Feedback Stream!!!,2025-10-02T03:55:13Z,84007,9587,70
GXLtw9lav50,【AmiAmi】Final WAHmbassadorship Stream!!!!,2025-09-28T02:24:56Z,64625,8770,73
EAbVeUi9wK4,【Hollow Knight: Silksong】Is the Rust Back....?【#4】,2025-09-25T05:19:58Z,61129,6263,57
YoKewyudodI,【Inacademy: Drawing】Part 1!! A Few Feedback + Finishing Art For a Cover!,2025-09-16T02:26:13Z,100633,11506,61
