id,title,publishedAt,viewCount,likeCount,commentCount
Qf0IppMkBpM,ARMIS REACTS TO FLUTE GUY at THE GAME AWARDS 2025 #thegameawards #vtuberclips #shorts,2025-12-14T01:00:42Z,4188,474,22
XGpTD5JAKF0,Would you throw the ball or keep it?,2025-12-13T01:01:00Z,1809,311,18
wgXN09x56SM,FINAL FANTASY 9 AND KINGDOM HEARTS 4 FOR SURE【THE GAME AWARDS 2025】,2025-12-12T04:28:52Z,7220,772,8
3WRNSaJ3AxY,Chuuni balls #banzoinhakka  #vtuber  #vtuberclips,2025-12-12T01:00:06Z,5106,903,15
cElEmClrCWI,Spellcasting has never looked this bleu【GTA VTRP】,2025-12-11T07:20:47Z,5512,691,7
5GvQfOhlvwg,The haunting :3 #shorts #holoarmis #octavio,2025-12-11T01:00:06Z,5435,976,23
KKFiB9SMnTg,Don't play rock paper scissors like this #vtuber #holostars #vtuberclips,2025-12-10T01:00:26Z,1880,267,10
B4fgsXHwpXA,PASS ON BRO #mortuaryassistant #vtuberclips #shorts,2025-12-09T01:00:13Z,4143,810,33
8CblTHcNQm0,umamusume brainrot #mafiatheoldcountry #holostars #hololive,2025-12-08T01:00:10Z,6239,822,15
SZaEx8idabo,How I make music in Ableton 12.3 #vtuber #musicproducer #ableton,2025-12-07T01:00:41Z,11688,1858,29
rR1ZhPbVVvo,ITS A DISASTER... | RV THERE YET,2025-12-06T02:01:09Z,2750,410,26
kP2PBJdLpFc,SIR YOUR MONEY! #shorts #holoarmis #octavio,2025-12-06T01:01:12Z,16520,2192,94
mhnJjDhTVEI,NEW WORLDS COVER from HATSUNE MIKU: COLORFUL STAGE w/ @KureijiOllie OUT NOW!!!,2025-12-05T01:01:12Z,8359,1899,15
0jy_rMrZQaY,how to sing italian #vsinger #singing #vtuberclips,2025-12-05T01:00:02Z,10367,1816,33
Ez_BJUkA0b4,All I know is I'm not sus【AMONG US】,2025-12-04T05:09:00Z,2957,490,11
JhlXpOxX5NM,real life medical experience #shorts #holoarmis #octavio,2025-12-04T01:00:33Z,6408,727,21
coJCZKazhTk,polyglot problems #envtuber #holoarmis #holostars,2025-12-03T01:00:56Z,10272,815,32
JsYqUSW2pz4,【GOGH - POPPET COMMISSIONS】DRAWING A BILLION POPPETS,2025-12-02T06:24:55Z,6126,729,13
GCWf-anhjik,minecraft is a great game #shorts #holoarmis #octavio,2025-12-02T01:00:32Z,8339,1011,25
80eJXTy-hI0,NEW WORLDS with @KureijiOllie OUT NOW!!! 【HATSUNE MIKU: COLORFUL STAGE】,2025-12-01T01:00:18Z,11300,2313,18
