id,title,publishedAt,viewCount,likeCount,commentCount
SBNi3xuFY6I,【 ＃ホロドラゴンマイクラ 】いくぞ～！～！今日は死にたくない！！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS,2025-12-12T16:11:29Z,69690,4450,46
gbWBdXSe7fM,【 ＃ホロドラゴンマイクラ 】いくぞ～！～！今日は死にたくない！！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS,2025-12-12T14:03:38Z,29039,2932,16
IKuGeZBXvEs,【 ＃ホロドラゴンマイクラ 】今日はテイムできるかな？！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS,2025-12-11T15:19:01Z,83271,5683,56
VBs7wRSKcaI,【 ＃ホロドラゴンマイクラ 】はじめての！モンスターをテイムできるマイクラだと？！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS,2025-12-09T15:20:28Z,119090,6641,65
MP7JfHjHoE4,【 #プロポーズ 】歌って踊ってみた！💐【 音乃瀬奏 】#shorts #hololive #dance,2025-12-06T10:38:36Z,331557,20173,309
KgEDxIOyQ78,【 縦型歌枠 】とりあえず歌を歌いたいなと思っている【音乃瀬奏】#hololiveDEV_IS #ReGLOSS,2025-12-04T12:11:37Z,105813,8955,101
ZP8AfDO_yyo,【 全部俺 】 #HOWL 踊ってみた😎【 音乃瀬奏 】#shorts #hololive #dance,2025-12-04T09:08:10Z,789793,36696,679
_m0FDUisFQU,【 Carry The Glass 】うおおおおおおおお！！！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS,2025-12-02T13:30:18Z,143171,8759,124
M9APOmux-wQ,【 最終回 / P5R 】完全初見！ペルソナ5ザ・ロイヤルやるよおおおおおお #22【音乃瀬奏】#hololiveDEV_IS #ReGLOSS ※ネタバレあり,2025-11-29T11:34:00Z,73434,4691,97
jZQWNHeDDrs,【 #にぎにぎにじたうん！】#にぎにじダンス 超楽しく踊ってみた！🌈✨【 音乃瀬奏 】#shorts #hololive #dance,2025-11-28T08:19:01Z,252056,20696,447
HhQf0Rl1MEM,【 Kawaii Kaiwai 】踊ってみた！💕【 音乃瀬奏 】#shorts #hololive #dance,2025-11-27T08:45:29Z,156022,13174,365
8UQ5g65FzwA,【 ミメシス 】プレイヤーを真似するAIが増えるらしい？！生き残るぞおお！！！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS,2025-11-26T15:44:41Z,136008,7968,88
s0dCgUGEk8E,【 雑談 】お話た～いむ【音乃瀬奏】#hololiveDEV_IS #ReGLOSS ※ネタバレあり,2025-11-24T12:20:20Z,71732,5892,77
YvNWUQzXkWk,【 P5R 】完全初見！ペルソナ5ザ・ロイヤルやるよおおおおおお #21【音乃瀬奏】#hololiveDEV_IS #ReGLOSS ※ネタバレあり,2025-11-24T09:08:17Z,53229,3819,40
NMDc9WQnf3E,【 スターセイヴァー 】ガチャでかわいい女の子たちを引きまくるぞおおおおっ！！！うおおおお【音乃瀬奏】#hololiveDEV_IS #ReGLOSS,2025-11-23T10:17:30Z,54277,4125,46
VUtZTWnGiKY,【 縦型歌枠 】お歌を歌っていくんだ？！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS,2025-11-22T16:43:06Z,130945,9776,102
9zKYyDI_y9k,【 PEAK 】山の上を登っていくぞ！！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS,2025-11-20T13:46:27Z,58088,5050,46
zrixI8F8tCU,【 かぞえ飯 】米を数えていくんダ～～ナ【音乃瀬奏】#hololiveDEV_IS #ReGLOSS,2025-11-19T15:36:04Z,79639,5932,65
