id,title,publishedAt,viewCount,likeCount,commentCount
c7i_pGzhLqc,【Piagi】 Tidak terlalu pagi karena tadi sakit peruttttttttt,2025-12-12T18:09:25Z,1641,256,7
39wJ6SqO10c,【LUDO】INI DIA GAME LEGENDARIS!! bersama @IshaKirana-JKT48V @MauraNilambari-JKT48V,2025-12-11T18:00:57Z,4535,466,12
ap8sJKt8pak,【VALORANT】valoranttttttt!~~  @IshaKirana-JKT48V @MauraNilambari-JKT48V,2025-12-09T15:19:30Z,3311,350,4
e8Gw0i2C2Ao,【Senin Sekolah】TEKA TEKI SUKA SUKA PIA IS BACC!! @QuiverR011 VS @Alarichalberich,2025-12-08T16:02:53Z,1746,241,3
q5I2U7K4VxY,【LEAGUE OF LEGENDS】JADI BEBAN DI LIGA LEGENDA BERSAMA MASTERNYA @IshaKirana-JKT48V,2025-12-06T15:21:07Z,4634,419,7
Z5mEsFShMEs,【VALORANT】MAIN VALO @TanaNona-JKT48V @IshaKirana-JKT48V @MauraNilambari-JKT48V @SamiMaono-JKT48V,2025-12-04T11:54:09Z,4029,403,9
Vgn5gsGo-Y0,【GEOGUESSR】ATMINT IS THAT U?! 🤯 13000 km bersama atmint 🙋,2025-12-03T15:38:59Z,10402,1005,51
4CcXkJT4DvI,【RANDOM】Jadi sebenarnya aku ini.......,2025-12-02T10:25:00Z,4441,485,6
XlB-hSLFZ7w,【Senin Sekolah】MASAK APA CHEFFFFFF???? @Mikaasuma VS @ColeCalamello,2025-12-01T14:02:50Z,2523,337,7
iVUgdw0H780,"【RANDOM】NYNAYI BIMSIK BIMSIK SINIH (nyanyinya dicut gais, sisa ngobrolnya aja)",2025-11-27T11:11:44Z,3079,407,12
wYoFU6sFSkQ,30.11.2025,2025-11-27T09:01:35Z,4356,565,47
i7MULqz4Qfk,【MeRadio】GHIB-- EH MAKSUDNYA NGOBROLIN RENCANA OSPEK GEN 2 w/ @TanaNona-JKT48V​,2025-11-26T14:50:56Z,6837,685,13
KjcLIRCN6yA,【MeRadio】Apakah Kak Chelsea dan Kak Elin bisa menjawab teka teki sulit? 😼,2025-11-25T08:52:34Z,4491,489,19
R1CnF91V9wg,📢Kizaru x JKT48 Virtual - Pia Meraleo,2025-11-24T04:30:53Z,1595,227,18
7r8Ws4hzZyk,"【Piagi】 Senin piagi, senin semangat!",2025-11-24T02:35:52Z,3630,490,15
tPonYtZ6zyM,【TotsRally】PENASARAN GA SIH SAMA GAME GEMES INI????✨,2025-11-21T13:01:17Z,498,86,7
focgL_a9eZ0,【MERONTON】RONDA RUTIN + CERITA NABI with @TanaNona-JKT48V,2025-11-19T18:16:06Z,6657,674,13
_zGVscKke60,【BUCKSHOT ROULETTE】I'M A PRO PLAYER! @TanaNona-JKT48V @lilianavampaiaofficial @FluffiieeMY,2025-11-18T14:33:46Z,6198,640,5
WUpEWoIdwyE,【TOTS RALLY】DANDAN GEMES BARENG TEMEN-TEMEN,2025-11-17T14:32:41Z,3162,362,8
GFqQxyN00TY,【RANDOM】STREAM PENYESALAN KEPUTUSAN TERMASUK MENGHAMBUR-HAMBURKAN UANG,2025-11-15T18:54:55Z,6773,643,17
Cka7tcVDZzs,【RANDOM】STREAM BELAJAR JADI HEMAT NO CAP,2025-11-14T08:15:52Z,3094,399,14
m1MRdmk_dIc,【RANDOM】STREAM BELAJAR JADI KAPITALIS,2025-11-12T08:58:12Z,4248,477,33
PjnnCgEYlxQ,【RANDOM】AkKu kANg3N IH😔,2025-11-12T04:48:23Z,3768,496,6
oIxlAXKp6Cs,"【RV THERE YET?】#2 PENGENDARA ANDAL NI BOS, SENGGOL DONG @KaelaKovalskia @ONShannon_​",2025-11-08T10:20:51Z,4517,515,9
s2VhvoQ96m8,"【RV THERE YET?】JUJURLY AKU GATAU GAMENYA GIMANA, saatnya jd beban lg @KaelaKovalskia @ONShannon_",2025-11-03T09:36:05Z,6049,680,6
cgWbjgL0cOs,【MeRadio】Kira-kira Aralie dan Erine bisa jawab kuis tidak ya?,2025-10-23T10:12:06Z,22591,1849,36
WuxQpS8dTpE,【MeRadio】DOKTER CINTA MEAMEO IS BACC w/ @TanaNona-JKT48V,2025-10-22T14:36:41Z,3504,395,7
YB_rlkgwH_M,【PIALLETE】PART 2 MENGGAMBAR CHIBI KAKAK MEMBER PERTARUHAN CINTA!!! 💅,2025-10-21T14:46:53Z,2679,341,3
uJKhXyRVViw,【Senin Sekolah】 @PinkuRimu BERMAIN TTS XIXIXIXIXI,2025-10-20T14:17:24Z,2927,362,0
nWZA3JKB5J4,【PIAGI】Aku kembali~~~,2025-10-16T04:14:33Z,2183,331,5
mWqSp14kuwU,【Senin Sekolah】@Amarynn_ VS @AlonaDriad SIAPA YANG LEBIH JAGO MENGEJA?,2025-10-13T13:39:20Z,2498,375,3
Wp0pdQ0qVyk,"【THE HEADLINERS】REPORTERS WANNA BE, BENCANA ALAM TAK AKAN MENGHALANGI AKU DAPET BERITAAAAA",2025-10-11T18:01:13Z,9098,864,9
o-yBVy79N7g,【PIALLETE】MENGGAMBAR CHIBI KAKAK MEMBER SHONICHI PERTARUHAN CINTA!!! 💅,2025-10-10T16:51:17Z,4576,469,5
