id,title,publishedAt,viewCount,likeCount,commentCount
7MNztAzrlMk,"[GOGH: FwYA] Workstream: ""People works when they are working""【NIJISANJI】",2025-12-11T08:18:16Z,853,146,1
rS8Rlxt4nT0,"[FFXIV] Rai Galilei's: ""OK THIS TIM FR""【NIJISANJI】",2025-12-10T16:13:06Z,535,114,1
5rU2pzKp-Mw,"[SMT V Vengence] Rai Galilei's: ""They say its different than the base game?""【NIJISANJI】",2025-12-04T16:09:20Z,561,132,0
bCxWN0QTvfk,"[FFXIV] Rai Galilei's: ""Lari dari PR Bu Guru""【NIJISANJI】",2025-12-03T01:35:19Z,323,68,2
2iMKSPB1C8Q,"[FFXIV] Collabo stream: ""Jadi UWU kok""【NIJISANJI】",2025-11-27T07:03:25Z,678,104,1
eHJHf50hvI4,"[GOGH: FwYA] Workstream: ""Back to work""【NIJISANJI】",2025-11-26T05:53:43Z,564,97,2
dWKRngK8_EY,"[R.E.P.O] Collabo Stream: ""AGAIN! BUT NEW STUFF??""【NIJISANJI】",2025-11-08T14:39:22Z,1094,199,2
fXdY4d8axss,"[GOGH: FwYA] Workstream: ""I havent made a new thumbnail yet lmao""【NIJISANJI】",2025-11-06T23:22:23Z,780,145,2
XRTUDrDYqXM,"[GOGH: FwYA] Workstream: ""Your daily lock-in stream!""【NIJISANJI】",2025-10-29T10:18:07Z,738,138,1
GNwZ0hFLr7Y,"[Ratatan] Collabo Stream: ""March march march! Togetheerr!!""【NIJISANJI】",2025-10-28T17:16:31Z,845,191,2
UqhgdcWdlHs,"[GOGH: FwYA] Workstream: ""Im taking one photo every thumbnail and it took an hour""【NIJISANJI】",2025-10-28T10:36:44Z,868,155,3
dUZ9rC19jX0,"[GOGH: FwYA] Rai Galilei's: ""If i concentrate hard enough, i grow 1 braincell""【NIJISANJI】",2025-10-27T11:15:03Z,775,161,2
07NGsVaXgnk,"[GOGH] Rai Galilei's: ""I work.. but this time.. together..?""【NIJISANJI】",2025-10-27T02:50:04Z,1792,259,1
js9aCLV6fY0,"[Freetalk] Rai Galilei's: ""I draw but idk what to draw""【NIJISANJI】",2025-10-13T15:08:14Z,905,189,0
k60qh5ETN2g,"[R.E.P.O] Collabo Stream: ""BE SCARED TOGETHER-""【NIJISANJI】",2025-10-04T15:09:26Z,1494,273,5
