id,title,publishedAt,viewCount,likeCount,commentCount
8l-dhnrG4e4,"Starting a HARDCORE World, But I Can Only Use Copper Tools... 【🟩 MINECRAFT 🟫】【1】",2025-12-13T05:16:20Z,6589,914,9
SKezKeahKo0,JUST A COUPLE QUICK ROUNDS WITH THE BOYS! 【🗣️ MIMESIS 🗣️】,2025-12-11T17:20:20Z,3900,636,9
viPKiCdlBAw,REST IN PING IS BACK! (for scraps...) w/ Axel and RPR 【🤖 ARC Raiders 🤖】,2025-12-11T16:25:36Z,3685,643,8
Z7b6mS0g_ds,FINISHING LEGENDS Z-A AND SAVING THE WORLD! 【🌆 Pokémon Legends: Z-A 🌆】【FINALE】,2025-12-08T17:21:37Z,4274,720,11
eHFQG3TyB-w,BALLS! :D 【❌ BALL x PIT ❌】,2025-12-06T02:29:08Z,3502,679,12
N8og-OqZcSw,MY CHILDHOOD GAME IS BACK 😭😭😭 w/ @MachinaXFlayon @Goldbulletch 【⭐ Kirby Air Riders ⭐】,2025-12-03T03:55:46Z,7566,908,12
SmjGk278F1c,Rank 🅰️ Incoming!! Mega Starmie Attack! 【🌆 Pokémon Legends: Z-A 🌆】【4】,2025-11-29T18:21:18Z,4206,786,9
dTMigpD8SBU,Driving Each Other to Insanity... w/ the BOYS! 【🚐 RV There Yet? 🚐】,2025-11-26T05:26:07Z,10507,1248,16
AGKZ-0h4qtU,FINALLY PLAYING ARC RAIDERS :D w/ @GavisBettel @Dokibird 【🤖 ARC Raiders 🤖】,2025-11-23T05:15:22Z,11059,1412,13
OvuwoIAU2e0,Behold. The Fiercest and Most Dangerous Squad in the GALAXY! 【🔩 LETHAL COMPANY 🔩】,2025-11-22T04:56:08Z,8358,1077,13
bEFBMKnbeVA,The Ultimate Challenge: STREAM UNTIL WE WIN! w/ @AxelSyrios @Dokibird! 【💥 Battlefield: REDSEC 💥】,2025-11-21T07:10:28Z,14719,1770,28
fmInnOumw4c,RANK 🅱️ IS WITHIN OUR REACH! ヾ( ˃ᴗ˂ )◞ • *✰ 【🌆 Pokémon Legends: Z-A 🌆】【3】,2025-11-19T18:04:59Z,4029,721,14
