id,title,publishedAt,viewCount,likeCount,commentCount
6NtYIKfkCHY,【SF6】smelling respectfully(c.viper)【NIJISANJI EN | Sonny Brisko】,2025-12-12T06:42:32Z,12637,677,18
rAf8ykHkmuk,NOVA PERSONALITY ALIGNMENT CHALLENGE + Secret Announcement?,2025-12-06T14:56:50Z,41389,3540,43
2PniURtTYdw,【Hollow Knight #7】straight buggin' on it【NIJISANJI EN | Sonny Brisko】,2025-12-01T16:20:57Z,23754,1131,17
4gFvKXW2OeM,【RV There Yet】get winched binch【NIJISANJI EN | Sonny Brisko】,2025-11-29T16:53:56Z,11247,976,17
JcYkfMlFeQ0,【RV There Yet】camping with da boiz【NIJISANJI EN | Sonny Brisko】,2025-11-23T17:48:01Z,18458,1437,20
jvxu1KhnznU,LOL LMAO,2025-11-16T10:19:00Z,22085,1791,24
XBURNQBMFQc,【ZELDA TOTK】HYRULE CLEANUP DUTY【NIJISANJI EN | Sonny Brisko】,2025-11-13T10:44:17Z,16025,1003,19
59ekfWbis1s,【Yoshi's Story】sani story (MELON)【NIJISANJI EN | Sonny Brisko】,2025-11-07T09:41:49Z,12813,1079,20
Tdx_Ta9J9m0,ESCAPE FROM VSF (Villain POV)【NIJISANJI EN | Sonny Brisko】,2025-10-31T17:58:58Z,35057,2473,27
dVaODXyZwk0,【MINECRAFT】Completing_VSF_final_FINAL.psd【NIJISANJI EN | Sonny Brisko】,2025-10-29T14:03:19Z,12354,1126,16
6VuN0MSXCu8,wanwans livestream,2025-10-17T14:10:12Z,25888,2023,25
vEVda8fIizk,【MINECRAFT】VSF SO DONE - final episode 11.11/? (gacha hen)【NIJISANJI EN | Sonny Brisko】,2025-10-12T10:46:19Z,16817,1265,20
jW_OLmijSIA,【DAM KARAOKE歌枠】ANISONG ONLY OFFCOLLAB【NIJISANJI EN | Sonny Brisko】,2025-10-02T13:32:56Z,147762,11301,114
X8PP_yyQiMM,【Hollow Knight #6】back to bug【NIJISANJI EN | Sonny Brisko】,2025-09-30T15:42:36Z,18419,1248,16
s7eq3L1my3U,【#VCraftEnchanted】Storm’s a-brewin'...【NIJISANJI EN | Sonny Brisko】,2025-09-26T07:16:58Z,23356,964,22
M_phC-HGrhg,【#VCraftEnchanted】There's trouble about【NIJISANJI EN | Sonny Brisko】,2025-09-22T07:45:48Z,18022,1061,25
DVOhDn3VPo4,【#VCraftEnchanted】Keepin' the piece【NIJISANJI EN | Sonny Brisko】,2025-09-18T10:02:00Z,19279,1145,25
mhfbuY6znek,【#VCraftEnchanted】I'm the sheriff 'round these parts【NIJISANJI EN | Sonny Brisko】,2025-09-17T09:37:26Z,32275,1772,23
YFJTskkikG0,【Hollow Knight #5】not so snug now【NIJISANJI EN | Sonny Brisko】,2025-09-16T13:43:56Z,11316,963,19
b10C2jTOjLM,【METAL GEAR SOLID Δ: SNAKE EATER】All for the mission【NIJISANJI EN | Sonny Brisko】,2025-09-14T11:49:53Z,15681,1055,22
6tdGS2w8g4A,"【PEAK】freaking it, peaking it【NIJISANJI EN | Sonny Brisko】",2025-09-13T06:44:39Z,23968,2198,28
wE3d-OqWRXE,THE VSF DRIVE-THRU EXPERIENCE,2025-09-12T04:54:49Z,15086,1653,51
rZ8Esw_5B3k,【Hollow Knight #4】what if bugs had fights【NIJISANJI EN | Sonny Brisko】,2025-09-10T14:16:31Z,14280,1001,15
W0Lgo5J5N_o,【SF6】juicing jamie【NIJISANJI EN | Sonny Brisko】,2025-09-08T06:06:09Z,12599,998,15
jR3WyrHnePU,【METAL GEAR SOLID Δ: SNAKE EATER】Remember the basics of CQC...【NIJISANJI EN | Sonny Brisko】,2025-09-06T09:17:18Z,10700,862,21
9FgelBhO5ug,【Hollow Knight #3】Original Bug【NIJISANJI EN | Sonny Brisko】,2025-09-05T14:05:51Z,11588,1013,13
J4fxb_GoHlI,i wan know,2025-09-04T10:25:12Z,19526,1512,18
mlU7GrGe_38,【METAL GEAR SOLID Δ: SNAKE EATER】What a thrill...【NIJISANJI EN | Sonny Brisko】,2025-09-02T15:39:28Z,14129,1247,17
cg-eVjZMdtE,detached from being,2025-08-30T09:41:21Z,18910,1464,15
gMwZJ0b8LJ0,【Hollow Knight #2】bug life【NIJISANJI EN | Sonny Brisko】,2025-08-26T14:04:41Z,14164,1060,19
viP-R1VFnt0,【MINECRAFT】VSF... FINISHED - chapter 10.1/?【NIJISANJI EN | Sonny Brisko】,2025-08-25T14:43:04Z,16518,1415,21
03-V6-cihFQ,【Hollow Knight #1】Buggin' out【NIJISANJI EN | Sonny Brisko】,2025-08-21T14:57:35Z,21057,1522,21
PgrmHKvs9e8,【MINECRAFT】VSF is COMPLETE!!!!?... 9/??【NIJISANJI EN | Sonny Brisko】,2025-08-19T14:30:11Z,17324,1494,18
9eEXNOT2RLc,【SF6 COLLAB】street fighters assemble【NIJISANJI EN | Sonny Brisko】,2025-08-18T05:37:05Z,20358,1110,16
JPlcrI88T1I,【PEAK】TO THE TOP【NIJISANJI EN | Sonny Brisko】,2025-08-16T03:06:28Z,14680,1097,17
7e_VUg3Nfho,【ZELDA TOTK】the hero return【NIJISANJI EN | Sonny Brisko】,2025-08-15T12:11:49Z,16707,1155,18
QRbKnRE68Jc,【OneShot】WARNING THIS GAME HACKS YOUR PC【NIJISANJI EN | Sonny Brisko】,2025-08-13T08:44:52Z,13446,1059,16
KV13ydr6lsA,【SF6 COLLAB】BRAWLIN' IN DA STREETS【NIJISANJI EN | Sonny Brisko】,2025-08-10T06:38:20Z,21866,1261,25
Yk-thjjo8k8,【DONKEY KONG BANANZA】FINALLY BANANA【NIJISANJI EN | Sonny Brisko】,2025-08-08T10:30:45Z,16584,981,27
rfmicuDYak4,【OneShot】wanshot【NIJISANJI EN | Sonny Brisko】,2025-08-06T08:26:27Z,15670,1192,24
FfEG19IvD3M,【MINECRAFT】Final Making of the VSF (8)/?【NIJISANJI EN | Sonny Brisko】,2025-08-05T13:37:29Z,21625,1503,16
vPE5HPw8fGY,【#にじ鯖夏祭り2025】SKY HIIIIIIGH【NIJISANJI EN | Sonny Brisko】,2025-08-03T13:52:17Z,27621,1823,40
vlxRvYNFQrs,【DONKEY KONG BANANZA】GIVE BANANA ME GIVE EAT BANANA【NIJISANJI EN | Sonny Brisko】,2025-08-02T07:46:54Z,12421,821,16
w_fLutCwXjw,【PEAK】im peaking bro【NIJISANJI EN | Sonny Brisko】,2025-08-01T08:21:51Z,31969,2136,24
MAwyj4P41Lk,【RAFT】drifting away w/ noctyx【NIJISANJI EN | Sonny Brisko】,2025-07-29T06:19:24Z,42195,2779,28
wchldtST0tA,【DONKEY KONG BANANZA】I'M GOING BANANAS OOH OOH【NIJISANJI EN | Sonny Brisko】,2025-07-28T10:16:50Z,17137,1216,18
CnhaC4YuqJc,【STREET FIGHTER 6】put em up pal【NIJISANJI EN | Sonny Brisko】,2025-07-27T06:18:20Z,12916,1043,14
Oz5Tc3buxNo,【DONKEY KONG BANANZA】GOING APE FOR BANANAS【NIJISANJI EN | Sonny Brisko】,2025-07-23T11:42:46Z,29799,1749,26
7bMoiFZkL0U,【GO! GO! HAMSTER CHEF!】cooking hamter【NIJISANJI EN | Sonny Brisko】,2025-07-17T07:49:21Z,32191,1778,28
bimKz1D6r5E,WHAT HAPPENS WHEN YOU TRY TO TAKE A POLICE OFFICER'S GUN @LucaKaneshiro  #nijisanji_en,2025-07-10T10:50:39Z,107032,13297,325
CZyxvxdGThU,【MARIO KART WORLD】HIGH OCTANE COW RACING【NIJISANJI EN | Sonny Brisko】,2025-07-06T13:09:29Z,18543,1506,19
7WtlwsfqS64,one man pizza party,2025-07-03T13:13:26Z,37351,2457,24
WPyXn_6bbuM,【STREET FIGHTER 6】you talkin' to me?【NIJISANJI EN | Sonny Brisko】,2025-06-16T07:42:14Z,20620,1182,25
GSjwAZjnZYo,【ZELDA TOTK】NOW IN HDR ON SWITCH 2【NIJISANJI EN | Sonny Brisko】,2025-06-14T10:00:43Z,23523,1290,16
wQRzWND7nzQ,idk in the rain,2025-06-10T11:50:01Z,26813,1636,26
TQGzEhalh9A,【MARIO KART WORLD】SWITCH 2 ACQUIRED MOOOOOOOO【NIJISANJI EN | Sonny Brisko】,2025-06-08T08:19:59Z,38365,2098,21
eR7unNUtvDo,【ZELDA TOTK】REMEMBER YOUR QUEST【NIJISANJI EN | Sonny Brisko】,2025-06-02T10:44:56Z,34954,1714,24
vvXlWkrdUnQ,ohhhh not sure,2025-05-28T12:12:11Z,35561,2402,23
OL2bIYY7DVI,ughhbrainnfgh,2025-05-27T13:04:31Z,35480,2321,27
ucZBh7BYuY0,【Endless Monday: Dreams and Deadlines】but the wages...【NIJISANJI EN | Sonny Brisko】,2025-05-15T10:56:38Z,24048,1676,22
-y28T_OhnWU,【Half-Life: Alyx】WITNESS THE PEAK OF VR GAMING【NIJISANJI EN | Sonny Brisko】,2025-05-06T11:53:10Z,40876,2207,31
pklegTI1qFY,【RAIN WORLD: DOWNPOUR】a terrible day for rain【NIJISANJI EN | Sonny Brisko】,2025-04-30T14:27:19Z,33457,2036,26
JGxejEmjFOU,【Half-Life: Alyx】MALE VTUBER PLAYS THE BEST VR GAME??【NIJISANJI EN | Sonny Brisko】,2025-04-29T08:25:02Z,27365,1629,25
ZQs5qctNGR4,【MINECRAFT】wanwan pet shop construction【NIJISANJI EN | Sonny Brisko】,2025-04-27T07:56:14Z,30028,1557,21
mzMQA0TiX_Y,【STREET FIGHTER 6】mamamamai shiranui【NIJISANJI EN | Sonny Brisko】,2025-04-26T05:13:12Z,11475,1007,17
ydaEqUc7Qbs,THREE DIMENSIONAL SONNY @ MY HOUSE,2025-04-24T12:05:10Z,32019,3199,53
xTSvUm6b46A,【MH:WILDS】seared to perfection...【NIJISANJI EN | Sonny Brisko】,2025-04-22T08:18:16Z,21620,1278,21
MQoiEbfwbrs,SONNY survives return from AMERICA🦅,2025-04-21T13:24:32Z,26630,2295,24
IVdLNjCWPK0,【WANNYANZ RAIN WORLD】protect babey slugnyan【NIJISANJI EN | Sonny Brisko】,2025-04-13T04:16:45Z,53489,3671,51
SNXZlOdKqpE,【KARAOKE歌枠】comfy bday karaoke【NIJISANJI EN | Sonny Brisko】,2025-04-06T13:35:57Z,72537,5443,84
